Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),COX(50),CHOX(53),O(29),H2OX(23),HOX(22)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.0876672320583389e-54,2.9700072473883544e-36,7.1872797131963139e-89,1.8120787904700322e-54,2.4442807692791029e-132,5.5646920903778486e-20,-6.5985143325437161e-106,5.5646920903778486e-20,2.6157602372111543e-72,3.5887402614504737e-70,1.6125291280903609e-112,1.8697238454811346e-113,1.0697975259130783e-37,1.2279206030110473e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.602213534546048e-22,3.6022135345267224e-22,9.6298941096238197e-34,5.6171078111425232e-42,1.6498521474539585e-46,3.3357983340900261e-37,2.145630712633096e-52,2.0384631116243115e-98,2.0826532301611963e-77,2.8398155585065307e-106,-5.3272365256511515e-109,8.5344867117686701e-29,3.3174158812195123e-54,9.0087835689749008e-38
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.8528785379247821e-53,1.7938843775187835e-35,7.942267646942678e-87,2.7384134910776759e-53,8.8198103980155011e-130,1.5581137853057977e-19,1.2738527485793328e-104,1.558113785305797e-19,7.3768624501250617e-71,1.1283573652561084e-68,3.2235763969493779e-110,3.7377294785595347e-111,6.4615770565315e-37,6.3560707326377618e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.0086197896760319e-21,1.0086197896643591e-21,5.8164560094378257e-33,6.6686303558519529e-41,1.9587357070143617e-45,2.0148221937883227e-36,2.5472927821631224e-51,1.9196856319180639e-96,1.2669994699498856e-75,5.6770214234283298e-104,5.3913871937166939e-107,2.3896562827613714e-28,3.9384361341591833e-53,5.4413052756444562e-37
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.7645849257650745e-52,8.6367810768485913e-35,7.1858084763934252e-85,2.9458602743313608e-52,3.1935499761082673e-127,3.5614029378418238e-19,1.3450539900767033e-102,3.5614029378418209e-19,1.604628715011673e-69,2.5173032115119816e-67,5.8361523196194589e-108,6.7670053010168542e-109,3.1109712053799929e-36,2.7753092356261287e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.30541666213144e-21,2.3054166620752408e-21,2.800373157916164e-32,6.5473007483047244e-40,1.9231644994979562e-44,9.7005015555029895e-36,2.5009471590329803e-50,1.6778151538442348e-94,5.7200351529883193e-74,1.0278013507024674e-101,1.1290772899659528e-104,5.4620715197949538e-28,3.8667799510731254e-52,2.6197542618333191e-36
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,4.2142214097263976e-51,3.771909205674575e-34,5.4386957328014101e-83,2.7077531192751608e-51,9.6840335583747186e-125,7.5679812429138772e-19,1.0631530799432572e-100,7.5679812429138618e-19,2.9747112059328235e-68,4.7146303197570671e-66,8.8439383468739816e-106,1.0254526338164216e-106,1.3586428579351954e-35,1.0331780432292682e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.8990104070924695e-21,4.8990104068470353e-21,1.2229965011210348e-31,5.791013224613196e-39,1.7011349264281275e-43,4.2364638842624983e-35,2.2120594403106874e-49,1.2517021629622922e-92,2.1599235442215821e-72,1.557500778010016e-99,1.8146138613412676e-102,1.1606902049320418e-27,3.420123076741756e-51,1.1441155132344095e-35
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,3.5423070209227376e-50,1.574697843907534e-33,3.778905085818057e-81,2.3165398015504735e-50,2.6938673376368007e-122,1.5581137853057988e-18,7.535252521720702e-99,1.5581137853057924e-18,5.1127685210452633e-67,8.1433514312709461e-65,1.2297197722607058e-103,1.4258572706614916e-104,5.6720664826214167e-35,3.5594550110798869e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197897215386e-20,1.0086197896190744e-20,5.105769399711854e-31,4.8676953120681182e-38,1.4301044201046735e-42,1.7686402767058793e-34,1.8593692469541212e-48,8.6341711374215014e-91,7.4947994742746717e-71,2.1656522545575109e-97,2.5947301096627931e-100,2.3896563330204536e-27,2.8748195237198681e-50,4.7764570480418529e-35
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.9041973131893482e-49,6.4331545094972688e-33,2.5193053166635084e-79,1.9153599054089591e-49,7.1870660870940934e-120,3.1607451073346227e-18,5.0708795078926582e-97,3.1607451073345965e-18,8.474038870927643e-66,1.35303001959979e-63,1.6401544259584014e-101,1.9017553153167385e-102,2.3172242332237317e-34,1.1812533419255286e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572878264644e-20,2.0460572874078659e-20,2.0858731966159369e-30,3.9908303203932319e-37,1.1728107314555054e-41,7.2254726233297661e-34,1.5244232483117393e-47,5.7339960535268866e-89,2.4967614819882571e-69,2.888466307884655e-95,3.5083712312055461e-98,4.8475886779305534e-27,2.3569507345693365e-49,1.9513385559806545e-34
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,2.3518942810437801e-48,2.600383914784346e-32,1.6460924148814094e-77,1.5575388655837974e-48,1.8788229979907316e-117,6.366007751392279e-18,3.3271895218781625e-95,6.3660077513921696e-18,1.3797775550057662e-64,2.20578041870697e-62,2.1436573541974705e-99,2.4855658119713498e-100,9.3665908437852011e-34,3.8489420337863402e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322843576851e-20,4.1209322826656443e-20,8.4314313436425047e-30,3.2318772307086159e-36,9.5029849077778368e-41,2.9206515596163013e-33,1.2345174719310756e-46,3.7377518447982935e-87,8.1542868533151555e-68,3.7751823517076905e-93,4.6164841343461149e-96,9.763453722683858e-27,1.9087198125140073e-48,7.8876224346564247e-34
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,1.8930091282430531e-47,1.0456029390542967e-31,1.0652955867721125e-75,1.2562115208095478e-47,4.8641896293738148e-115,1.277653303950762e-17,2.155969294523842e-93,1.2776533039507184e-17,2.2269665366103753e-63,3.5623412669060257e-61,2.7748132440468875e-97,3.2173896263522738e-98,3.7662649831788577e-33,1.2428000592518002e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.2706822787056096e-20,8.2706822719019864e-20,3.3902401580895396e-29,2.6012949448419667e-35,7.6572956951604133e-40,1.17438114654787e-32,9.9364706539390829e-46,2.4141429088612127e-85,2.6381954681266149e-66,4.8867072746958124e-91,5.9958651409664106e-94,1.9595185231922884e-26,1.5363037593145434e-47,3.1715782893002627e-33
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,1.5190206089570652e-46,4.1933354736199038e-31,6.8670011580264703e-74,1.0090574092206994e-46,1.2542607383478309e-112,2.5597583615738416e-17,1.3883838725926043e-91,2.5597583615736672e-17,3.5786754397610281e-62,5.7263595403768222e-60,3.5774560295713723e-95,4.1480521049247468e-96,1.5104407090993535e-32,3.9948697380897765e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182272543381e-19,1.6570182245257805e-19,1.3596368909430448e-28,2.0873737366080808e-34,6.1580855456140762e-39,4.7097936518078984e-32,7.9733919771441748e-45,1.5521214226364963e-83,8.5025057673022708e-65,6.300236759639136e-89,7.7433153507021159e-92,3.9258653929330627e-26,1.2327870127474503e-46,1.2719447457930007e-32
