Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50),COX(47),CH4OX(57)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0699165877029219e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-8.0194965545196674e-126,3.2639684749214835e-68,2.9577211023711349e-50,2.9702598880544881e-99,3.9975748765608852e-57,8.0948972270685358e-158,3.5352793591846974e-37,-3.0949430886336869e-141,3.5352765893887675e-37,2.7410903628514844e-91,5.996814949516945e-70,3.7555505257649499e-137,1.1467276218349947e-138,1.0005177561764612e-57,6.2470288980382338e-111,2.7484436960125257e-18,1.2025211483152662e-18,2.6123956690975805e-22,2.6123956691000754e-22,1.2475428259824843e-34,9.4733838710987309e-41,1.2040330898623934e-49,5.4674776028631559e-38,1.7323342121536284e-54,8.6170402792076489e-79,-3.880302569990987e-113,-3.1998252826994914e-112,6.178164348404838e-116,1.1662297685042282e-86
2.9957664455681816e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,2.4207302864102034e-123,9.9410347061298514e-67,3.511397611318908e-49,5.4160504484686762e-97,6.0411351534284762e-56,4.1267612295573895e-155,9.8987911802265109e-37,5.9746332276085136e-140,9.8987744506590912e-37,7.7303133976618098e-90,1.885494564171843e-68,1.2365051733731212e-134,3.7752195377222866e-136,1.1878146801338183e-56,3.2336420720414981e-109,7.6956423488350646e-18,3.3670592152827452e-18,7.314707873469185e-22,7.3147078734842529e-22,7.5351531440608059e-34,1.1246793770537669e-39,2.3828845154326067e-48,3.3023564721327573e-37,2.0566271766707304e-53,8.6813159878683022e-77,6.5287307145315632e-111,5.3838063247672804e-110,2.033955257660399e-113,6.716886339455977e-85
6.8474661612987e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.879118216677009e-120,2.1975720530597199e-65,3.4475025031468864e-48,9.0813975657694493e-95,6.4987775252793363e-55,7.2783837600793998e-152,2.2625850720347577e-36,6.3086002626716151e-138,2.2625770174681921e-36,1.6815120151536749e-88,4.2064346514110964e-67,4.1466481877294496e-132,1.265954401618463e-133,1.1662034966027018e-55,1.4119346804614625e-107,1.7590039654480115e-17,7.6961353492177019e-18,1.6719332282196229e-21,1.671933228226877e-21,3.627846250659046e-33,1.1042152800370442e-38,4.359131730490883e-47,1.5899424869176247e-36,2.0192087576921773e-52,7.2747155971741752e-75,2.522378510792119e-108,2.0800363763153216e-107,6.8205162253521269e-111,3.0121337595514019e-83
1.4550865592759738e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,1.1631564649465792e-117,4.1011772845648922e-64,3.0492665082895249e-47,1.3225726449553851e-92,5.9734961864774557e-54,9.5723621210641566e-149,4.8080113392739443e-36,4.9864357317643382e-136,4.8079761628656294e-36,3.117239886810075e-87,7.8781865669392058e-66,1.2084819709228151e-129,3.6890180497693934e-131,1.0314937859147994e-54,5.2562788011063793e-106,3.7378834265770113e-17,1.6354287617087612e-17,3.5528581099585668e-21,3.5528581099902468e-21,1.5843708254814403e-32,9.7666306123441545e-38,7.4482850148188315e-46,6.9436965556876163e-36,1.7859672793741997e-51,5.2924694451178482e-73,7.8040841576838475e-106,6.4355047649332159e-105,1.9875129334753577e-108,1.1332400025783302e-81
2.9957664455681814e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,6.5254248711976434e-115,7.072449690528637e-63,2.5630766514610725e-46,1.8018979646416116e-90,5.1104517511933544e-53,1.1055589595509842e-145,9.8989213106122189e-36,3.5342273307028776e-134,9.898774456031988e-36,5.357738907149132e-86,1.3607608127809867e-64,3.2944642912253753e-127,1.0054370784042233e-128,8.6703267923127411e-54,1.8108677435125147e-104,7.6956423488349641e-17,3.3670592152827417e-17,7.3147078734105925e-21,7.3147078735428527e-21,6.6143949921617724e-32,8.2093935837379273e-37,1.2304558356804757e-44,2.8988566250841172e-35,1.501213110927147e-50,3.6035615717940237e-71,2.188718797159275e-103,1.8048895875657997e-102,5.416940687641126e-106,3.9240503353136018e-80
6.0771262181525965e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,3.4941733197998039e-112,1.1742045979600825e-61,2.1013403260744512e-45,2.3781446676836245e-88,4.2254203342614359e-52,1.2008661347194223e-142,2.0080971000728358e-35,2.378397555619164e-132,2.0080371051850644e-35,8.880059320472831e-85,2.2609244423548576e-63,8.7011303462856351e-125,2.6542682550793054e-126,7.1084577435311923e-53,6.0096098057739986e-103,1.5611160193350682e-16,6.8303201224306996e-17,1.4838407400211199e-20,1.4838407400751528e-20,2.7021624099384254e-31,6.730478251629099e-36,1.9999198895744306e-43,1.1842775187294982e-34,1.2307852078334179e-49,2.3774222164400904e-69,5.8594740009860629e-101,4.831915186824993e-100,1.4300262060824248e-103,1.30555626334991e-78
1.2239845763321428e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,1.8291286578371701e-109,1.9135389653741762e-60,1.7016800775773079e-44,3.0904823066785863e-86,3.4360416416987872e-51,1.2660928119530778e-139,4.0445989370718965e-35,1.5605858840147045e-130,4.0443564281431718e-35,1.4458874597770287e-83,3.6858774689685932e-62,2.2637118469259967e-122,6.8990398317238772e-124,5.7566133801066597e-52,1.9581438601321521e-101,3.1442195882381414e-16,1.3756841936726598e-16,2.9885806453398638e-20,2.9885806455582775e-20,1.0922299517217334e-30,5.4503884858537905e-35,3.2248370282508887e-42,4.787039080551513e-34,9.967217715964277e-49,1.5445878142633033e-67,1.5335919966129641e-98,1.2646504504199819e-97,3.7169595564756154e-101,4.2593842071879823e-77
2.4565284853659088e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,9.4687054730400691e-107,3.089803257240363e-59,1.3695962313178884e-43,3.9856079616435662e-84,2.7712920629972804e-50,1.3153898727304627e-136,8.1179702069733323e-35,1.0112782260702027e-128,8.1169950892368906e-35,2.3336681893049816e-82,5.9527019580720978e-61,5.8497125150996849e-120,1.7795077549779245e-121,4.6334232626488947e-51,6.3227278662886847e-100,6.3104267260439983e-16,2.7609885565318319e-16,5.9980604558118365e-20,5.9980604566900931e-20,4.3915890812104885e-30,4.3867419122136146e-34,5.1795580558133531e-41,1.9248473602577131e-33,8.02248394665918e-48,9.9592144061796744e-66,3.9693267420029868e-96,3.2732374910415276e-95,9.5873607299183065e-99,1.3762076794664716e-75
4.921616303433441e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,4.8743155613259086e-104,4.966315210493598e-58,1.0989121733922993e-42,5.1203609033058032e-82,2.2260524940222763e-49,1.3566312987467305e-133,1.6266183130389301e-34,6.5128870147269165e-127,1.6262272472134345e-34,3.7501421307041727e-81,9.5687945429332769e-60,1.5086096564684573e-117,4.5723807012458317e-119,3.7180303659424405e-50,2.0323843746768984e-98,1.2642841001654556e-15,5.5315972822501459e-16,1.2017020076093729e-19,1.2017020079616111e-19,1.7610475924557486e-29,3.519755299691205e-33,8.3025922561063378e-40,7.7194988247052598e-33,6.4375381296170516e-47,6.3971725636229143e-64,1.0216571644208437e-93,8.4249211696282014e-93,2.4634376025978473e-96,4.4251113560943928e-74
9.851791939568504e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999635,0.09999999999999748,0.099999999999999464,2.5020754001641935e-101,7.964255370184554e-57,8.8030273625328761e-42,6.5652210218972185e-80,1.7844566034987351e-48,1.3939757077444278e-130,3.2568490511672309e-34,4.1818402290257616e-125,3.2552827480769309e-34,6.0132756152321729e-80,1.5345741857241879e-58,3.8970965982498415e-115,1.172531508872623e-116,2.9789487415789381e-49,6.5182440747601766e-97,2.5307669552871048e-15,1.1072814733686655e-15,2.4054939314009303e-19,2.4054939328118603e-19,7.0519661207799099e-29,2.8195606423701148e-32,1.3294585964199822e-38,3.0918259999288303e-32,5.1578643051825343e-46,4.1010977175175188e-62,2.622162068693476e-91,2.1623210714471696e-90,6.3171865990682764e-94,1.4194446864997014e-72
