Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CH4OX(60),CHOX(53),C2H4X(210),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197266622491e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.4889110505881842e-65,3.1305481796842537e-36,8.416923994469615e-89,1.9609720288440097e-54,3.0171911999791955e-132,5.7131099221802602e-20,-7.7274251628735038e-106,5.713109922180259e-20,2.9061879448393791e-72,3.8359781653964662e-70,1.9387770415284068e-112,2.2480075568681182e-113,8.1517780631966625e-51,1.4006431159910047e-85,3.1200861683966903e-18,9.2380206021829239e-20,3.6982894204719834e-22,9.495744842999808e-38,3.516111757554253e-37,3.698289420451614e-22,3.5899983075230991e-54,1.0150428924780334e-33,6.078649241977482e-42,1.7854165646700876e-46,2.3756058237674482e-77,2.3219309555127862e-52,2.3872148259629611e-98,3.4143688390471146e-106,7.1363892011901167e-87,-6.4050463831042212e-109,4.7463729707235847e-115,2.7848246226560269e-102
1.8124952346542977e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.3308858460511216e-64,1.8908511006334128e-35,9.3010837761872081e-87,2.9634209717027541e-53,1.0887073840824297e-129,1.5996707782104729e-19,1.4917906381443657e-104,1.5996707782104721e-19,8.1959151057943785e-71,1.2060929148627282e-68,3.8757740057257687e-110,4.493951118126163e-111,9.6777909166240219e-50,7.2501322501194152e-84,8.7362412715107316e-18,2.5866457686112186e-19,1.0355210377354636e-21,5.7354298851699074e-37,2.1237315015605464e-36,1.0355210377231602e-21,4.2620459906747881e-53,6.1308590350993338e-33,7.2165723383715425e-41,2.1196812514376912e-45,1.4452202269202758e-75,2.7565964305237828e-51,2.2481162401440886e-96,6.8256027943660698e-104,4.1101948101859268e-85,6.4821787900441e-107,8.0931228275761024e-113,2.6225580503720236e-100
4.1428462506383946e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.5814913938212901e-63,9.1036341080836559e-35,8.4152120800613522e-85,3.187913055608718e-52,3.9420853628208324e-127,3.656390350195367e-19,1.5751733881967486e-102,3.6563903501953632e-19,1.7827905590775205e-69,2.6907269462442567e-67,7.01693551238879e-108,8.1361207193993975e-109,9.5017125104525478e-49,3.1656914865203976e-82,1.9968551477738794e-17,5.9123331853970705e-19,2.3669052291252254e-21,2.7613626003413757e-36,1.0224852990934425e-35,2.3669052290659892e-21,4.1845020271973466e-52,2.9517446781241411e-32,7.0852734271661702e-40,2.0811891359483738e-44,6.5246420158168861e-74,2.7064427221766087e-50,1.9648652025007286e-94,1.2357483839445864e-101,1.8431838688068009e-83,1.3575147088513705e-104,1.4144826422211731e-110,2.2921292778621837e-98
8.803548282606588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.1711593910389442e-61,3.9757961898129086e-34,6.3692012760948466e-83,2.9302413273999979e-51,1.1953893201916336e-124,7.7698294941651554e-19,1.2450432856621998e-100,7.76982949416514e-19,3.3049932389997546e-68,5.0394337817558494e-66,1.0633282524362726e-105,1.2329266830060208e-106,8.4041571120133154e-48,1.1785075672836541e-80,4.2433171890194856e-17,1.2563708018968776e-18,5.0296736119576787e-21,1.2059595950579075e-35,4.4654619320594488e-35,5.0296736116989782e-21,3.7011446550156983e-51,1.2891044184717249e-31,6.2668439510152673e-39,1.8409189966615189e-43,2.4637529540667836e-72,2.3938179388003633e-49,1.4658504057803671e-92,1.8726211281588036e-99,6.9345183812075033e-82,2.1817545057878384e-102,2.112565262658314e-108,1.7099995597354822e-96
1.8124952346542976e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.9753462746787021e-60,1.6598166463211066e-33,4.4254532807103174e-81,2.5068831477929253e-50,3.3253001122962804e-122,1.599670778210474e-18,8.8244258846563071e-99,1.5996707782104672e-18,5.6804389485045459e-67,8.7043686390955802e-65,1.4785273497102387e-103,1.7143490891264228e-104,7.0642004410810709e-47,4.0601372565815309e-79,8.7362412715106715e-17,2.5866457686112184e-18,1.0355210377834298e-20,5.034643915730875e-35,1.8642424538242577e-34,1.0355210376754275e-20,3.1110350931300747e-50,5.3817569211401626e-31,5.2676596821424455e-38,1.5476233391717845e-42,8.549099572110878e-71,2.0121482167938413e-48,1.0111353675004267e-90,2.6038258150768886e-97,2.4012035505292925e-80,3.1197185917378265e-100,2.9160828878219822e-106,1.1795480804700949e-94
3.6767760474415754e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.2445241417196005e-59,6.7808925914212417e-33,2.950364746697844e-79,2.0727394649624213e-49,8.871751997116092e-120,3.245046435798392e-18,5.9384340814685063e-97,3.2450464357983643e-18,9.4149109734686089e-66,1.4462438677985546e-63,1.9720188642866113e-101,2.2865513744959512e-102,5.7916583225801373e-46,1.3474115245419069e-77,1.7722089436492946e-16,5.2471957020398973e-18,2.1006283910434389e-20,2.0568163159497395e-34,7.616038711070286e-34,2.1006283906022141e-20,2.5506145299984383e-49,2.1986230879108041e-30,4.3187452324852869e-37,1.2691958956519769e-41,2.8480038291688591e-69,1.6496806784473107e-47,6.715000333623088e-89,3.4729108173269598e-95,7.9889554588647685e-79,4.2182461009174506e-98,3.8742718644495053e-104,7.8334375401622885e-93
7.40533767301613e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.2595230701595791e-58,2.7409452077422507e-32,1.9277707068051422e-77,1.6855173097189014e-48,2.3192621563775402e-117,6.5357977509742365e-18,3.8964238100064394e-95,6.5357977509741233e-18,1.53297418638671e-64,2.3577425173831592e-62,2.5774362045809079e-99,2.9885313994306526e-100,4.6902350684560597e-45,4.3903442805616033e-76,3.5693785766457076e-16,1.0568295568897251e-17,4.2308430979021986e-20,8.3139804056063775e-34,3.0785246168871597e-33,4.2308430961186959e-20,2.06555377525995e-48,8.8871842983425812e-30,3.497431158117048e-36,1.0284120922544459e-40,9.3015602573142521e-68,1.3359541866069275e-46,4.3772274432206867e-87,4.5391077324502603e-93,2.606400939057366e-77,5.5506520125386668e-96,5.0516763629983314e-102,5.1062897994678887e-91
1.486246092416524e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.4703074814636596e-57,1.1021220170558076e-31,1.2476241781927817e-75,1.3594307723415907e-47,6.004638825945827e-115,1.3117300381325957e-17,2.524824641814284e-93,1.3117300381325501e-17,2.4742265172997028e-63,3.8077604626693146e-61,3.3364049585650226e-97,3.8685539381845338e-98,3.775109224239481e-44,1.417615563996424e-74,7.1637178426383719e-16,2.1210495302611934e-17,8.4912725129746836e-20,3.3430149548013771e-33,1.2378612085188446e-32,8.4912725058032969e-20,1.6625373769953636e-47,3.5734963096851742e-29,2.8150357353283319e-35,8.2869619741673486e-40,3.0094655706688769e-66,1.0752921585362712e-45,2.8271680494851696e-85,5.8757231382136714e-91,8.4212853606342516e-76,7.209365616534323e-94,6.5260339796503517e-100,3.2980555618839416e-89
2.977670742646346e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.359672557786052e-55,4.4200022577013069e-31,8.0427705082165907e-74,1.0919687253541969e-46,1.5484207292551903e-112,2.6280305642029519e-17,1.6259163907027897e-91,2.6280305642027694e-17,3.9760155908495571e-62,6.1208637313982222e-60,4.3017395094333653e-95,4.9878571474816932e-96,3.0292874042445057e-43,4.5567985571702225e-73,1.4352396374623052e-15,4.2494894770041211e-17,1.7012131348539523e-19,1.3406985168105139e-32,4.9643770924093658e-32,1.7012131319779045e-19,1.3340815413682011e-46,1.4331307182289751e-28,2.2588870787596248e-34,6.6648617524280811e-39,9.6996137883271291e-65,8.6285424373704351e-45,1.8176670813014332e-83,7.5757681333949958e-89,2.7078126371466158e-74,9.3110174643291923e-92,8.3918502502221909e-98,2.120414094341479e-87
