Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),H2OX(23),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),CO2X(24),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.630411269939308e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.1256855465753687e-123,3.6016769352094122e-65,1.7199064111836129e-46,1.8004939711741188e-74,1.5271172459073244e-58,4.6280311396548815e-49,4.4664203309033219e-29,-3.7949196423262999e-114,4.4664203308748346e-29,3.2282194530044415e-74,7.6611509758206791e-71,4.251881724055194e-75,3.9300279576406037e-106,4.6280844438129973e-49,6.6981854564074011e-92,2.7152764016631495e-18,7.9200635163297998e-19,1.7949108538396479e-23,2.1103984943383867e-37,7.2691715466693577e-54,1.7949108538421467e-23,1.2598175797045861e-35,3.6347388202219764e-43,3.9663244608727131e-50,1.005389147594344e-79,-5.8145005079737786e-112,2.6127972253249722e-92
2.4165151555830062e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.0521087118750793e-121,7.2937064388088442e-64,1.0390531490185697e-45,2.1375464425899736e-73,2.3077795820164413e-57,2.7953308083687701e-48,1.2505976926621636e-28,-3.579461721411048e-114,1.2505976926449572e-28,4.8784852419039742e-73,2.4087885028488202e-69,5.0478339828268067e-74,8.7913153401730548e-105,2.7953940910652844e-48,1.8889954713637158e-90,7.6027739246568145e-18,2.2176177845723436e-18,5.0257503907470009e-23,1.2746806905786346e-36,8.6299604601648333e-53,5.0257503907620924e-23,7.6092979694326489e-35,4.3151618143288547e-42,4.7383290553229011e-49,6.1539715383942548e-78,5.9210536567586833e-110,5.8447228811775199e-91
5.523463212761157e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,8.7758740368195121e-119,1.355323843111725e-62,5.0049329934833972e-45,2.0986557728379373e-72,2.4826039643206815e-56,1.3458314554374721e-47,2.8585090118427602e-28,7.0161862518955914e-114,2.8585090117599194e-28,5.2480518052259567e-72,5.3738746465974206e-68,4.955993337647022e-73,1.7370157649055751e-103,1.3458935867641709e-47,4.1089777585689719e-89,1.737776897064412e-17,5.0688406504510709e-18,1.1487429464545654e-22,6.137038821509762e-36,8.4729463546706102e-52,1.1487429464618312e-22,3.6635492038063773e-34,4.2366512184308576e-41,4.7146246182197392e-48,2.8149793123365166e-76,1.2562222472736307e-107,1.1548187493227718e-89
1.1737359327117458e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,2.8964439127232789e-116,2.3358910413056749e-61,2.1878411298943374e-44,1.8562372646001768e-71,2.2819407581948644e-55,5.8775995476286348e-47,6.074331650351687e-28,4.2093328950395776e-112,6.0743316499899e-28,4.8238637695912207e-71,1.0064672475098442e-66,4.3835199824173449e-72,3.0909267453292727e-102,5.878149092177133e-47,7.6173522697943877e-88,3.6927759062618649e-17,1.0771286382208527e-17,2.4410787612078739e-22,2.6802060877826074e-35,7.4942250974871271e-51,2.4410787612396057e-22,1.5999679976511504e-33,3.7472695982143844e-40,4.2812231809482288e-47,1.0907875243006216e-74,2.0716199870976779e-105,2.0549382627133617e-88
2.4165151555830064e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,8.7071562794248849e-114,3.8764087595048921e-60,9.15098367421092e-44,1.5602792676583893e-70,1.9522483617201236e-54,2.4537821104852592e-46,1.2505976927960481e-27,1.5002130791385022e-110,1.2505976926450092e-27,4.1269170166885295e-70,1.7384218793191535e-65,3.6846126722950169e-71,5.2132997356051038e-101,2.45424403579081e-46,1.3092282316016487e-86,7.6027739246567356e-17,2.2176177845723436e-17,5.0257503906888017e-22,1.1189332816737827e-34,6.2993477551142885e-50,5.0257503908212761e-22,6.6795498504312996e-33,3.1498051706839335e-39,3.7856799109382259e-46,3.9781824820715437e-73,3.1128778355711507e-103,3.4659537362328724e-87
4.902073601325527e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,2.5825631573079657e-111,6.3151874730055402e-59,3.7525131710471338e-43,1.2792112118544823e-69,1.6141566982119783e-53,1.0024500571772098e-45,2.5369267485541826e-27,5.0413192607297693e-109,2.5369267479371391e-27,3.4122147996868588e-69,2.8884139526901482e-64,3.0208680839645767e-70,8.5628604711333174e-100,1.0028287714510435e-45,2.1699497817981079e-85,1.5422769961446328e-16,4.4985960772753233e-17,1.0195093649547907e-21,4.5712075544698742e-34,5.1645858797769498e-49,1.0195093650089106e-21,2.728812766613585e-32,2.5823994070667134e-38,3.4104809024643147e-45,1.4539543803326047e-71,4.6162261937728364e-101,5.6928394196197218e-86
9.873190492810568e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,7.9936571277702776e-109,1.0195291407011e-57,1.5281748164060158e-42,1.0359384053532594e-68,1.3126054196850044e-52,4.0520634099357106e-45,5.109584861015955e-27,1.6526263893782835e-107,5.1095848585217668e-27,2.7747564123082084e-68,4.7088437406080954e-63,2.44637729616812e-69,1.3880765825148162e-98,4.0551303363133885e-45,3.5332007040732426e-84,3.1062762035024943e-16,9.0605526626812747e-17,2.0533780166855096e-21,1.8477551807508379e-33,4.182415545683726e-48,2.0533780169042712e-21,1.1030287027573936e-31,2.0912920898164697e-37,3.2587382553779041e-44,5.5884657714082709e-70,7.1451768175095069e-99,9.228338021118189e-85
1.981542427578065e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,2.6971207791270175e-106,1.6385506787625342e-56,6.235991934564755e-42,8.3381335356047995e-68,1.058663823268119e-51,1.6293168761971764e-44,1.025490108972151e-26,5.3523079406429421e-106,1.0254901079692488e-26,2.2379415784185689e-67,7.6047952180171595e-62,1.9690572787427115e-68,2.2354545450057062e-97,1.6317854053622806e-44,5.7026002044375526e-83,6.2342746182179865e-16,1.818446583349315e-16,4.1211153199825416e-21,7.4297423138779643e-33,3.3663718919831038e-47,4.1211153208621717e-21,4.435221477105103e-31,1.6832507483696265e-36,3.4227222709900327e-43,2.3506695542455534e-68,1.2057414103583565e-96,1.4861953891823202e-83
3.9699891841720814e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998757,0.099999999999999825,1.0162018395741269e-103,2.627534016277309e-55,2.5741167169281831e-41,6.6908270503472316e-67,8.503763552891495e-51,6.5342894088236234e-44,2.0545533562260665e-26,1.7230333387903812e-104,2.0545533522039797e-26,1.7976363954434377e-66,1.2224486203089029e-60,1.5800444605339299e-67,3.5883996261052523e-96,6.5540978007447563e-44,9.1639255129544518e-82,1.2490271447648051e-15,3.6432292175116776e-16,8.2565899259189794e-21,2.9796589706537125e-32,2.701301434835083e-46,8.2565899294466947e-21,1.7787154258941491e-30,1.3506978011197198e-35,4.0301021918250865e-42,1.1061922055160382e-66,2.2721584990303681e-94,2.3856727431330666e-82
