Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),CH2X(27),HOX(22),HX(19),CHX(28),CX(26),OCX(25),H2OX(23),COX(50),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-7.1678057481134609e-124,8.3688163677549944e-66,7.8554524795706596e-42,3.7838277147267324e-92,8.1200030939740361e-58,1.7749079922465621e-141,7.234166073210873e-25,-1.6759798596167998e-118,7.2341660732107995e-25,2.5999537495383554e-80,3.7733413123754602e-71,8.0653899080406621e-120,4.8734816962631162e-121,1.4231879061816877e-53,1.6572554520954876e-95,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719190761e-23,5.5775514021358996e-35,6.2640575050921505e-38,5.3170486719302245e-23,8.4500074061865025e-43,6.8352683098899437e-49,2.1321679818435452e-79,2.2548814833327565e-54,7.1393031407774851e-110,-8.1731483721740242e-112
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.2994570024426461e-121,1.8721488692576217e-64,4.744693695979359e-41,4.1840748629700466e-90,1.2270948675644199e-56,6.408699222186879e-139,2.0255665004990669e-24,3.234959665307851e-117,2.0255665004990235e-24,7.3322855663157381e-79,1.1863988874834272e-69,1.6134014647325631e-117,9.7489180272104003e-119,1.6896086822167866e-52,8.5784315096366953e-94,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281355354e-22,3.3688409976061923e-34,3.7834907330704927e-37,1.48877362814227e-22,1.0031848652572178e-41,8.1204854257228283e-48,1.2979908706132466e-77,2.676995297000517e-53,1.428146968194966e-107,8.2771638128952411e-110
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,5.4935665722220863e-119,3.6991197555044637e-63,2.2843661785371503e-40,3.7910012768315956e-88,1.3200526629786898e-55,2.3238323400717841e-136,4.6298662868551189e-24,3.4158038151861572e-115,4.629866286854911e-24,1.5949322678181183e-77,2.6467906546298262e-68,2.9251790526626181e-115,1.7675285056250412e-116,1.6588678234388246e-51,3.7456789225762558e-92,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111500155705e-22,1.6219518738152856e-33,1.8215879224730474e-36,3.4029111500479939e-22,9.8493281984884408e-41,7.9847188949800632e-47,5.8684255436715681e-76,2.6282898569350525e-52,2.5893032123674126e-105,1.7359073532887673e-107
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.7722224299743962e-116,6.582442405271159e-62,9.9764308229937343e-40,2.8775418492033393e-86,1.2133558223127196e-54,7.0668970808924438e-134,9.8384658595675888e-24,2.6999084454016849e-113,9.8384658595666793e-24,2.9567356267296954e-76,4.9571459701076797e-67,4.4454459444378367e-113,2.6861440908570965e-114,1.4672498037433169e-50,1.3944223474955661e-90,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861937467552e-22,7.0834895168123542e-33,7.9553530313869509e-36,7.2311861938883533e-22,8.7116187237407434e-40,7.0837015358461357e-46,2.2223865687008172e-74,2.3246926139777608e-51,3.9350095351483266e-103,2.7979539581065171e-105
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,5.0993723635720108e-114,1.1102297163114938e-60,4.1649664612128124e-39,2.0108512352562122e-84,1.0380514514987776e-53,1.9770666936176952e-131,2.0255665004993997e-23,1.9135994923745558e-111,2.0255665004990203e-23,5.0818730930386662e-75,8.5622369080552331e-66,6.2166041169607161e-111,3.7563597944236531e-112,1.2333118684655948e-49,4.803996411599493e-89,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736281093579e-21,2.9572170659023202e-32,3.3212032891277842e-35,1.4887736281684727e-21,7.3226395639237097e-39,5.9901240241261225e-45,7.7561791933801144e-73,1.9540442152091445e-50,5.5027992201066581e-101,4.0238837479310396e-103
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,1.3950441817752628e-111,1.8235593577591312e-59,1.7015271334247935e-38,1.355891408896606e-82,8.5828101401380245e-53,5.3345582805333405e-129,4.1090063295852669e-23,1.2877647330347573e-109,4.1090063295837164e-23,8.4228319644670962e-74,1.422628468126e-64,8.3857700436170426e-109,5.0670701953140026e-110,1.0111435833106931e-48,1.5942712572421183e-87,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836455325039e-21,1.2081193618164656e-31,1.3568199117719556e-34,3.0200836457740076e-21,6.0035408738622877e-38,4.9698499656215443e-44,2.6135658942557564e-71,1.6020435058811775e-49,7.4228964859750618e-99,5.5031103832679116e-101
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,3.7546984720567168e-109,2.9560712909622818e-58,6.8778644061995338e-38,9.0591229432699503e-81,6.9793986657323748e-52,1.425822907987527e-126,8.2758859877593501e-23,8.4494954365086226e-108,8.2758859877530811e-23,1.3714398376452946e-72,2.3192434557491798e-63,1.1206363749893767e-106,6.7714033964154574e-108,8.1885028939715561e-48,5.1947007784644282e-86,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036801939236e-21,4.8834091868652013e-31,5.4844830199664428e-34,6.0827036811701211e-21,4.8618206938716367e-37,4.1199258111554462e-43,8.7298031972408269e-70,1.2973763666410996e-48,9.9196230830903418e-97,7.4052398293102638e-99
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,1.0184118560112496e-106,4.7606640815948956e-57,2.7655748560912973e-37,6.1210067940265364e-79,5.6291378691479058e-51,3.8530832829657334e-124,1.6609645304116905e-22,5.4751472956483484e-106,1.6609645304091695e-22,2.2135094268667994e-71,3.745584375460265e-62,1.5142422651662101e-104,9.149752271275258e-106,6.5908195121471087e-47,1.677337402791846e-84,6.5871483190285983e-16,3.167159448973023e-17,1.2207943748777269e-20,1.9635953975915891e-30,2.2052865004905494e-33,1.2207943752702522e-20,3.9132124672608413e-36,3.469345875284731e-42,2.9497473894501352e-68,1.0442413687369236e-47,1.3403734574555787e-94,1.0043151176402518e-96
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,2.8521505818097409e-104,7.6419220971046479e-56,1.1091319063602442e-36,4.2775227119036018e-77,4.521629660790551e-50,1.0766586432241775e-121,3.3277163936869551e-22,3.5258415890057982e-104,3.3277163936768468e-22,3.5570502246771521e-70,6.0209174876658716e-61,2.1158655296415541e-102,1.2785038352756325e-103,5.2887175822643818e-46,5.3916511987489628e-83,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423882986e-20,7.8748800754736134e-30,8.8441852038148332e-33,2.4458423898728018e-20,3.1401004673575624e-35,3.029912101323539e-41,1.0311940430488677e-66,8.3793793385935317e-47,1.8729169433244387e-92,1.4064996544204399e-94
