Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.2458551116060945e-65,2.8897376103884975e-36,6.6201403087223622e-89,1.7391157727400175e-54,2.1905574344536574e-132,5.4889800419459697e-20,-6.0778330714225361e-106,5.4889800419459697e-20,2.4762793527585584e-72,1.2464968623781262e-70,1.4650779550692458e-112,1.6987540384749442e-113,1.1793572839110168e-51,1.1466272292787345e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421384901e-22,8.7653029286157585e-38,3.2456429548823198e-37,3.5532015421196864e-22,3.1838388968194961e-54,9.369628406770642e-34,5.390934698317639e-42,1.5834201377498417e-46,1.944772834459759e-77,2.0592366855435229e-52,1.8776101755360433e-98,2.5801393934170335e-106,-4.8401067483737123e-109
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.7871422463711388e-64,1.7454015167669953e-35,7.3155515079271896e-87,2.6281517533503114e-53,7.9042871749740772e-130,1.5369144117448715e-19,1.173334467561888e-104,1.5369144117448708e-19,6.9835039732872617e-71,3.9191855710121532e-69,2.9288089300648552e-110,3.3959462570905731e-111,1.4001329674570501e-50,5.9352727622301332e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643180183096e-22,5.2942429688752102e-37,1.9603683447469496e-36,9.948964317904738e-22,3.779853538285382e-53,5.6592555262341918e-33,6.4001176383078118e-41,1.8798659594048095e-45,1.1831185253485336e-75,2.4447257931957098e-51,1.7682052838896209e-96,5.1579066288512985e-104,4.8983903321008994e-107
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.5071127904285484e-63,8.403356972394892e-35,6.6187807173943977e-85,2.8272457266634683e-52,2.8620484420957072e-127,3.5129472268454212e-19,1.2389172989478751e-102,3.5129472268454174e-19,1.5190646528649204e-69,8.7434874144893611e-68,5.3024855380983153e-108,6.1482180457466981e-109,1.3746588501201409e-49,2.5915723705503618e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869900087e-21,2.5489500916283957e-36,9.4383297127682172e-36,2.2740489869353288e-21,3.7110826180747564e-52,2.7246878935059875e-32,6.28367337420088e-40,1.8457261853515565e-44,5.341341171863729e-74,2.4002462810366921e-50,1.5454205458375838e-94,9.3381732845437665e-102,1.0258322311877811e-104
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.7997677223914253e-62,3.6699667666247069e-34,5.0095269677182592e-83,2.5987259143343385e-51,8.6787894445936075e-125,7.4650128570465221e-19,9.7926087113486611e-101,7.4650128570465067e-19,2.8160898547585342e-68,1.6375584266532951e-66,8.035227606552373e-106,9.316825292075112e-107,1.2158701854071661e-48,9.6477741507812979e-81,4.076847284138252e-17,1.2070820217819832e-18,4.832354097415223e-21,1.1131934719206982e-35,4.1219665526699926e-35,4.8323540971764212e-21,3.2824105489431265e-51,1.1899427589041934e-31,5.5578378052454177e-39,1.6326353380697999e-43,2.016924294364027e-72,2.1229906540989904e-49,1.1529316773894892e-92,1.4150787820386076e-99,1.6486804618971432e-102
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.6528866576354302e-60,1.5321388823161642e-33,3.4807043907914227e-81,2.2232647322929845e-50,2.4142279685653403e-122,1.5369144117448725e-18,6.9406542555003186e-99,1.5369144117448661e-18,4.8401389462540325e-67,2.8284749499250261e-65,1.1172692268767109e-103,1.2954707322172235e-104,1.0220121524958225e-47,3.3238044760396527e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643184610763e-21,4.6473636126305396e-35,1.7208398946511069e-34,9.9489643174641307e-21,2.7590638463402561e-50,4.9677765424687093e-31,4.6716973349043204e-38,1.3725158299585558e-42,6.9985880556901293e-71,1.7845015653039357e-48,7.9528578816473198e-91,1.9676156721062561e-97,2.3574563312461688e-100
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7148814840699835e-59,6.2592872645125156e-33,2.3204935377183686e-79,1.8382382743826639e-49,6.44098255515982e-120,3.1177406638253155e-18,4.6707421329390565e-97,3.1177406638252894e-18,8.0221753444084529e-66,4.6995534323958214e-64,1.4901666188707258e-101,1.7278442781957466e-102,8.3790730996758047e-47,1.1030495210646438e-77,1.702683277493016e-16,5.0413425615600445e-18,2.0182184761334491e-20,1.8985996754469852e-34,7.0301924657604754e-34,2.0182184757261649e-20,2.2620472366514194e-49,2.0294986199019283e-30,3.8301393578222283e-37,1.1255788105206691e-41,2.3314486771723126e-69,1.4630421995107642e-47,5.2815325271820331e-89,2.624322878262047e-95,3.1875382357469088e-98
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,4.4009480749804563e-58,2.5301039942719968e-32,1.516179367202147e-77,1.4948248360368587e-48,1.6837715972036982e-117,6.2793931679862082e-18,3.064644754409854e-95,6.2793931679861027e-18,1.3062032935096162e-64,7.6614581997862545e-63,1.9476112724061168e-99,2.2582501517100377e-100,6.7855906379025909e-46,3.5941262693510131e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.064862565020817e-20,7.6744434476972035e-34,2.8417161976697874e-33,4.0648625633745074e-20,1.8318644994600881e-48,8.2035563562547869e-30,3.1017455567247774e-36,9.1202081108750594e-41,7.6143278475772136e-68,1.1848095070885611e-46,3.4428098245189737e-87,3.4299257245269971e-93,4.1942856541608437e-96
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,7.0875977777631528e-57,1.0173436919646488e-31,9.8120583822587483e-76,1.2056303840084057e-47,4.3591465890539882e-115,1.260269817630802e-17,1.9858441924287681e-93,1.2602698176307601e-17,2.1082173819273355e-63,1.2373275454019272e-61,2.5210085702704883e-97,2.9231028115340459e-98,5.4616336778557294e-45,1.160521593024512e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507440462913e-20,3.0858599565443127e-33,1.1426415846827973e-32,8.1581507374265499e-20,1.4744439172675653e-47,3.2986126803330004e-29,2.4965537066707837e-35,7.3487521561186386e-40,2.4634635107049815e-66,9.5363777061262643e-46,2.2236454611049573e-85,4.4397320289834698e-91,5.447435738012807e-94
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.1377169363626296e-55,4.0800032522984009e-31,6.3247652618625475e-74,9.6842788942215534e-47,1.12399964367028e-112,2.5249308192951759e-17,1.2788280692370197e-91,2.5249308192950073e-17,3.3878487360952416e-62,1.9889678905916854e-60,3.250141078417381e-95,3.7685300382581376e-96,4.3826170638867035e-44,3.7303929605268888e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727107100196e-19,1.2375678607564521e-32,4.5825038128893099e-32,1.6344727080552063e-19,1.1831483855582062e-46,1.3228902162863382e-28,2.0033255764141504e-34,5.9097742312074437e-39,7.9391369601378506e-65,7.6523425805961687e-45,1.4296451729775557e-83,5.7238026129766608e-89,7.034843673703887e-92
