Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CHOX(50),H2X(46),CO2X(24),COX(47)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0699165877029219e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-8.0194965541891401e-126,3.5548375585465039e-69,2.9577211023711344e-50,2.9702598880256282e-99,3.9975748765608852e-57,8.0948972270213552e-158,3.5352793591846974e-37,-3.0949430886336869e-141,3.5352765893887675e-37,2.7410903628514844e-91,7.4462327314287704e-76,3.7555505257284592e-137,1.1467276218238523e-138,1.2423408819136922e-63,6.2470288980382338e-111,2.7484436960125257e-18,1.2025211483152662e-18,2.6123956690975805e-22,2.6123956691000754e-22,1.2475428259824841e-34,9.4733838710987288e-41,1.2040330898623928e-49,5.4674776019538594e-38,8.6170402791239199e-79,1.7323342118655245e-54,-3.1998252826787624e-112,2.2932278304505503e-66,-3.8803025698310585e-113,6.1781643483448101e-116
2.9957664455681816e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,2.420730286259024e-123,7.9629406821026611e-68,3.5113976113189057e-49,5.4160504484678612e-97,6.0411351534284762e-56,4.1267612295571047e-155,9.8987911802265109e-37,5.9746332276085136e-140,9.8987744506590912e-37,7.7303133976618098e-90,2.3412147978235728e-74,1.2365051733728996e-134,3.7752195377216107e-136,1.474907094792097e-62,3.2336420720414981e-109,7.6956423488350646e-18,3.3670592152827452e-18,7.314707873469185e-22,7.3147078734842529e-22,7.5351531440608007e-34,1.1246793770537661e-39,2.3828845154326045e-48,3.3023564710524125e-37,8.681315987867457e-77,2.0566271760257792e-53,5.3838063247669602e-110,5.1298465326567034e-65,6.5287307141242876e-111,2.0339552576600348e-113
6.8474661612987e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,1.8791182164418519e-120,1.5743076302949969e-66,3.4475025031468815e-48,9.081397565769424e-95,6.4987775252793363e-55,7.2783837600793981e-152,2.2625850720347577e-36,6.3086002626716151e-138,2.2625770174681921e-36,1.6815120151536749e-88,5.2231214283203434e-73,4.1466481877294358e-132,1.2659544016184587e-133,1.4480725312894738e-61,1.4119346804614625e-107,1.7590039654480115e-17,7.6961353492177019e-18,1.6719332282196229e-21,1.671933228226877e-21,3.6278462506590419e-33,1.104215280037043e-38,4.3591317304908791e-47,1.5899424858565718e-36,7.2747155971741625e-75,2.0192087564174066e-52,2.0800363763153173e-107,1.0135687499025677e-63,2.5223785104762592e-108,6.8205162253521047e-111
1.4550865592759738e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,1.1631564646554127e-117,2.802184646620025e-65,3.0492665082895162e-47,1.3225726449553822e-92,5.9734961864774557e-54,9.5723621210641532e-149,4.8080113392739443e-36,4.9864357317643382e-136,4.8079761628656294e-36,3.117239886810075e-87,9.7823283752476538e-72,1.2084819709228123e-129,3.6890180497693849e-131,1.2808037542125505e-60,5.2562788011063793e-106,3.7378834265770113e-17,1.6354287617087612e-17,3.5528581099585668e-21,3.5528581099902468e-21,1.5843708254814364e-32,9.7666306123441337e-38,7.4482850148188159e-46,6.9436965463012809e-36,5.2924694451178362e-73,1.7859672771054442e-51,6.4355047649332012e-105,1.8035854001335361e-62,7.8040841557287134e-106,1.9875129334753528e-108
2.9957664455681814e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,6.5254248679304204e-115,4.7269355680286121e-64,2.5630766514610573e-46,1.8018979646416037e-90,5.1104517511933544e-53,1.1055589595509817e-145,9.8989213106122189e-36,3.5342273307028776e-134,9.898774456031988e-36,5.357738907149132e-86,1.6896539552696754e-70,3.294464291225361e-127,1.0054370784042187e-128,1.0765927282628563e-59,1.8108677435125147e-104,7.6956423488349641e-17,3.3670592152827417e-17,7.3147078734105925e-21,7.3147078735428527e-21,6.6143949921617407e-32,8.2093935837378888e-37,1.2304558356804703e-44,2.8988566171937646e-35,3.6035615717940076e-71,1.5012131071002628e-50,1.8048895875657922e-102,3.04199242894022e-61,2.1887187960624244e-103,5.4169406876411009e-106
6.0771262181525965e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,3.4941733163006481e-112,7.7645247167672939e-63,2.1013403260744266e-45,2.3781446676836035e-88,4.2254203342614359e-52,1.2008661347194145e-142,2.0080971000728358e-35,2.378397555619164e-132,2.0080371051850644e-35,8.880059320472831e-85,2.8073853101719989e-69,8.7011303462855575e-125,2.6542682550792821e-126,8.8265576137894169e-59,6.0096098057739986e-103,1.5611160193350682e-16,6.8303201224306996e-17,1.4838407400211199e-20,1.4838407400751528e-20,2.7021624099383982e-31,6.7304782516290375e-36,1.9999198895744131e-43,1.1842775122602833e-34,2.3774222164400693e-69,1.2307852015475125e-49,4.8319151868249523e-100,4.9964246477290613e-60,5.8594739951127452e-101,1.4300262060824122e-103
1.2239845763321428e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,1.8291286541736152e-109,1.2587046702891773e-61,1.7016800775772683e-44,3.0904823066785303e-86,3.4360416416987872e-51,1.2660928119530586e-139,4.0445989370718965e-35,1.5605858840147045e-130,4.0443564281431718e-35,1.4458874597770287e-83,4.5767465788491743e-68,2.2637118469259555e-122,6.8990398317237513e-124,7.1479751632626525e-58,1.9581438601321521e-101,3.1442195882381414e-16,1.3756841936726598e-16,2.9885806453398638e-20,2.9885806455582775e-20,1.0922299517217115e-30,5.4503884858536879e-35,3.2248370282508294e-42,4.7870390281612253e-34,1.5445878142632753e-67,9.9672176140651517e-49,1.2646504504199601e-97,8.0992362971763731e-59,1.5335919935383988e-98,3.7169595564755482e-101
2.4565284853659088e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,9.4687054351099893e-107,2.0271385617858432e-60,1.3695962313178235e-43,3.9856079616434231e-84,2.7712920629972804e-50,1.31538987273042e-136,8.1179702069733323e-35,1.0112782260702027e-128,8.1169950892368906e-35,2.3336681893049816e-82,7.3914578717910561e-67,5.8497125150994737e-120,1.7795077549778602e-121,5.7533122126727953e-57,6.3227278662886847e-100,6.3104267260439983e-16,2.7609885565318319e-16,5.9980604558118365e-20,5.9980604566900931e-20,4.3915890812103105e-30,4.3867419122134495e-34,5.1795580558131634e-41,1.9248473180890894e-33,9.9592144061793138e-66,8.0224837825522739e-48,3.2732374910414145e-95,1.304298107635598e-57,3.969326726087128e-96,9.5873607299179589e-99
4.921616303433441e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,4.8743155222742759e-104,3.2540331256143837e-59,1.098912173392195e-42,5.1203609033054339e-82,2.2260524940222763e-49,1.3566312987466388e-133,1.6266183130389301e-34,6.5128870147269165e-127,1.6262272472134345e-34,3.7501421307041727e-81,1.1881552401799001e-65,1.5086096564683486e-117,4.5723807012455027e-119,4.6166706258281822e-56,2.0323843746768984e-98,1.2642841001654556e-15,5.5315972822501459e-16,1.2017020076093729e-19,1.2017020079616111e-19,1.7610475924556057e-29,3.5197552996909388e-33,8.3025922561057293e-40,7.7194984863271661e-33,6.3971725636224501e-64,6.437537866187916e-47,8.4249211696276172e-93,2.0934982594800303e-56,1.0216571562276507e-93,2.4634376025976698e-96
