Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),H2X(49),COX(50),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-8.0770223114605724e-124,8.8834005774125531e-66,8.0934965046854205e-42,4.1383901518318783e-92,8.4918763242425359e-58,2.0000502178330937e-141,7.3429566300640159e-25,-1.8330009774695931e-118,7.3429566300639433e-25,2.7599141730896699e-80,3.0040469001119494e-72,8.953811230562418e-120,5.4103069586801552e-121,1.1162471742999351e-54,1.7856728658545717e-95,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778910384e-23,5.3970087779025277e-23,5.7465681099821786e-35,8.8369939006312799e-43,7.1483890316525339e-49,6.4538774293740659e-38,2.3581486928218467e-54,2.2974126435709726e-79,5.6028184730012462e-58,7.9257138674167297e-110,-9.0734395423154917e-112
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.464304875307453e-121,1.9872641050594706e-64,4.8884723053905458e-41,4.5761890166586194e-90,1.2832923501113652e-56,7.2216982863759569e-139,2.0560278564179483e-24,3.5380490946067229e-117,2.0560278564179042e-24,7.7833995543327758e-79,9.4452041078595779e-71,1.791139540295237e-117,1.0822893703352391e-118,1.3252086453063803e-53,9.24315702739297e-94,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624578076311e-22,1.5111624578145696e-22,3.4709270868882831e-34,1.0491279010160388e-41,8.4925702598284808e-48,3.898141967269655e-37,2.7995941280612338e-53,1.3986005595600355e-77,6.6516666102111773e-57,1.5854767458703315e-107,9.1890080390207242e-110
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.1906106186817961e-119,3.9265723124698089e-63,2.3535894084033277e-40,4.1463695982992492e-88,1.3805073502637527e-55,2.618688072402989e-136,4.6994922432411369e-24,3.7358364167389678e-115,4.6994922432409224e-24,1.6930594137719745e-77,2.1071730784296183e-69,3.2474985906068812e-115,1.9622888813079591e-116,1.3010977062942456e-52,4.0359240983202096e-92,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856178372453e-22,3.4540856178706509e-22,1.6711019290713901e-33,1.0300399629701719e-40,8.3507709392369141e-47,1.8767875563535567e-36,2.7486581161768688e-52,6.3234384824860343e-76,6.5306468212289082e-56,2.8746132737283229e-105,1.9271839643159878e-107
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.9971767208316131e-116,6.9871855498368831e-62,1.0278747017638444e-39,3.1474211711832962e-86,1.2689240953523592e-54,7.9639177852315365e-134,9.9864210168878903e-24,2.9528675609985097e-113,9.9864210168869529e-24,3.1386468177214357e-76,3.9465019702215481e-68,4.9354971943157298e-113,2.9822557263441132e-114,1.150806186669766e-51,1.502473349109559e-90,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319378667114e-22,7.3399319380126016e-22,7.2981407007926574e-33,9.1105862639592624e-40,7.4087813900249086e-46,8.196424334184696e-36,2.4311569759814283e-51,2.394807358028233e-74,5.7762851120323465e-55,4.3687919644204259e-103,3.1063930156149682e-105
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,5.7471563471283421e-114,1.1784958459583531e-60,4.291177657802689e-39,2.1996374216340434e-84,1.0855912789961661e-53,2.2282147604283052e-131,2.0560278564182908e-23,2.0928879552623977e-111,2.0560278564178999e-23,5.3945319518360986e-75,6.8166007267301866e-67,6.9025027028312419e-111,4.1708114504309216e-112,9.6732194102775076e-51,5.1762484950185497e-89,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624577806598e-21,1.5111624578415658e-21,3.046829692916397e-32,7.6579957664546213e-39,6.2655786337601887e-45,3.4218458120457978e-35,2.0435339261487081e-50,8.3586675767236189e-73,4.855318974272134e-54,6.109941340204698e-101,4.4678579340512368e-103
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.5725300795150873e-111,1.9356869087381276e-59,1.753088636895363e-38,1.4834422160479976e-82,8.9758786271678375e-53,6.013237205450116e-129,4.1707993658778987e-23,1.40841764941825e-109,4.1707993658763012e-23,8.9410410935843394e-74,1.1325884054693054e-65,9.3125926776124222e-109,5.6270993066100728e-110,7.9306897015066134e-50,1.717808151567451e-87,1.6540795139779909e-16,7.952961294213526e-18,3.0655009857210182e-21,3.06550098596984e-21,1.2447290301446449e-31,6.2784860604928117e-38,5.1993009662099383e-44,1.3979356658584175e-34,1.6754125771850308e-49,2.8170711313043022e-71,3.9806892369633146e-53,8.2432991964183796e-99,6.111347920193717e-101
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.2338004398432009e-109,3.1378350652673794e-58,7.0862851485875431e-38,9.9146166375873707e-81,7.2990354314365319e-52,1.6077507396830913e-126,8.4003423847995332e-23,9.2411433518606891e-108,8.4003423847930739e-23,1.4558167606193736e-72,1.8464049502766509e-64,1.2449040923363204e-106,7.5222864322402996e-108,6.4224781335069245e-49,5.5972277626248296e-86,3.3314559225189871e-16,1.601793612778216e-17,6.1741780414112597e-21,6.1741780424170382e-21,5.0313912081018973e-31,5.0844782893604898e-37,4.3115990612376904e-43,5.6506794685110443e-34,1.3567925420514278e-48,9.4126936818392423e-70,3.2236740900146977e-52,1.1019613182434429e-96,8.2264506292039523e-99
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,1.1490753908161219e-106,5.0533891788278417e-57,2.8493806448287928e-37,6.7031960567704727e-79,5.8869365002733292e-51,4.347398375100113e-124,1.6859428422652474e-22,5.9881233633089219e-106,1.68594284226265e-22,2.3496941207041658e-71,2.9819489228439095e-63,1.6831968612474944e-104,1.0170654101054132e-105,5.1693691387167859e-48,1.807310926761522e-84,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532152029845e-20,1.2391532156074039e-20,2.0230982277916704e-30,4.0924264373365821e-36,3.633051081154751e-42,2.2721133588247784e-33,1.0920646745851641e-47,3.1824782286505028e-68,2.5947074297634714e-51,1.489928295081686e-94,1.1163839560732996e-96
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,3.2216038334307241e-104,8.1118108077883327e-56,1.1427423573760188e-36,4.6894862854348525e-77,4.7287075409178829e-50,1.216104391830804e-121,3.3777600498397042e-22,3.8561838164867899e-104,3.3777600498292883e-22,3.7758953716169241e-70,4.7933957899267613e-62,2.3545075858820874e-102,1.4227024055000381e-103,4.1480931685347014e-47,5.8094394774270528e-83,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240370219408e-20,2.4826240386438459e-20,8.1135123184693115e-30,3.2839080170294835e-35,3.1764089853627323e-41,9.1121907733860756e-33,8.7631312305016809e-47,1.1137756752275488e-66,2.0821118820579579e-50,2.0841575652950483e-92,1.5651592190943071e-94
