Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH2X(134),CHX(26),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),CO2X(34),HOCXO(25),HO2X(135),C2H6X(39)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.190675392338528e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.8904122685591899e-128,2.6947062582124344e-75,2.881856375693268e-60,3.0689918369666411e-107,1.0527651716595163e-55,-5.4231437230749326e-120,1.4995290669583546e-42,0.0,1.1446234053975642e-49,-4.1919477184229627e-116,4.4798811988855132e-77,7.5413438522858713e-102,-2.1340404569231746e-115,1.5364729880829801e-65,-7.434851209903265e-157,3.0586536499034535e-18,3.8031282739487334e-19,3.1564247923080522e-23,7.4340548946379134e-40,3.1564247923094622e-23,7.0540008062189535e-36,3.1123029256482621e-45,2.4865991113866487e-76,6.4911070035541738e-81,8.3154174027712045e-91,7.1040203584305835e-124,7.7777990766118787e-92,-5.3376779931167467e-145,-1.046450611514547e-130,1.0283680110702845e-77,2.3520010555063667e-72
3.3338910985478785e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,5.3369924030864249e-126,8.4725890220416537e-74,4.3550613389024702e-59,6.1350684810458215e-105,1.5909387274045115e-54,5.4888055409598566e-118,9.0571555644265071e-42,0.0,6.9135253686027798e-49,1.2501083793983856e-114,1.4085463128701645e-75,8.3333949154753138e-100,2.1597043932419457e-113,1.8241007314516021e-64,-4.4400178489685853e-155,8.5642302197288222e-18,1.0648759167056455e-18,8.8379894184602596e-23,4.4901691563599229e-39,8.8379894184687796e-23,4.2606164851402333e-35,3.6949260318873753e-44,7.0126073250465835e-75,3.9488571599593954e-79,9.1887677397582315e-89,2.5633367074750938e-121,4.4796147686471801e-90,1.7686952160913158e-142,3.3689158213143036e-128,3.2333535377164649e-76,6.6330192966669333e-71
7.62032251096658e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,2.2246099950774803e-123,1.8901877839676142e-72,4.6849762500577606e-58,1.1106916106670869e-102,1.7114592842533719e-53,1.1494319214058356e-115,4.3606305267119635e-41,0.0,3.3285648628983535e-48,1.6127668143892316e-112,3.1423893389944206e-74,7.5394290983100647e-98,4.5227530522810319e-111,1.7909129149079329e-63,1.0008258798095588e-152,1.9575383359376172e-17,2.4340020953271899e-18,2.0201118670755536e-22,2.1618231633586393e-38,2.0201118670796556e-22,2.0513034317244505e-34,3.6277002856646648e-43,1.5253952657973441e-73,1.7827028794660244e-77,8.3133061108258502e-87,9.2812307879177073e-119,2.0088470612675362e-88,1.480703274734615e-139,1.7593066551565532e-125,7.213433874153356e-75,1.4428265802879439e-69
1.619318533580398e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,7.160457969898733e-121,3.5401123711891202e-71,4.3063003221395807e-57,1.682997000293815e-100,1.5731259406949388e-52,1.8471968963367979e-113,1.9044019150340808e-40,0.0,1.4536717248572174e-47,1.3842088802377752e-110,5.8853474568755636e-73,5.7059535969746433e-96,7.2683186868143186e-109,1.5840421917906921e-62,1.7161694140690398e-150,4.1597689638657292e-17,5.1722544525702778e-18,4.2927377175309508e-22,9.4412497161687942e-38,4.2927377175488672e-22,8.9585809957498456e-34,3.2086598148373354e-42,2.8278257428466218e-72,6.7311468583743118e-76,6.2916353860865241e-85,2.8142259239141236e-116,7.5577843705789944e-87,9.535441139672179e-137,6.2069503113496594e-123,1.3509963319915918e-73,2.6747573168076121e-68
3.333891098547878e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,2.0491384228711752e-118,6.1146636460704996e-70,3.6841305880424861e-56,2.33983535307899e-98,1.3458423622514261e-51,2.6409591164760495e-111,7.9505031129859245e-40,0.0,6.0687932954386827e-47,1.0174385495623394e-108,1.0165474149152742e-71,3.9640646974106259e-94,1.0391613189488639e-106,1.3314829078988457e-61,2.5104541180644583e-148,8.5642302197165274e-17,1.064875916705645e-17,8.8379894184271144e-22,3.9415359051177989e-37,8.8379894185019135e-22,3.7400312021238843e-33,2.6970719014856493e-41,4.8603099382851484e-71,2.3353475284507107e-74,4.37095207647478e-83,7.8274535536254624e-114,2.6170207251291823e-85,5.4586553830771583e-134,1.85195263343537e-120,2.3335101944478167e-72,4.5972244241245035e-67
6.763036228482839e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999839,0.10000000000000001,5.542139695366279e-116,1.0159605017253817e-68,3.046110414019476e-55,3.1199448267480211e-96,1.1127684911400321e-50,3.56990682684143e-109,3.2480399401713844e-39,0.0,2.4793000810449462e-46,6.9653754292481877e-107,1.6890087336196358e-70,2.6420323103422575e-92,1.4046833222635022e-104,1.0916301326990852e-60,3.4285046438817251e-146,1.7373152731396415e-16,2.1601768596028783e-17,1.7928492820160925e-21,1.6102460263818735e-36,1.7928492820466489e-21,1.5279247691813006e-32,2.2112224800661399e-40,8.0556072836299606e-70,7.777682250189566e-73,2.9132210229937357e-81,2.0877533674069131e-111,8.7069927192797276e-84,2.9530178439601403e-131,5.1097713669275924e-118,3.8771620886522092e-71,7.6195623384335552e-66
1.362132648835276e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999659,0.099999999999999992,1.4580385634429314e-113,1.6562720265732107e-67,2.4770464000806553e-54,4.0755262692666508e-94,9.0488485658915469e-50,4.6949056210644721e-107,1.3129096754982596e-38,0.0,1.0021727333635086e-45,4.6085044266000834e-105,2.7535105195459555e-69,1.7253482592757543e-90,1.8473472294875521e-102,8.8403038387353114e-60,4.530916705943504e-144,3.4990997754669362e-16,4.3507787453973394e-17,3.6109499623394466e-21,6.5088718947565411e-36,3.6109499624629619e-21,6.1761161214484888e-32,1.7907052698884763e-39,1.311646818093159e-68,2.5387649829036213e-71,1.9024448721660947e-79,5.4548151003567286e-109,2.840660963602518e-82,1.5538540059813493e-128,1.3574784626093174e-115,6.3207527496237402e-70,1.240648202529951e-64
2.73379070080926e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999921,0.099999999999999312,0.099999999999999964,3.7836806493350024e-111,2.6748837419777756e-66,1.9978276588504331e-53,5.2698077724975462e-92,7.2982241852092658e-49,6.0911079952617871e-105,5.2791520612355031e-38,0.0,4.0296924837558049e-45,2.9985453777663163e-103,4.4469268439128828e-68,1.1153817488993817e-88,2.3967240149179515e-100,7.1154456183273506e-59,5.8922739133910754e-142,7.0226687800867934e-16,8.7319825169862425e-17,7.2471513228925215e-21,2.6171887617682517e-35,7.2471513233891721e-21,2.4833890567242988e-31,1.4413153499529236e-38,2.1170032525461445e-67,8.2048494520521343e-70,1.2298689712603301e-77,1.4107116841336751e-106,9.1781798375092448e-81,8.0648648129888905e-126,3.5397768525739283e-113,1.0208032574022671e-68,2.0024112007308268e-63
5.477106804757229e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999984,0.099999999999998604,0.099999999999999922,9.752188989526714e-109,4.2997974881928807e-65,1.6047638222015448e-52,6.7795707734341684e-90,5.8623305596416638e-48,7.8492987736451923e-103,2.1171760923399982e-37,0.0,1.6160869184350069e-44,1.9349256069660938e-101,7.1483050236068991e-67,7.1743695611155286e-87,3.0885356474880502e-98,5.70969699337204e-58,7.6019371700548749e-140,1.4069806789187582e-15,1.7494390060163973e-16,1.4519554043624141e-20,1.0496097500535081e-34,1.4519554045615941e-20,9.9595002615414353e-31,1.1565647347309902e-37,3.4019673944272538e-66,2.6385564422320822e-68,7.9107754096543878e-76,3.6298133473854321e-104,2.9511874109159018e-79,4.1573870897367722e-123,9.145484495390396e-111,1.6409114225028582e-67,3.2178210431724723e-62
