Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),H2OX(23),CHOX(61),COX(58),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.896024314620206e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0445543666489728e-122,4.0412293157515009e-65,1.8274134398169073e-46,1.9719008744450386e-74,1.672498703581727e-58,4.9172830858842763e-49,4.6038806981810488e-29,-4.2847964951368047e-114,4.6038806981507802e-29,3.535545724789301e-74,2.0514933998095552e-73,4.6566605742283748e-75,6.1109632069701127e-106,4.9172832243597025e-49,7.561623425417003e-92,2.7988428517010522e-18,8.1638146098571453e-19,1.850151759737074e-23,2.2422983988477905e-37,1.8501517597397286e-23,1.3385561772475372e-35,3.9807657044054599e-43,4.3448657605352643e-50,3.0235711064577692e-78,1.4428409789370843e-62,7.9611961772643261e-54,3.0367598591643323e-68,2.9496031176522853e-92,5.2343396786078933e-111
2.4908868080936578e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.7058844622377476e-120,8.2041366834819362e-64,1.1040092595151728e-45,2.341040718154766e-73,2.5274800408450763e-57,2.9700389838929656e-48,1.2890865955005046e-28,-4.0340789010742681e-114,1.2890865954822227e-28,5.3429167042644984e-73,6.4502234343360303e-72,5.5283874337567148e-74,2.0110337799899784e-104,2.9700391482909904e-48,2.1324987938525041e-90,7.8367599847629429e-18,2.2858680907600011e-18,5.1804249272595431e-23,1.3543482320934558e-36,5.1804249272755786e-23,8.0848790784113065e-35,4.7259649166600975e-42,5.1915371363041495e-49,7.2182409833296091e-77,1.713298300637735e-61,9.4515320964336748e-53,3.605241304515746e-67,6.5981441900804191e-91,7.5039139141348005e-109
5.693455561356932e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,5.5477912074205149e-118,1.5270261056626498e-62,5.3178914107555511e-45,2.2984476592953428e-72,2.7189476924216328e-56,1.4299459214034402e-47,2.9464836469045454e-28,8.2955460954350788e-114,2.9464836468165272e-28,5.7476659792366353e-72,1.4390093634530854e-70,5.4278035654222224e-73,6.5592700511533736e-103,1.4299460828103954e-47,4.6386506727955088e-89,1.7912594250886704e-17,5.2248413503085748e-18,1.1840971262287423e-22,6.5206037316902226e-36,1.1840971262364625e-22,3.8925210151901259e-34,4.6399801094638182e-41,5.1676442913501475e-48,1.6124825931065058e-75,1.6828836653622282e-60,9.2795702480542376e-52,3.5396472909610785e-66,1.3036821037280989e-89,7.6846668844890839e-107
1.2098593067883482e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,1.0417091563839133e-115,2.6341932477449813e-61,2.3247139668144085e-44,2.032950925606488e-71,2.4991813627564364e-55,6.2449495193653819e-47,6.2612777498695952e-28,4.8995015331166057e-112,6.2612777494851964e-28,5.2830952715762682e-71,2.6951052728133531e-69,4.8008307858199022e-72,2.085183133643805e-101,6.2449509469916194e-47,8.5992765859568217e-88,3.8064262783134122e-17,1.1102787869405722e-17,2.5162063932274954e-22,2.847718953972232e-35,2.5162063932612105e-22,1.6999659852505101e-33,4.1040093798724515e-40,4.696247177699187e-47,3.5572608649015649e-74,1.4898385980445687e-59,8.2076747769657809e-51,3.1307779425542346e-65,2.3198326481428194e-88,7.2115023937902335e-105
2.490886808093658e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,2.0480666187228503e-113,4.3734913058656484e-60,9.724036134111044e-44,1.7088177475408816e-70,2.13810227262009e-54,2.6071434923989571e-46,1.2890865956427568e-27,1.7457359570452662e-110,1.2890865954822781e-27,4.5197992353868742e-70,4.6551241104343004e-68,4.0353875474443146e-71,6.6123782735306495e-100,2.607144692404825e-46,1.4779959333778494e-86,7.8367599847628588e-17,2.2858680907600012e-17,5.1804249271977066e-22,1.1888665997610812e-34,5.1804249273384593e-22,7.0970216130824168e-33,3.4496663599845715e-39,4.1586449951959451e-46,8.4986895431175029e-73,1.2545652248821583e-58,6.8990451664894953e-50,2.6316075024379469e-64,3.9127368350494241e-87,7.0908426702002066e-103
5.052941810704277e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.556615619667836e-111,7.1267044580990846e-59,3.9879601914579074e-43,1.4009920319952714e-69,1.7678243058011669e-53,1.0651031857576462e-45,2.6150042372055009e-27,5.8663321044879392e-109,2.6150042365498923e-27,3.737057416162086e-69,7.7345582563138251e-67,3.3084545195820016e-70,2.1028587574985779e-98,1.0651041695949489e-45,2.449669871011762e-85,1.5897427397661599e-16,4.6370466983988583e-17,1.0508861995028955e-21,4.8569079280990526e-34,1.0508861995603978e-21,2.8993634800806969e-32,2.8282435754311759e-38,3.755802421056548e-45,2.3344159331536875e-71,1.0322845950168075e-57,5.6562539960335154e-49,2.1575508225731655e-63,6.4266820010724569e-86,7.8926770421537929e-101
1.0177051815925516e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.099999999999999686,0.099999999999999964,1.1911349595058032e-108,1.1506799327357553e-57,1.6244266890784881e-42,1.134559670910464e-68,1.4375653661211193e-52,4.3053173731122509e-45,5.266839521335585e-27,1.9230785916379411e-107,5.266839518685511e-27,3.0389130339288448e-68,1.2609281810251985e-65,2.6792722479854124e-69,6.705245936278954e-97,4.3053253404816537e-45,3.9886523578337623e-84,3.2018762223458466e-16,9.3394039136765621e-17,2.1165736130254748e-21,1.9632397997595128e-33,2.1165736132579086e-21,1.1719679282931007e-31,2.2903828259575823e-37,3.6024346189790797e-44,7.5899185621891889e-70,8.4198995796199779e-57,4.580581046477549e-48,1.747240589617991e-62,1.0417928469209522e-84,1.0322972915875141e-98
2.0425271826367996e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999921,0.099999999999999367,0.099999999999999922,3.6969146114527085e-106,1.8494435710159121e-56,6.6317051922315417e-42,9.1319232797950115e-68,1.1594485470402855e-51,1.7311491810042187e-44,1.0570510093614142e-26,6.2282127503564693e-106,1.0570510082958307e-26,2.4509934647033336e-67,2.0364022999579995e-64,2.1565113974847756e-68,2.1416127947696955e-95,1.731155593836015e-44,6.437701013659007e-83,6.4261431875049759e-16,1.8744118344231935e-16,4.2479484398959517e-21,7.8941005662900883e-33,4.2479484408305573e-21,4.7124222689910576e-31,1.8434958983742856e-36,3.8024588789929422e-43,2.9396800670006853e-68,6.8739623431700397e-56,3.6868499864135462e-47,1.4063312253186957e-61,1.6777752635875646e-83,1.6029362520844401e-96
4.092171184725295e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999838,0.099999999999998729,0.099999999999999825,1.3473777222204669e-103,2.9658058463989393e-55,2.7397845205068169e-41,7.3277933296253065e-67,9.313321263096616e-51,6.9426824972339351e-44,2.1177851254244801e-26,2.0050076209645553e-104,2.1177851211510135e-26,1.9687712587220824e-66,3.2734569629397919e-63,1.7304645855635523e-67,6.8464595986855528e-94,6.9427339561665223e-44,1.0345212791310566e-81,1.2874677117822257e-15,3.7553547205342556e-16,8.5106980929381765e-21,3.1658871409903399e-32,8.5106980966863747e-21,1.8898846983278031e-30,1.47928380827888e-35,4.5002783207360792e-42,1.3388429899681533e-66,5.6714249539483368e-55,2.9584646975677914e-46,1.1284922283109757e-60,2.6932008702407581e-82,2.922432525420365e-94
