Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),COX(50),CHOX(53),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32665673491436e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-9.0701164551788049e-124,9.4127215363624349e-66,8.3315405302636169e-42,4.5144399966001486e-92,8.8692592877295279e-58,2.245962398055001e-141,7.4501587477856489e-25,-1.9995353783831861e-118,7.4501587477855727e-25,2.9246495346376924e-80,2.3874573608386451e-73,9.9100295809608831e-120,5.9880983217979703e-121,8.7436894740769434e-56,1.919882799112225e-95,2.9546266505694332e-18,1.4206107501034378e-19,5.4758013950205891e-23,5.4758013950324157e-23,5.9155848177711247e-35,9.2297140487723363e-43,7.4661539829162055e-49,6.6436973521685523e-38,2.4701134261876033e-79,5.8518103591780143e-58,2.4629459252574896e-54,8.7721370101531662e-110,-3.3613673093490618e-112,-1.0042433551625433e-111
2.0514638857760205e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6443624916340016e-121,2.1055950552081544e-64,5.0322509153519229e-41,4.9920712213886628e-90,1.3403224635507294e-56,8.1097086566625855e-139,2.0860444493800064e-24,3.8595021568030487e-117,2.0860444493799605e-24,8.2479796315387973e-79,7.5065479632410055e-72,1.9824433299085133e-117,1.1978839699269317e-118,1.0380508141238926e-54,9.9378662943741609e-94,8.2729546215944087e-18,3.9777101002896261e-19,1.5332243906038501e-22,1.5332243906109934e-22,3.5730131761023026e-34,1.0957516361159602e-41,8.8701791086670475e-48,4.01279319970294e-37,1.5037512182101879e-77,6.9472698084624364e-57,2.9240094017839347e-53,1.7548145908349706e-107,3.4042159458824483e-110,1.0170448307349399e-109
4.68906031034519e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.9519862498204047e-119,4.1603071037213496e-63,2.422812638809686e-40,4.5232882293337019e-88,1.441857743868332e-55,2.940756537347644e-136,4.7681015985829871e-24,4.0752591732664111e-115,4.7681015985827667e-24,1.7941157282616256e-77,1.6746695564767769e-70,3.5944275444400121e-115,2.171919404458768e-116,1.0191644443589887e-53,4.3392613524224454e-92,1.8909610563644341e-17,9.0919088006620029e-19,3.5045128927997744e-22,3.5045128928341628e-22,1.7202519842606592e-33,1.0758154206866009e-40,8.7222684923530384e-47,1.9319871885003146e-36,6.799000769771111e-76,6.820871859801368e-56,2.8708097683666802e-52,3.1817070406896405e-105,7.1397179051828875e-108,2.1330647951694622e-107
9.964253159483528e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,2.242904585643563e-116,7.4030491838860635e-62,1.0581063217060987e-39,3.4336811418440733e-86,1.3253156768162728e-54,8.9437739240809134e-134,1.0132215896989335e-23,3.2211529788205328e-113,1.0132215896988372e-23,3.3259881935188142e-76,3.1364707367716852e-69,5.4629905614432092e-113,3.3009916209583207e-114,9.0143940846665371e-53,1.6153982032388449e-90,4.0182922447744132e-17,1.9320306201406754e-18,7.4470898971609877e-22,7.4470898973111689e-22,7.5127918841818124e-33,9.5154649701180402e-40,7.7387168684434825e-46,8.4374956216476154e-36,2.5750245465912603e-74,6.0329859886992476e-55,2.5391987266652149e-51,4.8357173199017381e-103,1.1508883780291302e-105,3.4383984292075578e-105
2.0514638857760207e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,6.4548294267494117e-114,1.2486328533172552e-60,4.4173888584086119e-39,2.3999024067274072e-84,1.1338354641841109e-53,2.5025816688610885e-131,2.0860444493803591e-23,2.2830391584023455e-111,2.0860444493799565e-23,5.7165239108959302e-75,5.4174732013328157e-68,7.6408797093186903e-111,4.616972995226586e-112,7.5771413710315713e-52,5.5652917393337267e-89,8.2729546215943406e-17,3.9777101002896261e-18,1.5332243905760863e-21,1.5332243906387838e-21,3.1364423194335729e-32,7.998320658502327e-39,6.5451805211013561e-45,3.5224883220739626e-35,8.9884646420718863e-73,5.071091724893409e-54,2.1343495236410861e-50,6.7635361860377003e-101,1.6554409156856675e-103,4.945801483379693e-103
4.161541025431356e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.766462018073658e-111,2.0508835310124982e-59,1.8046501436585278e-38,1.6187752536203733e-82,9.3747708797920111e-53,6.7548012899536227e-129,4.2316901687438325e-23,1.5363806920095571e-109,4.2316901687421874e-23,9.4747191519282591e-74,9.0012127117729269e-67,1.0310519498764491e-108,6.23009285534377e-110,6.2121982627758006e-51,1.846917419995143e-87,1.678227937523407e-16,8.0690690605875229e-18,3.1102551922470421e-21,3.1102551925031821e-21,1.2813386980654345e-31,6.5575048763109729e-38,5.432260115860656e-44,1.4390514093770011e-34,3.0298440634622404e-71,4.1575930964330133e-53,1.7498686843605884e-49,9.1266417437647713e-99,2.2647749955414039e-101,6.7662502712248648e-101
8.381695304742028e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.7574889951929868e-109,3.3245708203190195e-58,7.2947059176397986e-38,1.0822650871439934e-80,7.6234079866024051e-52,1.8066082683653047e-126,8.5229816074732677e-23,1.0080755679070444e-107,8.5229816074666179e-23,1.5427123977118492e-72,1.4674248387007975e-65,1.3787550504956029e-106,8.3310758375169408e-108,5.0307991751516806e-50,6.0179115165034518e-86,3.380092888251302e-16,1.625178698118331e-17,6.2643167953928764e-21,6.2643167964282368e-21,5.1793732260394419e-31,5.310434811050723e-37,4.5062881633431763e-43,5.8168758314742227e-34,1.0126963343183967e-69,3.3669359436087198e-52,1.4170890175256439e-48,1.220443198351364e-96,3.0495999600127875e-99,9.110996298725599e-99
1.682200386336337e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,1.2919961836201925e-106,5.354118943271734e-57,2.9331864550279366e-37,7.3215744021142916e-79,6.1485547171638285e-51,4.8880790430473168e-124,1.7105564484942091e-22,6.5321796560344275e-106,1.710556448491536e-22,2.4899440292821886e-71,2.369894994796374e-64,1.8653059213331602e-104,1.1271041274578567e-105,4.0492247811488905e-49,1.9431471616472498e-84,6.7838227897068914e-16,3.2617222822374839e-17,1.2572440000900239e-20,1.257244000506338e-20,2.082601055336311e-30,4.2742956632477537e-36,3.7994651961188289e-42,2.3389401482756334e-33,3.4260792968161901e-68,2.7100178727823655e-51,1.1405965067843132e-47,1.6511271687257951e-94,4.141042730539666e-97,1.2371794875073224e-96
3.3702620980606053e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,3.626192083512695e-104,8.5945465627301594e-56,1.1763528256133268e-36,5.127587607346332e-77,4.9388535200472107e-50,1.3688091000076502e-121,3.4270730239919571e-22,4.2065408388576974e-104,3.4270730239812361e-22,4.0012732095076814e-70,3.8095368620360138e-63,2.6120358872258463e-102,1.5783129150182554e-103,3.2492477718476735e-48,6.2460729164647647e-83,1.3591282592617271e-15,6.5348094504757723e-17,2.5188686408777721e-20,2.51886864254738e-20,8.3521445401568763e-30,3.4298462310987797e-35,3.3255313509238348e-41,9.3801957902116382e-33,1.2003218931942496e-66,2.1746425982675846e-50,9.1525683477966661e-47,2.3121158644955491e-92,5.8119423321254532e-95,1.7363780977010274e-94
