Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),COX(37),H2OX(35),CO2X(34),HO2X(136),C2H6X(39)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1749041610081131e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.5979592197627723e-128,2.7459108349031128e-77,2.7688506810527732e-60,2.7954999147085587e-107,1.0114830328407259e-55,-4.9398512449511729e-120,1.4600675965362158e-42,0.0,1.1145017518448978e-49,-3.8696521101391962e-116,4.906594080699238e-81,6.9614935833479987e-102,-1.9438611886375606e-115,1.7054128923032859e-69,-6.7723190606212626e-157,3.0181398922641875e-18,3.752753489877751e-19,3.1146165689980256e-23,3.1146165689993998e-23,6.8683698458524698e-36,2.9902608777168577e-45,7.7800533335914963e-42,2.3574475585314143e-76,6.0724523480980929e-81,7.6760618407299125e-91,6.385236847063235e-124,7.8206127806435862e-94,-4.7340623326831782e-145,2.4567031578971679e-80,2.2298398329051901e-72
3.289731650822717e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,4.7969934027857522e-126,8.6335845363489023e-76,4.1842871338097351e-59,5.5883444010106139e-105,1.5285531592287986e-54,4.9996614941550096e-118,8.8188082830768663e-42,0.0,6.7315905811446136e-49,1.1539894430836728e-114,1.5427116639490119e-79,7.6926441946380636e-100,1.9672380296141091e-113,2.0246661857418999e-68,-4.0443444911162449e-155,8.4507916983389002e-18,1.0507709771657703e-18,8.7209263931922463e-23,8.7209263932005429e-23,4.1484953851500891e-35,3.5500377126581203e-44,4.6991522134878419e-41,6.6483792830696013e-75,3.6941690879044125e-79,8.4822620102703745e-89,2.3039787481970831e-121,4.504273328426476e-92,1.5686808738954086e-142,7.7242676789283562e-79,6.2885051031651524e-71
7.519386630451924e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,1.9995230765557722e-123,1.9261049973849262e-74,4.5012651533093115e-58,1.0117127889014487e-102,1.6443477368268177e-53,1.0469983814333755e-115,4.2458765707244982e-41,0.0,3.2409710943671106e-48,1.4887638305289669e-112,3.4417048563795303e-78,6.9597260260907397e-98,4.1196988951287405e-111,1.9878292672669697e-67,9.1163674385414239e-153,1.9316095310485024e-17,2.4017622335217605e-18,1.9933546041571782e-22,1.993354604161173e-22,1.997321948556693e-34,3.4854480748280359e-43,2.2624395094062729e-40,1.4461677110312774e-73,1.6677245094278106e-77,7.6741128510984009e-87,8.342157480762157e-119,2.0199049977313148e-90,1.3132567362121783e-139,1.7232416271766607e-77,1.3678872180707154e-69
1.5978696589710339e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,6.4359600026496364e-121,3.6073813369203333e-73,4.1374381736711203e-57,1.5330174213628157e-100,1.5114388663087016e-52,1.6825808685837398e-113,1.8542858475980827e-40,0.0,1.4154172248452399e-47,1.2777793408474911e-110,6.445932295009672e-77,5.2672255731215519e-96,6.6205879733055271e-109,1.7582124754453397e-66,1.5632320568197373e-150,4.1046702534764057e-17,5.1037447462337401e-18,4.2358785338295241e-22,4.2358785338469693e-22,8.722829677188179e-34,3.0828393455896297e-42,9.8806677336391432e-40,2.6809512087939412e-72,6.2970104114481592e-76,5.8078842915359357e-85,2.5294830373961446e-116,7.5993870959345814e-89,8.4571179947775661e-137,3.2274408527810807e-76,2.5358323689686574e-68
3.289731650822717e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,1.8418057874988192e-118,6.2308540561275951e-72,3.5396654648977758e-56,2.131321897145709e-98,1.293067771378197e-51,2.4056056466507262e-111,7.7412783968088095e-40,0.0,5.9090882883016256e-47,9.3920937640984259e-109,1.1133745049418755e-75,3.6592696722509178e-94,9.4655438586636889e-107,1.4778835258571174e-65,2.2867336536776896e-148,8.4507916983269295e-17,1.0507709771657696e-17,8.7209263931599684e-22,8.720926393232802e-22,3.6416096679309664e-33,2.5913122163058061e-41,4.1249842774503586e-39,4.6078701409096075e-71,2.1847254280892546e-74,4.0348784294356453e-83,7.0354731731270195e-114,2.6314264288767824e-87,4.8413588835001607e-134,5.5746014653022286e-75,4.3584479342682184e-67
6.673455634526083e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999839,0.10000000000000001,4.9813838113953132e-116,1.035265712178415e-70,2.9266638565323106e-55,2.841912239252716e-96,1.0691334388459858e-50,3.251768635074504e-109,3.1625648167791173e-39,0.0,2.4140553745830368e-46,6.4298191926978764e-107,1.8498883918692447e-74,2.4388877188503039e-92,1.2795021671044884e-104,1.2116582044535462e-64,3.1229716147932132e-146,1.7143034588006838e-16,2.1315639822505597e-17,1.7691022111763871e-21,1.7691022112061412e-21,1.4877163614831503e-32,2.1245143012033622e-40,1.6851906722524432e-38,7.6372068325805391e-70,7.2760477736927386e-73,2.689229362686285e-81,1.8765148472907598e-111,8.7549214043929714e-86,2.619073410942364e-131,9.2622837097697227e-74,7.2238078175402282e-66
1.3440903601932813e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999659,0.099999999999999992,1.3105136457934426e-113,1.687744392037033e-69,2.3799144432528882e-54,3.7123374390713921e-94,8.6940155673699702e-50,4.2765112891126304e-107,1.2783592639938393e-38,0.0,9.7579977983821033e-46,4.2541641168927745e-105,3.0157849664181606e-73,1.5926870631366625e-90,1.6827171978928064e-102,9.8123222831738003e-64,4.127141635029885e-144,3.4527520367282109e-16,4.2931499924201348e-17,3.5631213548743739e-21,3.5631213549946445e-21,6.013587312280027e-32,1.7204867398453021e-39,6.8118101359810965e-38,1.2435211509663558e-68,2.3750231381338314e-71,1.7561697419087237e-79,4.9028978646335859e-109,2.8562977226675527e-84,1.3781351577774898e-128,1.5099860126477469e-72,1.176209838070254e-64
2.6975799536746276e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999921,0.099999999999999312,0.099999999999999964,3.400846348266367e-111,2.7257116963046796e-68,1.9194872168205713e-53,4.8001910441204714e-92,7.0120385172055867e-49,5.5482887659784666e-105,5.1402263761615693e-38,0.0,3.9236479975528922e-45,2.7679921658197963e-103,4.8705007761696748e-72,1.0296205841586324e-88,2.1831351765595758e-100,7.8978106260916916e-63,5.3671807652232555e-142,6.9296491925494476e-16,8.6163220127592671e-17,7.1511596421791668e-21,7.1511596426627738e-21,2.4180369402151031e-31,1.3847973701304701e-38,2.7389988961920658e-37,2.0070481511419669e-67,7.675664124907842e-70,1.1353068392385224e-77,1.2679761236750628e-106,9.2287022299830995e-83,7.1528429973703198e-126,2.4386314437545963e-71,1.8984074207014254e-63
5.40455914063732e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999843,0.099999999999998618,0.099999999999999922,8.765458666036139e-109,4.3815019403153992e-67,1.5418365188225566e-52,6.1754121475949086e-90,5.6324506676763186e-48,7.1497954515116813e-103,2.0614606790246571e-37,0.0,1.5735583365102067e-44,1.7861523661588315e-101,7.8291877487177282e-71,6.6227357505880934e-87,2.8132946385009505e-98,6.3374956404545206e-62,6.9244864643620764e-140,1.388344350405665e-15,1.7262666053437457e-16,1.4327236216424049e-20,1.4327236218363527e-20,9.6974090675883964e-31,1.1112126185599603e-37,1.0984610620474417e-36,3.2252724982899545e-66,2.4683783850938531e-68,7.3025319304937964e-76,3.2625494727632634e-104,2.9674325762934598e-81,3.6872455823832509e-123,3.9200288227104628e-70,3.0506897607363968e-62
