Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CHOX(61),CO2X(24),COX(58),H2OX(23)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.896024314620206e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.0445546841120177e-122,4.0412177808680321e-65,1.82741268983881e-46,1.9719000650806927e-74,1.672498618469156e-58,4.9172810675913383e-49,4.6038788085237425e-29,-4.284792968300596e-114,4.6038788084934739e-29,3.5355428224688496e-74,9.991447766699863e-75,4.6566585829823422e-75,6.1109572092905431e-106,4.917281074335547e-49,7.5616197778989527e-92,2.7988428517010522e-18,8.1638146098571453e-19,1.850151759737074e-23,2.2422983716988196e-37,1.8501517597397286e-23,1.3385559016829797e-35,3.980764155233095e-43,4.3448647934176355e-50,3.0235698874195736e-78,1.4428403867891289e-62,3.0367586127298943e-68,5.2343373947278551e-111,2.9496019069912018e-92,7.9611960808729239e-54
2.4908868080936578e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.7058854031623893e-120,8.2041013785987624e-64,1.1040088064727195e-45,2.3410397572774133e-73,2.527479912222959e-57,2.9700377648440301e-48,1.2890860663964585e-28,-4.0340756829581431e-114,1.2890860663781768e-28,5.342912318277839e-73,3.1414709793473421e-73,5.5283850697494219e-74,2.0110319741714769e-104,2.9700377728507542e-48,2.1324977651939954e-90,7.8367599847629429e-18,2.2858680907600011e-18,5.1804249272595431e-23,1.3543481998621979e-36,5.1804249272755786e-23,8.0848774140014698e-35,4.7259630774827372e-42,5.1915359751780604e-49,7.2182381544405296e-77,1.7132975975605468e-61,3.6052398247487804e-67,7.5039109700057394e-109,6.5981414818799969e-91,9.4515318808099656e-53
5.693455561356932e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,5.5477932422826879e-118,1.5270182725894543e-62,5.3178892289840133e-45,2.2984467159002596e-72,2.718947554055828e-56,1.429945334483853e-47,2.9464824375238691e-28,8.2955341315181412e-114,2.9464824374358514e-28,5.7476612609924216e-72,7.0084487644788797e-72,5.4278012444258452e-73,6.559264619549709e-103,1.4299453423449025e-47,4.6386484352386307e-89,1.7912594250886704e-17,5.2248413503085748e-18,1.1840971262287423e-22,6.5206034152418287e-36,1.1840971262364625e-22,3.892520213848528e-34,4.6399783037487344e-41,5.1676431238893213e-48,1.6124819917757953e-75,1.6828829749092525e-60,3.5396458381170958e-66,7.6846640152870473e-107,1.3036815686333324e-89,9.2795698220181293e-52
1.2098593067883482e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,1.0417095660721487e-115,2.6341785226086768e-61,2.3247130134791534e-44,2.0329500911842201e-71,2.4991812355744235e-55,6.2449469561333468e-47,6.2612751799356585e-28,4.8994954826432157e-112,6.2612751795512606e-28,5.2830909346969405e-71,1.3126048231049363e-70,4.8008287329248879e-72,2.08518150551205e-101,6.2449470256634339e-47,8.5992724379034542e-88,3.8064262783134122e-17,1.1102787869405722e-17,2.5162063932274954e-22,2.8477186740772262e-35,2.5162063932612105e-22,1.6999656352836623e-33,4.1040077827381804e-40,4.6962460962437212e-47,3.5572596340179185e-74,1.489837987048543e-59,3.1307766575301849e-65,7.2114998926838353e-105,2.3198316959702731e-88,8.2076740188573317e-51
2.490886808093658e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,2.0480674839586439e-113,4.3734655364432121e-60,9.7240321499595293e-44,1.7088170461586882e-70,2.1381021638132008e-54,2.6071424223000398e-46,1.2890860665387112e-27,1.7457338072655439e-110,1.2890860663782323e-27,4.5197955250953012e-70,2.2671981803895038e-69,4.0353858218623591e-71,6.6123732965608906e-100,2.6071424807442618e-46,1.4779952204334589e-86,7.8367599847628588e-17,2.2858680907600012e-17,5.1804249271977066e-22,1.1888663644924885e-34,5.1804249273384593e-22,7.097020152040393e-33,3.4496650174974418e-39,4.1586440039891025e-46,8.498686854952516e-73,1.2545647108015497e-58,2.6316064222978059e-64,7.0908404179037538e-103,3.9127352290712511e-87,6.8990438878289185e-50
5.052941810704277e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.5566176383451929e-111,7.1266604180014911e-59,3.9879585603987504e-43,1.4009914569597738e-69,1.7678242158375266e-53,1.0651027485873222e-45,2.6150031638801513e-27,5.8663248809865143e-109,2.615003163224542e-27,3.7370543484212631e-69,3.7669829219439991e-68,3.3084531048456608e-70,2.1028572072331386e-98,1.0651027965034172e-45,2.4496686893587203e-85,1.5897427397661599e-16,4.6370466983988583e-17,1.0508861995028955e-21,4.8569059992253814e-34,1.0508861995603978e-21,2.8993628831979105e-32,2.8282424747798715e-38,3.7558014736400938e-45,2.334415244760906e-71,1.0322841727198306e-57,2.157549937009021e-63,7.8926746969681725e-101,6.4266793632484874e-86,5.6562518958300955e-49
1.0177051815925516e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.099999999999999686,0.099999999999999964,1.1911354889888122e-108,1.1506723456028629e-57,1.6244260270268909e-42,1.1345592052318092e-68,1.4375652929641808e-52,4.3053156059999045e-45,5.2668373595676267e-27,1.923076223662848e-107,5.2668373569175513e-27,3.0389105392929561e-68,6.1411304104110629e-67,2.6792711022952436e-69,6.7052410474754479e-97,4.3053159940367122e-45,3.98865043381811e-84,3.2018762223458466e-16,9.3394039136765621e-17,2.1165736130254748e-21,1.9632382377082447e-33,2.1165736132579086e-21,1.1719676870239813e-31,2.2903819346228393e-37,3.6024336334591528e-44,7.5899163489853423e-70,8.419896146425474e-57,1.7472398724651889e-62,1.0322969863135735e-98,1.0417924193183196e-84,4.5805776419586505e-48
2.0425271826367996e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999921,0.099999999999999367,0.099999999999999922,3.6969161851039809e-106,1.8494299949338229e-56,6.6317025080245216e-42,9.1319195316080638e-68,1.1594484880365643e-51,1.7311484704561156e-44,1.0570505754960964e-26,6.2282050812723072e-106,1.0570505744305128e-26,2.4509914526891151e-67,9.9179339746375561e-66,2.1565104753336546e-68,2.1416112422288884e-95,1.7311487827816526e-44,6.4376979082899986e-83,6.4261431875049759e-16,1.8744118344231935e-16,4.2479484398959517e-21,7.8940879935528387e-33,4.2479484408305573e-21,4.7124212988621299e-31,1.8434951809525037e-36,3.8024577343827737e-43,2.9396791658491902e-68,6.8739595583876242e-56,1.4063306480917324e-61,1.6029357477314365e-96,1.6777745749467069e-83,3.6868445035451706e-47
4.092171184725295e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999838,0.099999999999998729,0.099999999999999825,1.3473782526658684e-103,2.9657797651025499e-55,2.7397834262723224e-41,7.3277903219413331e-67,9.3133207891466434e-51,6.942679647618241e-44,2.1177842561821188e-26,2.0050051521066876e-104,2.1177842519086524e-26,1.9687696425628462e-66,1.5942763345401702e-64,1.7304638455953524e-67,6.8464546498394758e-94,6.9426821538300607e-44,1.0345207801065974e-81,1.2874677117822257e-15,3.7553547205342556e-16,8.510698092938178e-21,3.1658770521770474e-32,8.5106980966863732e-21,1.8898843092655931e-30,1.4792832325962324e-35,4.5002768383448298e-42,1.3388425476081772e-66,5.6714226849135001e-55,1.1284917651226957e-60,2.9224315123617303e-94,2.6931997648196722e-82,2.9584558963637485e-46
