Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),COX(50),H2OX(23),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32665673491436e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-9.0701164549563693e-124,9.4126493657029766e-66,8.3315405302636169e-42,4.5144399966001452e-92,8.8692592877295279e-58,2.2459623980549996e-141,7.4501587477856489e-25,-1.9995353783831861e-118,7.4501587477855727e-25,2.9246495346376924e-80,1.790549306722968e-74,9.9100295809608762e-120,5.9880983217979677e-121,6.557607010361133e-57,1.919882799112225e-95,2.9546266505694332e-18,1.4206107501034378e-19,5.4758013950205891e-23,5.4758013950324157e-23,5.9155848177711247e-35,9.2297140487723363e-43,7.4661539829162055e-49,6.6436973308746243e-38,2.4701134261876015e-79,5.8518103591780143e-58,-3.3613673093490604e-112,8.7721370101531603e-110,2.4629459173634209e-54,-1.0042433551379153e-111
2.0514638857760205e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.6443624915616366e-121,2.1055725237440021e-64,5.0322509153519229e-41,4.9920712213886593e-90,1.3403224635507294e-56,8.1097086566625795e-139,2.0860444493800064e-24,3.8595021568030487e-117,2.0860444493799605e-24,8.2479796315387973e-79,5.6297735120468643e-73,1.9824433299085118e-117,1.197883969926931e-118,7.7851910188480139e-56,9.9378662943741609e-94,8.2729546215944087e-18,3.9777101002896261e-19,1.5332243906038501e-22,1.5332243906109934e-22,3.5730131761023026e-34,1.0957516361159602e-41,8.8701791086670475e-48,4.0127931744227887e-37,1.5037512182101869e-77,6.9472698084624364e-57,3.4042159458824471e-110,1.7548145908349694e-107,2.9240093841252188e-53,1.0170448306902905e-109
4.68906031034519e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.9519862492059135e-119,4.1602569183948706e-63,2.422812638809686e-40,4.5232882293336947e-88,1.441857743868332e-55,2.9407565373476394e-136,4.7681015985829871e-24,4.0752591732664111e-115,4.7681015985827667e-24,1.7941157282616256e-77,1.2559714927296606e-71,3.5944275444400062e-115,2.1719194044587646e-116,7.6435466573334813e-55,4.3392613524224454e-92,1.8909610563644341e-17,9.0919088006620029e-19,3.5045128927997744e-22,3.5045128928341628e-22,1.7202519842606592e-33,1.0758154206866009e-40,8.7222684923530384e-47,1.9319871636801125e-36,6.7990007697710999e-76,6.820871859801368e-56,7.13971790518288e-108,3.1817070406896347e-105,2.8708097334760329e-52,2.1330647949806948e-107
9.964253159483528e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,2.2429045852469127e-116,7.4029551830530948e-62,1.0581063217060987e-39,3.4336811418440633e-86,1.3253156768162728e-54,8.9437739240808879e-134,1.0132215896989335e-23,3.2211529788205328e-113,1.0132215896988372e-23,3.3259881935188142e-76,2.3522955724030273e-70,5.4629905614431942e-113,3.3009916209583121e-114,6.7606303681206511e-54,1.6153982032388449e-90,4.0182922447744132e-17,1.9320306201406754e-18,7.4470898971609877e-22,7.4470898973111689e-22,7.5127918841818124e-33,9.5154649701180402e-40,7.7387168684434825e-46,8.4374954021157413e-36,2.5750245465912532e-74,6.0329859886992476e-55,1.1508883780291279e-105,4.8357173199017253e-103,2.5391986645791728e-51,3.4383984285985427e-105
2.0514638857760207e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,6.4548294244659554e-114,1.2486165937252937e-60,4.4173888584086119e-39,2.3999024067273935e-84,1.1338354641841109e-53,2.502581668861075e-131,2.0860444493803591e-23,2.2830391584023455e-111,2.0860444493799565e-23,5.7165239108959302e-75,4.0630055146084377e-69,7.6408797093186489e-111,4.6169729952265611e-112,5.6827170317422166e-53,5.5652917393337267e-89,8.2729546215943406e-17,3.9777101002896261e-18,1.5332243905760863e-21,1.5332243906387838e-21,3.1364423194335729e-32,7.998320658502327e-39,6.5451805211013561e-45,3.5224881375441991e-35,8.9884646420718361e-73,5.071091724893409e-54,1.655440915685662e-103,6.7635361860376622e-101,2.134349418923904e-50,4.9458014816270182e-103
4.161541025431356e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.7664620168237398e-111,2.0508564234140724e-59,1.8046501436585278e-38,1.6187752536203546e-82,9.3747708797920111e-53,6.7548012899535471e-129,4.2316901687438325e-23,1.5363806920095571e-109,4.2316901687421874e-23,9.4747191519282591e-74,6.7507440572703812e-68,1.0310519498764375e-108,6.2300928553437015e-110,4.6590345099670365e-52,1.846917419995143e-87,1.678227937523407e-16,8.0690690605875229e-18,3.1102551922470421e-21,3.1102551925031821e-21,1.2813386980654345e-31,6.5575048763109729e-38,5.432260115860656e-44,1.439051258088362e-34,3.0298440634622054e-71,4.1575930964330133e-53,2.2647749955413877e-101,9.1266417437646657e-99,1.7498685123623129e-49,6.7662502664284035e-101
8.381695304742028e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.757488988460153e-109,3.324526316720205e-58,7.2947059176397986e-38,1.0822650871439687e-80,7.6234079866024051e-52,1.8066082683652644e-126,8.5229816074732677e-23,1.0080755679070444e-107,8.5229816074666179e-23,1.5427123977118492e-72,1.1005415398151495e-66,1.3787550504955719e-106,8.3310758375167517e-108,3.7730065381846407e-51,6.0179115165034518e-86,3.380092888251302e-16,1.625178698118331e-17,6.2643167953928764e-21,6.2643167964282368e-21,5.1793732260394419e-31,5.310434811050723e-37,4.5062881633431763e-43,5.8168746062997374e-34,1.0126963343183735e-69,3.3669359436087198e-52,3.049599960012744e-99,1.2204431983513366e-96,1.417088738709057e-48,9.1109962858076212e-99
1.682200386336337e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,1.2919961799633625e-106,5.3540460552670633e-57,2.9331864550279366e-37,7.3215744021139608e-79,6.1485547171638285e-51,4.8880790430470959e-124,1.7105564484942091e-22,6.5321796560344275e-106,1.710556448491536e-22,2.4899440292821886e-71,1.7773771340410733e-65,1.8653059213330762e-104,1.127104127457806e-105,3.0368432595710378e-50,1.9431471616472498e-84,6.7838227897068914e-16,3.2617222822374839e-17,1.2572440000900239e-20,1.257244000506338e-20,2.082601055336311e-30,4.2742956632477537e-36,3.7994651961188289e-42,2.3389391621488455e-33,3.426079296816034e-68,2.7100178727823655e-51,4.1410427305395469e-97,1.6511271687257209e-94,1.1405960577588954e-47,1.2371794839991733e-96
3.3702620980606053e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,3.6261920629869763e-104,8.5944261285900216e-56,1.1763528256133268e-36,5.1275876073458679e-77,4.9388535200472107e-50,1.368809100007527e-121,3.4270730239919571e-22,4.2065408388576974e-104,3.4270730239812361e-22,4.0012732095076814e-70,2.8570805709529108e-64,2.6120358872256107e-102,1.5783129150181131e-103,2.4368744245293694e-49,6.2460729164647647e-83,1.3591282592617271e-15,6.5348094504757723e-17,2.5188686408777721e-20,2.51886864254738e-20,8.3521445401568763e-30,3.4298462310987797e-35,3.3255313509238348e-41,9.3801878771688276e-33,1.2003218931941402e-66,2.1746425982675846e-50,5.8119423321251205e-95,2.312115864495341e-92,9.152561139947468e-47,1.7363780878548519e-94
