Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),COX(50),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221183e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-8.07702227655494e-124,4.1396111789710177e-73,8.0934965046854205e-42,4.1383901518315921e-92,8.4918763242425359e-58,2.0000502197793975e-141,7.3429566300640159e-25,-1.8330009774695931e-118,7.3429566300639433e-25,2.7599141730896699e-80,1.2672394242685567e-75,8.9538112304255541e-120,5.4103069586797837e-121,4.708822711532625e-58,1.7856728658545717e-95,2.9121118203838406e-18,1.400169241939002e-19,5.3970087778910384e-23,5.3970087779025277e-23,5.7465681099821786e-35,8.8369939006312799e-43,7.1483890316525339e-49,6.4538771356120951e-38,2.2974126435708147e-79,5.6028184730012462e-58,-3.0370291112454222e-112,7.9257138674161826e-110,-9.0734395031037461e-112
2.0219448808219312e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.4643048639517128e-121,1.2922002716920677e-71,4.8884723053905458e-41,4.5761890166580509e-90,1.2832923501113652e-56,7.2216982925480561e-139,2.0560278564179483e-24,3.5380490946067229e-117,2.0560278564179042e-24,7.7833995543327758e-79,3.9844033413658774e-74,1.7911395403197149e-117,1.0822893703351048e-118,5.590314098039361e-57,9.24315702739297e-94,8.1539130970747493e-18,3.9204738774292058e-19,1.5111624578076311e-22,1.5111624578145696e-22,3.4709270868882831e-34,1.0491279010160388e-41,8.4925702598284808e-48,3.8981416185154585e-37,1.398600559559861e-77,6.6516666102111773e-57,3.0757117826254374e-110,1.5854767458701352e-107,9.1890079679326873e-110
4.6215882990215566e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.1906105222562722e-119,2.876939720695033e-70,2.3535894084033277e-40,4.1463695982982178e-88,1.3805073502637527e-55,2.6186880782969793e-136,4.6994922432411369e-24,3.7358364167389678e-115,4.6994922432409224e-24,1.6930594137719745e-77,8.8889838714058333e-73,3.2474985907105002e-115,1.9622888813074725e-116,5.4886030547767499e-56,4.0359240983202096e-92,1.8637515650456547e-17,8.9610831484096137e-19,3.4540856178372453e-22,3.4540856178706509e-22,1.6711019290713901e-33,1.0300399629701719e-40,8.3507709392369141e-47,1.8767872139446473e-36,6.3234384824844536e-76,6.5306468212289082e-56,6.4506009793104608e-108,2.8746132737276103e-105,1.9271839342622557e-107
9.820875135420809e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.9971766585920406e-116,5.383927731993406e-69,1.0278747017638444e-39,3.1474211711817296e-86,1.2689240953523592e-54,7.9639178255920263e-134,9.9864210168878903e-24,2.9528675609985097e-113,9.9864210168869529e-24,3.1386468177214357e-76,1.6648080012420066e-71,4.9354971946501673e-113,2.9822557263426334e-114,4.8546063973319948e-55,1.502473349109559e-90,3.9604720757220064e-17,1.9042301690370426e-18,7.3399319378667114e-22,7.3399319380126016e-22,7.2981407007926574e-33,9.1105862639592624e-40,7.4087813900249086e-46,8.1964213056172032e-36,2.3948073580270328e-74,5.7762851120323465e-55,1.039760717930827e-105,4.3687919644182583e-103,3.1063929186574669e-105
2.0219448808219312e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,5.7471559888547013e-114,9.2960980850349526e-68,4.291177657802689e-39,2.1996374216318525e-84,1.0855912789961661e-53,2.2282147843276234e-131,2.0560278564182908e-23,2.0928879552623977e-111,2.0560278564178999e-23,5.3945319518360986e-75,2.8755407710818577e-70,6.9025027037938323e-111,4.1708114504267834e-112,4.0805877620886937e-54,5.1762484950185497e-89,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624577806598e-21,1.5111624578415658e-21,3.046829692916397e-32,7.6579957664546213e-39,6.2655786337601887e-45,3.4218432663532255e-35,8.358667576715234e-73,4.855318974272134e-54,1.4954653668266345e-103,6.1099413401986336e-101,4.4678576550424285e-103
4.1016596153816315e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.5725298834366087e-111,1.5442992854706327e-66,1.753088636895363e-38,1.4834422160450417e-82,8.9758786271678375e-53,6.0132373380719122e-129,4.1707993658778987e-23,1.40841764941825e-109,4.1707993658763012e-23,8.9410410935843394e-74,4.7777505336097896e-69,9.3125926802465032e-109,5.6270993065989034e-110,3.3455100461859538e-53,1.717808151567451e-87,1.6540795139779909e-16,7.952961294213526e-18,3.0655009857210182e-21,3.06550098596984e-21,1.2447290301446449e-31,6.2784860604928117e-38,5.1993009662099383e-44,1.3979335787473031e-34,2.8170711312986467e-71,3.9806892369633146e-53,2.0455684321824624e-101,8.2432991964020149e-99,6.1113471567731769e-101
8.261089084501032e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.2337993839881899e-109,2.5173869315660162e-65,7.0862851485875431e-38,9.9146166375478536e-81,7.2990354314365319e-52,1.6077508115912522e-126,8.4003423847995332e-23,9.2411433518606891e-108,8.4003423847930739e-23,1.4558167606193736e-72,7.7889279141655041e-68,1.2449040930455415e-106,7.5222864322104308e-108,2.7092769836955885e-52,5.5972277626248296e-86,3.3314559225189871e-16,1.601793612778216e-17,6.1741780414112597e-21,6.1741780424170382e-21,5.0313912081018973e-31,5.0844782893604898e-37,4.3115990612376904e-43,5.6506625665677713e-34,9.4126936818014412e-70,3.2236740900146977e-52,2.7535280103958495e-99,1.1019613182390675e-96,8.2264485738093616e-99
1.6579948022739835e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,1.1490748176956966e-106,4.065409638129139e-64,2.8493806448287928e-37,6.7031960567170443e-79,5.8869365002733292e-51,4.3473987667808369e-124,1.6859428422652474e-22,5.9881233633089219e-106,1.68594284226265e-22,2.3496941207041658e-71,1.257910289530421e-66,1.6831968631724087e-104,1.0170654100973366e-105,2.1806557173399032e-51,1.807310926761522e-84,6.6862087396007854e-16,3.2147885794919389e-17,1.2391532152029845e-20,1.2391532156074039e-20,2.0230982277916704e-30,4.0924264373365821e-36,3.633051081154751e-42,2.2720997547084742e-33,3.1824782286249462e-68,2.5947074297634714e-51,3.7367202681131257e-97,1.4899282950698545e-94,1.1163833982286917e-96
3.3217665899217438e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,3.2216006199648467e-104,6.5348573809426923e-63,1.1427423573760188e-36,4.6894862853601138e-77,4.7287075409178829e-50,1.2161046118490624e-121,3.3777600498397042e-22,3.8561838164867899e-104,3.3777600498292883e-22,3.7758953716169241e-70,2.0220423200604418e-65,2.3545075912789548e-102,1.422702405477445e-103,1.7498290891416346e-50,5.8094394774270528e-83,1.3395714373763602e-15,6.4407785129193661e-17,2.4826240370219408e-20,2.4826240386438459e-20,8.1135123184693115e-30,3.2839080170294835e-35,3.1764089853627323e-41,9.1120816095313888e-33,1.1137756752096692e-66,2.0821118820579579e-50,5.2388446593972953e-95,2.084157565261951e-92,1.5651576550947306e-94
