Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),COX(50),CHOX(53),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-8.0770161057000394e-124,3.1046308352398062e-74,8.093496504685423e-42,4.1383901517691732e-92,8.4918763242425274e-58,2.0000502197492306e-141,7.3429566300640186e-25,-1.8330009774702837e-118,7.3429566300639433e-25,2.7599141730896654e-80,9.5040582824431268e-77,8.9538112302905021e-120,5.4103069585981786e-121,3.5315288584909012e-59,1.7856728658545677e-95,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778910396e-23,5.3970087779025288e-23,5.7465681099821829e-35,8.8369939006312862e-43,7.1483890316525384e-49,6.4538735109253303e-38,2.2974126435361625e-79,5.6028184730012498e-58,7.925713867296639e-110,-3.0370291112025941e-112,-9.0734325709848624e-112
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.464302856413035e-121,9.6912549455208117e-73,4.8884723053905458e-41,4.5761890165572032e-90,1.2832923501113657e-56,7.2216982923892993e-139,2.0560278564179487e-24,3.5380490946066595e-117,2.0560278564179042e-24,7.7833995543327806e-79,2.9882263140590527e-75,1.7911395402803051e-117,1.0822893703112914e-118,4.1926288098819576e-58,9.2431570273929774e-94,8.1539130970747509e-18,3.9204738774292063e-19,1.5111624578076316e-22,1.5111624578145698e-22,3.4709270868882844e-34,1.0491279010160392e-41,8.4925702598284856e-48,3.8981373152898137e-37,1.3986005595289506e-77,6.6516666102111795e-57,1.5854767458352498e-107,3.0757117825572185e-110,9.1889954005457088e-110
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,6.1905934755744691e-119,2.1576473810095612e-71,2.3535894084033285e-40,4.1463695981159744e-88,1.3805073502637539e-55,2.6186880781823574e-136,4.6994922432411369e-24,3.735836416738971e-115,4.6994922432409231e-24,1.6930594137719762e-77,6.6665605097163352e-74,3.2474985905681582e-115,1.962288881221463e-116,4.1163430596176943e-57,4.0359240983202144e-92,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856178372462e-22,3.4540856178706509e-22,1.6711019290713908e-33,1.0300399629701727e-40,8.35077093923692e-47,1.8767829890174513e-36,6.3234384822049764e-76,6.53064682122891e-56,2.8746132736016121e-105,6.4506009790260416e-108,1.9271786211833764e-107
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.9971656555377849e-116,4.0378293496676502e-70,1.0278747017638449e-39,3.1474211709047677e-86,1.2689240953523601e-54,7.9639178248947001e-134,9.9864210168878933e-24,2.9528675609985137e-113,9.9864210168869558e-24,3.1386468177214381e-76,1.2485699874770165e-72,4.9354971942172976e-113,2.9822557260810733e-114,3.6408503385203092e-56,1.5024733491095607e-90,3.9604720757220076e-17,1.904230169037043e-18,7.3399319378667133e-22,7.3399319380126034e-22,7.2981407007926601e-33,9.1105862639592673e-40,7.4087813900249148e-46,8.1963839367081947e-36,2.3948073578148905e-74,5.7762851120323487e-55,4.36879196403509e-103,1.0397607178390078e-105,3.1063757779767649e-105
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,5.7470926516184772e-114,6.9718413527862249e-69,4.2911776578026896e-39,2.1996374212445078e-84,1.085591278996167e-53,2.2282147839373553e-131,2.0560278564182913e-23,2.0928879552623999e-111,2.0560278564178999e-23,5.3945319518361045e-75,2.1565837307683492e-71,6.9025027025826989e-111,4.1708114496949618e-112,3.0603398189186945e-55,5.1762484950185567e-89,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624577806602e-21,1.5111624578415662e-21,3.0468296929163987e-32,7.6579957664546265e-39,6.2655786337601925e-45,3.4218118556909853e-35,8.3586675752326268e-73,4.8553189742721351e-54,6.1099413391265676e-101,1.4954653665623052e-103,4.4678083306023622e-103
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.5724952201794356e-111,1.1581755393474082e-67,1.7530886368953635e-38,1.4834422155224499e-82,8.9758786271678449e-53,6.0132373359653518e-129,4.1707993658778999e-23,1.4084176494182509e-109,4.1707993658763018e-23,8.9410410935843441e-74,3.5831614758109221e-70,9.3125926769780413e-109,5.6270993046239465e-110,2.5090280830492424e-54,1.7178081515674526e-87,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009857210189e-21,3.0655009859698408e-21,1.2447290301446455e-31,6.2784860604928158e-38,5.1993009662099423e-44,1.3979078266468147e-34,2.8170711302987699e-71,3.9806892369633169e-53,8.2432991935088425e-99,2.045568431459084e-101,6.1112121973313672e-101
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,4.2336127313605347e-109,1.8879267052387522e-66,7.0862851485875452e-38,9.9146166305618581e-81,7.2990354314365363e-52,1.607750810464774e-126,8.4003423847995344e-23,9.2411433518606966e-108,8.400342384793075e-23,1.4558167606193743e-72,5.8413445811137499e-69,1.2449040921716561e-106,7.5222864269300095e-108,2.0318380953803168e-53,5.5972277626248339e-86,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780414112612e-21,6.1741780424170397e-21,5.0313912081018991e-31,5.0844782893604931e-37,4.3115990612376936e-43,5.6504540235627398e-34,9.412693675118734e-70,3.2236740900146992e-52,1.1019613174655232e-96,2.753528008448224e-99,8.2260852239353175e-99
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,1.1489735067256321e-106,3.048764972707692e-65,2.8493806448287936e-37,6.7031960472714787e-79,5.8869365002733351e-51,4.3473987606889022e-124,1.6859428422652474e-22,5.9881233633089296e-106,1.6859428422626503e-22,2.3496941207041686e-71,9.4334222329901332e-68,1.6831968608093964e-104,1.0170654086694953e-105,1.6353390620946358e-52,1.8073109267615243e-84,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532152029848e-20,1.2391532156074042e-20,2.0230982277916718e-30,4.0924264373365854e-36,3.6330510811547548e-42,2.2719319078859852e-33,3.182478224106813e-68,2.5947074297634726e-51,1.4899282929781687e-94,3.7367202628277563e-97,1.116284787585521e-96
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,3.2210326232647156e-104,4.9003229645716794e-64,1.1427423573760191e-36,4.6894862721473616e-77,4.7287075409178857e-50,1.2161046084410594e-121,3.3777600498397046e-22,3.8561838164867937e-104,3.3777600498292897e-22,3.7758953716169267e-70,1.5162777822273327e-66,2.3545075846688627e-102,1.4227024014833213e-103,1.3121587156386705e-51,5.8094394774270572e-83,1.3395714373763604e-15,6.4407785129193685e-17,2.4826240370219414e-20,2.4826240386438465e-20,8.1135123184693143e-30,3.2839080170294856e-35,3.1764089853627349e-41,9.1107348524963063e-33,1.1137756720488292e-66,2.0821118820579588e-50,2.0841575594108442e-92,5.238844644582907e-95,1.5648812101310632e-94
