Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),COX(50),CHOX(53),CO2X(24)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.219246763926011e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-1.4643126106324315e-121,6.8635853687508287e-72,2.8897376103884975e-36,6.6201403087063601e-89,1.7391157727400175e-54,2.1905574344483612e-132,5.4889800419459697e-20,-6.0778330714225361e-106,5.4889800419459697e-20,2.4762793527585584e-72,1.4400199236495054e-74,1.465077955065704e-112,1.6987540384708372e-113,1.3630194927287893e-55,1.1466272292787345e-85,2.9976818265722524e-18,8.8756031013381116e-20,3.5532015421384901e-22,8.7653027992957544e-38,3.5532015421196864e-22,9.369628406770642e-34,5.390934698317639e-42,1.5834201377498417e-46,1.9447728344550574e-77,2.0592366855435229e-52,1.8776101755360433e-98,3.2456429548823198e-37,2.5801393934107967e-106,-4.8401067483620123e-109,-6.0803621857385585e-109
1.741389093899283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,2.6528588800644703e-119,1.6919744452665079e-70,1.7454015167669953e-35,7.315551507895194e-87,2.6281517533503114e-53,7.9042871749396253e-130,1.5369144117448715e-19,1.173334467561888e-104,1.5369144117448708e-19,6.9835039732872617e-71,4.5276529763012574e-73,2.928808930052075e-110,3.3959462570757538e-111,1.6181767206638031e-54,5.9352727622301332e-84,8.3935091144023044e-18,2.4851688683746716e-19,9.9489643180183096e-22,5.2942428153465003e-37,9.948964317904738e-22,5.6592555262341918e-33,6.4001176383078118e-41,1.8798659594048095e-45,1.183118525343338e-75,2.4447257931957098e-51,1.7682052838896209e-96,1.9603683447469496e-36,5.1579066288287904e-104,4.8983903320792933e-107,6.1535806444201928e-107
3.980317928912647e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,1.1199217245749765e-116,3.4815328762257958e-69,8.403356972394892e-35,6.6187807173364734e-85,2.8272457266634683e-52,2.862048442070764e-127,3.5129472268454212e-19,1.2389172989478751e-102,3.5129472268454174e-19,1.5190646528649204e-69,1.0100944428751686e-71,5.3024855380520386e-108,6.1482180456930415e-109,1.5887354553028502e-53,2.5915723705503618e-82,1.9185163690062397e-17,5.6803859848563906e-19,2.2740489869900087e-21,2.5489499408930035e-36,2.2740489869353288e-21,2.7246878935059875e-32,6.28367337420088e-40,1.8457261853515565e-44,5.3413411718167226e-74,2.4002462810366921e-50,1.5454205458375838e-94,9.4383297127682172e-36,9.3381732844622685e-102,1.0258322311787753e-104,1.2886970751378906e-104
8.458175598939375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,3.6024673678984167e-114,6.3083573359032868e-68,3.6699667666247069e-34,5.0095269676304822e-83,2.5987259143343385e-51,8.6787894444422916e-125,7.4650128570465221e-19,9.7926087113486611e-101,7.4650128570465067e-19,2.8160898547585342e-68,1.8917949911200694e-70,8.0352276064120467e-106,9.3168252919124014e-107,1.4052184388378439e-52,9.6477741507812979e-81,4.076847284138252e-17,1.2070820217819832e-18,4.832354097415223e-21,1.1131933385969579e-35,4.8323540971764212e-21,1.1899427589041934e-31,5.5578378052454177e-39,1.6326353380697999e-43,2.0169242943284493e-72,2.1229906540989904e-49,1.1529316773894892e-92,4.1219665526699926e-35,1.4150787820138945e-99,1.6486804618681542e-102,2.0711472877673997e-102
1.741389093899283e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,1.0306368345440219e-111,1.0732058150022767e-66,1.5321388823161642e-33,3.4807043906693718e-81,2.2232647322929845e-50,2.4142279684811427e-122,1.5369144117448725e-18,6.9406542555003186e-99,1.5369144117448661e-18,4.8401389462540325e-67,3.2676050070278335e-69,1.1172692268376752e-103,1.295470732171962e-104,1.1811706348297648e-51,3.3238044760396527e-79,8.3935091144022526e-17,2.4851688683746709e-18,9.9489643184610763e-21,4.6473624919642971e-35,9.9489643174641307e-21,4.9677765424687093e-31,4.6716973349043204e-38,1.3725158299585558e-42,6.9985880554429307e-71,1.7845015653039357e-48,7.9528578816473198e-91,1.7208398946511069e-34,1.967615672037511e-97,2.3574563311631984e-100,2.9615436035236685e-100
3.5325321619099744e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,2.7876312242885578e-109,1.7701911424325518e-65,6.2592872645125156e-33,2.3204935375555817e-79,1.8382382743826639e-49,6.4409825547105209e-120,3.1177406638253155e-18,4.6707421329390565e-97,3.1177406638252894e-18,8.0221753444084529e-66,5.429173314319427e-68,1.4901666187665817e-101,1.7278442780749913e-102,9.6839483037639312e-51,1.1030495210646438e-77,1.702683277493016e-16,5.0413425615600445e-18,2.0182184761334491e-20,1.8985987566572997e-34,2.0182184757261649e-20,2.0294986199019283e-30,3.8301393578222283e-37,1.1255788105206691e-41,2.3314486770075115e-69,1.4630421995107642e-47,5.2815325271820331e-89,7.0301924657604754e-34,2.6243228780786387e-95,3.1875382355224433e-98,4.0043298086709113e-98
7.114818297931357e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,7.3368972128171406e-107,2.8755490110728598e-64,2.5301039942719968e-32,1.5161793669893892e-77,1.4948248360368587e-48,1.6837715969687821e-117,6.2793931679862082e-18,3.064644754409854e-95,6.2793931679861027e-18,1.3062032935096162e-64,8.8509185943384145e-67,1.9476112721338684e-99,2.2582501513943655e-100,7.8423088564117341e-50,3.5941262693510131e-76,3.4293480095985598e-16,1.0153689947930788e-17,4.064862565020817e-20,7.67443600710349e-34,4.0648625633745074e-20,8.2035563562547869e-30,3.1017455567247774e-36,9.1202081108750594e-41,7.6143278465004286e-68,1.1848095070885611e-46,3.4428098245189737e-87,2.8417161976697874e-33,3.4299257240475415e-93,4.1942856535700069e-96,5.2690505760856567e-96
1.4279390569974122e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,1.9058917991436375e-104,4.6357893773350033e-63,1.0173436919646488e-31,9.8120583795047874e-76,1.2056303840084057e-47,4.3591465878376046e-115,1.260269817630802e-17,1.9858441924287681e-93,1.2602698176307601e-17,2.1082173819273355e-63,1.4294243733050148e-65,2.5210085695656582e-97,2.9231028107167977e-98,6.3121667130720267e-49,1.160521593024512e-74,6.882677473809499e-16,2.037838472067226e-17,8.1581507440462913e-20,3.0858539677126033e-33,8.1581507374265499e-20,3.2986126803330004e-29,2.4965537066707837e-35,7.3487521561186386e-40,2.4634635100081322e-66,9.5363777061262643e-46,2.2236454611049573e-85,1.1426415846827973e-32,4.4397320277421975e-91,5.4474357364779189e-94,6.8433118032012184e-94
2.860853511405965e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,4.9226606781414487e-102,7.4453098565162616e-62,4.0800032522984009e-31,6.3247652583120814e-74,9.6842788942215534e-47,1.1239996430429903e-112,2.5249308192951759e-17,1.2788280692370197e-91,2.5249308192950073e-17,3.3878487360952416e-62,2.2977536116511902e-64,3.2501410765999879e-95,3.768530036150875e-96,5.0651070809681781e-48,3.7303929605268888e-73,1.3789336402230775e-15,4.0827774266155119e-17,1.6344727107100196e-19,1.2375630551048835e-32,1.6344727080552063e-19,1.3228902162863382e-28,2.0033255764141499e-34,5.9097742312074437e-39,7.9391369556460241e-65,7.6523425805961687e-45,1.4296451729775557e-83,4.5825038128893099e-32,5.7238026097760603e-89,7.034843669739413e-92,8.8374783814009514e-92
5.726682420223071e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,1.2698486290938977e-99,1.1934952301125566e-60,1.6341294428926144e-30,4.0752658863803319e-72,7.7631482068948827e-46,2.8969426111967628e-110,5.0542528226239689e-17,8.2098318837619247e-90,5.0542528226232941e-17,5.4323456252437619e-61,3.6849574950194722e-63,4.1883714605185119e-93,4.8564056999618431e-94,4.0582346520300526e-47,1.1964081263019046e-71,2.7602654259070924e-15,8.1726553357120513e-17,3.2717879853219888e-19,4.9566880569345835e-32,3.27178797468888e-19,5.2984529927465762e-28,1.6050958186647266e-33,4.755623714424772e-38,2.5577147799217347e-63,6.1311862352125018e-44,9.170620560285935e-82,1.8353917459494584e-31,7.3761141200951085e-87,9.0735026381668024e-90,1.1398515261570635e-89
1.1458340237857283e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999422,0.1186699660299597,0.022821567693054205,3.283917383818174e-97,1.9113806119365261e-59,6.5407766245414563e-30,2.6335498099803798e-70,6.2168147555912028e-45,7.4880842258173319e-108,1.0112896829281736e-16,5.2624133585864249e-88,1.0112896829279034e-16,8.7011938838256316e-60,5.9027490190015802e-62,5.4131606260881223e-91,6.2765455171182975e-92,3.249031748216787e-46,3.8328030603931932e-70,5.5229289972741623e-15,1.6352411153905004e-16,6.5464185425507232e-19,1.9839515566058596e-31,6.5464184999905151e-19,2.1207555847371808e-27,1.285048655831514e-32,3.8403959349600557e-37,8.2647126811208115e-62,4.908677144072969e-43,5.8758908742607918e-80,7.3463501487016139e-31,9.5330824581285407e-85,1.1732502858645526e-87,1.4738822452234988e-87
