Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),H2X(46),OCX(25),CHOX(50),CO2X(24),CH4OX(57),HOCOX(184),COX(47)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0992335872819431e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-6.6079354134016303e-122,3.9620470457463839e-67,6.8742594443728068e-46,1.5838189079287158e-97,4.3352766293264105e-57,6.8529263538203004e-154,3.6321503378261687e-37,-3.6398213616555294e-141,3.6321474154990469e-37,3.0541026466692678e-91,6.2164473671210811e-68,2.0562873795675634e-135,6.2821950437259858e-137,1.009500059696861e-55,7.151116622088134e-111,2.8237543544368025e-18,1.2354716721262975e-18,3.247452159208863e-21,3.2474521592474192e-21,1.927788152287902e-32,1.8197544338028743e-37,8.6667597374115974e-46,5.7712136328751067e-38,1.8786760105266683e-54,5.4759058429038633e-62,6.547214992776367e-75,-2.5663317150843149e-108,-3.112033093589966e-109,1.2420692364196961e-84,-4.6334671442794932e-127,3.3846253207684792e-114
3.0778540443894405e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.4157734989119815e-119,1.2421492597345083e-65,8.1610527171219793e-45,2.0621089452807349e-95,6.5514700393628355e-56,2.4850488299000786e-151,1.0170030418985599e-36,7.0267151677391489e-140,1.0170012768129781e-36,8.6130581163848248e-90,1.9545505284462722e-66,4.845203012443831e-133,1.4785608094399415e-134,1.198478470886211e-54,3.7016239142148788e-109,7.9065121924230417e-18,3.4593206819536337e-18,9.0928660457223571e-21,9.0928660459552397e-21,1.1643734313476326e-31,2.1603944297097276e-36,1.2170772252823512e-44,3.4858130343013378e-37,2.2303641597234922e-53,1.224928469624737e-60,4.6993919805736284e-73,3.0689553639591372e-106,3.7215339658562662e-107,7.1536829093181481e-83,1.7472132196080906e-124,7.9659646335306898e-112
7.035094958604436e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,7.9130505974972468e-117,2.7689135617411094e-64,8.012425678408566e-44,2.4769007647434195e-93,7.0477725072903666e-55,3.1481156150859497e-148,2.3245828473593751e-36,7.4194797968994339e-138,2.3245743492321047e-36,1.8735282729124806e-88,4.3604947102618077e-65,1.1647095359250416e-130,3.5516385316599009e-132,1.1766732696255558e-53,1.6162738675770119e-107,1.8072027868395487e-17,7.9070187016083039e-18,2.0783693818499494e-20,2.0783693819620726e-20,5.605848760224368e-31,2.121049863307908e-35,1.593481762338232e-43,1.6782689245059601e-36,2.1897847579496983e-52,2.420210007564017e-59,2.8205018747212001e-71,8.5213955401349204e-104,1.0333373795203453e-104,3.208011676414679e-81,1.2062245255418645e-121,1.9134976900276069e-109
1.4949576787034428e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,3.8073592227532857e-114,5.1842380732796961e-63,7.086643124035284e-43,2.8032047299831367e-91,6.4781171581170519e-54,3.2184423396689179e-145,4.9397576151967228e-36,5.8644960398387951e-136,4.9397205016422769e-36,3.4732056675519381e-87,8.1667240073204713e-64,2.640751673511863e-128,8.0411038401862775e-130,1.0407541816343487e-52,6.0169823604809374e-106,3.840305922034026e-17,1.6802414740917642e-17,4.4165349363054392e-20,4.4165349367951201e-20,2.4481264665179602e-30,1.8759766352526587e-34,2.1183622118659821e-42,7.3294413144261651e-36,1.9368398199786832e-51,4.3064834171837082e-58,1.595213941326333e-69,2.0494380817394802e-101,2.4852278790862187e-102,1.2069341705345427e-79,6.3423354962322634e-119,4.3322634007680029e-107
3.0778540443894407e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,1.8114715913090534e-111,8.9532211912299899e-62,5.9563188315379728e-42,3.2382072402305583e-89,5.5421656159808578e-53,3.152687245467569e-142,1.0170167778534283e-35,4.156569187016025e-134,1.0170012836750297e-35,5.9695531340213987e-86,1.4105984802596442e-62,6.1180501429045697e-126,1.8576206926142148e-127,8.7481659989359688e-52,2.0729416534304975e-104,7.906512192422932e-17,3.4593206819536306e-17,9.0928660448166642e-20,9.0928660468610665e-20,1.0219652508748557e-29,1.5767571016428984e-33,2.973126653994509e-41,3.0598974687551241e-35,1.6280305722062825e-50,7.2630042561665299e-57,9.215466423599924e-68,4.8753104395199999e-99,5.9119899875550206e-100,4.1792298419158116e-78,3.1381919621369728e-116,1.0008205712879349e-104
6.243646775761437e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,8.8043077981698905e-109,1.4874915207995392e-60,4.8826422134200313e-41,3.8785672778082724e-87,4.5823697052925773e-52,3.1085029517693656e-139,2.0631230615860813e-35,2.7972102151240391e-132,2.0630597628117044e-35,9.894096531290621e-85,2.3437304724928115e-61,1.4737408178925878e-123,4.4492493161682105e-125,7.1722750292683072e-51,6.879337560437967e-103,1.6038924733200555e-16,7.017479097677359e-17,1.8445528260240099e-19,1.8445528268592794e-19,4.1744131318196106e-29,1.2925333389736264e-32,4.3927586949217829e-40,1.2500679582462367e-34,1.3347578248218372e-49,1.1927832898443324e-55,5.5206318174502234e-66,1.1848278603487973e-96,1.436768084719937e-97,1.3904560926579052e-76,1.5532822512791467e-113,2.3970987511676414e-102
1.257523223850543e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.099999999999999686,0.099999999999999936,4.3701580521220827e-106,2.4249073829401663e-59,3.9529442708196704e-40,4.778808546390661e-85,3.7263069406881389e-51,3.1077313733921835e-136,4.1554326333119195e-35,1.8353909069888871e-130,4.1551767695453345e-35,1.6109971317440981e-83,3.8208721980281824e-60,3.6725176624047118e-121,1.0962616121883032e-122,5.8082942747778198e-50,2.2415319856183199e-101,3.2303749814755035e-16,1.4133795929124796e-16,3.7150852684690924e-19,3.7150852718459086e-19,1.6868405696550954e-28,1.0464236122285445e-31,6.7228728168120628e-39,5.0529745580352691e-34,1.0809214929001354e-48,1.9330107991272949e-54,3.4018020056246306e-64,2.9406668984670194e-94,3.5659664016903554e-95,4.5363703497792752e-75,7.7774893970537807e-111,5.9062712713774321e-100
2.5238403163993418e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999907,0.099999999999999367,0.099999999999999867,2.1991974982309437e-103,3.9161686872761392e-58,3.179830212290038e-39,5.9908132599582438e-83,3.005401539846734e-50,3.1388023525789088e-133,8.3404397938054581e-35,1.1893564975833387e-128,8.3394109768537227e-35,2.6001558635450222e-82,6.1707188085855565e-59,9.4144888595527921e-119,2.748399748155248e-120,4.6750205462071953e-49,7.2377709455558193e-100,6.4833399977860963e-16,2.8366429592019592e-16,7.4561501508008346e-19,7.4561501643830714e-19,6.7785017128527675e-28,8.4176476760873427e-31,1.050263917050687e-37,2.0317788477121203e-33,8.7001965621614844e-48,3.1113089800712545e-53,2.1325841137412578e-62,7.3993724230093857e-92,8.9727651222686616e-93,1.4657019444757606e-73,3.9305823393941711e-108,1.4807409375909029e-97
5.056474501496939e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999812,0.099999999999998715,0.099999999999999728,1.1149733554584363e-100,6.2950762895978105e-57,2.5486602923384781e-38,7.5797918822308232e-81,2.4141019534429571e-49,3.1882630739471481e-130,1.6712006182957872e-34,7.6597733643339208e-127,1.6707880166835e-34,4.178380662767573e-81,9.9192502707217737e-58,2.4871048015946763e-116,6.9544913506338969e-118,3.7514095717342341e-48,2.3265167924971635e-98,1.2989270030406059e-15,5.6831696917808867e-16,1.4938279905230629e-18,1.4938279959735183e-18,2.715111398973855e-27,6.7468136211340072e-30,1.6585181254040728e-36,8.1483419283864941e-33,6.9813598328957468e-47,4.9887459726191088e-52,1.3492105578207895e-60,1.8757353508033084e-89,2.2745892058857162e-90,4.7128746780467109e-72,1.9969842891238359e-105,3.7468348808706605e-95
