Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),CHOX(50),CH4OX(57)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.054950819249104e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-4.7159593911374856e-122,3.3611483898705702e-67,6.0764895555105457e-46,1.2272282402361124e-97,3.8321586991617808e-57,4.6937781585443191e-154,3.4858285760197211e-37,-2.8440252929289669e-141,3.4858258844026354e-37,2.5909111777589999e-91,5.6682602972153747e-70,1.5291722536110105e-135,4.6716839791299049e-137,9.5911720011522214e-58,5.8221713097522504e-111,2.7099990430034637e-18,1.1857005351260233e-18,3.116628126603786e-21,3.1166281266392987e-21,1.7755950260006791e-32,1.6085687339004616e-37,7.597136155342023e-46,5.3155915039620809e-38,1.6606517265362321e-54,5.2860856468965258e-75,-2.314228565974216e-109,-1.9084238566922059e-108,1.0869149288908296e-86
2.9538622938974916e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.0053830210991267e-119,1.0537609557083154e-65,7.213950633248004e-45,1.590044972953112e-95,5.7911582257850702e-56,1.6936784841410865e-151,9.7603287380534121e-37,5.4904213414670353e-140,9.7603124806862136e-37,7.3067840665963774e-90,1.7821918590782868e-68,3.585513925760301e-133,1.094178695703495e-134,1.1386639399896453e-56,3.0137235482703871e-109,7.5879973204096925e-18,3.3199614983528653e-18,8.7265587544330704e-21,8.7265587546475678e-21,1.0724500146785845e-31,1.9096775018580252e-36,1.061555026721589e-44,3.2106172684326732e-37,1.9715257297660675e-53,3.7755548552154052e-73,2.7537697248776148e-107,2.2708905643230909e-106,6.2600739368405988e-85
6.751685243194266e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,5.5816418934203179e-117,2.3489716910561449e-64,7.0825771171396394e-44,1.8969294794581825e-93,6.2298637534551919e-55,2.1311204821235502e-148,2.2309363962913567e-36,5.7973131585970073e-138,2.230928569068871e-36,1.5893851345657124e-88,3.97597200848012e-67,8.5603686290092653e-131,2.6105135019355442e-132,1.1179470084934137e-55,1.3159096462153987e-107,1.7343993875222117e-17,7.5884834248065463e-18,1.9946420009861518e-20,1.9946420010894232e-20,5.1632896226700972e-31,1.8749002900440117e-35,1.3803452295779645e-43,1.5457740094104053e-36,1.9356556525183394e-52,2.2506183332131549e-71,7.594736171552462e-105,6.262983631792931e-104,2.8072799147357839e-83
1.4347331141787814e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,2.6670705677392261e-114,4.3979809820525542e-63,6.2642415251773386e-43,2.1320090543695839e-91,5.7263181001397243e-54,2.1636912031067861e-145,4.7407574015804956e-36,4.5823046019286219e-136,4.7407232180435066e-36,2.9464521764310848e-87,7.4465555434852969e-66,1.9273916549214174e-128,5.8695595109830834e-130,9.8881146871218809e-55,4.8988016747349971e-106,3.6855986984846864e-17,1.6125527277713909e-17,4.2386142519797931e-20,4.238614252430814e-20,2.2548602847075857e-30,1.6582704302549571e-34,1.8223277473517295e-42,6.7508012106283021e-36,1.7120655041307078e-51,1.2641075567009852e-69,1.81396273252695e-102,1.4958806530960025e-101,1.056168866465171e-81
2.953862293897491e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,1.2618544450175198e-111,7.5953490174608394e-62,5.2651062062505324e-42,2.4490847644276277e-89,4.8989856938819558e-53,2.1076485877607769e-142,9.7604552534272023e-36,3.2477917809745438e-134,9.7603125438893189e-36,5.0641984690000026e-86,1.2862072874535602e-64,4.4398436846085203e-126,1.3483699634815929e-127,8.3115561989167941e-54,1.6877114532023282e-104,7.587997320409592e-17,3.3199614983528625e-17,8.7265587535988818e-20,8.7265587554818756e-20,9.4128963340696667e-30,1.3937792521601968e-33,2.5434410417948795e-41,2.8183266159352467e-35,1.4390942160432047e-50,7.2619449213905184e-68,4.2910548083428145e-100,3.5386095624672216e-99,3.657177460564167e-80
5.992120653334911e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,6.1099768543633594e-109,1.261894145125045e-60,4.3160516827534995e-41,2.9223679618684095e-87,4.0505761079690107e-52,2.0703136354927891e-139,1.9800074322194283e-35,2.1856372530943386e-132,1.9799491307167121e-35,8.3935375699662336e-85,2.1370526451863886e-63,1.0652151803308247e-123,3.2173582460318444e-125,6.8143159362349062e-53,5.6008989795143334e-103,1.5392794564259226e-16,6.7347790395157995e-17,1.7702447755364278e-19,1.7702447763057501e-19,3.8449021461654468e-29,1.142545461174186e-32,3.7439734146295135e-40,1.1513783825758539e-34,1.1798563849456263e-49,4.3340741009274409e-66,1.0389279318089871e-97,8.567497924894753e-97,1.216765977059097e-78
1.206863737220975e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,3.0260717544633914e-106,2.0571387498331715e-59,3.4942783386947937e-40,3.5926864962492126e-85,3.293861219389663e-51,2.0652222381718873e-136,3.9880205920022854e-35,1.4341057698399918e-130,3.9877849280067424e-35,1.3666700044680558e-83,3.4839351766240072e-62,2.6473933350305087e-121,7.90970096348136e-123,5.5184097203212938e-52,1.8249713872456305e-101,3.1002389051957791e-16,1.3564414121841664e-16,3.5654225753003972e-19,3.5654225784105834e-19,1.5537077514407636e-28,9.2500554516012416e-32,5.717473982355822e-39,4.6540555138223945e-34,9.5547829073275128e-49,2.6647630824938208e-64,2.5728540822773239e-95,2.1216988555911939e-94,3.9697054297861507e-77
2.4221670809959428e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,1.5209921001024166e-103,3.3222309593792812e-58,2.8109354099887588e-39,4.4984732486556932e-83,2.6566183995853036e-50,2.0833795584158112e-133,8.004404295685523e-35,9.2931706886427756e-129,8.0034567011246829e-35,2.2058108954666298e-82,5.6265646186757036e-61,6.7725481351680191e-119,1.9806310183447203e-120,4.4416962370693618e-51,5.8927220170203539e-100,6.222157802735212e-16,2.7223684286493306e-16,7.1557781724718959e-19,7.1557781849815379e-19,6.243668828341375e-28,7.4411092596773755e-31,8.9215141207750722e-38,1.8713752543446939e-33,7.6905205369591464e-48,1.6685495919424703e-62,6.4661498727401189e-93,5.3322972783986572e-92,1.2826124233034812e-75
4.852773768545879e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999821,0.099999999999998757,0.099999999999999742,7.7067170880893313e-101,5.3403464049038112e-57,2.2530929939475462e-38,5.6882449624159839e-81,2.1339403681673102e-49,2.1149545767584467e-130,1.6038601239520226e-34,5.9850295481377914e-127,1.6034800961512082e-34,3.5446788868208156e-81,9.0445383019899112e-60,1.7851831338117565e-116,5.0087532153225093e-118,3.5641815073813411e-50,1.8941628341290483e-98,1.2465995597812955e-15,5.4542224615796319e-16,1.4336489357389126e-18,1.4336489407588188e-18,2.5010102818567906e-27,5.9643879159570765e-30,1.4080185777816632e-36,7.5050517751253593e-33,6.1711584081771176e-47,1.0550097124235801e-60,1.6381933838063298e-90,1.3509328331414794e-89,4.1241615555658442e-74
