Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0243660147223291e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-3.7053241523248682e-122,2.9879924701656497e-67,5.5631620804550198e-46,1.0226701893438582e-97,3.5084260678389242e-57,1.1474722154414967e-161,3.3847684472990662e-37,-2.3838074473066027e-141,3.384765909488671e-37,2.3032671607970726e-91,5.4160200796078736e-72,1.2380582182256017e-135,3.7801293473109302e-137,9.4379827991138102e-60,5.0257365442457963e-111,2.6314315975020667e-18,1.1513250756899766e-18,3.0262718177645293e-21,3.0262718177980134e-21,1.6741328927853448e-32,1.4726806493581232e-37,6.9149862273987254e-46,5.0118434180124509e-38,1.5203633945251012e-54,4.5365061477052283e-75,-1.8725759996219437e-109
2.868224841222522e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,7.8716089197050722e-120,9.3677197299113543e-66,6.6045346686597145e-45,1.3204650164530158e-95,5.3019334744246702e-56,4.832540992085906e-159,9.4773598790528252e-37,4.6019653837145448e-140,9.4773445506780383e-37,6.4955819170283168e-90,1.7028833781372748e-70,2.8898113008642131e-133,8.8233819264523508e-135,1.1204773179207007e-58,2.601465976841992e-109,7.3680084730057816e-18,3.2237102119319347e-18,8.4735610896864412e-21,8.4735610898886804e-21,1.0111676786993509e-31,1.7483528663837596e-36,9.6284887854646119e-45,3.0271534245087533e-37,1.8049754219961598e-53,3.228967674195491e-73,2.2204641428593216e-107
6.555942494222907e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,4.3492981313301781e-117,2.0881878689278866e-64,6.4842624974739055e-44,1.5677215585310675e-93,5.7035780906366329e-55,2.2941894491507695e-156,2.1662575649022097e-36,4.8591960354292053e-138,2.1662501849495808e-36,1.4129309481964111e-88,3.7990391417853961e-69,6.8613550348505486e-131,2.0949587949693557e-132,1.1000912750948562e-57,1.1359018564495479e-107,1.6841162224013185e-17,7.368480484415851e-18,1.9368139633313296e-20,1.9368139634286995e-20,4.868249626250612e-31,1.7165144039248961e-35,1.2458989163923663e-43,1.457444066001033e-36,1.772135572707018e-52,1.9154854465514212e-71,6.0945718285516439e-105
1.3931377800223676e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,2.0678999413151511e-114,3.909715291275534e-63,5.7350631914781976e-43,1.7532504766802049e-91,5.2425709050130457e-54,1.0266741543992867e-153,4.6033138814807669e-36,3.8407990215195755e-136,4.6032816512887479e-36,2.619335853176889e-87,7.1151798649233841e-68,1.5350674691793106e-128,4.6869795821585737e-130,9.7301827472018496e-57,4.2286778068196927e-106,3.578746972602789e-17,1.5658021029383677e-17,4.1157296719699113e-20,4.1157296723951596e-20,2.1260156581656537e-30,1.5181863071257788e-34,1.6366422769773149e-42,6.3650411413163659e-36,1.5674338453206583e-51,1.070524314026757e-69,1.4484245618137242e-102
2.868224841222522e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999936,0.099999999999999992,9.7439733270990386e-112,6.7521101898459307e-62,4.8203405901411829e-42,2.0058065602983714e-89,4.4851297838786285e-53,4.6975696463158742e-151,9.4774791649766848e-36,2.7222358036656758e-134,9.4773446102695386e-36,4.501969087977309e-86,1.2289703796791798e-66,3.5120396988900777e-126,1.0723214901575989e-127,8.1788048871206329e-56,1.456843620206428e-104,7.3680084730056894e-17,3.2237102119319318e-17,8.4735610888999233e-20,8.4735610906753129e-20,8.8750546374297528e-30,1.276040870310437e-33,2.2750510293660782e-41,2.6572793806250236e-35,1.3175225920636807e-50,6.1249092831168116e-68,3.4124334124010518e-100
5.818398963622829e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999867,0.099999999999999978,4.7051075219845196e-109,1.1217981289562116e-60,3.9514726194174498e-41,2.3868310932409084e-87,3.7083920384815385e-52,2.2354030052559754e-148,1.9226020333323695e-35,1.8319580279783103e-132,1.9225470633440945e-35,7.4616836031000419e-85,2.0419526667769363e-65,8.3569658346757622e-124,2.551609556084381e-125,6.7054783900326988e-55,4.8347328154288665e-103,1.4946531473811321e-16,6.539526429919058e-17,1.7189223921371327e-19,1.7189223928624904e-19,3.6252246751990393e-29,1.0460340704686772e-32,3.3397980024227937e-40,1.0855853320487598e-34,1.0801846224959714e-49,3.6454406392519245e-66,8.2392936574932865e-98
1.1718747208423446e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999957,0.099999999999999714,0.09999999999999995,2.326485156892661e-106,1.8287543447471871e-59,3.1991406763683948e-40,2.929516920159666e-85,3.0156028170810026e-51,1.0972517793450702e-145,3.8723945075438172e-35,1.2020384545454464e-130,3.8721723100623041e-35,1.2149417427753109e-83,3.3288982095235119e-64,2.0511481030621342e-121,6.2627144878362777e-123,5.4302702531245846e-54,1.5753272975474727e-101,3.0103577475421922e-16,1.3171158865893292e-16,3.4620549580759665e-19,3.4620549610084023e-19,1.46494972277364e-28,8.4687668912853491e-32,5.0920720020558824e-39,4.3881094836952092e-34,8.7476151323388545e-49,2.2377239810853932e-64,2.0370976002853064e-95
2.3519443698024676e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999912,0.099999999999999409,0.099999999999999881,1.1683256565439639e-103,2.953395487208213e-58,2.5735564907709292e-39,3.6648567449926483e-83,2.4321929177613708e-50,5.4900561692725025e-143,7.772316418134677e-35,7.7893385338774609e-129,7.7714229718344386e-35,1.9609208696107366e-82,5.376179501721763e-63,5.131618248402536e-119,1.5668229857384292e-120,4.3707539251392927e-53,5.0866363798125044e-100,6.0417669478640466e-16,2.6434423737841686e-16,6.9483200877318466e-19,6.9483200995264486e-19,5.887090935908138e-28,6.8127197196372945e-31,7.9387528434467149e-38,1.7644395249072741e-33,7.0408416879939854e-48,1.3999255273031586e-62,5.1151574728430379e-93
4.7120836677227135e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999826,0.099999999999998798,0.099999999999999742,5.9171786024444286e-101,4.7474589093230677e-57,2.0628893304022225e-38,4.6321013296729393e-81,1.9536696167720592e-49,2.7754347694742409e-140,1.5573508087986542e-34,5.0165129539212063e-127,1.5569924968721565e-34,3.1511471902869695e-81,8.6420515361723961e-62,1.297141980486536e-116,3.9605281850909633e-118,3.5072547686127627e-52,1.6350538094237179e-98,1.2104585348506698e-15,5.2960953481738198e-16,1.3920850338156456e-18,1.3920850385485372e-18,2.3582580937325177e-27,5.4608808025851432e-30,1.2523759181094112e-36,7.0761916687277631e-33,5.6498320445874493e-47,8.8477275067912034e-61,1.2953499192189752e-90
