Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CH4OX(60),CHOX(53),HOCOX(206),C2H4X(210),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661702806983e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5662443661687472e-65,3.2108186493412646e-36,2.4617276889194942e-88,2.0217177792539e-54,9.050755267245826e-132,5.7858913266682516e-20,-8.27517021404441e-106,5.7858913266682528e-20,3.034383865619639e-72,3.479881708541591e-70,5.7426475873422178e-112,6.6585867772597867e-113,8.4673092885418548e-51,1.481057796893156e-85,3.1598340914285671e-18,9.355707137760608e-20,3.7454032869989601e-22,9.739225479999804e-38,3.6062684692863627e-37,3.745403286942463e-22,3.7289565269663502e-54,2.8221836360877943e-33,4.6399269793148834e-41,3.6944013785683737e-45,5.0416684739167774e-76,2.4118060398661929e-52,2.5564288548007612e-98,1.0113342873295486e-105,6.5563869062537104e-87,-5.1483413714984689e-108,-4.5141413411032879e-122,5.1475640853439854e-115,2.9822226066476858e-102
1.8355852767859552e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.5038904363454915e-64,1.9393344663566832e-35,2.7202938124087547e-86,3.0552198937913987e-53,3.265794430606257e-129,1.6200495714671109e-19,1.5975338939363766e-104,1.6200495714671102e-19,8.5574479640564957e-71,1.0941304869110334e-68,1.1479908249241698e-109,1.3310927426741036e-110,1.0052389587353741e-49,7.6663816676182578e-84,8.8475354559999847e-18,2.6195979985729702e-19,1.0487129203688727e-21,5.8824921899178701e-37,2.1781861554466557e-36,1.0487129203347476e-21,4.4270171887969796e-53,1.7045988891224209e-32,5.5085212270352458e-40,4.3860200905270204e-44,3.067111377414468e-74,2.8632961334422504e-51,2.4074704387756179e-96,2.0217198863847152e-103,3.7761431697604778e-85,5.210286832078631e-106,1.4532792146243001e-119,8.7772005985472558e-113,2.8084539702577682e-100
4.195623489796469e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.9233308547746521e-63,9.3370606646027862e-35,2.4611490094845231e-84,3.2866661431002328e-52,1.182481431980577e-126,3.7029704490676829e-19,1.6868270830003553e-102,3.7029704490676781e-19,1.8614318494031654e-69,2.4409449282005348e-67,2.0783470660662036e-107,2.409838681924453e-108,9.8694957067146113e-49,3.3474422658512036e-82,2.0222938185142804e-17,5.9876525681667887e-19,2.3970581037434805e-21,2.8321667695809206e-36,1.0487028708650118e-35,2.3970581035791844e-21,4.3464717277778081e-52,8.2069096076242143e-32,5.4082986303865436e-39,4.3062772459176768e-43,1.3846586541667573e-72,2.8112011290986613e-50,2.1041415902406591e-94,3.6601647879371064e-101,1.6933810918840966e-83,1.0911281979599261e-103,7.5893733200722711e-117,1.5340429311985043e-110,2.4546032662212606e-98
8.915699915817497e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2319888400142412e-61,4.0777397180590715e-34,1.8626828612719007e-82,3.0210124281391541e-51,3.585575635704836e-124,7.8688122042688265e-19,1.3332962256169054e-100,7.8688122042688101e-19,3.450780937038711e-68,4.571619705764134e-66,3.1493368549220915e-105,3.6516488989276352e-106,8.7294571840945668e-48,1.2461688251209881e-80,4.2973743643428376e-17,1.2723761707354426e-18,5.0937484706393142e-21,1.2368816359568498e-35,4.5799609559578967e-35,5.0937484699217909e-21,3.8444050209274649e-51,3.5841727981751316e-31,4.7835785795184473e-38,3.8089543432604376e-42,5.2283439247565262e-71,2.4864755738247636e-49,1.5697549120297038e-92,5.5462786027768393e-99,6.370922894054535e-82,1.7535499645414825e-101,2.6776490050237575e-114,2.2911315489447775e-108,1.8312101957070552e-96
1.8355852767859552e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.0779447991346061e-60,1.7023760779368335e-33,1.2941180595477577e-80,2.5845397355060416e-50,9.9733894320817084e-122,1.6200495714671115e-18,9.4499314686131958e-99,1.620049571467105e-18,5.9310107523957419e-67,7.8963361596802231e-65,4.3786825965422282e-103,5.0770724819033212e-104,7.3376347524644684e-47,4.2932405486310482e-79,8.8475354559999255e-17,2.61959799857297e-18,1.0487129205017457e-20,5.1637373494677583e-35,1.9120435423834227e-34,1.0487129202021939e-20,3.2314540627582004e-50,1.4963213861630663e-30,4.0208855034047977e-37,3.2018253505977853e-41,1.8140500235496751e-69,2.090032559658083e-48,1.0828081116293576e-90,7.7112721541034746e-97,2.2060483269067059e-80,2.5072043142160834e-99,7.9896413207075118e-112,3.1625671507129913e-106,1.2631584955147583e-94
3.723615847194366e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.4130431471033413e-59,6.9547618816940285e-33,8.6261349736096886e-79,2.1369474334129815e-49,2.660395276695518e-119,3.2863862735475688e-18,6.3593706643510706e-97,3.2863862735475437e-18,9.8302153623319607e-66,1.3119880627353015e-63,5.8391531389617539e-101,6.7704847441270373e-102,6.0158362912564984e-46,1.4247700083200362e-77,1.7947857639313996e-16,5.3140416542480221e-18,2.1273890676119636e-20,2.1095551958460504e-34,7.811321754940339e-34,2.1273890663881973e-20,2.6493412766985796e-49,6.1129594453313054e-30,3.2965640065516504e-36,2.625328191753762e-40,6.0421743750759338e-68,1.713534997138908e-47,7.1909825969121643e-89,1.0283298231861563e-94,7.3396617369423172e-79,3.38945849228471e-97,2.2046666682180862e-109,4.201747824990636e-104,8.3886984698745677e-93
7.499676988011188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.5327001395345573e-58,2.8112260561194472e-32,5.6343627446795304e-77,1.7377301633254074e-48,6.9524262501778153e-117,6.6190596777084867e-18,4.1726156985685647e-95,6.6190596777083858e-18,1.6005957400503827e-64,2.1388716704094013e-62,7.6291508914063883e-99,8.8459830545688848e-100,4.8717801996948778e-45,4.6424056371890833e-76,3.6148502005941724e-16,1.0702928965598121e-17,4.2847413627707581e-20,8.5271593903668516e-34,3.1574611455224213e-33,4.2847413578240992e-20,2.1455052543873935e-48,2.4709546077785413e-29,2.6696416074550892e-35,2.1265096330884585e-39,1.9726779028451403e-66,1.3876651161265097e-46,4.6875003429756643e-87,1.3435652739579461e-92,2.3945685188937812e-77,4.4585197406838607e-95,5.8581774547056123e-107,5.478673390363486e-102,5.4682411402201055e-91
1.5051799269644832e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,0.0,8.9102511310104767e-57,1.1303817185616637e-31,3.6439409421460858e-75,1.4015423303185488e-47,1.7987604394130425e-114,1.3284406486030331e-17,2.7037928752853361e-93,1.3284406486029923e-17,2.5833679775468755e-63,3.4542834591877284e-61,9.868845253103796e-97,1.1442903557374008e-97,3.9212325399273161e-44,1.499004648636345e-74,7.2549790739195498e-16,2.1480703588298296e-17,8.5994459568417922e-20,3.4287332869768535e-33,1.2696012395041966e-32,8.5994459369514823e-20,1.7268892829959286e-47,9.9355890424971438e-29,2.1487575748239428e-34,1.7123256392943392e-38,6.3780142459761956e-65,1.1169136885526323e-45,3.0275674210530104e-85,1.7379965298308794e-90,7.736854489624825e-76,5.7868292064052068e-93,1.5282050196602671e-104,7.0776522761560284e-100,3.5318330556203191e-89
3.015604383291212e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996385,0.022821567693054264,0.0,1.4302932889110002e-55,4.5333369537403741e-31,2.3457992344715646e-73,1.1257950188505806e-46,4.6320853279533222e-112,2.6615100102674058e-17,1.7411669231215849e-91,2.6615100102672425e-17,4.1514029874997457e-62,5.5526597688266014e-60,1.2706667254856552e-94,1.4733351693830241e-95,3.1465421625547909e-43,4.8184164971117693e-73,1.453523682056964e-15,4.3036252833698556e-17,1.7228855159997695e-19,1.3750754018578068e-32,5.0916688127090118e-32,1.7228855080228571e-19,1.3857198931557667e-46,3.9846069565706396e-28,1.7242390277546814e-33,1.3751981171139328e-37,2.0527847151220123e-63,8.9625302101273257e-45,1.9465095605795816e-83,2.2377636920927522e-88,2.487738088540941e-74,7.4633873768945334e-91,3.9515234467716064e-102,9.1011781749924369e-98,2.2707163201895424e-87
