Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),CHOX(50)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0397708793653683e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-4.1875592526242426e-122,1.5236770617354996e-68,5.8179384369847922e-46,1.121774019378301e-97,3.6691020838780964e-57,4.1078909214885231e-154,3.4356701159718476e-37,-2.6071504151091569e-141,3.435667501258107e-37,2.4449741405060597e-91,6.1794366335070216e-74,1.3776709531994369e-135,4.2088062150657988e-137,1.0608776647582327e-61,5.4151708298012371e-111,2.6710042180247455e-18,1.1686392062802507e-18,3.0717822183981172e-21,3.0717822184326158e-21,1.7248639643892914e-32,1.5401250640020937e-37,7.2529324757126315e-46,5.1637174609539696e-38,4.9024005918337454e-75,1.5899917481067143e-54,-2.0849311700996967e-109,-1.7193342231422178e-108
2.9113584622230316e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,8.9118701619180389e-120,4.50400152058855e-67,6.9070019993987557e-45,1.4509463796605039e-95,5.5447470676967005e-56,1.479719213750172e-151,9.6198848006279894e-37,5.033131596580586e-140,9.6198690077569984e-37,6.8952182703384884e-90,1.9429137403454451e-72,3.2247693588652256e-133,9.8409902143757488e-135,1.2594739636035923e-60,2.8030483777269199e-109,7.4788118104692828e-18,3.2721897775847019e-18,8.6009902114588433e-21,8.6009902116672123e-21,1.0418088526204259e-31,1.8284220386906162e-36,1.0117002098061965e-44,3.1188853464232788e-37,3.4955181169759705e-73,1.8876382033562132e-53,2.4766407253275758e-107,2.0423567024112104e-106
6.654533627938358e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,4.9360051468908649e-117,9.8678402908549831e-66,6.7812200222355915e-44,1.7268599483267018e-93,5.9647858739025218e-55,1.8574881201803198e-148,2.1988348073567541e-36,5.3144627253776528e-138,2.1988272037691965e-36,1.4998605841332774e-88,4.3345336745700287e-71,7.6806952511422777e-131,2.3422954353206277e-132,1.2365590060500534e-59,1.2239206217494394e-107,1.7094426995358328e-17,7.4792909201936043e-18,1.9659406197356751e-20,1.9659406198359962e-20,5.0157696826931182e-31,1.7951250197360637e-35,1.3123534671686768e-43,1.5016090376556843e-36,2.0787084375513286e-71,1.8532943816049531e-52,6.8142653372627309e-105,5.6193699565066862e-104
1.414088395936901e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,2.3527943383052004e-114,1.8350860132846236e-64,5.9977068510672262e-43,1.936112031769657e-91,5.4826658599440118e-54,1.8812607365412702e-145,4.6725410233955694e-36,4.2006504465940898e-136,4.6725078165310657e-36,2.7804887477224194e-87,8.1181018601749625e-70,1.7250645478472952e-128,5.2536017179531917e-130,1.0937224372753877e-58,4.5563496010555815e-106,3.6325657365136311e-17,1.5893493205411406e-17,4.1776238168258386e-20,4.1776238172639727e-20,2.1904380229381339e-30,1.5877133538859047e-34,1.7283142691569048e-42,6.5579211755160195e-36,1.1646903099187247e-69,1.639217892652417e-51,1.6235667520248027e-102,1.3388709976319396e-101
2.9113584622230316e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999936,0.099999999999999992,1.1109396546468138e-111,3.1595628321392217e-63,5.0410883810425297e-42,2.2196078966375722e-89,4.6905360726609748e-53,1.8288744696303035e-142,9.6200077012768151e-36,2.9772872341554705e-134,9.6198690691543024e-36,4.7789497389230249e-86,1.4022002133710353e-68,3.9656646105422276e-126,1.2044554964452801e-127,9.1933961026608184e-58,1.5697315215194867e-104,7.4788118104691845e-17,3.2721897775846991e-17,8.6009902106484905e-20,8.6009902124776834e-20,9.1439759185718325e-30,1.3344772393999567e-33,2.407436247730351e-41,2.7378029978911201e-35,6.6774757562064642e-68,1.377861409085083e-50,3.83299269532013e-100,3.1608695787707591e-99
5.905898594795292e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999853,0.099999999999999978,5.3719765227493632e-109,5.2416911900234436e-62,4.1324221552677424e-41,2.6449647428495422e-87,3.8782259301695964e-52,1.794053966274767e-139,1.9515158040253732e-35,2.0035979449338147e-132,1.9514591682798772e-35,7.9207587191314156e-85,2.329776626066853e-67,9.5008594117881154e-124,2.8700689257708347e-125,7.5373015668138963e-57,5.2093666013418244e-103,1.5171303958380123e-16,6.6378706916718137e-17,1.7447722996863097e-19,1.7447723004336497e-19,3.7350637654062494e-29,1.0939350420646781e-32,3.5390483517370167e-40,1.1184818569911982e-34,3.979888609701972e-66,1.1296540300861477e-49,9.2677287053533924e-98,7.6426135076831882e-97
1.1894978859939814e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999957,0.0999999999999997,0.09999999999999995,2.658438810017202e-106,8.5389387132703302e-61,3.3456251372788387e-40,3.249051832071036e-85,3.1537089171982563e-51,1.7882133035106627e-136,3.930632665106499e-35,1.3146603017822996e-130,3.9304037343679707e-35,1.2896902246391914e-83,3.7981239053337955e-66,2.3590027128542983e-121,7.0502455648004376e-123,6.1039022269590576e-56,1.6973962622692004e-101,3.0556288254201316e-16,1.3369232519846026e-16,3.5141188563569524e-19,3.5141188593782636e-19,1.5093290241619488e-28,8.8565406262126969e-32,5.4002844763113587e-39,4.5210824961497208e-34,2.4450493680351003e-64,9.1482312188424239e-49,2.2932767284807891e-95,1.8911459627161147e-94
2.3873139390228855e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999912,0.099999999999999395,0.099999999999999881,1.335631026471638e-103,1.3785348841086043e-59,2.6913744296810883e-39,4.0664384390661857e-83,2.5435804906243254e-50,1.8031555268668023e-133,7.8892135604114974e-35,8.5191452924416018e-129,7.888293039980956e-35,2.0815652205856126e-82,6.1339802510794389e-65,6.0303658939381638e-119,1.7646510139925552e-120,4.9129515404145655e-55,5.4807896695245416e-100,6.1326256845840966e-16,2.6831956176194378e-16,7.0528119674091237e-19,7.0528119795612447e-19,6.0653821892163905e-28,7.1246074001772781e-31,8.4229993598349617e-38,1.8179073875225103e-33,1.5303163793081366e-62,7.3632923640499137e-48,5.7610215023510935e-93,4.7508146087154687e-92
4.782946045080694e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999823,0.099999999999998784,0.099999999999999742,6.7660512915710416e-101,2.2155502498740762e-58,2.1572938615346e-38,5.1408328121676119e-81,2.0431421726210011e-49,1.8300891956074556e-130,1.5807764043590682e-34,5.4865318006144675e-127,1.5804072344954113e-34,3.3450194231438356e-81,9.8601940995302311e-64,1.5883155889538034e-116,4.4616000269260075e-118,3.942334205370406e-54,1.7617508621548062e-98,1.2286619402910938e-15,5.3757403488890801e-16,1.4130198180357012e-18,1.413019822912098e-18,2.4296360336905439e-27,5.7107884656723526e-30,1.3290613256190156e-36,7.2906217050336865e-33,9.673986173841213e-61,5.9085783997942604e-47,1.4592355966737841e-90,1.2033556589179397e-89
9.57421025719631e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999646,0.099999999999997549,0.099999999999999478,3.4400719716194408e-98,3.5528162773001136e-57,1.7246831565003804e-37,6.5286285364055147e-79,1.6378313363539319e-48,1.8625756703874042e-127,3.1650419780211412e-34,3.5228144526373491e-125,3.1635633729889192e-34,5.3636696880448157e-80,1.5813067412140919e-62,4.3574144982109223e-114,1.1331861784919283e-115,3.1586647680277124e-53,5.6502707998074505e-97,2.4594606839560252e-15,1.0760829811428249e-15,2.8284970569626941e-18,2.8284970765165006e-18,9.7084341567155539e-27,4.5655803302781899e-29,2.1082056063426323e-35,2.9200514517982609e-32,6.1429872000499363e-59,4.7340528347714857e-46,3.7096316560148233e-88,3.0591402112853412e-87
1.9156738681427545e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999929,0.099999999999995079,0.099999999999998937,1.7496382250737395e-95,5.6908629014145237e-56,1.3747854191550048e-36,8.2975950248147878e-77,1.3115934002990529e-47,1.8954555889202889e-124,6.3357950334387374e-34,2.258811342607087e-123,6.3298767599714458e-34,8.5911929791324099e-79,2.5330351883884856e-61,1.2719725381247929e-111,2.8804488270740654e-113,2.5288524205672452e-52,1.8101160136993554e-95,4.9210581712841408e-15,2.1531008736506129e-15,5.6594515201663473e-18,5.6594515986137234e-18,3.86778464103418e-26,3.6393295592809493e-28,3.3479009849123401e-34,1.1687815694472609e-31,3.903755437296458e-57,3.790120778713828e-45,9.4336946615634548e-86,7.7794773012597247e-85
3.832179552989002e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039998583,0.099999999999990152,0.099999999999997854,8.8730374719353932e-93,9.1104694369081806e-55,1.0907474215224799e-35,1.0517772323451927e-74,1.0498063022521618e-46,1.922918230819654e-121,1.268618877655574e-33,1.4476849695763492e-121,1.2662507973918589e-33,1.375337007297641e-77,4.0552133568388043e-60,4.0579892525249919e-109,7.3024106171818318e-111,2.0238505107177679e-51,5.7956201468389765e-94,9.8442531459333873e-15,4.3071366586660084e-15,1.1321360387972323e-17,1.1321360703295229e-17,1.5333054482929499e-25,2.8874220209484565e-27,5.3031257662612445e-33,4.6766486971473755e-31,2.4740868186692856e-55,3.0332485246197475e-44,2.3920673193533167e-83,1.9726135744898732e-82
7.665190922681496e-20,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039997164,0.099999999999980299,0.099999999999995703,4.4662961372661467e-90,1.4580823602367574e-53,8.5793776866570261e-35,1.3234209076899677e-72,8.4005771030949792e-46,1.9360207329505959e-118,2.5422526791181081e-33,9.2806593697781341e-120,2.5327788161741635e-33,2.2011362451264229e-76,6.4902275991333167e-59,1.4406440128605979e-106,1.8377361058636761e-108,1.6193879092496575e-50,1.8551183960509874e-92,1.9690643095203937e-14,8.6152082286960714e-15,2.2645177889178936e-17,2.2645179161835711e-17,6.0226226975181862e-25,2.271125111776637e-26,8.3385742759926161e-32,1.8709640126264114e-30,1.5564445271506518e-53,2.4270596867141512e-43,6.0202171824195091e-81,4.9645605392625809e-80
1.5331213662066482e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039994328,0.099999999999960579,0.099999999999991401,2.2139546193644577e-87,2.3332576830230659e-52,6.6382586803988213e-34,1.640019381185069e-70,6.7213122006358993e-45,1.9194560579408014e-115,5.1037404928109816e-33,5.9560018668700409e-118,5.0658419577106051e-33,3.522295555277013e-75,1.0385873279589745e-57,5.6495729228731425e-104,4.5550243559130606e-106,1.2956333492394774e-49,5.9372106943269178e-91,3.9383422993633268e-14,1.7231351368753288e-14,4.5292811953970903e-17,4.5292817129888265e-17,2.3243697891577001e-24,1.7572673815049339e-25,1.2911226401972418e-30,7.4844652135870007e-30,9.6427558506528531e-52,1.941832128494443e-42,1.4920728041793644e-78,1.2304351362682667e-77
3.0663259140836457e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039988657,0.099999999999921152,0.099999999999982783,1.0660798235506163e-84,3.7334732226483578e-51,4.9819514249727958e-33,1.9743508926289129e-68,5.377389572953019e-44,1.8485370068894028e-112,1.0283596958558157e-32,3.8317099042652514e-116,1.0131996656673697e-32,5.6360545445845336e-74,1.6618604295030051e-56,2.361295841006223e-101,1.0968510319358151e-103,1.0365559042452178e-48,1.9000403848037352e-89,7.8768982790044861e-14,3.4463637648856094e-14,9.0588076333070095e-17,9.0588097653476889e-17,8.6819752150281087e-24,1.3188031065606578e-24,1.9414537250353489e-29,2.9939079641350748e-29,5.8028684057480833e-50,1.5535394785826432e-41,3.5921559612690402e-76,2.9622655149329117e-75
6.132735009837641e-19,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039977316,0.099999999999842284,0.099999999999965547,4.8777224007436678e-82,5.9737665484596308e-50,3.5442374052166314e-32,2.2585716693020932e-66,4.3020469225433226e-43,1.6914836761749939e-109,2.0870833205819811e-32,2.4773750246282016e-114,2.0264419718186796e-32,9.0179912582181137e-73,2.6590731436479726e-55,9.98226602312403e-99,2.5100469685911469e-101,8.2926443545416061e-48,6.0803410846235954e-88,1.5754010238107974e-13,6.8928210209015206e-14,1.8117859008933192e-16,1.8117867947980097e-16,3.0621693388773942e-23,9.3820304104894091e-24,2.7724529156622806e-28,1.1975875952368447e-28,3.3176589189977703e-48,1.242861126298315e-40,8.2168461550876842e-74,6.7760099987529408e-73
