Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-5.1439011172098084e-122,8.3685322048456813e-66,7.8555008398669105e-42,1.5717861822951327e-91,4.7002072700126933e-59,7.3728934491400867e-141,7.2341660732108179e-25,-9.7012940764459361e-120,7.2341660732107995e-25,1.5049651304130413e-81,6.8085497761441949e-73,3.3503291819924894e-119,2.024423881679777e-120,1.0673648747294618e-54,9.592907827816009e-97,2.8689670379046562e-18,1.3794248471136902e-19,5.3170486719014719e-23,5.3170486719478298e-23,2.318278974463362e-34,1.4598268272585733e-41,4.9052590891998447e-47,6.2640575049824983e-38,2.2548814832932845e-54,1.5301281381388637e-77,-5.8653747771851585e-110,5.3574948125156229e-58
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,9.3204927480634674e-120,1.8720853031237766e-64,4.7447511093198339e-41,1.7371513900449876e-89,7.1029532263693863e-58,2.6607853933826408e-138,2.0255665004990342e-24,1.8725338714533663e-118,2.0255665004990235e-24,4.2442424621431082e-80,2.1407169961388266e-71,6.6985651877039498e-117,4.0475829694177072e-118,1.267175579257618e-53,4.9655653673742079e-95,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736281249028e-22,1.4887736281529033e-22,1.4002404154326003e-33,1.7331063118374934e-40,5.8245002260264996e-46,3.7834907329403124e-37,2.6769952969122189e-53,9.310051587374428e-76,5.9369004727440517e-108,6.3604529535664832e-57
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.9359597604718656e-117,3.6989941594160928e-63,2.2844225472884412e-40,1.5722002772392827e-87,7.64103295448555e-57,9.6374633977471698e-136,4.6298662868549617e-24,1.9772142618371252e-116,4.629866286854911e-24,9.2321544135062345e-79,4.7758218581707094e-70,1.2131348286678578e-114,7.3303218443507062e-116,1.2441204979189442e-52,2.1681601717142728e-93,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111499643768e-22,3.4029111500991891e-22,6.7415539805905562e-33,1.7015738476525867e-39,5.7205975635316733e-45,1.8215879223452358e-36,2.6282898567605922e-52,4.2045004233097002e-74,1.2437172572171115e-105,6.2448048011140764e-56
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.2669020496222427e-114,6.582218913314524e-62,9.9769293980935912e-40,1.1907101009645919e-85,7.0234257189502063e-56,2.9243055214611158e-133,9.8384658595669041e-24,1.5628232102700515e-114,9.8384658595666793e-24,1.7114858364763837e-77,8.9445857891360722e-69,1.8395268345899175e-112,1.1115272119975412e-113,1.1004104911130813e-51,8.0715166964261495e-92,3.9017951715503193e-17,1.8760177920746187e-18,7.2311861935231762e-22,7.2311861941119399e-22,2.9442129778482574e-32,1.5050224312106338e-38,5.0634838043352131e-44,7.9553530302564676e-36,2.3246926136673168e-51,1.5886758956093389e-72,2.0001490003837927e-103,5.5235914319139364e-55
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,3.6291780691107833e-112,1.1101920209819562e-60,4.1653855434208161e-39,8.2839018667457522e-84,6.0086885706133445e-55,8.1451126070361047e-131,2.0255665004991134e-23,1.1076737460373333e-112,2.0255665004990203e-23,2.9416068661595804e-76,1.5449547586480106e-67,2.561073770528538e-110,1.5475192502477925e-111,9.2496132235217633e-51,2.7807598833486655e-90,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736280160178e-21,1.4887736282618156e-21,1.2291503245128576e-31,1.2650614198918282e-37,4.2623540728756429e-43,3.3212032881775452e-35,1.9540442146855356e-50,5.5197452610980914e-71,2.8637178054626364e-101,4.6431339938486436e-54
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,9.8413497060581379e-110,1.8234974425927088e-59,1.7018707220028907e-38,5.5368481563809846e-82,4.9680999060510428e-54,2.178606903868106e-128,4.1090063295840991e-23,7.4541365179958081e-111,4.1090063295837164e-23,4.875497652682353e-75,2.5669654372944053e-66,3.4245946956389559e-108,2.0692985406284572e-109,7.5833917565320238e-50,9.2283281979755893e-89,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836451511788e-21,3.0200836461553452e-21,5.0214749335931858e-31,1.0371727704446357e-36,3.5046878077584506e-42,1.3568199109928926e-34,1.602043505021148e-49,1.8435618337006472e-69,3.8820473814689869e-99,3.8070867758542649e-53
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,2.6034838622898758e-107,2.9559709222711295e-58,6.8806468701457157e-38,3.6362306969005812e-80,4.0399763342232192e-53,5.7242108477168946e-126,8.2758859877546293e-23,4.8909316167655859e-109,8.2758859877530811e-23,7.9384840347127448e-74,4.1848015283095369e-65,4.498695560541344e-106,2.7183199722905275e-107,6.141227253578824e-49,3.0069163854864295e-87,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036786525477e-21,6.0827036827115527e-21,2.0297562474700117e-30,8.3992775867754213e-36,2.8546307836994392e-41,5.4844830136573898e-34,1.2973763652469551e-48,6.0520075647537324e-68,5.1344128719493284e-97,3.0836687641587046e-52
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,6.8319711578337497e-105,4.7605024359572796e-57,2.7678144163859361e-37,2.377154629899666e-78,3.2583872697085027e-52,1.4969422097573537e-123,1.6609645304097918e-22,3.1692508983217976e-107,1.6609645304091695e-22,1.2812745229835939e-72,6.7584656363644267e-64,5.8821782415945731e-104,3.5542842096121443e-105,4.9429939626306064e-48,9.709150792810419e-86,6.5871483190285983e-16,3.167159448973023e-17,1.2207943742579466e-20,1.2207943758900578e-20,8.1615267653911831e-30,6.760442900475141e-35,2.3241258879813667e-40,2.2052864954124744e-33,1.044241366491697e-47,1.9780840470793738e-66,6.7365658284594335e-95,2.482956572914189e-51
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.8001096605151971e-102,7.6416626041503427e-56,1.1109289983985373e-36,1.5630608875591594e-76,2.6173138504600339e-51,3.9369058484249962e-121,3.3277163936793416e-22,2.0409088577369736e-105,3.3277163936768468e-22,2.0589737592019687e-71,1.0864036089644099e-62,7.7351296486257116e-102,4.6739231693034805e-103,3.9664413469034985e-47,3.1209197610707905e-84,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423858130032e-20,2.4458423923585262e-20,3.2731101286793393e-29,5.4247872662528821e-34,1.907446346767648e-39,8.8441851630664779e-33,8.3793793025526674e-47,6.5038740514450498e-65,8.8749972351080191e-93,1.9939435874092962e-50
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,4.825561906002733e-100,1.2246586899351655e-54,4.4568129041271393e-36,1.0465317694664388e-74,2.0981010043690921e-50,1.0541506467447969e-118,6.66122012022201e-22,1.3102244918884552e-103,6.6612201202120174e-22,3.3015219798125829e-70,1.7422956632469179e-61,1.0356541465166963e-99,6.2579014582276801e-101,3.1779798005966186e-46,1.0009384519357596e-82,2.6417448485018057e-15,1.2701743992222695e-16,4.8959384040018064e-20,4.8959384302182575e-20,1.3109295588737021e-28,4.3463632555622418e-33,1.5963508091884736e-38,3.5422871500658106e-32,6.7137002193547494e-46,2.1779048058900383e-63,1.1896397625486358e-90,1.600028644499703e-49
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,1.3408663924994413e-97,1.9610496192632625e-53,1.7897320445998649e-35,7.2657352289558101e-73,1.6801824298847002e-49,2.9262819729119664e-116,1.3328227573321624e-21,8.3983971093630007e-102,1.3328227573281629e-21,5.2881728634746418e-69,2.7909171977043803e-60,1.4376591100695873e-97,8.6870014198571129e-99,2.5443161645874698e-45,3.206598032653411e-81,5.2857848706323213e-15,2.5414523383221969e-16,9.7961304206941776e-20,9.7961305256300474e-20,5.246960609069932e-28,3.4796245858131207e-32,1.3870452561487966e-37,1.4178379925730781e-31,5.3750423328477027e-45,7.5643309041897151e-62,1.6530288013784107e-88,1.2849143731474133e-48
