Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49),COX(50),CHOX(53)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-6.5089554735533632e-122,9.4136390676434165e-66,8.3315960907359288e-42,1.8752476604905673e-91,5.1339092296104366e-59,9.3294788132399182e-141,7.4501611959771282e-25,-1.1574174399010692e-119,7.4501611959771098e-25,1.6929126907716814e-81,7.6588491040420308e-73,4.1165164249499813e-119,2.4873887740663058e-120,1.1658555583087956e-54,1.1113102597458525e-96,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950019199e-23,5.4758013950510897e-23,2.4587811592641388e-34,1.594529794550833e-41,5.3579128938852326e-47,6.6436973537655605e-38,1.7726198261925257e-77,2.4629459258495311e-54,-7.2067203991976612e-110,5.8518493830951727e-58,3.6438471700102577e-109,-5.8048446553028277e-111
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1793962269742009e-119,2.1058812844397336e-64,5.0323152800434848e-41,2.0725497009745797e-89,7.7583636276715877e-58,3.3669089835634934e-138,2.0860451348736017e-24,2.2340462357151147e-118,2.0860451348735907e-24,4.7742846539379851e-80,2.4080647092833878e-71,8.2305009613646314e-117,4.9732476643489521e-118,1.3841037188003559e-53,5.7524619617181818e-95,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905925734e-22,1.5332243906222715e-22,1.4851037271958236e-33,1.8930256624325173e-40,6.3620127906169779e-46,4.0127932015989057e-37,1.0785543322565362e-75,2.9240094031083058e-53,7.2946395031223746e-108,6.9473550847539126e-57,7.285453169364873e-107,5.8756614313002805e-109
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.9805357719635565e-117,4.1609442469060703e-63,2.4228750050386469e-40,1.8757706706437108e-87,8.3460935560984171e-57,1.2195197441969822e-135,4.7681031654254033e-24,2.3589357143139562e-116,4.768103165425349e-24,1.0385111956325313e-78,5.3722598993609939e-70,1.4905897315596834e-114,9.00682951820498e-116,1.358921238690809e-52,2.5117500207798529e-93,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927454788e-22,3.5045128928884626e-22,7.1501342161445446e-33,1.8585835885879728e-39,6.2485889379870032e-45,1.9319871903617847e-36,4.8708971480096875e-74,2.8708097709834157e-52,1.52816518648636e-105,6.8210380820652749e-56,1.3194362937010308e-104,1.2309012998088122e-106
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6031629539739444e-114,7.4042414610895032e-62,1.058161127425797e-39,1.4206500406355356e-85,7.6714978830428361e-56,3.700479346355289e-133,1.01322192265291e-23,1.8645422242387735e-114,1.0132219226528862e-23,1.9252247338334142e-77,1.0061648231075241e-68,2.2602909374184455e-112,1.3657718621758427e-113,1.2019504462387964e-51,9.3506155561930844e-92,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898969238586e-22,7.4470898975483075e-22,3.1226506307703904e-32,1.6438957231152938e-38,5.5309457799749704e-44,8.4374956381121053e-36,1.8405140392821721e-72,2.5391987313215546e-51,2.4576510781723944e-103,6.0332797663058679e-55,2.0007583803078093e-102,1.9795804358883511e-104
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.592628417972757e-112,1.2488387122618623e-60,4.4178480622121201e-39,9.8840373944954272e-84,6.563127951199612e-55,1.03074347134218e-130,2.0860451348736858e-23,1.3215214981015698e-112,2.0860451348735867e-23,3.3089694201567869e-76,1.7378995160665376e-67,3.147013435294221e-110,1.9015704254461235e-111,1.0103117728598206e-50,3.2214288344014326e-90,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243904770896e-21,1.5332243907377843e-21,1.3036444732969329e-31,1.3817927123087521e-37,4.6560571761692631e-43,3.5224883359133576e-35,6.3950121278700186e-71,2.1343495314946841e-50,3.518896811575118e-101,5.0715855461664085e-54,2.7856650658561739e-100,2.8343890404506551e-102
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.2455017468011674e-109,2.0512255132129072e-59,1.8050260292221808e-38,6.6069134867275677e-82,5.4265211076292089e-54,2.757202983719834e-128,4.2316915593153848e-23,8.893233854741337e-111,4.2316915593149798e-23,5.4843741447209665e-75,2.8875460373273246e-66,4.2084494841704684e-108,2.5429389608436757e-109,8.2831463160886776e-50,1.0690747780188252e-88,1.678227937523407e-16,8.069069060587526e-18,3.110255191842607e-21,3.1102551929076319e-21,5.3258073580364975e-31,1.1328760100197374e-36,3.8287372880970343e-42,1.4390514207233731e-34,2.136077008706482e-69,1.7498686972601455e-49,4.7706094091240734e-99,4.158402827712852e-53,3.7252242319269881e-98,3.8426142448475206e-100
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.2954689874859054e-107,3.325128311308906e-58,7.2977475249084918e-38,4.3397024552422976e-80,4.4127568419222974e-53,7.2456540842471918e-126,8.5229844081993736e-23,5.8351760167050887e-109,8.5229844081977349e-23,8.9298815606879876e-74,4.7074288162369137e-65,5.5293207305378802e-106,3.3410701878318865e-107,6.7079066378241409e-49,3.4834245145417569e-87,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167937580846e-21,6.264316798063091e-21,2.1527718910788191e-30,9.1743051837877023e-36,3.1191080363553063e-41,5.8168759233600811e-34,7.013450618252139e-68,1.4170890384363806e-48,6.3106866988210396e-97,3.3682474420522431e-52,4.8944295616558075e-96,5.0831104548528302e-98
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,8.65069939853732e-105,5.3550193291716531e-57,2.9356336297908153e-37,2.8379748181743136e-78,3.5590482538148422e-52,1.8954345787477618e-123,1.7105570105969721e-22,3.781107216687449e-107,1.7105570105963124e-22,1.4412864832545954e-72,7.6025101007863527e-64,7.2321162397902642e-104,4.3699776386749739e-105,5.3991068303458744e-48,1.1247766665445898e-85,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439994326809e-20,1.2572440011637084e-20,8.6561641359790711e-30,7.3842492367066585e-35,2.5403059869285703e-40,2.3389402222333627e-33,2.2930878581683535e-66,1.1405965404604083e-47,8.2826158224503662e-95,2.7121291010729155e-51,6.4017056012511475e-94,6.6714531952853895e-96
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.2807642041712142e-102,8.5959941202572331e-56,1.1783161265455602e-36,1.8672510401790993e-76,2.8588211031314656e-51,4.988075643963579e-121,3.4270741501519878e-22,2.4349271982222903e-105,3.427074150149342e-22,2.3161086833258826e-71,1.2220812909827637e-62,9.5163304626687626e-102,5.7502050432297735e-103,4.3324431971083055e-47,3.6154940840809382e-84,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686382415327e-20,2.5188686451837569e-20,3.4714793334420395e-29,5.9253472695598084e-34,2.0862225799393378e-39,9.3801963836758109e-33,7.5444194862590614e-65,9.1525688883725555e-47,1.0918775097918974e-92,2.1780308459332342e-50,8.4236403174832702e-92,8.7948177357115343e-94
