Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),COX(37),CX(24),CO2X(34),HOCXO(25)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1749041430929425e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-4.6017546833039426e-125,3.7400302908930759e-73,4.0534700889124492e-58,3.3823837066185072e-106,1.011483214734351e-55,-8.7501709693557824e-117,1.4600677311922382e-42,0.0,1.348479889559628e-48,-3.8707143559472672e-116,5.1388562152332197e-76,1.0191322949246161e-99,-2.8457288912808968e-113,1.7861414067863873e-64,-6.7741780049440211e-157,3.0181398462429941e-18,3.7527534326550241e-19,3.7684975795059914e-22,3.7684975795261027e-22,1.0054977251278266e-33,5.2966374041989364e-42,8.7580539380943769e-39,3.4511947806965401e-74,1.0756110861237482e-77,1.3596577814827843e-87,1.0651958495944761e-89,7.725745449481867e-123,4.9068821828031254e-63,-8.3854253802663474e-142,-2.0157939757945188e-126
3.289731600660239e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,8.49689498162702e-123,1.1759253612226152e-71,6.1256039966409916e-57,6.761554429825186e-104,1.5285534340633137e-54,8.8554594123169487e-115,8.8188090963784018e-42,0.0,8.144818532961133e-48,1.1546552759501711e-114,1.6157385883744282e-74,1.1261695421776011e-97,2.8799515583930526e-111,2.1205070781362276e-63,-4.0465542219372981e-155,8.4507915694795591e-18,1.0507709611434067e-18,1.0551793222584198e-21,1.0551793222705663e-21,6.0732062288664391e-33,6.2881678969608159e-41,5.2898645786074478e-38,9.7329214700858446e-73,6.5434670391914467e-76,1.5024596795885055e-85,6.1349826994505605e-88,2.7876731203663718e-120,1.0976499118777232e-61,2.7785980347250398e-139,6.4895945366123701e-124
7.519386515794832e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,3.541747093025674e-120,2.6234247665397684e-70,6.5896452517329884e-56,1.2241104941969151e-101,1.644348032460841e-53,1.854468222675693e-112,4.2458769622729489e-41,0.0,3.9213795188708707e-47,1.4896083254662485e-112,3.6046239070686448e-73,1.0188735111089491e-95,6.0310612984007105e-109,2.0819264237484414e-62,9.1215386669101427e-153,1.9316095015949389e-17,2.4017621968992157e-18,2.4118384508610298e-21,2.4118384509195096e-21,2.9239873383132672e-32,6.1737604674913741e-40,2.5468420851955103e-37,2.11712301315056e-71,2.9540337753221544e-74,1.359312529516584e-83,2.7511837161593694e-86,1.009349933401844e-117,2.1687712349099387e-60,2.326166280118938e-136,3.3889795275487915e-121
1.5978696346064017e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,1.1399989570164244e-117,4.9133842293727615e-69,6.0570192821573002e-55,1.8548571294080135e-99,1.5114391380139744e-52,2.9802340936496343e-110,1.8542860185789264e-40,0.0,1.712569459773249e-46,1.2785040596285937e-110,6.7510616462430686e-72,7.7109881856574439e-94,9.6922547468651642e-107,1.8414403447367723e-61,1.564118651571539e-150,4.1046701908875831e-17,5.1037446684108323e-18,5.1251567080141238e-21,5.1251567082695186e-21,1.2769820630086061e-31,5.4606211074628315e-39,1.1122728501355724e-36,3.924789262464987e-70,1.1153869235720118e-72,1.0287481950836311e-81,1.0350640703504986e-84,3.0605194102736796e-115,3.8592124599753529e-59,1.4980058208415649e-133,1.1956543845856224e-118
3.289731600660239e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,3.262382923398138e-115,8.4866493710853712e-68,5.1819075182134936e-54,2.5787687851293931e-97,1.2930680037710553e-51,4.2608802723170095e-108,7.7412791104642988e-40,0.0,7.1496403747378422e-46,9.3974206741323436e-109,1.1660780123130575e-70,5.3570107823430784e-92,1.3857146740765279e-104,1.5478415648518222e-60,2.2880305845702649e-148,8.450791569467589e-17,1.0507709611434062e-17,1.0551793222111809e-20,1.0551793223178033e-20,5.3311485074941502e-31,4.5899808821688725e-38,4.6435201979559159e-36,6.7457099543636977e-69,3.8697952295632115e-71,7.1469635806595725e-80,3.5840982463648236e-83,8.5124909369556545e-113,6.5091256331552962e-58,8.5754787040737393e-131,3.5674447137510451e-116
6.673455532767913e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999839,0.10000000000000001,8.8235037677883496e-113,1.4100694849499032e-66,4.2845013447000028e-53,3.4385392714831707e-95,1.0691336308991108e-50,5.7596319527181893e-106,3.1625651082032866e-39,0.0,2.9208613802295531e-45,6.4334659898728274e-107,1.9374560575378364e-69,3.5704247103781409e-90,1.8731356865007479e-102,1.2690140315079857e-59,3.1247428213038552e-146,1.7143034326606464e-16,2.131563949748051e-17,2.1405066249473164e-20,2.1405066253829043e-20,2.1779479275094698e-30,3.7631433375400232e-37,1.8970295151885997e-35,1.1180519543295771e-67,1.2888032768550286e-69,4.7634205734039052e-78,1.1924520612529398e-81,2.2704676837552694e-110,1.0691257560587254e-56,4.6391534230741057e-128,9.8430301235001646e-114
1.3440903396983263e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999659,0.099999999999999992,2.3213068609330302e-110,2.2987691430575773e-65,3.4840853389649971e-52,4.4916996568554428e-93,8.6940171275887842e-50,7.5746883073384607e-104,1.2783593816891623e-38,0.0,1.1806588705480026e-44,4.256576947983149e-105,3.1585423621471509e-68,2.3316237060642294e-88,2.4634246472732845e-100,1.0276804641161299e-58,4.1294823598712983e-144,3.4527519840799664e-16,4.2931499269573359e-17,4.3111612300859826e-20,4.3111612318466978e-20,8.803612219766086e-30,3.0474905474191672e-36,7.6680966092393413e-35,1.8204577718887503e-66,4.2068678641903279e-68,3.1106955703671274e-76,3.8903811491565328e-80,5.9322043574988938e-108,1.7330986507828431e-55,2.44108450103577e-125,2.6149309908563468e-111
2.697579912541396e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999921,0.099999999999999312,0.099999999999999964,6.0239019273915313e-108,3.7125183063357695e-64,2.8100410466039583e-51,5.8079338401695526e-91,7.012039773118137e-49,9.8272980829010022e-102,5.1402268485810779e-38,0.0,4.7473773920436974e-44,2.7695620846533604e-103,5.1010543507938521e-67,1.5073187456279128e-86,3.1960138297455064e-98,8.27166643684914e-58,5.3702247807917759e-142,6.9296490868847874e-16,8.616321881375886e-17,8.6524704390288893e-20,8.6524704461086523e-20,3.5398925257508037e-29,2.4528847239815308e-35,3.083307920999141e-34,2.9382261844015632e-65,1.3595865567723818e-66,2.010963318378148e-74,1.2569827357193465e-78,1.5341725496919656e-105,2.7911010740000662e-54,1.2669794419610916e-122,6.8187229637196733e-109
5.404559058227536e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999843,0.099999999999998618,0.099999999999999922,1.5526203593542152e-105,5.9677647505079019e-63,2.2571777869445217e-50,7.471861878340402e-89,5.6324516725408415e-48,1.2663928948232035e-99,2.0614608678217097e-37,0.0,1.9039106665217725e-43,1.7871654145040948e-101,8.1997958837702662e-66,9.6953849882174815e-85,4.1185371529843601e-96,6.6374913839663707e-57,6.9284137051461475e-140,1.388344329235916e-15,1.7262665790212911e-16,1.7335088851577025e-19,1.7335088879970042e-19,1.4196542433224714e-28,1.9682842390120256e-34,1.2365443805883162e-33,4.7216506028809754e-64,4.3722237622458739e-65,1.2934930734068116e-72,4.0417508650803309e-77,3.9474804486297054e-103,4.4803325514627773e-53,6.5311955693418319e-120,1.7617068065780907e-106
