Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),H2OX(23),CO2X(24),CHOX(53),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-6.5089582781237097e-122,9.4127215363624391e-66,8.3315933529043122e-42,1.8752459577213866e-91,5.1339090023818528e-59,9.3294670243035447e-141,7.4501587477855947e-25,-1.1574172884079383e-119,7.4501587477855755e-25,1.6929130254948328e-81,5.743987527079616e-74,4.1165112232285127e-119,2.4873865154585303e-120,8.7436894740769488e-56,1.1113107945233519e-96,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950019199e-23,5.4758013950510897e-23,2.4587807258682995e-34,1.5945292719175118e-41,5.3579118871456937e-47,6.6436973521685544e-38,1.772619493119803e-77,5.8518474601289033e-58,2.4629459252574905e-54,-7.2067190450501269e-110,-5.8048402768449977e-111,3.6438438613109089e-109
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1793967351209147e-119,2.1055950552081551e-64,5.0323136263873202e-41,2.0725478190034346e-89,7.7583632842837432e-58,3.3669047289867773e-138,2.0860444493799722e-24,2.2340459433030296e-118,2.0860444493799612e-24,4.7742855979108283e-80,1.8060015889484212e-72,8.2304905609351331e-117,4.9732431484102369e-118,1.0380508141238928e-54,5.7524647298805343e-95,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905925734e-22,1.5332243906222715e-22,1.4851034654247676e-33,1.8930250419622914e-40,6.362011595055719e-46,4.0127931997029408e-37,1.0785541295730159e-75,6.9473528018009381e-57,2.9240094017839351e-53,7.2946381322701733e-108,5.8756569992893868e-109,7.2854465538366477e-107
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.9805379175702675e-117,4.1603071037213507e-63,2.4228742088684102e-40,1.8757689672614931e-87,8.3460931866974469e-57,1.219518203095493e-135,4.7681015985828218e-24,2.3589354055552209e-116,4.7681015985827681e-24,1.0385114009672439e-78,4.0290901953204725e-71,1.4905878479080871e-114,9.0068213391302596e-116,1.0191644443589891e-53,2.5117512294678719e-93,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927454788e-22,3.5045128928884626e-22,7.1501329558299031e-33,1.8585829794067369e-39,6.2485877634151479e-45,1.9319871885003156e-36,4.8708962324136379e-74,6.8210358406327921e-56,2.8708097683666817e-52,1.5281648992201416e-105,1.2309003712775117e-106,1.319435095524902e-104
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6031636444360114e-114,7.4030491838860687e-62,1.0581607797120848e-39,1.4206487504019447e-85,7.6714975434997035e-56,3.7004746697006127e-133,1.0132215896988612e-23,1.8645419801907077e-114,1.0132215896988375e-23,1.9252251144893658e-77,7.5460400198890401e-70,2.2602880808687846e-112,1.365770621783506e-113,9.0143940846665427e-53,9.3506200558355261e-92,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898969238586e-22,7.4470898975483075e-22,3.122650080358148e-32,1.6438951843015871e-38,5.5309447397226532e-44,8.4374956216476194e-36,1.8405136931260946e-72,6.0332777837562598e-55,2.5391987266652155e-51,2.4576506159070776e-103,1.9795789423873189e-104,2.0007565632214775e-102
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.5926303949420581e-112,1.2486328533172568e-60,4.4178466105319203e-39,9.884028415801511e-84,6.563127660713312e-55,1.0307421684826148e-130,2.0860444493800561e-23,1.3215213251289428e-112,2.0860444493799571e-23,3.3089700744071091e-76,1.3033907539305567e-68,3.1470094574674744e-110,1.9015686980557368e-111,7.5771413710315772e-52,3.2214303845964775e-90,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243904770896e-21,1.5332243907377843e-21,1.3036442435108844e-31,1.3817922594036975e-37,4.6560562994919777e-43,3.5224883220739647e-35,6.3950109238082492e-71,5.0715838796669665e-54,2.134349523641087e-50,3.5188961489162284e-101,2.8343869014558873e-102,2.7856625353524228e-100
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.2455022823971627e-109,2.0508835310125026e-59,1.8050254361275798e-38,6.6069074823001113e-82,5.4265208674495191e-54,2.7571994975020801e-128,4.2316901687425953e-23,8.8932326907148571e-111,4.2316901687421885e-23,5.4843752290928959e-75,2.1656032223955881e-67,4.2084441629847783e-108,2.5429366498036844e-109,6.2121982627758065e-51,1.069075292472041e-88,1.678227937523407e-16,8.069069060587526e-18,3.110255191842607e-21,3.1102551929076319e-21,5.3258064192873752e-31,1.1328756387013547e-36,3.8287365656008851e-42,1.439051409377002e-34,2.1360766056482537e-69,4.1584014613387868e-53,1.7498686843605895e-49,4.7706085086394704e-99,3.84261134342009e-100,3.7252208464181814e-98
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.2954704017311641e-107,3.3245708203190308e-58,7.2977451272352705e-38,4.339698507782662e-80,4.4127566466121624e-53,7.2456449170124136e-126,8.5229816074682613e-23,5.8351752529447377e-109,8.5229816074666203e-23,8.9298833263065637e-74,3.5304797928075752e-66,5.5293137347988579e-106,3.3410671487639763e-107,5.0307991751516863e-50,3.4834261908126583e-87,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167937580846e-21,6.264316798063091e-21,2.1527715116229203e-30,9.1743021767639853e-36,3.1191074451964813e-41,5.816875831474227e-34,7.0134492891845451e-68,3.3682463354021637e-52,1.4170890175256445e-48,6.3106855020984475e-97,5.0831066126584745e-98,4.8944251096380098e-96
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,8.650703096057747e-105,5.3541189432717702e-57,2.9356326654637292e-37,2.8379722322155953e-78,3.5590480962901441e-52,1.8954321776512023e-123,1.7105564484921962e-22,3.7811067217821098e-107,1.7105564484915363e-22,1.4412867682261463e-72,5.701734199749452e-65,7.2321070782537821e-104,4.3699736568105164e-105,4.0492247811488981e-49,1.1247772078023063e-85,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439994326811e-20,1.2572440011637083e-20,8.6561626102157049e-30,7.3842468164065679e-35,2.540305501352954e-40,2.3389401482756347e-33,2.2930874199635236e-66,2.7121282101435364e-51,1.1405965067843136e-47,8.2826142374764608e-95,6.6714481418996054e-96,6.4016997681036317e-94
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.280765171405409e-102,8.5945465627302699e-56,1.1783157396202017e-36,1.8672493330282688e-76,2.8588209765990616e-51,4.9880693099936472e-121,3.4270730239838828e-22,2.4349268795171069e-105,3.4270730239812366e-22,2.3161091412675136e-71,9.1653708918364974e-64,9.5163183785080649e-102,5.7501997861880594e-103,3.249247771847685e-48,3.6154958239055015e-84,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686382415333e-20,2.5188686451837566e-20,3.471478721552404e-29,5.9253453274441985e-34,2.0862221746328602e-39,9.3801957902116464e-33,7.5444180212757964e-65,2.1780301306957523e-50,9.1525683477966758e-47,1.0918772971938374e-92,8.7948110469401755e-94,8.4236326162919964e-92
