Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),H2OX(23),COX(50),CO2X(24),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033531594134e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-3.254936612304832e-120,1.311252666996437e-65,2.9700072505100237e-36,1.9483415512936755e-88,1.7985939299040546e-54,6.6260031275402631e-132,5.5646920903778486e-20,-6.5494093392713291e-106,5.5646920903778486e-20,2.5962946586401065e-72,1.2925707807371753e-72,4.3712748470903944e-112,5.0684832133456015e-113,3.2701312877951288e-53,1.2187828446504407e-85,3.0390311159895404e-18,8.9980309981672622e-20,3.6022135345625228e-22,9.0087835684181535e-38,3.3357983340900261e-37,3.6022135345102627e-22,2.6105198650229318e-33,4.1278484604499005e-41,3.2866734920503653e-45,4.1488573236511539e-76,2.1456307148882919e-52,2.0232935776207614e-98,3.3174158810144906e-54,7.6982264103200455e-106,-1.3331784852607148e-107,-3.918891913759139e-108
1.7654093888463576e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.896829990352644e-118,2.9332578752485448e-64,1.7938843812248289e-35,2.1529839806016616e-86,2.7180351697892699e-53,2.3908677962272802e-129,1.5581137853057977e-19,1.2643731906646193e-104,1.558113785305797e-19,7.3219664040592818e-71,4.0640493719846302e-71,8.7384472450168328e-110,1.0132209646232145e-110,3.8822998646475034e-52,6.308771063686446e-84,8.5092871247707105e-18,2.5194486794868334e-19,1.008619789685983e-21,5.4413052749834506e-37,2.0148221937883227e-36,1.0086197896544175e-21,1.5767539743872918e-32,4.9005816213940546e-40,3.9019616781724189e-44,2.5239669544150634e-74,2.547292787207906e-51,1.9053999987482421e-96,3.9384361337005344e-53,1.538922802152464e-103,1.3492191384207279e-105,3.9660435761502921e-106
4.035221460220246e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.4893339388674538e-115,5.7956569597054348e-63,8.6367811132347686e-35,1.9478821578436437e-84,2.9239382062053861e-52,8.65686879411959e-127,3.5614029378418233e-19,1.3350445659621074e-102,3.5614029378418209e-19,1.5926876259127614e-69,9.0666705863950445e-70,1.5820263440076222e-107,1.8343559369173436e-108,3.8116650283630932e-51,2.7546563490422522e-82,1.9449799142333041e-17,5.7587398388270478e-19,2.3054166621793497e-21,2.6197542611843261e-36,9.7005015555029895e-36,2.3054166620273762e-21,7.5913914061883151e-32,4.8114199458589981e-39,3.8310176384034485e-43,1.1394535517935601e-72,2.5009471690006231e-50,1.6653294367080546e-94,3.8667799501668921e-52,2.786097284938481e-101,2.8255072537244578e-103,8.3056077202692423e-104
8.574845602968022e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,8.0071391272666608e-113,1.0313089430364204e-61,3.7719092378577348e-34,1.474223262780179e-82,2.6876029618279863e-51,2.6249737602862846e-124,7.5679812429138743e-19,1.0552414642956331e-100,7.5679812429138618e-19,2.9525744392043247e-68,1.6980870575718166e-68,2.3972555131257285e-105,2.7796122987838579e-106,3.3713745510143571e-50,1.0254894913838212e-80,4.1330823177457633e-17,1.2237322157507477e-18,4.899010407301706e-21,1.1441155126603766e-35,4.2364638842624962e-35,4.8990104066379974e-21,3.3153598552374955e-31,4.2556461875385045e-38,3.3885780371012212e-42,4.3024676871359476e-71,2.2120594580475743e-49,1.2423874305809006e-92,3.4201230751291445e-51,4.221792577400604e-99,4.540862600071763e-101,1.3347912454867751e-101
1.7654093888463574e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.2905861051458257e-110,1.7394555116935968e-60,1.5746978709594151e-33,1.0242297349189742e-80,2.2993009176213059e-50,7.3014312685457618e-122,1.558113785305798e-18,7.4791777918532791e-99,1.5581137853057924e-18,5.0747210750086172e-67,2.9330231058430386e-67,3.3330192322532164e-103,3.8646281964109772e-104,2.8338434492702888e-49,3.5329667842226247e-79,8.5092871247706566e-17,2.5194486794868328e-18,1.0086197898088905e-20,4.7764570432167428e-35,1.7686402767058784e-34,1.0086197895318053e-20,1.3840972964277337e-30,3.5771265934169072e-37,2.8484492326106033e-41,1.4928008096004224e-69,1.8593692768699703e-48,8.569918637221137e-91,2.8748195209999519e-50,5.8697605565395511e-97,6.4924569688423278e-99,1.9084644229242516e-99
3.581259045945468e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,6.1944618725359956e-108,2.8570627105372509e-59,6.433154731284878e-33,6.8271274879390035e-79,1.9011064628099918e-49,1.9476444773401133e-119,3.16074510733462e-18,5.033143785332991e-97,3.1607451073345965e-18,8.4109780193938836e-66,4.8732617518266972e-66,4.4447005632815357e-101,5.153620163706629e-102,2.3233560710045834e-48,1.1724628651819489e-77,1.7261696738820348e-16,5.1108816069590024e-18,2.0460572881833257e-20,1.9513385520247292e-34,7.225472623329761e-34,2.0460572870513426e-20,5.6544876035720999e-30,2.9327437656388458e-36,2.3355689172378464e-40,4.9721488976862916e-68,1.5244232974485985e-47,5.6913256481469587e-89,2.3569507301018561e-49,7.827536006661461e-95,8.7770373844402111e-97,2.5800191913785043e-97
7.21295836014369e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.6298040051615658e-105,4.6314232220376419e-58,2.6003840943936118e-32,4.4592634543002272e-77,1.5459482027791237e-48,5.0897504621009295e-117,6.3660077513922666e-18,3.3024297340565574e-95,6.3660077513921703e-18,1.3695097300807846e-64,7.9446465849688154e-65,5.8071818347629423e-99,6.733414089767779e-100,1.8815139796208659e-47,3.8202995451430741e-76,3.4766515966919347e-16,1.0293747461903335e-17,4.1209322858001783e-20,7.8876224026202803e-34,2.9206515596162961e-33,4.1209322812245197e-20,2.2856331066536742e-29,2.3750107449810816e-35,1.8917899762489594e-39,1.6233179374463257e-66,1.2345175515840034e-46,3.7099367948894007e-87,1.9087198052720204e-48,1.0226993755707575e-92,1.1545290711664325e-94,3.3937501086923555e-95
1.4476356988540132e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,4.2308815891197387e-103,7.4587654602546516e-57,1.0456030836193145e-31,2.8839172150023485e-75,1.2468632313595991e-47,1.3168205631892533e-114,1.2776533039507563e-17,2.1399253204979788e-93,1.2776533039507187e-17,2.2103942257892365e-63,1.2830625396948457e-63,7.5118813319262166e-97,8.7100092676793674e-98,1.5144061327748266e-46,1.2335515732363915e-74,6.9776154423115806e-16,2.0659479171791989e-17,8.270682284505822e-20,3.1715782635147719e-33,1.1743811465478657e-32,8.2706822661072857e-20,9.1904206245927262e-29,1.9116133484380221e-34,1.5232980687039668e-38,5.2483884431558008e-65,9.9364719367236867e-46,2.3961776965443305e-85,1.5363037476515398e-47,1.3229130007263977e-90,1.4984696444940591e-92,4.4047669617682065e-93
2.9003154245333017e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,1.0913226587780414e-100,1.1972971270955805e-55,4.1933366336607983e-31,1.856472760241811e-73,1.0015483547569153e-46,3.3909093893861276e-112,2.5597583615738197e-17,1.3780520024520788e-91,2.5597583615736684e-17,3.5520441811817152e-62,2.0624855403086011e-62,9.6716455448410981e-95,1.1214250945012463e-95,1.2152155378901212e-45,3.9651413062220788e-73,1.3979543133550254e-15,4.1390942591569213e-17,1.6570182295804895e-19,1.2719447251017628e-32,4.7097936518078645e-32,1.6570182222018465e-19,3.6857620449045417e-28,1.5339462409420987e-33,1.2233472530186335e-37,1.6891571798587182e-63,7.9733940362935564e-45,1.5405710745679035e-83,1.2327869940257414e-46,1.7032678049464149e-88,1.9325444731744337e-90,5.6807343719363219e-91
