Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),COX(37),CX(24),CO2X(34),HO2X(136),HOCXO(25)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1906753741828677e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-5.1197762165161916e-125,4.2401148809880467e-75,4.218905455774554e-58,3.7132973508444498e-106,1.0527648860887544e-55,-9.6062172054670469e-117,1.4995288371951153e-42,0.0,1.3849253106327588e-48,-4.1931117610207881e-116,6.2619210224216123e-80,1.1040162849703717e-99,-3.124130953384755e-113,2.1476626697109822e-68,-7.4369156459919075e-157,3.0586536032644818e-18,3.8031282159578614e-19,3.8190844063426898e-22,3.8190844063633432e-22,1.0326734354361713e-33,5.5128106850456962e-42,9.6678114340339531e-41,3.6402669077722133e-74,1.1497673607907787e-77,1.4729067584370498e-87,1.2238351027205139e-91,8.5954414271563668e-123,5.1757054313159978e-63,-9.4546085072856039e-142,3.1353074957330144e-79,-2.4105288936840611e-128
3.3338910477120295e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,9.4533941826219253e-123,1.3331599662945625e-73,6.3756099228239639e-57,7.4230674073673676e-104,1.5909382957741229e-54,9.7218062327522852e-115,9.0571541766348505e-42,0.0,8.3649488762437039e-48,1.2508286376500061e-114,1.9688481383234702e-78,1.219968717867021e-97,3.1617016806624218e-111,2.5497051214801822e-67,-4.4424418940206348e-155,8.5642300891397017e-18,1.0648759004682012e-18,1.0693436337726076e-21,1.0693436337850821e-21,6.2373475178674791e-33,6.5448088143766726e-41,5.8393581061547689e-40,1.0266135119603788e-72,6.9945958678809681e-76,1.6276029566686513e-85,7.0486636186138822e-90,3.1014846756174507e-120,1.157784596940158e-61,3.1328830075809642e-139,9.8579082511454411e-78,7.7603938529129549e-126
7.620322394770354e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,3.9404431177091816e-120,2.9742065192278536e-72,6.8585902186658284e-56,1.3438706740458779e-101,1.7114588199014715e-53,2.035894455432207e-112,4.360629858527924e-41,0.0,4.0273628033528225e-47,1.6136805239920814e-112,4.3923918888579559e-77,1.1037359509265141e-95,6.6210893650262695e-109,2.503315607812963e-66,1.0013928962217434e-152,1.9575383060886749e-17,2.4340020582130315e-18,2.4442140200359011e-21,2.4442140200959611e-21,3.0030143019978925e-32,6.4257320386695711e-40,2.8113995650144632e-39,2.2331086287486015e-71,3.1576948895642278e-74,1.4725327549794563e-83,3.1609165880369106e-88,1.1229736107928633e-117,2.2875872375753762e-60,2.6227639686539489e-136,2.1992451013991944e-76,4.0526131084918754e-123
1.6193185088887003e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,1.2683291386955736e-117,5.5703596289043222e-71,6.3042260419036743e-55,2.0363260589152279e-99,1.5731255138402114e-52,3.2717961877089719e-110,1.9044016232011427e-40,0.0,1.758855144537454e-46,1.3849929980992711e-110,8.2264638921761646e-76,8.3532399032301144e-94,1.0640463027860852e-106,2.2141543059606998e-65,1.7171415520516132e-150,4.1597689004367266e-17,5.1722543737026916e-18,5.1939547925089529e-21,5.193954792771251e-21,1.3114952131450941e-31,5.683487102633355e-39,1.2278120521196127e-38,4.1398070464447411e-70,1.1922854824445697e-72,1.1144349658432679e-81,1.1892158168274127e-86,3.4050455803056927e-115,4.0706391831955218e-59,1.689008959280105e-133,4.118942679648918e-75,1.4297886983846235e-120
3.33389104771203e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,3.6296307902193075e-115,9.6214109945211962e-70,5.3933981057830257e-54,2.831061208725354e-97,1.3458419970083719e-51,4.6777304619957134e-108,7.9505018944786139e-40,0.0,7.3428739972795364e-46,1.0180149007601296e-108,1.4209170596291775e-74,5.8031986385838858e-92,1.5212812820817588e-104,1.8611301069605938e-64,2.5118761835473513e-148,8.564230089127406e-17,1.0648759004682008e-17,1.0693436337240916e-20,1.0693436338335963e-20,5.4752341059530047e-31,4.7773131696166206e-38,5.1258736223005015e-38,7.1152705877574121e-69,4.1365920342013841e-71,7.7422503740986703e-80,4.1178768020791119e-85,9.4707517581275198e-113,6.8657276870687958e-58,9.6688945606027724e-131,7.114449170363631e-74,4.2660255252384009e-118
6.763036125358689e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999839,0.10000000000000001,9.8167693920048963e-113,1.5986118257958487e-68,4.45936585235047e-53,3.7749468522297216e-95,1.1127681890510864e-50,6.3231079042102563e-106,3.2480394422388041e-39,0.0,2.9998036201009148e-45,6.9693211236583159e-107,2.3608749460723257e-73,3.8678069876703568e-90,2.0563874372788307e-102,1.525866906423916e-63,3.4304467455381346e-146,1.7373152466487055e-16,2.1601768266640627e-17,2.1692399425848282e-20,2.1692399430321905e-20,2.2368115881678219e-30,3.9167296482409564e-37,2.094086627836914e-37,1.1793039190914635e-67,1.3776577393131799e-69,5.1601766477770715e-78,1.3700435488281606e-83,2.5260568126188378e-110,1.1276977447205231e-56,5.2306683591760893e-128,1.1820763702087504e-72,1.1770502687500298e-115
1.3621326280652007e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999659,0.099999999999999992,2.5826173550322448e-110,2.6061407442347734e-67,3.6262822525460502e-52,4.9311425606288411e-93,9.04884610774551e-50,8.3157346724893914e-104,1.3129094741187587e-38,0.0,1.212568586086061e-44,4.6111150171086497e-105,3.8488220157974795e-72,2.5258256716093582e-88,2.7044252553873859e-100,1.2356865815814333e-62,4.5334832759837218e-144,3.4990997221119522e-16,4.3507786790557816e-17,4.3690325599636768e-20,4.3690325617719872e-20,9.041548485309092e-30,3.1718686967880786e-36,8.4646329652762879e-37,1.9201907179898326e-66,4.4969035457289971e-68,3.369792414291299e-76,4.4697743156057949e-82,6.5999992958210587e-108,1.8280463497206469e-55,2.752334789780548e-125,1.9270828240924967e-71,3.1269895176665851e-113
2.7337906591238645e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999921,0.099999999999999312,0.099999999999999964,6.7020150072114159e-108,4.2089242633069567e-66,2.9247280089027014e-51,6.3761496733728269e-91,7.2982222000301452e-49,1.078872143630756e-101,5.2791512506353574e-38,0.0,4.8756849548159851e-44,3.0002439695888882e-103,6.2158578350421336e-71,1.6328639622378502e-86,3.5086847047720455e-98,9.9458806314084121e-62,5.8956116312342651e-142,7.0226686730037139e-16,8.7319823838391989e-17,8.768617793350872e-20,8.7686178006220111e-20,3.6355656015201458e-29,2.5529950357345184e-35,3.4035916864600879e-36,3.0991955615734633e-65,1.4533210237017611e-66,2.1784609505583231e-74,1.4441847551502291e-80,1.7068760580597897e-105,2.9440113557646042e-54,1.4285255343858618e-122,3.1122439083474195e-70,8.1539723141008974e-111
5.477106721241192e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999984,0.099999999999998604,0.099999999999999922,1.7273994077943001e-105,6.7657228284791062e-65,2.3493005921019438e-50,8.2028668875305223e-89,5.8623289608684739e-48,1.3902864881598922e-99,2.1171757665616615e-37,0.0,1.9553677379167596e-43,1.9360216863041365e-101,9.9918099248810566e-70,1.05029173791346e-84,4.5214597395816361e-96,7.9809428367187611e-61,7.6062433311238005e-140,1.4069806574648311e-15,1.749438979340596e-16,1.7567788254643271e-19,1.7567788283803803e-19,1.4580233855850797e-28,2.0486163896328046e-34,1.3649924955737936e-35,4.9803240708882471e-64,4.6736594157288734e-65,1.4012309602342872e-72,4.6436874728994662e-79,4.3918525710157482e-103,4.7257872246233247e-53,7.3639548038796117e-120,5.0028411858950286e-69,2.1066859821023477e-108
