Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),COX(58),H2OX(23)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.896024314620206e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.9694211880206315e-121,4.0412177808637882e-65,1.8901236323085122e-46,1.9719000650701845e-74,6.0211685447937923e-60,4.9172810675651328e-49,4.603878808499208e-29,-4.2847929682769827e-114,4.6038788084934739e-29,3.5355428223473994e-74,1.8957712403317178e-75,4.6566585829570388e-75,4.4969059096811942e-106,4.9172810743093415e-49,7.5616197776394365e-92,2.7988428517010522e-18,8.1638146098571453e-19,1.8501517597313573e-23,2.2422983716988196e-37,1.8501517597454447e-23,7.0547064916685277e-35,1.1057358143895024e-41,6.3230401837137953e-48,1.993601117374613e-77,1.4923540412537247e-62,-9.8689088539095138e-110,3.036758612713712e-68,2.9496019069754834e-92,7.9611960808729239e-54
2.4908868080936578e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,4.0322097846069052e-119,8.204101378589268e-64,1.1784592269967502e-45,2.3410397572539068e-73,9.0991899048464393e-59,2.9700377648129199e-48,1.2890860663816399e-28,-4.0340756831331268e-114,1.2890860663781768e-28,5.3429123140801698e-73,5.9606079859917103e-74,5.5283850696928189e-74,1.0291258029965567e-104,2.9700377728196446e-48,2.132497763575408e-90,7.8367599847629429e-18,2.2858680907600011e-18,5.1804249272250171e-23,1.3543481998621979e-36,5.1804249273101029e-23,4.261042076086839e-34,1.3127293759794474e-40,7.515965504724305e-47,1.1022593663166092e-75,1.8240576473053324e-61,1.128020971321044e-107,3.6052398247125792e-67,6.5981414818151343e-91,9.4515318808099656e-53
5.693455561356932e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.6473947063308107e-116,1.5270182725875786e-62,6.0488476527549629e-45,2.2984467158538144e-72,9.7884932796867048e-58,1.4299453344533092e-47,2.9464824374525235e-28,8.2955341212229502e-114,2.9464824374358514e-28,5.7476612563683948e-72,1.3297788185643364e-72,5.427801244314009e-73,2.1264708026644173e-103,1.4299453423143584e-47,4.6386484315165129e-89,1.7912594250886704e-17,5.2248413503085748e-18,1.1840971262121199e-22,6.5206034152418287e-36,1.1840971262530849e-22,2.0515076804560723e-33,1.288845098374883e-39,7.3988174454609454e-46,4.823320520071816e-74,1.9017261047746312e-60,2.287501580977452e-105,3.5396458380455696e-66,1.3036815686076734e-89,9.2795698220181293e-52
1.2098593067883482e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,5.2504855020902094e-114,2.6341785226053394e-61,2.9712370704877999e-44,2.0329500911015736e-71,8.9973117326120296e-57,6.2449469558631911e-47,6.2612751796240734e-28,4.8994954775898394e-112,6.2612751795512606e-28,5.2830909294554415e-71,2.490528431534444e-71,4.8008287327258836e-72,4.1144290489399125e-102,6.2449470253932773e-47,8.5992724294598838e-88,3.8064262783134122e-17,1.1102787869405722e-17,2.5162063931549006e-22,2.8477186740772262e-35,2.5162063933338052e-22,8.9594672487733013e-33,1.1399682047608994e-38,6.5790332679206109e-45,1.8048438675009046e-72,1.879257415929924e-59,3.6427780639211118e-103,3.1307766574029077e-65,2.3198316958786982e-88,8.2076740188573317e-51
2.490886808093658e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.5074373726543699e-111,4.3734655364375832e-60,1.515844983180764e-43,1.7088170460192994e-70,7.6973896126878199e-56,2.6071424220729558e-46,1.28908606640863e-27,1.7457338045995162e-110,1.2890860663782323e-27,4.5197955184638398e-70,4.3017680787482374e-70,4.035385821526707e-71,8.0539656506899524e-101,2.6071424805171777e-46,1.4779952183066718e-86,7.8367599847628588e-17,2.2858680907600012e-17,5.1804249268946378e-22,1.1888663644924885e-34,5.1804249276415319e-22,3.7403963858123235e-32,9.5821080517732875e-38,5.5887229485444505e-44,6.2856270406039238e-71,1.9113767270046024e-58,5.227475506022395e-101,2.631606422083133e-64,3.9127352287618538e-87,6.8990438878289185e-50
5.052941810704277e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.1465911097157331e-109,7.1266604179922444e-59,8.4434117235425427e-43,1.4009914567308733e-69,6.3643505838236177e-55,1.0651027484011451e-45,2.6150031633487265e-27,5.866324865828903e-109,2.615003163224542e-27,3.7370543392101474e-69,7.1474505520399091e-69,3.308453104294351e-70,1.6889150720505862e-99,1.0651027963172398e-45,2.4496686834723795e-85,1.5897427397661599e-16,4.6370466983988583e-17,1.0508861993790819e-21,4.8569059992253814e-34,1.0508861996842129e-21,1.5280700282668263e-31,7.8559720982622114e-37,4.678151742543231e-43,2.1298607006120591e-69,2.1110973541501201e-57,7.188653663808646e-99,2.157549936656419e-63,6.4266793622314551e-86,5.6562518958300955e-49
1.0177051815925516e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.099999999999999686,0.099999999999999964,1.1329125753218325e-106,1.1506723456013642e-57,5.2325500439041034e-42,1.1345592048610634e-68,5.1753841968956743e-54,4.3053156044921923e-45,5.2668373574195241e-27,1.9230762145840183e-107,5.2668373569175513e-27,3.0389105256709951e-68,1.1652143598001459e-67,2.6792711014015458e-69,3.9245491136082816e-98,4.3053159925290001e-45,3.9886504164483601e-84,3.2018762223458466e-16,9.3394039136765621e-17,2.1165736125250005e-21,1.9632382377082447e-33,2.1165736137583908e-21,6.1766715065429776e-31,6.3619390962484549e-36,3.9442677388749003e-42,7.2224857358160865e-68,2.5907840766413036e-56,9.8200107206466829e-97,1.7472398718936058e-62,1.0417924189887184e-84,4.5805776419586505e-48
2.0425271826367996e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999921,0.099999999999999367,0.099999999999999922,3.164923592719737e-104,1.8494299949314093e-56,3.5672742366713329e-41,9.1319195256578348e-68,4.1741348436900353e-53,1.7311484692425778e-44,1.057050574632354e-26,6.2282050251775849e-106,1.0570505744305128e-26,2.4509914317850426e-67,1.8818227772732412e-66,2.1565104738943818e-68,1.014278574308625e-96,1.7311487815681148e-44,6.4376978550488851e-83,6.4261431875049759e-16,1.8744118344231935e-16,4.2479484378835648e-21,7.8940879935528387e-33,4.2479484428429999e-21,2.4835868213052096e-30,5.1205924983381417e-35,3.4254569180984639e-41,2.5139324905563335e-66,3.5037491314581431e-55,1.3717782032472966e-94,1.406330647171216e-61,1.6777745738884147e-83,3.6868445035451706e-47
4.092171184725295e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999838,0.099999999999998729,0.099999999999999825,9.3257702805757628e-102,2.9657797650986755e-55,2.6042937651655505e-40,7.3277903125229598e-67,3.352892101988491e-52,6.9426796378803652e-44,2.1177842527181252e-26,2.005005116852245e-104,2.1177842519086524e-26,1.9687696098285294e-66,3.0249702469217818e-65,1.7304638432850014e-67,2.8553070533733753e-95,6.9426821440921848e-44,1.0345207634438104e-81,1.2874677117822257e-15,3.7553547205342556e-16,8.5106980848676107e-21,3.1658770521770474e-32,8.5106981047573678e-21,9.9600884309428606e-30,4.1088734567914381e-34,3.1511522699095958e-40,9.2485385514115147e-65,5.0879281122353354e-54,2.0214191775353368e-92,1.128491763645063e-60,2.6931997614679296e-82,2.9584558963637485e-46
