Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-6.5089554707801616e-122,9.4126502768056521e-66,8.3315960907359288e-42,1.8752476604905556e-91,5.1339092296104366e-59,9.3294788132398588e-141,7.4501611959771282e-25,-1.1574174399010692e-119,7.4501611959771098e-25,1.6929126907716814e-81,4.307892288181363e-75,4.1165164249499549e-119,2.4873887740662896e-120,6.5576173399824386e-57,1.1113102597458525e-96,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950019199e-23,5.4758013950510897e-23,2.4587811592641388e-34,1.594529794550833e-41,5.3579128938852326e-47,6.643697330874593e-38,1.7726198261925138e-77,5.8518493830951727e-58,-5.8048446553028011e-111,-7.2067203961271714e-110,3.6438471700102359e-109,2.4629459173634093e-54
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.1793962260724868e-119,2.1055727275547543e-64,5.0323152800434848e-41,2.072549700974555e-89,7.7583636276715877e-58,3.3669089835634528e-138,2.0860451348736017e-24,2.2340462357151147e-118,2.0860451348735907e-24,4.7742846539379851e-80,1.354470262597891e-73,8.23050096136453e-117,4.9732476643488913e-118,7.7852032821743515e-56,5.7524619617181818e-95,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905925734e-22,1.5332243906222715e-22,1.4851037271958236e-33,1.8930256624325173e-40,6.3620127906169779e-46,4.0127931744227486e-37,1.0785543322565231e-75,6.9473550847539126e-57,5.8756614313002464e-109,7.29463949755877e-108,7.2854531693647834e-107,2.9240093841251901e-53
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.9805357643153236e-117,4.1602573210911833e-63,2.4228750050386469e-40,1.8757706706436646e-87,8.3460935560984171e-57,1.2195197441969524e-135,4.7681031654254033e-24,2.3589357143139562e-116,4.768103165425349e-24,1.0385111956325313e-78,3.0217486261587324e-72,1.490589731559647e-114,9.0068295182047591e-116,7.6435586975398472e-55,2.5117500207798529e-93,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128927454788e-22,3.5045128928884626e-22,7.1501342161445446e-33,1.8585835885879728e-39,6.2485889379870032e-45,1.931987163680073e-36,4.8708971480095673e-74,6.8210380820652749e-56,1.230901299808802e-106,1.5281651841368749e-105,1.3194362937009982e-104,2.8708097334759769e-52
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.6031629490483893e-114,7.4029558996300496e-62,1.058161127425797e-39,1.4206500406354656e-85,7.6714978830428361e-56,3.7004793463551084e-133,1.01322192265291e-23,1.8645422242387735e-114,1.0132219226528862e-23,1.9252247338334142e-77,5.659400675315116e-71,2.2602909374183343e-112,1.3657718621757755e-113,6.7606410175465585e-54,9.3506155561930844e-92,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898969238586e-22,7.4470898975483075e-22,3.1226506307703904e-32,1.6438957231152938e-38,5.5309457799749704e-44,8.4374954021153885e-36,1.8405140392820806e-72,6.0332797663058679e-55,1.9795804358883223e-104,2.4576510706097417e-103,2.0007583803077106e-102,2.5391986645790725e-51
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.5926283897465525e-112,1.248616714586463e-60,4.4178480622121201e-39,9.8840373944944543e-84,6.563127951199612e-55,1.0307434713420796e-130,2.0860451348736858e-23,1.3215214981015698e-112,2.0860451348735867e-23,3.3089694201567869e-76,9.7752070030325163e-70,3.1470134352939138e-110,1.9015704254459374e-111,5.6827259832259094e-53,3.2214288344014326e-90,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243904770896e-21,1.5332243907377843e-21,1.3036444732969329e-31,1.3817927123087521e-37,4.6560571761692631e-43,3.5224881375439008e-35,6.3950121278693873e-71,5.0715855461664085e-54,2.8343890404505845e-102,3.5188967899101596e-101,2.7856650658559014e-100,2.1343494189237342e-50
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.2455017314899986e-109,2.0508566219287714e-59,1.8050260292221808e-38,6.6069134867262674e-82,5.4265211076292089e-54,2.7572029837192953e-128,4.2316915593153848e-23,8.893233854741337e-111,4.2316915593149798e-23,5.4843741447209665e-75,1.6241651738705502e-68,4.2084494841696448e-108,2.5429389608431784e-109,4.6590418489334396e-52,1.0690747780188252e-88,1.678227937523407e-16,8.069069060587526e-18,3.110255191842607e-21,3.1102551929076319e-21,5.3258073580364975e-31,1.1328760100197374e-36,3.8287372880970343e-42,1.4390512580881157e-34,2.1360770087060589e-69,4.158402827712852e-53,3.8426142448473384e-100,4.7706093503696096e-99,3.7252242319262591e-98,1.7498685123620329e-49
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.2954689064586203e-107,3.3245266385205663e-58,7.2977475249084918e-38,4.3397024552405927e-80,4.4127568419222974e-53,7.2456540842443617e-126,8.5229844081993736e-23,5.8351760167050887e-109,8.5229844081977349e-23,8.9298815606879876e-74,2.6477988589207879e-67,5.5293207305357174e-106,3.3410701878305795e-107,3.7730124814686886e-51,3.4834245145417569e-87,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167937580846e-21,6.264316798063091e-21,2.1527718910788191e-30,9.1743051837877023e-36,3.1191080363553063e-41,5.8168746062977412e-34,7.0134506182493635e-68,3.3682474420522431e-52,5.0831104548523663e-98,6.3106865433628021e-97,4.8944295616538922e-96,1.4170887387086027e-48
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,8.6506989731330656e-105,5.3540465735148744e-57,2.9356336297908153e-37,2.8379748181720829e-78,3.5590482538148422e-52,1.8954345787462805e-123,1.7105570105969721e-22,3.781107216687449e-107,1.7105570105963124e-22,1.4412864832545954e-72,4.2762012846419025e-66,7.2321162397845997e-104,4.3699776386715521e-105,3.0368480432411286e-50,1.1247766665445898e-85,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439994326809e-20,1.2572440011637084e-20,8.6561641359790711e-30,7.3842492367066585e-35,2.5403059869285703e-40,2.3389391621472369e-33,2.2930878581665368e-66,2.7121291010729155e-51,6.6714531952841845e-96,8.2826154143680953e-95,6.4017056012461338e-94,1.1405960577581628e-47
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,2.2807639798566962e-102,8.5944269604868651e-56,1.1783161265455602e-36,1.867251040176164e-76,2.8588211031314656e-51,4.9880756439557824e-121,3.4270741501519878e-22,2.4349271982222903e-105,3.427074150149342e-22,2.3161086833258826e-71,6.873865635216436e-65,9.5163304626538617e-102,5.7502050432207678e-103,2.4368782631201994e-49,3.6154940840809382e-84,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686382415327e-20,2.5188686451837569e-20,3.4714793334420395e-29,5.9253472695598084e-34,2.0862225799393378e-39,9.3801878771559176e-33,7.5444194862471099e-65,2.1780308459332342e-50,8.7948177357083802e-94,1.0918774022006667e-92,8.4236403174700794e-92,9.1525611399357065e-47
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,6.1213407563612713e-100,1.3773481329222003e-54,4.7273867042042121e-36,1.25168672723697e-74,2.2916989593318266e-50,1.3371943507717953e-118,6.8601084292658053e-22,1.5631767380269608e-103,6.8601084292552071e-22,3.7138325298747989e-70,1.102379969102407e-63,1.2756493641649174e-99,7.7080608105763083e-101,1.9524663698877669e-48,1.1595578638023003e-82,2.7206202198434821e-15,1.3080983786952289e-16,5.0421179106396645e-20,5.0421179384450109e-20,1.3903787038241875e-28,4.7474119010102659e-33,1.7480905266202403e-38,3.7569644030877045e-32,2.5293712846596895e-63,1.7478281014922906e-49,1.1802996848923264e-91,1.4653429810413717e-90,1.1291759387772827e-89,7.3331803552619793e-46
1.349863236840622e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999431,0.11866996602995988,0.022821567693054157,1.7045016201434042e-97,2.2055479273758004e-53,1.8985714340468451e-35,8.7083271085813684e-73,1.8352178076562671e-49,3.7197696590474129e-116,1.3726176987508579e-21,1.0019793613586053e-101,1.3726176987466161e-21,5.948586294812771e-69,1.7658574692451006e-62,1.7745233051862658e-97,1.0722486810314821e-98,1.5631576168133813e-47,3.714749850099963e-81,5.4436041410057081e-15,2.6173332459905056e-16,1.0088616434557643e-19,1.0088616545853392e-19,5.5649481836122555e-28,3.8006937704789235e-32,1.5221407363702928e-37,1.5037621104017981e-31,8.8036269910447089e-62,1.4037331678050336e-48,1.6435083749322341e-89,2.0404165837682547e-88,1.5707678486880957e-87,5.8709931618003524e-45
2.700312606220037e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999886,0.11866996602995444,0.022821567693054025,5.0578558905833906e-95,3.5303013909044628e-52,7.6478485677068118e-35,6.4572715199183687e-71,1.4689180541931994e-48,1.1025562285011275e-113,2.7458314104054695e-21,6.4176203244525418e-100,2.7458314103884961e-21,9.5229043424811415e-68,2.8270051397834397e-61,2.6304644436422499e-95,1.5894477099302787e-96,1.2509969077864034e-46,1.1893867001740641e-79,1.0889571983325026e-14,5.2358029805809519e-16,2.0181613398880465e-19,2.0181613844223632e-19,2.226552056010263e-27,3.0415142605365353e-31,1.4144000254215552e-36,6.0169852233179753e-31,3.2669070263913075e-60,1.1304678756670614e-47,2.4389760681669102e-87,3.0279891460587258e-86,2.3284275361716358e-85,4.6985628221037756e-44
5.401211344978867e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997716,0.11866996602994355,0.022821567693053765,1.6490527184353222e-92,5.6495943068051145e-51,3.1005081243461449e-34,5.2610673446987168e-69,1.1754320210937378e-47,3.5899609282346296e-111,5.4922588337389169e-21,4.1088624327600342e-98,5.4922588336710128e-21,1.5240780914541858e-66,4.5244911982164469e-60,4.2837350272544062e-93,2.5884298558540973e-94,1.0009807772905389e-45,3.8071045073044715e-78,2.1781507667943119e-14,1.0472742449761421e-15,4.0367606993473554e-19,4.036760877525785e-19,8.906441418244375e-27,2.4333601364359806e-30,1.4456955699434332e-35,2.4071683218789481e-30,1.3324931818799087e-58,9.1583366193864063e-47,3.9772042210631184e-85,4.9376962596043877e-84,3.7918651165071271e-83,3.7595384938181918e-43
1.0803008822496528e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995435,0.11866996602992176,0.022821567693053241,6.0330932615746778e-90,9.0401511658828956e-50,1.272990905107923e-33,4.8100153073813031e-67,9.4046463345007395e-47,1.3115543230371345e-108,1.0985113680502716e-20,2.6301793293008004e-96,1.0985113680231077e-20,2.4388556378453376e-65,7.240135647391299e-59,7.8276858399117024e-91,4.7298478633119052e-92,8.0084974611154287e-45,1.2184441632239289e-76,4.3565379037097146e-14,2.0946621388120666e-15,8.0739592846449581e-19,8.0739599975139698e-19,3.5618934904582005e-26,1.9463716730161327e-29,1.6588632429801416e-34,9.6293163741606478e-30,6.0995052339500442e-57,7.5079169515877785e-46,7.2777874553397598e-83,9.0353557343663113e-82,6.9288896988639173e-81,3.0078753471809736e-42
2.1606603777531847e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319990866,0.1186699660298782,0.022821567693052193,2.4710843185842598e-87,1.4464595729210208e-48,5.3534753335610738e-33,4.9237101741762158e-65,7.5241926980876758e-46,5.3655217378956819e-106,2.1970823374417921e-20,1.6834770483362488e-94,2.1970823373331321e-20,3.9024333592640683e-64,1.1584731070974065e-57,1.6015997703273493e-88,9.677601828054794e-90,6.4069275400093636e-44,3.8992942671221897e-75,8.713312177507653e-14,4.1894379264832384e-15,1.614835592075613e-18,1.6148358773125934e-18,1.4240375143527306e-25,1.5563697716695287e-28,2.1301065050561223e-33,3.8517708291834628e-29,3.125528637013916e-55,6.2953018947186641e-45,1.4908885056300897e-80,1.850929478600774e-79,1.4176996046503461e-78,2.4063488704335223e-41
4.3213793687602486e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319981734,0.11866996602979106,0.022821567693050097,1.1062930892255301e-84,2.3142719872814608e-47,2.3501623084124622e-32,5.509581794050531e-63,6.0195436726666537e-45,2.40010526010649e-103,4.3942242763798772e-20,1.0774771148746087e-92,4.3942242759452273e-20,6.2441041066118761e-63,1.8535194425530242e-56,3.5828461642392024e-86,2.1649199750855663e-87,5.1253843754474313e-43,1.2478176914606538e-73,1.742686072497207e-13,8.3789895018228716e-15,3.2297147055042632e-18,3.2297158470966462e-18,5.6900524608323204e-25,1.2438448555336666e-27,2.9869627686070691e-32,1.5406497198576393e-28,1.7501875283248989e-53,5.4975824645809732e-44,3.3380330593816644e-78,4.1441262295533999e-77,3.171453156859958e-76,1.9250197670915089e-40
8.642817350774377e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319963471,0.11866996602961678,0.022821567693045906,5.2502036421164254e-82,3.7024913210774818e-46,1.1065500161200187e-31,6.5359735253467047e-61,4.8157095548756112e-44,1.1384812878368502e-100,8.7885081548762214e-20,6.896017676465635e-91,8.7885081531376014e-20,9.9907327695280868e-62,2.9653494393899368e-55,8.4984361405663063e-84,5.1351433337365164e-85,4.0999093190348179e-42,3.9930853157056952e-72,3.4853957819375061e-13,1.6758092652491302e-14,6.4594720771874619e-18,6.4594766485584475e-18,2.2710884493747049e-24,9.9304488906557711e-27,4.43604533220362e-31,6.161942013071076e-28,1.0386479220013513e-51,5.1339040336812126e-43,7.9218457174149389e-76,9.8347651818809075e-75,7.5226177410414208e-74,1.5398660773929836e-39
1.7285693314802633e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319926939,0.11866996602926823,0.022821567693037528,2.5747929450027949e-79,5.9227731413716678e-45,5.7499445249001652e-31,8.0130032865935228e-59,3.8525955866728143e-43,5.5821559084422039e-98,1.7577075914349603e-19,4.4135017447877758e-89,1.7577075907395089e-19,1.5985297745222947e-60,4.7435288010773837e-54,2.0835051343783262e-81,1.2589482177772964e-82,3.2792321897467945e-41,1.2777976920992102e-70,6.9708152006077669e-13,3.351629895378482e-14,1.2918983399859233e-17,1.291900172483818e-17,9.0449950773609633e-24,7.9119133076730728e-26,6.8037492018432874e-30,2.4642138820146883e-27,6.3685844974763351e-50,5.2774920849770384e-42,1.9426815693833754e-73,2.4117360917555117e-72,1.8442688499874855e-71,1.2316314341373361e-38
3.4571445242859147e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319853876,0.11866996602857113,0.02282156769302077,1.2818911106854862e-76,9.472467593020703e-44,3.3461975335440233e-30,9.9735906187021365e-57,3.0820845998470256e-42,2.7791959193761023e-95,3.5154211443219139e-19,2.8246545745252887e-87,3.5154211415401108e-19,2.5576552175619492e-59,7.5862478770368578e-53,5.186262213198871e-79,3.1337708593837103e-80,2.6222506894123097e-40,4.0889653908083111e-69,1.3941654037106935e-12,6.7032711556198476e-14,2.5837992362438838e-17,2.5838065973995856e-17,3.5868632176447571e-23,6.2781671300133101e-25,1.0589475682233196e-28,9.8522799137227429e-27,3.9639007026130546e-48,6.0727158489022706e-41,4.8362931408076643e-71,6.003740055775307e-70,4.5907482941256475e-69,9.8487836080691759e-38
