Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),COX(58)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.764224075598745e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.7461213787203231e-121,7.6144515809616621e-66,1.8336245240493414e-46,1.8855480921052242e-74,5.7574919646590703e-60,4.7726571127445129e-49,4.5356712874148163e-29,-4.0361346104066989e-114,4.5356712874092515e-29,3.3807183627366785e-74,8.6979275328682244e-77,4.4527377491975121e-75,4.2354353526165325e-106,4.7726571130585951e-49,7.1233632439387198e-92,2.7573762207891456e-18,8.0428625217274258e-19,1.8227405886808354e-23,2.1763478869754703e-37,1.8227405886945084e-23,6.8472165497831094e-35,1.0573142384933093e-41,6.0460203335251047e-48,1.8542549503217601e-77,1.4262957039638291e-62,-8.8815296864185839e-110,2.9037751505884588e-68,2.7786486116836791e-92
2.4539827411676487e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,3.58147764349141e-119,9.0398774125340943e-65,1.1427211658897241e-45,2.2385226949497556e-73,8.7007218569348156e-59,2.8826848961011077e-48,1.2699879604779553e-28,-3.803447477552571e-114,1.2699879604745942e-28,5.1089415906749414e-73,2.7347668622953204e-75,5.2862902558531464e-74,9.6896847426280731e-105,2.882684896473986e-48,2.0089024089466899e-90,7.7206534182096022e-18,2.25200150608368e-18,5.1036736482842253e-23,1.3145137969581598e-36,5.1036736483668097e-23,4.1357181794282015e-34,1.2552432916738934e-40,7.1865512986835964e-47,1.0238604936950015e-75,1.7425999476728882e-61,1.0169867751866153e-107,3.4473618584949314e-67,6.2157257983800938e-91
5.609103408383197e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.4624442378395163e-116,8.8754062440972234e-64,5.8603592597945699e-45,2.1977948561653925e-72,9.3598395368888434e-58,1.3878886883912374e-47,2.9028296239581295e-28,7.63948735216677e-114,2.9028296239419475e-28,5.4959662288268076e-72,6.1011113151878649e-74,5.1901111204827845e-73,2.000915396471945e-103,1.3878886887573311e-47,4.369801538598275e-89,1.7647207813050497e-17,5.1474320139055538e-18,1.1665539767402547e-22,6.3288147537017228e-36,1.1665539767800151e-22,1.991169647716006e-33,1.2324049423653276e-39,7.074260765005023e-46,4.4779073153935048e-74,1.8153254612616972e-60,2.0612244230421262e-105,3.384640314646479e-66,1.228122673816725e-89
1.1919344742814295e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,4.6596643360960007e-114,7.8501980681045349e-63,2.8744879372290759e-44,1.9439246610526435e-71,8.6033050924618884e-57,6.0612745332385724e-47,6.1685129509473831e-28,4.5465570084016242e-112,6.1685129508767138e-28,5.0517398359078064e-71,1.142669456670002e-72,4.5905945099508123e-72,3.8672429589970786e-102,6.061274536476627e-47,8.1008755994004473e-88,3.7500316602732194e-17,1.0938293029549301e-17,2.478927200528536e-22,2.7639567514534754e-35,2.4789272007021791e-22,8.6959554603006791e-33,1.0900475658705097e-38,6.2899459652463522e-45,1.6751124690092849e-72,1.7914075310965049e-59,3.281484021721558e-103,2.993676027403877e-65,2.185378679695881e-88
2.4539827411676486e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.3374678674598867e-111,6.5985674364836218e-62,1.4633934526291964e-43,1.633985807877662e-70,7.3603086368045355e-56,2.5304628012248759e-46,1.2699879605041514e-27,1.6201846722817836e-110,1.2699879604746479e-27,4.3218697871479073e-70,1.9736732788608897e-71,3.8586712897197815e-71,7.55690984330733e-101,2.5304628039466505e-46,1.3923335373102739e-86,7.7206534182095217e-17,2.2520015060836794e-17,5.1036736479635633e-22,1.1538950911785726e-34,5.1036736486884888e-22,3.6303856125737189e-32,9.1624956742836043e-38,5.3423284653712233e-44,5.8323617912543617e-71,1.8183061029061852e-58,4.7078054469299584e-101,2.5163650817469247e-64,3.6859605649083268e-87
4.978079274940088e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,3.6777510738970628e-109,5.4099090901737952e-61,8.1305693802593428e-43,1.3396402865878185e-69,6.0856455145066221e-55,1.0337766212893281e-45,2.5762612913692274e-27,5.4444517597129446e-109,2.5762612912486954e-27,3.5734055170340096e-69,3.2792742258859442e-70,3.1635718544729771e-70,1.5809491985083089e-99,1.0337766235207945e-45,2.3076907293389556e-85,1.566189693408198e-16,4.5683459123411775e-17,1.035316654226748e-21,4.714017981992346e-34,1.0353166545229045e-21,1.4831272104371378e-31,7.5119496210143522e-37,4.4705683142278253e-43,1.9755986852064366e-69,2.0032611460487388e-57,6.4717380612593665e-99,2.0630681234417129e-63,6.0542012959060378e-86
1.0026272342484966e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.0042173759674896e-106,4.3810924766871071e-60,5.0264121714693463e-42,1.0848754366401519e-68,4.9487458632254731e-54,4.1786903900816812e-45,5.1888079532843791e-27,1.7847795730604057e-107,5.188807952797171e-27,2.9058340212618845e-68,5.3460007937243822e-69,2.5619425089900637e-69,3.6641873090029968e-98,4.178690408152531e-45,3.7574761234831802e-84,3.1544383965826304e-16,9.2010347248561632e-17,2.0852152328610758e-21,1.9054652924045558e-33,2.0852152340581903e-21,5.9950068465433211e-31,6.0833425592349018e-36,3.767132660859414e-42,6.6955081950907856e-68,2.4523850261609316e-56,8.8353783479561496e-97,1.6707260502397772e-62,9.814121193254677e-85
2.012265847757472e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,2.8024748589336714e-104,3.5262969824105565e-59,3.4203081863856025e-41,8.7320213350707891e-68,3.9913428171793607e-53,1.6802330274398094e-44,1.0413901277854678e-26,5.7803081631968525e-106,1.0413901275895633e-26,2.3436604099088914e-67,8.6336639589679758e-68,2.0620742153550026e-68,9.4485926745307263e-97,1.6802330419845712e-44,6.0645816140437015e-83,6.3309358029312557e-16,1.8466412349886105e-16,4.1850123892239084e-21,7.6616622878750642e-33,4.1850123940374784e-21,2.4105413826717777e-30,4.896356640520593e-35,3.2683493079197477e-41,2.3281780900627841e-66,3.3101425608773693e-55,1.2329446366172288e-94,1.3447456674252373e-61,1.5805339627174659e-83
4.0315430747754224e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998743,0.099999999999999825,8.243761208490535e-102,2.8296514875836234e-58,2.4939586334525566e-40,7.0068971991966631e-67,3.2060636058500601e-52,6.7384859437133839e-44,2.0864087929955259e-26,1.860816623468686e-104,2.0864087922098609e-26,1.8825554960774455e-66,1.3877907434084824e-66,1.6546846931792923e-67,2.6556224046234749e-95,6.7384860604222459e-44,9.7456198512843644e-82,1.2683930615627561e-15,3.6997167599945863e-16,8.3846066983262861e-21,3.0725651090817919e-32,8.3846067176310525e-21,9.6671525520723828e-30,3.9289429126558174e-34,3.0017590288144062e-40,8.5513837274389554e-65,4.8006371790890952e-54,1.8137497562389106e-92,1.0790736966446762e-60,2.5371070450350343e-82
