Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221643e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,5.9061172891861777e-121,1.5661222685137794e-63,1.3071643002554571e-43,2.0653762300396377e-70,4.9154023942401879e-59,7.2266873364129529e-47,1.5272826647993906e-26,-1.1160280787827671e-108,1.5272826647992152e-26,5.1879244592646263e-69,3.0488534241006544e-76,5.813458875141667e-71,4.3896941582912068e-100,7.2266873364600407e-47,4.6748589546897287e-86,2.9121118203840255e-18,1.4001692419390909e-19,5.3970087778732461e-23,6.4538771356129178e-38,5.3970087779210111e-23,2.3885298502156649e-34,1.526682775418825e-41,5.1299207463648333e-47,5.6992539323593671e-76,9.048999137121578e-60,6.6347220654810731e-109,7.1233797901145623e-66,3.9555432009263319e-88
2.02194488082206e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.4393859859659685e-118,1.8593003579803767e-62,7.8982635668311171e-43,2.4520146603033081e-69,7.4281560980826676e-58,4.3649191511939093e-46,4.2763914614388641e-26,6.6803904807536838e-108,4.2763914614378057e-26,7.8399914428515006e-68,9.5860824496006706e-75,6.9017383765689725e-70,9.8201801115230536e-99,4.364919151249813e-46,1.3183850229675331e-84,8.1539130970752701e-18,3.9204738774294557e-19,1.5111624577967721e-22,3.8981416185159563e-37,1.5111624578256218e-22,1.4426719404876702e-33,1.8124776874957148e-40,6.0912786322483907e-46,1.3383347846850216e-74,1.0746699015529911e-58,8.9462238420239842e-107,8.4568764862438962e-65,8.8483919187278238e-87
4.6215882990218517e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.8611023061006955e-116,1.8254721185743097e-61,3.8057205745244072e-42,2.407402533734976e-68,7.9908713640087272e-57,2.1015206774296151e-45,9.7746090547200921e-26,3.900875363289768e-106,9.7746090547149964e-26,8.4339050349540752e-67,2.138602067785816e-73,6.7761676648675599e-69,1.9405469677760406e-97,2.1015206774845011e-45,2.8677753962677962e-83,1.863751565045774e-17,8.9610831484101838e-19,3.4540856177847204e-22,1.8767872139448872e-36,3.4540856179236182e-22,6.9458434687884459e-33,1.7795011222355249e-39,5.9826494602858565e-45,2.899152746178063e-73,1.0559067836667936e-57,8.8830305641342555e-105,8.3030114815591776e-64,1.7482931349770464e-85
9.820875135421434e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,5.096187811663154e-114,1.6146094189045805e-60,1.6647350092139654e-41,2.1293202781232894e-67,7.3449874891354418e-56,9.1778929172519753e-45,2.077104424129167e-25,1.5367819482779401e-104,2.0771044241269413e-25,7.7522117610138824e-66,4.0053642635799878e-72,5.9934435619211577e-68,3.453968938998735e-96,9.1778929177374327e-45,5.3163722715882352e-82,3.9604720757222603e-17,1.9042301690371643e-18,7.3399319376368261e-22,8.1964213056182496e-36,7.3399319382434329e-22,3.0334315296142327e-32,1.5739482004813692e-38,5.2954921515311792e-44,6.0645522496212614e-72,9.353420473764928e-57,7.9065770782907056e-103,7.3439196246399565e-63,3.11099422272258e-84
2.02194488082206e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,9.1945054365941003e-112,1.3571765088759534e-59,6.9723122304755091e-41,1.7898219949356166e-66,6.2837914350165372e-55,3.8315896257729222e-44,4.276391461447132e-25,5.4299343777511628e-103,4.2763914614378401e-25,6.6321803736654384e-65,6.9182681931159438e-71,5.0378504458650283e-67,5.8285546470123241e-95,3.8315896261809777e-44,9.1374855958940956e-81,8.1539130970752014e-17,3.9204738774294554e-18,1.5111624576845879e-21,3.4218432663536617e-35,1.5111624579378339e-21,1.2663972844412587e-31,1.3229976440343883e-37,4.4577519552642017e-43,1.3289240507724269e-70,7.8857402625643081e-56,7.1330080361499324e-101,6.1730069451848889e-62,5.2471464690112047e-83
4.101659615381893e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.7900471708156346e-109,1.1126953069496656e-58,2.8666990798124878e-40,1.4674042079410132e-65,5.195560274259638e-54,1.5653293838221269e-43,8.6749655360976557e-25,1.824232233977001e-101,8.6749655360596964e-25,5.4836149867640055e-64,1.1494797737506413e-69,4.1303341696319342e-66,9.5830468088372082e-94,1.5653293841566756e-43,1.514471226377285e-79,1.6540795139780964e-16,7.9529612942140344e-18,3.0655009853283342e-21,1.3979335787474816e-34,3.0655009863629287e-21,5.1736406799599906e-31,1.0846723250087968e-36,3.6655114174970078e-42,3.1924337669607873e-69,6.5039520842608566e-55,6.9463421331713051e-99,5.0610040450026545e-61,8.6184538312650275e-82
8.261089084501559e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,3.8239614766356609e-107,9.0108952081074151e-58,1.1735459165850184e-39,1.1883419726180948e-64,4.2249433280065901e-53,6.3273116440688643e-43,1.7472113685457083e-24,5.9800864509958685e-100,1.7472113685303648e-24,4.4591846377026847e-63,1.8739394266383913e-68,3.3448516967259879e-65,1.556574717370273e-92,6.3273116467781218e-43,2.4659237911336486e-78,3.3314559225191996e-16,1.6017936127783183e-17,6.1741780398235689e-21,5.6506625665684932e-34,6.1741780440055738e-21,2.0912638823965361e-30,8.7839402848998815e-36,2.985881600663553e-41,8.4768083104058618e-68,5.3298250299533974e-54,7.4229054525184885e-97,4.0985322812664165e-60,1.3970885053959593e-80
1.6579948022740892e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,8.851664967633069e-105,7.2527525975897974e-57,4.8376388833569358e-39,9.5648100298490549e-64,3.407569850959041e-52,2.5441841835717899e-42,3.5066409984409453e-24,1.9367509313916151e-98,3.5066409983792495e-24,3.5964939554278275e-62,3.0264083994564921e-67,2.6922276410672877e-64,2.5168698309555302e-91,2.5441841857524304e-42,3.9800109408137989e-77,6.6862087396012133e-16,3.2147885794921435e-17,1.2391532145645017e-20,2.2720997547087644e-33,1.2391532162460708e-20,8.4088447107419733e-30,7.0700512792330732e-35,2.4313965505773835e-40,2.446883870464312e-66,4.3909298294072512e-53,8.5943476763065132e-95,3.2988553284895223e-59,2.2499679678085619e-79
3.321766589921956e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,2.1777583835502776e-102,5.8198775244549085e-56,2.0354468981310782e-38,7.6751576783673583e-63,2.7371454124160121e-51,1.0203316490465652e-41,7.0255002583248307e-24,6.2348549597708157e-97,7.0255002580773994e-24,2.8888995308328671e-61,4.8648348851209665e-66,2.1603431314160781e-63,4.0724120049030764e-90,1.0203316507963822e-41,6.3957707358302118e-76,1.339571437376446e-15,6.440778512919779e-17,2.482624034461181e-20,9.1120816095325534e-33,2.4826240412050538e-20,3.3722944435217818e-29,5.6732258829161453e-34,1.9961379401391301e-39,7.5177978343904802e-65,3.6855721468606867e-52,1.0574968114362746e-92,2.6471236212265514e-58,3.6116968801331253e-78
