Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),COX(50),CHOX(53),CO2X(24),H2OX(23)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-3.2549351442655341e-120,1.3110902756240052e-65,2.9700081026898687e-36,1.9483434473494221e-88,1.798594964037676e-54,6.6260115556417922e-132,5.5646936881172801e-20,-6.5494134289054732e-106,5.5646936881172801e-20,2.5962955402989079e-72,3.4397429661787477e-74,4.3712804080777942e-112,5.0684881448357113e-113,8.7029267618281e-55,1.2187829030355602e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.602213533869583e-22,9.0087835435535351e-38,3.3357997036290013e-37,3.6022135338173224e-22,2.6105203399979597e-33,4.1278498532271545e-41,3.2866740905685468e-45,4.1488580791369107e-76,2.1456313301182363e-52,2.0232947020804096e-98,7.6982339004755884e-106,-3.9188950575653371e-108,-1.333178725757531e-107,3.3174158712200141e-54
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.8968273237274524e-118,2.9328575110595293e-64,1.7938848959414563e-35,2.1529860750210259e-86,2.7180367286705714e-53,2.3908708364809794e-129,1.5581142326728387e-19,1.2643739811050666e-104,1.558114232672838e-19,7.3219688803409712e-71,1.0815102281717725e-72,8.7384583585943086e-110,1.0132219500898886e-110,1.0332114629350539e-53,6.3087713573389361e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197894919598e-21,5.4413052474855203e-37,2.0148230209898635e-36,1.0086197894603943e-21,1.576754261272201e-32,4.9005832748991766e-40,3.9019623887409295e-44,2.5239674130855181e-74,2.5472935176088971e-51,1.9054010551281259e-96,1.5389242989208856e-103,3.9660467573201209e-106,1.3492193802090211e-105,3.938436113800413e-53
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.489332807786984e-115,5.794833083593132e-63,8.6367835913737634e-35,1.9478840527242718e-84,2.9239398829089972e-52,8.6568798021938766e-127,3.5614039603950602e-19,1.3350454003552089e-102,3.5614039603950569e-19,1.592688164340597e-69,2.4127898139939751e-71,1.5820283560165866e-107,1.8343577210080148e-108,1.0144131364482302e-52,2.7546564768228311e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166617358679e-21,2.6197542352341431e-36,9.7005055381223277e-36,2.3054166615838947e-21,7.5913927874155764e-32,4.8114215692800592e-39,3.8310183360601896e-43,1.1394537588562448e-72,2.5009478861126473e-50,1.6653303597030781e-94,2.7860999946907714e-101,8.3056143821786547e-104,2.8255077539438739e-103,3.8667799131068796e-52
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,8.0071354546630213e-113,1.0311596494622246e-61,3.7719103201261438e-34,1.4742246968928692e-82,2.6876045029848303e-51,2.624977098207578e-124,7.5679834158395039e-19,1.0552421237973432e-100,7.5679834158394914e-19,2.9525754373168697e-68,4.5188882490264046e-70,2.3972585619412567e-105,2.7796150022339085e-106,8.97236922925478e-52,1.0254895389354256e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.8990104063593063e-21,1.1441154901590328e-35,4.2364656235769958e-35,4.8990104056955992e-21,3.3153604584556554e-31,4.2556476234359185e-38,3.388578654199816e-42,4.3024684689934767e-71,2.2120600923250416e-49,1.2423881191399893e-92,4.2217966835147625e-99,1.3347923161224895e-101,4.54086338443011e-101,3.4201230111799325e-51
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.2905850348539231e-110,1.7392014943222124e-60,1.5746983227851733e-33,1.0242307312858739e-80,2.299302236111343e-50,7.3014405530894745e-122,1.5581142326728393e-18,7.4791824661544324e-99,1.5581142326728331e-18,5.0747227905008518e-67,7.8052555299566978e-69,3.3330234711816329e-103,3.8646319551634613e-104,7.5418168216837664e-51,3.5329669480379087e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.0086197896148673e-20,4.776456855941687e-35,1.7686410028354434e-34,1.0086197893377821e-20,1.3840975482593807e-30,3.5771278003749836e-37,2.8484497513681251e-41,1.4928010808831137e-69,1.8593698100184014e-48,8.56992338684359e-91,5.8697662654916353e-97,1.9084659537112054e-99,6.4924580344229962e-99,2.8748194148102098e-50
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,6.1944588717019495e-108,2.8566436213597682e-59,6.4331565771405508e-33,6.8271341294013448e-79,1.9011075529628499e-49,1.9476469539929275e-119,3.1607460148506173e-18,5.0331469309222935e-97,3.1607460148505942e-18,8.4109808626948219e-66,1.296854829500393e-67,4.4447062160820388e-101,5.1536251761813155e-102,6.1832368560659018e-50,1.1724629195459792e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.0460572877897363e-20,1.951338399241203e-34,7.225475589805962e-34,2.0460572866577523e-20,5.6544886323860504e-30,2.9327447551756384e-36,2.33556934262691e-40,4.9721498013041344e-68,1.5244237345558991e-47,5.6913288023933129e-89,7.827543619819794e-95,2.5800212608442283e-97,8.7770386738824775e-97,2.3569505570496914e-49
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.6298031596173851e-105,4.6307421136798483e-58,2.6003848405180045e-32,4.4592677923687606e-77,1.5459490892733029e-48,5.0897569343869119e-117,6.3660095792061761e-18,3.302431797992666e-95,6.3660095792060813e-18,1.3695101930386024e-64,2.1142005165245498e-66,5.8071892204745864e-99,6.7334206388833899e-100,5.0073451419518398e-49,3.8202997222802352e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.120932285007456e-20,7.8876211683848447e-34,2.9206527587134064e-33,4.1209322804317955e-20,2.2856335225163208e-29,2.3750115463330498e-35,1.8917903208701207e-39,1.6233182324892021e-66,1.2345179055648357e-46,3.7099388510103484e-87,1.0227003702781067e-92,3.3937528309196936e-95,1.1545292010285477e-94,1.9087195258504308e-48
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,4.2308791033624547e-103,7.4576663635920508e-57,1.0456033836326651e-31,2.8839200206375515e-75,1.2468639463492691e-47,1.3168222377438769e-114,1.2776536707917301e-17,2.1399266578978557e-93,1.2776536707916922e-17,2.2103949730050157e-63,3.4144389491316573e-65,7.5118908859688083e-97,8.7100177395834401e-98,4.0303463952225362e-48,1.2335516304329035e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.270682282914833e-20,3.1715772713171808e-33,1.1743816286995401e-32,8.270682264516293e-20,9.1904222967549082e-29,1.9116139934348657e-34,1.5232983462944411e-38,5.248389397245401e-65,9.936474785869504e-46,2.3961790245537805e-85,1.3229142874749823e-90,4.404770495112067e-93,1.498469709857307e-92,1.5363032985391092e-47
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,1.091321867592277e-100,1.1971202682963157e-55,4.1933378368486296e-31,1.856474566447463e-73,1.0015489290755003e-46,3.3909137017150058e-112,2.5597590965339584e-17,1.3780528637001598e-91,2.5597590965338071e-17,3.5520453819374103e-62,5.4886091766623201e-64,9.6716578464478169e-95,1.1214261853455636e-95,3.2340981901467194e-47,3.9651414900751513e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182292617382e-19,1.2719439294157071e-32,4.709795585451726e-32,1.6570182218830933e-19,3.6857627155137755e-28,1.5339467585099414e-33,1.2233474761035378e-37,1.6891574870409868e-63,7.9733963225538395e-45,1.5405719283831054e-83,1.7032694617668527e-88,5.6807389292009e-91,1.9325442913200309e-90,1.2327862738127849e-46
