Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-1.4425656459743e-121,6.9328251404652164e-66,1.720750178063549e-46,1.7167586519059748e-74,5.24209601706926e-60,4.4834051665174024e-49,4.3960786067495878e-29,-3.5611504663808693e-114,4.396078606744361e-29,3.078085105143251e-74,3.7382494003832247e-78,4.0541400601817096e-75,3.6882391281963042e-106,4.4834051665313305e-49,6.2860900602397448e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745301395e-23,2.0444380666843855e-37,1.7666427745429833e-23,6.4322337591533062e-35,9.6266617806634232e-42,5.5045634067216387e-48,1.3517007243021444e-77,1.2973013361700166e-62,-7.5705084853815316e-110
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,2.615795709164816e-119,8.2306500280693143e-65,1.0713929773810941e-45,2.0381358715449209e-73,7.9218555009389482e-59,2.7079767205796274e-48,1.2309020098915817e-28,-3.3621327433310159e-114,1.2309020098884247e-28,4.6516022128739864e-73,1.1753598014316142e-76,4.8130750794527983e-74,8.2504434002201136e-105,2.7079767205961621e-48,1.7727779751572396e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997686636163e-23,1.2348344834835133e-36,4.9465997687411936e-23,3.8850686290878968e-34,1.1428771345828989e-40,6.5427091699809883e-47,8.2325744191791662e-76,1.5836629623968626e-61,7.6684795063497223e-108
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.1062888751036998e-116,8.0809010474162045e-64,5.4848394270762121e-45,2.0010538846682613e-72,8.5219706528309977e-58,1.3037742224279348e-47,2.813490308331617e-28,6.4250299885327577e-114,2.8134903083164157e-28,5.0039813958638528e-72,2.62213645465984e-75,4.7255056541635239e-73,1.6301485840256318e-103,1.3037742224441681e-47,3.8561793191726321e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513756847471e-22,5.9451342669117355e-36,1.1306513757220977e-22,1.8704927350009739e-33,1.1220832259001254e-39,6.4399627301256285e-46,3.7258654122293747e-74,1.6470055298298055e-60,1.6088939322103755e-105
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,3.5717863632056589e-114,7.1474655386438245e-63,2.6822802801220373e-44,1.7699094997829639e-71,7.8331592359495952e-57,5.6939245615253949e-47,5.9786669052388408e-28,3.8875880102681156e-112,5.9786669051724529e-28,4.5995210128948653e-71,4.9108712912539239e-74,4.1796562364779507e-72,2.9007623067843563e-102,5.6939245616689754e-47,7.1487065665866121e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341732882796e-22,2.5963416611786266e-35,2.4026341734513992e-22,8.1689281718013565e-33,9.924693333064201e-39,5.7250562706301476e-45,1.4138620496226756e-72,1.620694922029872e-59,2.5953457139100784e-103
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.0293718683633331e-111,6.0078755791751699e-62,1.3595760289240129e-43,1.4877155796286562e-70,6.7014326422597986e-56,2.3771014193309894e-46,1.2309020099161906e-27,1.3857359592275202e-110,1.2309020098884751e-27,3.9349870632026528e-70,8.481962920883622e-73,3.5132529099724025e-71,4.8925596147758633e-101,2.3771014194516723e-46,1.2286800085878593e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997683623872e-22,1.0838758511494181e-34,4.9465997690433793e-22,3.410362507021075e-32,8.3422931177868645e-38,4.8610106274884554e-44,4.9542632089903129e-71,1.6380785857152774e-58,3.7384338677906038e-101
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,2.8245393654969201e-109,4.925619588291962e-61,7.5137886197268511e-43,1.2197191161913355e-69,5.5408741009005702e-55,9.7112349272513332e-46,2.4969726487442499e-27,4.6566482876807928e-109,2.4969726486310232e-27,3.2535233992677174e-69,1.4091758505640228e-71,2.8803769974483968e-70,8.0360438588771311e-100,9.7112349282406852e-46,2.0364470072405312e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530957978774e-21,4.4276132267665165e-34,1.0034530960760849e-21,1.393240930020119e-31,6.8395001154662821e-37,4.0653053031997337e-43,1.6825631954583136e-69,1.7952606193593365e-57,5.1281294586247453e-99
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,7.6430882666385358e-107,3.9888947845941958e-60,4.6213482836191995e-42,9.8776016368188132e-69,4.5057467971718385e-54,3.9254364270366681e-45,5.0291139265741559e-27,1.5265251665819709e-107,5.0291139261164758e-27,2.6457111955118102e-68,2.2969374954738083e-70,2.3326039714357945e-69,1.3026773392436198e-98,3.9254364278377444e-45,3.3158260373144376e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393335084243e-21,1.7894103414760157e-33,2.0210393346329865e-21,5.6316748570738622e-31,5.5387789243386552e-36,3.4216913077283597e-42,5.7049052511010891e-68,2.1863728864731242e-56,6.9378982790581727e-97
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,2.0907811343859389e-104,3.2106100903608554e-59,3.1321811985443442e-41,7.9503531298414518e-68,3.6340480219156656e-53,1.5784007227386322e-44,1.0093396482929117e-26,4.9439079625789528e-106,1.00933964810888e-26,2.1338619272632655e-67,3.7083501438843988e-69,1.8774826083081213e-68,2.0979216957318834e-97,1.5784007233832054e-44,5.3517565941165408e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.056211808078593e-21,7.1927150294988014e-33,4.056211812600435e-21,2.2644493811537035e-30,4.4580499390520265e-35,2.9625416102611093e-41,1.9812323977830425e-66,2.9389723538283143e-55,9.4897558007976563e-95
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,5.912867826337165e-102,2.5763132688888102e-58,2.2779465848279036e-40,6.3796576920772463e-67,2.9190649961743551e-52,6.3300928561525656e-44,2.0221961598419624e-26,1.5915598033338813e-104,2.0221961591039141e-26,1.7140339453541222e-66,5.9571779256426216e-68,1.5065615536632337e-67,3.3676289418900217e-96,6.3300928613216082e-44,8.6001291797546804e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567538152344e-21,2.8826569900560266e-32,8.126556771950042e-21,9.0812758775962299e-30,3.5772381953583604e-34,2.711807426177779e-40,7.2557183018097839e-65,4.2507423720514021e-54,1.3420440818723457e-92
