Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(49),CHOX(53),CO2X(24),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221184e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-5.7962593128301e-122,3.1046352839568789e-74,8.0935497393544532e-42,1.7190560234061738e-91,4.9154637183805153e-59,8.3080605595525888e-141,7.3429590430278837e-25,-1.0610201378306998e-119,7.3429590430278654e-25,1.5975567922682573e-81,2.2865865367460669e-77,3.7193469046675249e-119,2.2474006617472955e-120,3.5315344213943957e-59,1.033623811459641e-96,2.912111820383841e-18,1.4001692419390023e-19,5.3970087778729028e-23,5.3970087779206667e-23,2.3885302712284626e-34,1.5266832758140448e-41,5.1299217102623551e-47,6.4538735109194158e-38,1.6486997200359015e-77,5.6028553253291495e-58,-5.2447819340533034e-111,-6.5113155518686352e-110,3.2922816998164371e-109
2.0219448808219315e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.0502449024303424e-119,9.6912688224567819e-73,4.8885339545085883e-41,1.8999199354386311e-89,7.4282487711200043e-58,2.9982828664621002e-138,2.0560285320478126e-24,2.04797534491876e-118,2.0560285320478019e-24,4.5053657632267162e-80,7.18938989577051e-76,7.4363882730358151e-117,4.4934082121707096e-118,4.1926354141541454e-58,5.350334531706961e-95,8.1539130970747509e-18,3.9204738774292063e-19,1.511162457796676e-22,1.5111624578255257e-22,1.4426721947793703e-33,1.8124782815648685e-40,6.0912797769273216e-46,3.8981373152827919e-37,1.0031524251098063e-75,6.6517471146371298e-57,5.3087530659322976e-109,6.5906656045593794e-108,6.5825225908786064e-107
4.621588299021558e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,4.4350060849568105e-117,2.157650469929048e-71,2.3536491321065171e-40,1.7195222908418812e-87,7.9909710574331369e-57,1.0859949273414517e-135,4.6994937875378845e-24,2.1624631886202277e-116,4.6994937875378316e-24,9.8001546298108967e-79,1.6039114086570133e-74,1.3467644475932752e-114,8.1377709263872986e-116,4.1163495437168041e-57,2.3361654471829864e-93,1.8637515650456551e-17,8.9610831484096137e-19,3.4540856177845008e-22,3.4540856179233982e-22,6.9458446930932214e-33,1.7795017054960384e-39,5.9826505848581799e-45,1.8767829890105569e-36,4.5303480299593032e-74,6.5308037116496661e-56,1.1121329835983627e-106,1.3806480744772359e-105,1.192125407547589e-104
9.820875135420811e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.4274814053623697e-114,4.0378351298631283e-70,1.0279271803856191e-39,1.3022987146215025e-85,7.3450791245681157e-56,3.2952806356394377e-133,9.9864242985181173e-24,1.7092470572717745e-114,9.9864242985178866e-24,1.8167835039296957e-77,3.0039413044674398e-73,2.0421766870538221e-112,1.2339771887763948e-113,3.6408560736067689e-56,8.6969582130231928e-92,3.9604720757220076e-17,1.904230169037043e-18,7.3399319376363578e-22,7.3399319382429655e-22,3.033432064300032e-32,1.5739487163685022e-38,5.2954931474830513e-44,8.1963839366472129e-36,1.7118162349925984e-72,5.7765623694803256e-55,1.7885540160863001e-104,2.2202787394026392e-103,1.8076885824989815e-102
2.0219448808219317e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,4.0888707955341209e-112,6.9718513328295981e-69,4.2916173429893169e-39,9.0604291528628174e-84,6.2838698310584464e-55,9.1785896177868768e-131,2.0560285320478941e-23,1.2114537833583286e-112,2.0560285320477977e-23,3.1225866528242851e-76,5.188536493870758e-72,2.843272522540034e-110,1.7180361798650371e-111,3.0603446395610715e-55,2.996233968842007e-90,8.1539130970746812e-17,3.9204738774292058e-18,1.5111624576844914e-21,1.511162457937738e-21,1.2663975076618366e-31,1.3229980776682945e-37,4.4577527945757243e-43,3.421811855639727e-35,5.9477155770711675e-71,4.8557850032706259e-54,2.5608209661844725e-102,3.1786520924160601e-101,2.5168004845292806e-100
4.1016596153816325e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,1.1086260637317644e-109,1.158177197267526e-67,1.753448536998361e-38,6.0561253732984166e-82,5.1956250936231169e-54,2.4551388214560556e-128,4.1708007364402027e-23,8.1525285930798942e-111,4.1708007364398083e-23,5.1754583765924364e-75,8.6207476269811885e-71,3.8021034422521552e-108,2.2974059716928996e-109,2.5090320352320143e-54,9.9434081266441372e-89,1.6540795139779909e-16,7.9529612942135291e-18,3.0655009853281382e-21,3.0655009863627346e-21,5.1736415918871024e-31,1.0846726805275584e-36,3.6655121091476082e-42,1.3979078266047903e-34,1.9865862756997517e-69,3.9814533777331956e-53,3.4715891450251157e-100,4.3083283292818845e-99,3.3655359126249146e-98
8.261089084501034e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.931943962450439e-107,1.8879294079148935e-66,7.0891973705206486e-38,3.9775916987346046e-80,4.2249960380364798e-53,6.4513280647079864e-126,8.4003451452253939e-23,5.3491722020434231e-109,8.4003451452237988e-23,8.426892313671543e-74,1.4053722604768807e-69,4.9950258508493971e-106,3.018224619471312e-107,2.0318412958452385e-53,3.2399147691789172e-87,3.3314559225189876e-16,1.6017936127782166e-17,6.1741780398231754e-21,6.1741780440051819e-21,2.0912642510106125e-30,8.7839431639746608e-36,2.9858821665013567e-41,5.6504540232224288e-34,6.5220781360727387e-68,3.2249117316131744e-52,4.5919267208101172e-98,5.6965098427650587e-97,4.4214838272741395e-96
1.6579948022739839e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,7.6892940985042619e-105,3.048769337640389e-65,2.8517237071587844e-37,2.6007465531059439e-78,3.4076123635076996e-52,1.6873686596027272e-123,1.6859433962798073e-22,3.4661839777801364e-107,1.6859433962791665e-22,1.3601038160588954e-72,2.2695921700723538e-68,6.5322210263409755e-104,3.9470687237323877e-105,1.6353416379218794e-52,1.0461488454206333e-85,6.6862087396007864e-16,3.2147885794919389e-17,1.2391532145644227e-20,1.239153216245992e-20,8.4088461929113702e-30,7.0700535965495329e-35,2.4313970152227118e-40,2.2719319076120936e-33,2.1320807723447048e-66,2.5966997523811878e-51,6.0258014895696189e-96,7.4695732374351858e-95,5.7821742000951258e-94
3.3217665899217445e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,2.0235539607761948e-102,4.9003299818777531e-64,1.1446221265820978e-36,1.7106273873721175e-76,2.7371795608070257e-51,4.4391331944075117e-121,3.3777611597952627e-22,2.232125448450854e-105,3.3777611597926926e-22,2.1856503167515533e-71,3.6480209359056669e-67,8.5926813314026642e-102,5.192093709039685e-103,1.3121607822803834e-51,3.3627519793532066e-84,1.3395714373763604e-15,6.4407785129193685e-17,2.4826240344610228e-20,2.4826240412048967e-20,3.3722950379286999e-29,5.6732277423951595e-34,1.9961383277681441e-39,9.110734850298824e-33,7.0124695953364537e-65,2.0853092920497002e-50,7.9411596830649798e-94,9.8287849732318882e-93,7.6060470141760545e-92
