Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),COX(50),CO2X(24),CHOX(53)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-2.9170614931060783e-120,6.8635741746780277e-72,2.8897367842365137e-36,1.7945988468990335e-88,1.7261728919512723e-54,5.9381984186743405e-132,5.4889784659455013e-20,-6.0325991303521248e-106,5.4889784659455013e-20,2.4578509175629188e-72,5.3120514756434123e-75,3.9715569459711981e-112,4.6050112188437978e-113,1.3630172183033377e-55,1.1380943779493257e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.5532015428380315e-22,8.7653028026682343e-38,3.5532015427871829e-22,2.539965274623118e-33,3.9616391099612219e-41,3.1543340782375068e-45,3.8741854291510376e-76,2.0592360972209807e-52,1.8636366248460895e-98,3.2456416223579106e-37,6.9942855668104137e-106,-1.2112699889444973e-107,-3.5605407858024324e-108
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,5.2847154169196294e-118,1.6919717036651077e-70,1.7454010195184491e-35,1.9830928810867663e-86,2.6085924756460454e-53,2.1426863175387005e-129,1.5369139704647403e-19,1.16460220756409e-104,1.5369139704647396e-19,6.9315328470808873e-71,1.6701939533433901e-73,7.9393859476104981e-110,9.2056998947282267e-111,1.6181740204665885e-54,5.8911042742851464e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643200289597e-22,5.294242817383598e-37,9.9489643197218397e-22,1.5341390027556586e-32,4.7032578842719806e-40,3.7448471045350432e-44,2.3568694817156674e-74,2.4447250969803637e-51,1.7550459486442274e-96,1.9603675399022067e-36,1.3982005872764837e-103,1.2258437110739448e-105,3.6033805197918264e-106
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,2.2309305527553052e-115,3.4815272490502432e-69,8.4033545961537036e-35,1.7941752579282396e-84,2.8062047485091334e-52,7.7582504696361696e-127,3.51294621820512e-19,1.229696943425859e-102,3.5129462182051176e-19,1.5077597979296123e-69,3.7261107237020846e-72,1.4373624123173846e-107,1.6666184381336517e-108,1.5887328042346559e-53,2.5722866805462716e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.2740489874740705e-21,2.5489499418738998e-36,2.274048987326205e-21,7.3862186718534695e-32,4.6176863386414637e-39,3.6767590308311998e-43,1.0640166429953947e-72,2.4002456022355814e-50,1.5339192191654383e-94,9.4383258377872333e-36,2.5313304861193318e-101,2.5671363070511411e-103,7.5461248605544933e-104
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,7.1759606587331312e-113,6.308347150873968e-68,3.6699657444940914e-34,1.3578922095218301e-82,2.5793856303912541e-51,2.3524899750119828e-124,7.4650107136858807e-19,9.7197294846758853e-101,7.4650107136858682e-19,2.7951325589829453e-68,6.9785925989993043e-71,2.178044517525993e-105,2.5254376494562309e-106,1.4052160940006157e-52,9.5759783625634006e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540985483777e-21,1.1131933390254486e-35,4.8323540979026082e-21,3.2257555404624704e-31,4.0842910201540378e-38,3.2521334426901575e-42,4.0176237598859094e-71,2.1229900621520356e-49,1.14435133085918e-92,4.1219648603639894e-35,3.8357413830081468e-99,4.1256335147107803e-101,1.2127346145875482e-101
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,2.0528105128903649e-110,1.0732040831812526e-66,1.5321384686645434e-33,9.4340706105592337e-81,2.2067187121993068e-50,6.5435062837600854e-122,1.5369139704647403e-18,6.8890000406132742e-99,1.5369139704647349e-18,4.8041187094369955e-67,1.2053781844607223e-69,3.0282376357088818e-103,3.5112346304953009e-104,1.1811686638571075e-51,3.2990697384268547e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643212248174e-21,4.6473624937540594e-35,9.948964318528854e-21,1.3466892661272154e-30,3.4330922742559996e-37,2.733751586204421e-41,1.393969308470934e-69,1.7845010819435552e-48,7.8936711337711408e-91,1.7208391881466639e-34,5.3330114803753684e-97,5.898762779203247e-99,1.7339485107937328e-99
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,5.5514311625722533e-108,1.770188286657948e-65,6.2592856814021209e-33,6.2883856365708803e-79,1.8245577050016913e-49,1.7454669151524659e-119,3.1177397686570456e-18,4.6359812143119104e-97,3.1177397686570229e-18,7.9624744434889545e-66,2.0027534105846696e-68,4.0382579352562617e-101,4.6823508637042779e-102,9.6839321446101155e-51,1.0948409634700343e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.0182184768689003e-20,1.8985987573892104e-34,2.0182184757675113e-20,5.5016636531319009e-30,2.8146557678781297e-36,2.2415201584802839e-40,4.6429593634418407e-68,1.4630418265204647e-47,5.2422263131509783e-89,7.0301895794592957e-34,7.1117522862074919e-95,7.9744168026093298e-97,2.3440910380602021e-97
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,1.4606125334703361e-105,2.8755443728181769e-64,2.5301034406903938e-32,4.1073632141444268e-77,1.4837000242189524e-48,4.5613905511491599e-117,6.279391365041658e-18,3.0418368442570823e-95,6.2793913650415671e-18,1.2964825494410692e-64,3.2649919928561685e-67,5.2761337960919006e-99,6.1176651003845344e-100,7.842295770424757e-50,3.5673798795317778e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.0648625672062617e-20,7.674436010067929e-34,4.064862562754267e-20,2.2238592703643671e-29,2.2793800863687247e-35,1.8156062854132256e-39,1.5158392871905941e-66,1.1848092427664605e-46,3.4171877500327801e-87,2.8417150309806989e-33,9.2917681798717316e-93,1.0489483889480674e-94,3.083402483386298e-95
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,3.7916395911711022e-103,4.6357819008471549e-63,1.0173435388038495e-31,2.6563201462955085e-75,1.1966578202557585e-47,1.1801169017269415e-114,1.2602694557810889e-17,1.9710650060838349e-93,1.2602694557810522e-17,2.0925280618138522e-63,5.2729658307824516e-66,6.8249072199908537e-97,7.9134643520741581e-98,6.3121561805159542e-49,1.1518853458293917e-74,6.8826774751334837e-16,2.0378384724592344e-17,8.1581507512590831e-20,3.0858539689093649e-33,8.1581507333578038e-20,8.942031131183702e-29,1.834641577109437e-34,1.4619456971555187e-38,4.9008698786143195e-65,9.5363761860845279e-46,2.2070966499522657e-85,1.1426411155622442e-32,1.2019303941514185e-90,1.3614250160039093e-92,4.0019433165416063e-93
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,9.7800804970912441e-101,7.4452978511158568e-62,4.0800031949608384e-31,1.7099425168016772e-73,9.6122063827105969e-47,3.0388547761954165e-112,2.5249300943349388e-17,1.2693106869567034e-91,2.5249300943347915e-17,3.362636419877644e-62,8.4761226274906235e-65,8.7870627214858357e-95,1.0188579179371614e-95,5.0650986295516705e-48,3.7026325156381889e-73,1.3789336404883359e-15,4.0827774274008945e-17,1.6344727132877167e-19,1.2375630555886675e-32,1.6344727061084965e-19,3.5861470576792636e-28,1.4721814063055518e-33,1.17406270250344e-37,1.5772935622274744e-63,7.6523423357415949e-45,1.4190054696684647e-83,4.5825019315060574e-32,1.5474844445279127e-88,1.7557728886079651e-90,5.1611652341646356e-91
