Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),H2X(46),OCX(25),CHOX(50)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0396030974469292e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,3.8001911352602714e-66,1.2461513154563337e-41,1.3427266018088897e-95,3.667326191346899e-57,7.1963793265376873e-150,3.4351157209859225e-37,-2.6046206068902668e-141,3.4351131216168803e-37,2.4433964009955889e-91,4.9733908634355106e-68,1.6383138266405533e-133,5.036989674313081e-135,8.5396303840623684e-56,5.4108031736905812e-111,2.6705732132517208e-18,1.1684506296121751e-18,3.7160716099384076e-20,3.7160716104433004e-20,2.5240567929456937e-30,2.7264272546435594e-34,1.2715503936493143e-41,5.1620511164206245e-38,1.5892221686564501e-54,9.3881151566105771e-58,8.5918873126086474e-71,-3.0129757638659071e-104
2.910888672851402e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,1.1945542685824663e-64,1.4792895647425242e-40,1.5091525595642283e-93,5.542063327164124e-56,2.2479776564207632e-147,9.6183324919321998e-37,5.0282612159530661e-140,9.6183167917431856e-37,6.8907687784021732e-90,1.5637135624563873e-66,3.3750073680446113e-131,1.0240720284264683e-132,1.0138249193323415e-54,2.800787547523946e-109,7.4776049971048112e-18,3.2716617629140893e-18,1.0405000507009658e-19,1.0405000510059372e-19,1.5243713285039736e-29,3.2365053371906452e-33,1.5361011035996206e-40,3.1178788747763121e-37,1.8867245588828807e-53,2.0998922274875739e-56,5.3171671381427344e-69,3.1024105562557206e-102
6.653459823660347e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,0.0,2.6648045997433142e-63,1.4520761025140367e-39,1.4151306473656654e-91,5.9618988258835416e-55,2.2253778430740538e-144,2.1984799926511213e-36,5.30931941489239e-138,2.1984724336859495e-36,1.4988927217601969e-88,3.4885589316594553e-65,6.3845378980486355e-129,1.921336725706063e-130,9.9537931798152924e-54,1.2229334542074453e-107,1.7091668564810964e-17,7.4780840295179182e-18,2.378285829788062e-19,2.3782858312565296e-19,7.3375730317204449e-29,3.1769655917350825e-32,1.564303723431916e-39,1.5011244653294072e-36,1.8523973605586701e-52,4.1482049908441592e-55,2.4885057578790441e-67,6.7330632948141671e-100
1.4138602125278238e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,0.0,4.9907536464831033e-62,1.283813000313339e-38,1.1465529308067079e-89,5.4800121622986967e-54,1.6281424219213906e-141,4.6717870366415031e-36,4.1965850688614205e-136,4.6717540246546884e-36,2.7786944924434819e-87,6.533684794165121e-64,1.0521646922872219e-126,3.1159913646078693e-128,8.8040173493945794e-53,4.5526746212786319e-106,3.631979570022316e-17,1.5890928562725571e-17,5.0538573866536412e-19,5.0538573930682475e-19,3.203089555204881e-28,2.8088264152002374e-31,1.4834359968981587e-38,6.5558049247607547e-36,1.6384244886062391e-51,7.3785500066029082e-54,1.0063961494239155e-65,1.1586634774808832e-97
2.910888672851402e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,0.0,8.620184953308826e-61,1.0782285095926952e-37,9.0144812107798118e-88,4.6882657732155153e-53,1.0853254464050316e-138,9.6184553529205251e-36,2.9744058182579575e-134,9.6183175343740713e-36,4.7758658673619502e-86,1.1285315676277792e-62,1.7074546797212015e-124,4.9006860072100472e-126,7.4003070723516539e-52,1.568465433593478e-104,7.4776049971047141e-17,3.271661762914086e-17,1.0405000495150346e-18,1.0405000521941925e-18,1.3360404326804492e-27,2.3590325825912796e-30,1.4146520113194604e-37,2.7369195081159364e-35,1.3771945067078364e-50,1.243502847727307e-52,3.9547587806538298e-64,1.875503194115076e-95
5.904945593498558e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,0.0,1.4322486614055115e-59,8.8253484928170865e-37,7.403326060643083e-86,3.8763487940277581e-52,7.3385232810359262e-136,1.9512008898671178e-35,2.001658857114095e-132,1.9511445864940468e-35,7.9156474110707089e-85,1.8750720805796167e-61,2.9769407719656795e-122,8.0474015737613239e-124,6.0672188593153313e-51,5.2051649060537574e-103,1.5168855851269335e-16,6.6367995761971408e-17,2.1107286691205933e-18,2.1107286800754989e-18,5.4484897308822041e-27,1.9308786740554196e-29,1.4342270058427902e-36,1.1181209252509835e-34,1.1291072657323843e-49,2.0391880282308341e-51,1.624855813170504e-62,3.1257584875786068e-93
1.189305943479287e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,0.0,2.3349204770466926e-58,7.1234290660139895e-36,6.6483098907241016e-84,3.1521824471832058e-51,5.3491179106152022e-133,3.9299983642939542e-35,1.3133879598940461e-130,3.9297707770583805e-35,1.2888579750525961e-83,3.0568407427626659e-60,5.9662092315111061e-120,1.4445856885390752e-121,4.9133911577010012e-50,1.6960271938184222e-101,3.05513575595979e-16,1.3367075202763238e-16,4.2511858999565838e-18,4.2511859443158672e-18,2.1945863833910458e-26,1.5585194043208133e-28,1.6038056569832196e-35,4.5196235738553262e-34,9.1438034199596341e-49,3.2950626482018503e-50,7.3034232550828872e-61,5.6567603168755937e-91
2.3869287117381494e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999395,0.099999999999999881,0.0,3.7708978015439028e-57,5.6959787311491006e-35,6.6208101962262281e-82,2.5423493145461112e-50,4.2933907866914215e-130,7.8879403742517325e-35,8.5109002470217269e-129,7.887025255991284e-35,2.0802219484144625e-82,4.9368059895411439e-59,1.4356300724787623e-117,2.8756383987470765e-119,3.9547246947531599e-49,5.4763689838686895e-100,6.1316360976252302e-16,2.6827626455895351e-16,8.5321003281280565e-18,8.5321005071143189e-18,8.7623815918869327e-26,1.2462106084568855e-27,1.996164615183405e-34,1.8173207785805978e-33,7.3597285516747498e-48,5.272937142007148e-49,3.6406305695051885e-59,1.131266613585596e-88
4.782174248255874e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999821,0.09999999999999877,0.099999999999999742,0.0,6.0616042091735061e-56,4.5114918869223984e-34,7.1913983473042221e-80,2.0421531885554119e-49,3.7449916148975692e-127,1.5805212638561981e-34,5.481221630563103e-127,1.5801542605074169e-34,3.3428607630293954e-81,7.9357715227783177e-58,4.1948160706978514e-115,6.2443024297126021e-117,3.1734175649163043e-48,1.7603298423006734e-98,1.2284636780955022e-15,5.3748728962159287e-16,1.709392905046897e-17,1.7093929773156658e-17,3.4653795702291689e-25,9.8705923431217588e-27,2.7124095936147899e-33,7.2882692795402503e-33,5.9057187697240441e-47,8.3581685642099354e-48,1.9788595408477034e-57,2.4628768707820908e-86
