Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH2X(27),CHX(28),CX(26),CH3OO(77),H2X(49),C2H4(47),OCX(25),CHOX(53),COX(50),O(29),H2OX(23)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.9230757927501282e-54,2.88973684392005e-36,4.8648680842739516e-88,1.7244117813347837e-54,1.6097498343439056e-131,5.4889784659455013e-20,-6.0264442830925425e-106,5.4889784659455013e-20,2.4553433197638499e-72,1.2884997030011753e-71,1.0766250443500269e-111,1.2483442829012969e-112,1.0408840792640248e-37,1.1369332485509216e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.5532015428814867e-22,3.5532015427437333e-22,6.8854648031739766e-33,2.9112928178192179e-40,6.2838001187620608e-44,3.2456416223579106e-37,2.0592361397516687e-52,1.8617352682319322e-98,7.7178276795914291e-75,-2.6239581532076708e-107,1.8960380301742324e-105,8.41836583537121e-29,7.0137077577445348e-70
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.6574755811529718e-53,1.74540109037474e-35,5.3758256960436055e-86,2.6059310852823995e-53,5.8084563741117358e-129,1.5369139704647403e-19,1.1634140353021831e-104,1.5369139704647396e-19,6.9244610200718504e-71,4.0512492297103397e-70,2.1522318073096426e-109,2.4955078708504044e-110,6.2869398387547081e-37,5.8850939341137259e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643202914298e-22,9.9489643194593998e-22,4.1588205712160481e-32,3.4562867024107371e-39,7.4601431969030889e-43,1.9603675399022067e-36,2.4447251921198065e-51,1.7532553805814749e-96,4.6951409244334363e-73,2.6555193820414473e-105,3.7902827709757027e-103,2.3571424372764028e-28,1.5689383705712614e-68
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.5727371440296115e-52,8.4033552918249093e-35,4.8636644671309802e-84,2.8033417462021756e-52,2.1031128037883186e-126,3.51294621820512e-19,1.2284423574423761e-102,3.5129462182051176e-19,1.506221521087155e-69,9.0381141728214902e-69,3.8964135535488115e-107,4.5178826267403384e-108,3.0268909024997817e-36,2.5696623308068199e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.2740489876004382e-21,2.2740489871998516e-21,2.0022929099114618e-31,3.393402502646974e-38,7.3244460757423747e-42,9.4383258377872333e-36,2.4002457902150721e-50,1.5323542534352945e-94,2.1196205256196785e-71,5.5610905167351507e-103,6.8619509805636751e-101,5.3877541582448223e-28,3.0999578314988652e-67
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,4.0445342192938039e-51,3.6699663598072914e-34,3.6809274157816912e-82,2.5767540380194209e-51,6.3770497570858851e-124,7.4650107136858807e-19,9.7098130279572626e-101,7.4650107136858682e-19,2.7922808529666616e-68,1.6927387578240816e-67,5.9041686447062956e-105,6.8458700747847378e-106,1.3219227806653095e-35,9.5662085664867877e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540991002567e-21,4.8323540973507894e-21,8.7445376665655626e-31,3.0014255912725116e-37,6.4784487507806338e-41,4.1219648603639894e-35,2.1229903966514404e-49,1.1431838178679005e-92,8.0033557173992314e-70,8.9370654493038904e-101,1.0397796656830116e-98,1.1448977654141089e-27,5.5162093309610214e-66
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,3.3996747127848172e-50,1.5321389858721905e-33,2.5572754068020066e-80,2.2044673295208731e-50,1.7737362837526902e-121,1.5369139704647399e-18,6.8819716072758071e-99,1.5369139704647349e-18,4.7992173554094838e-67,2.9237852497417372e-66,8.2085874682535731e-103,9.5178384437568531e-104,5.518767388257845e-35,3.2957038955475436e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643235288044e-21,9.9489643162251213e-21,3.6506710685247629e-30,2.522878229127943e-36,5.4456260263924948e-40,1.7208391881466636e-34,1.7845016461255107e-48,7.8856176948068811e-91,2.7767858225516522e-68,1.2777671859062813e-98,1.4456095086346652e-96,2.3571424861771318e-27,9.303893302502248e-65
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.7872587292358715e-49,6.2592899217800457e-33,1.7044740470397566e-78,1.8226962182660376e-49,4.7311111700997237e-119,3.117739768657044e-18,4.631251400881704e-97,3.1177397686570229e-18,7.954350808638124e-66,4.8579129213530091e-65,1.0945749008800926e-100,1.2691571005851476e-101,2.2545965510490367e-34,1.093723962935824e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.018218477810155e-20,2.0182184748263608e-20,1.4914172115280251e-29,2.0684066373313082e-35,4.4648163911409499e-39,7.0301895794592923e-34,1.4630427531904177e-47,5.2368779842268427e-89,9.2481887524843927e-67,1.7272800118272304e-96,1.9276494167936715e-94,4.7816320140382568e-27,1.528167268631794e-63
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,2.2571943834981169e-48,2.5301068746537645e-32,1.1131662686555575e-76,1.4821862941208739e-48,1.2362172850943982e-116,6.2793913650416519e-18,3.0387334406649991e-95,6.2793913650415656e-18,1.2951598260975805e-64,7.9196241357192232e-64,1.4299246271065949e-98,1.6579943431134305e-99,9.1134397383144882e-34,3.5637402959185352e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.0648625710109695e-20,4.0648625589499885e-20,6.0285384307959413e-29,1.6750471179192185e-34,3.6159883461910494e-38,2.8417150309806969e-33,1.1848107449364348e-46,3.4137013984362427e-87,3.0189799813587686e-65,2.2717680073028014e-94,2.5182318461303745e-92,9.6306114151008266e-27,2.4772249953634206e-62
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,0.0,1.8167864113131051e-47,1.0173463027488937e-31,7.1972865445445004e-75,1.1954369420939316e-47,3.1975303041318627e-114,1.2602694557810869e-17,1.9690540467428436e-93,1.2602694557810519e-17,2.0903931810061917e-63,1.2790214133575609e-62,1.8492088863009142e-96,2.1441534851076297e-97,3.6644740364120939e-33,1.1507101463363148e-74,6.8826774751334837e-16,2.0378384724592347e-17,8.1581507665577052e-20,8.1581507180609632e-20,2.424042037088953e-28,1.3482200982705109e-33,2.9108874277430633e-37,1.1426411155622427e-32,9.5364003780059831e-46,2.204844881689378e-85,9.7582251510936998e-64,2.9477843916209986e-92,3.2566308873320124e-90,1.9328571598587236e-26,3.9894944855174735e-61
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,0.0,1.4578566778680067e-46,4.0800253737599936e-31,4.6307673250454207e-73,9.602399625387426e-47,8.2296985626059956e-112,2.5249300943349305e-17,1.2680156854367007e-91,2.5249300943347903e-17,3.3592057237371335e-62,2.055989566716363e-61,2.3796707228558819e-94,2.759222774336265e-95,1.4696179862083408e-32,3.6988549418848632e-73,1.3789336404883359e-15,4.0827774274008963e-17,1.6344727194231956e-19,1.6344726999737787e-19,9.7214385955903275e-28,1.0818560268097175e-32,2.3364865852388684e-36,4.5825019315060442e-32,7.6523811689313317e-45,1.4175577435450848e-83,3.1390016660490953e-62,3.7997477094539658e-90,4.1908241052074384e-88,3.8724497491005151e-26,6.4040221860413218e-60
