Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),H2X(49),C2H4(47),COX(50),CHOX(53),HOCOX(206),CH4OX(60),C2H4X(210),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661701545902e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5662445712493185e-65,3.2108196405189744e-36,6.6733517856251194e-88,2.0196563042549412e-54,2.4535163715932684e-131,5.7858929879186091e-20,-8.2667325469791212e-106,5.7858929879186091e-20,3.0312890968681186e-72,1.2836886968591584e-70,1.5567407866539968e-111,1.8050368507949042e-112,8.4673234223996936e-51,1.4795468341775417e-85,3.1598340908207258e-18,9.3557071359608951e-20,3.7454032863267588e-22,9.7392254762528697e-38,3.6062699498690395e-37,3.7454032861737005e-22,7.6505178224464714e-33,3.4097478981373184e-40,7.359676634348721e-44,1.0043589167354038e-74,3.7289565248144027e-54,2.411806783925262e-52,2.5538221045351636e-98,2.7415662184303565e-105,-3.7940978427255507e-107,-3.3173117629757791e-121,2.4185763962940952e-87,5.1423151942785154e-115,2.9791801676378441e-102
1.8355852764328526e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.50389089550362e-64,1.9393351057949809e-35,7.3742554376787813e-86,3.0521045883875448e-53,8.8530180572947591e-129,1.6200500366172108e-19,1.595905026265473e-104,1.6200500366172101e-19,8.5487202091664984e-71,4.0361226487565786e-69,3.1120095322586571e-109,3.6083668738573607e-110,1.0052406367069824e-49,7.6585604790359963e-84,8.8475354542980296e-18,2.6195979980690506e-19,1.0487129201962998e-21,5.8824921876547583e-37,2.1781870497185916e-36,1.0487129201038525e-21,4.620912565767142e-32,4.0480525430583768e-39,8.7374274779703606e-43,6.1100187358645046e-73,4.4270171862422119e-53,2.8632970719089538e-51,2.4050155758175567e-96,5.4805400347941043e-103,3.8397340595680757e-105,1.0679689260577328e-118,1.3929761716733463e-85,8.768250611801221e-113,2.8055888047984427e-100
4.1956234889893776e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.9233317623488682e-63,9.3370641584519297e-35,6.6717030623765403e-84,3.2833148394031362e-52,3.2054816082566568e-126,3.7029715122679102e-19,1.6851071686498824e-102,3.7029715122679063e-19,1.859533371822394e-69,9.0043676018982568e-68,5.6340023329623321e-107,6.532610898118258e-108,9.8695121811394856e-49,3.3440272282920501e-82,2.0222938181252617e-17,5.9876525670149738e-19,2.3970581034227774e-21,2.832166768491366e-36,1.0487033014184533e-35,2.3970581029776841e-21,2.2247702842816706e-31,3.9744016490771325e-38,8.5784991557736649e-42,2.7583675262756957e-71,4.3464717252695732e-52,2.811202167245204e-50,2.1019960269808547e-94,9.9220053864735635e-101,8.0410310417260753e-103,5.5771456867722414e-116,6.246689821780221e-84,1.532478689141617e-110,2.4520990963973161e-98
8.915699914102427e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2319890015412839e-61,4.0777416087424939e-34,5.0492929195024171e-82,3.0179320026374361e-51,9.7196524487588141e-124,7.8688144635693094e-19,1.3319367766294917e-100,7.8688144635692949e-19,3.447261479510137e-68,1.6864183984257421e-66,8.5371112287812046e-105,9.8987580330262922e-106,8.7294717555370179e-48,1.244897492241222e-80,4.297374363516173e-17,1.2723761704906819e-18,5.0937484702726532e-21,1.2368816354810447e-35,4.5799628362978932e-35,5.0937484683288114e-21,9.7161545501546603e-31,3.5153126409811974e-37,7.5876583715582573e-41,1.0415169590984506e-69,3.8444050187090534e-51,2.4864766997495528e-49,1.5681542552368358e-92,1.5034651849678645e-98,1.2922511381734537e-100,1.9676720303718136e-113,2.3501608342197329e-82,2.2887953141990089e-108,1.8293420072862177e-96
1.8355852764328527e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.0779450715973504e-60,1.7023771721580117e-33,3.5079325417071e-80,2.5819043666331315e-50,2.7034627939484722e-121,1.6200500366172106e-18,9.4402961756135002e-99,1.6200500366172046e-18,5.924961704120389e-67,2.9128684001597438e-65,1.1869188674370511e-102,1.3762293073970975e-103,7.3376470006402061e-47,4.2888606140903763e-79,8.8475354542979692e-17,2.6195979980690504e-18,1.0487129205560083e-20,5.1637373474816322e-35,1.9120443273883562e-34,1.0487129197444929e-20,4.0563017735449473e-30,2.9548310637818976e-36,6.3780068860448151e-40,3.6135746567630536e-68,3.2314540608936479e-50,2.0900338554670551e-48,1.0817039875717266e-90,2.0902752075373041e-96,1.8475837617246901e-98,5.8710032784233807e-111,8.1378608122925924e-81,3.159342325284099e-106,1.2618698296447356e-94
3.7236158464780725e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.4130435946438598e-59,6.9547688436039916e-33,2.3381101231027023e-78,2.1347684594660269e-49,7.2109973059711666e-119,3.2863872171377697e-18,6.3528865538736834e-97,3.2863872171377466e-18,9.8201895084317929e-66,4.8397744108923317e-64,1.5827011703783231e-100,1.8351378474727291e-101,6.0158463330515665e-46,1.4233164677365054e-77,1.7947857635861455e-16,5.3140416532257863e-18,2.1273890682485668e-20,2.1095551950348702e-34,7.8113249619416333e-34,2.1273890649332604e-20,1.6571304121391131e-29,2.4225473494733215e-35,5.2292768250089194e-39,1.2035168588548343e-66,2.6493412751701612e-49,1.7135366325084792e-47,7.1836500540556247e-89,2.7872848836279052e-94,2.4975603702965289e-96,1.6199437206395043e-108,2.7075175499988775e-79,4.1974633615824426e-104,8.380140375659669e-93
7.499676986568512e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.5327008650341644e-58,2.8112308846463599e-32,1.5269903179979929e-76,1.7359582578999031e-48,1.8842071971628342e-116,6.6190615781788883e-18,4.1683612365175687e-95,6.6190615781787935e-18,1.5989632896466276e-64,7.8900537805129434e-63,2.0676082375679794e-98,2.397386317440221e-99,4.871788331801839e-45,4.6376694868229633e-76,3.6148501998988009e-16,1.0702928963539251e-17,4.2847413661739793e-20,8.5271593870896914e-34,3.157462441843619e-33,4.2847413527729711e-20,6.6983762455341286e-29,1.9618389313284613e-34,4.2351302158613394e-38,3.9287773383818682e-65,2.1455052531500536e-48,1.3876673685511966e-46,4.6827205654306524e-87,3.6412516104820838e-92,3.2848754657387592e-94,4.3039124216881512e-106,8.8332903059051695e-78,5.4730868638425498e-102,5.4626624770913622e-91
1.5051799266749392e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,0.0,8.9102522994232665e-57,1.13038528007106e-31,9.8729830373043743e-75,1.400113224402321e-47,4.8736220643067475e-114,1.3284410300261129e-17,2.7010360471937981e-93,1.3284410300260744e-17,2.5807331960156786e-63,1.274245791403332e-61,2.673895425150045e-96,3.1003747179428188e-97,3.9212390853560243e-44,1.4974753743839413e-74,7.2549790725239455e-16,2.1480703584166156e-17,8.5994459721860396e-20,3.4287332856605347e-33,1.2696017607492477e-32,8.5994459183010969e-20,2.6933797203982282e-28,1.5790542677702949e-33,3.4093264590847294e-37,1.2699054746942642e-63,1.7268892820006735e-47,1.1169169954688486e-45,3.0244802535424728e-85,4.7089800887884177e-90,4.2623981091002748e-92,1.1224587606875354e-103,2.8540374254002543e-76,7.0704352932661272e-100,3.5282299031029856e-89
3.015604382711115e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996385,0.022821567693054264,0.0,1.4302934764699507e-55,4.5333642305925475e-31,6.3524207832681172e-73,1.1246470832623616e-46,1.2543760922366691e-111,2.661510774442561e-17,1.7393916030065168e-91,2.6615107744424066e-17,4.1471689643182104e-62,2.0483128884698787e-60,3.4409787301615754e-94,3.9898057938666598e-95,3.1465474148516004e-43,4.8135007816854979e-73,1.4535236817773566e-15,4.303625282541988e-17,1.7228855224855521e-19,1.3750754013310382e-32,5.0916709031347933e-32,1.7228855008752166e-19,1.0801593898263723e-27,1.2670845747504837e-32,2.7366126671248854e-36,4.0850639619327471e-62,1.3857198923582039e-46,8.9625807222000071e-45,1.9445247324222788e-83,6.0598855776686245e-88,5.4943938178172151e-90,2.9008766367184191e-101,9.1769822055155746e-75,9.0918978311005941e-98,2.2683997505543745e-87
