Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),H2OX(23),OCX(25),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.2654287160255096e-120,7.8693002392883697e-66,7.6207705941404925e-42,5.9560831549264351e-91,2.5984518039109745e-60,2.7092013417302117e-140,7.1237143035489817e-25,-5.1213386919722366e-121,7.1237143035489762e-25,8.19298411512201e-83,2.0537798914071528e-72,1.2501806861930348e-118,7.554170053340345e-120,1.3589901289942304e-53,5.1426144537453549e-98,2.8251634421299508e-18,1.3583636890012977e-19,5.2358675890016527e-23,5.2358675891885239e-23,9.343805423504358e-34,2.4082389991044412e-40,3.3629425767756162e-45,6.0742375806955527e-38,2.1531673116326031e-54,1.0172351063582205e-75,-3.781162518453266e-108
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,5.9160369159896125e-118,1.7604044463912982e-64,4.6049066178918171e-41,6.581891245570711e-89,3.9267803658957572e-59,9.7759583145633489e-138,1.9946400049937158e-24,9.8851049898730242e-120,1.9946400049937132e-24,2.3105526081112064e-81,6.4574125898333964e-71,2.4992696339117914e-116,1.5101743317768074e-117,1.6133930811399653e-52,2.6619653484429623e-96,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429248901909e-22,1.4660429250030607e-22,5.643657071195447e-33,2.8590606865193381e-39,3.992643222992446e-44,3.6688394987351856e-37,2.5562402323588215e-53,6.1885781308054473e-74,3.8267849453709155e-106
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.4976182011239172e-115,3.4783274835975387e-63,2.2190618558666289e-40,5.9552971057382972e-87,4.224251128055913e-58,3.5399352519661274e-135,4.5591771542713564e-24,1.0437715304878829e-117,4.5591771542713431e-24,5.0259566100717215e-80,1.4406132266044654e-69,4.525049196980816e-114,2.7342440585779027e-115,1.5840388943495207e-51,1.162318249712954e-94,1.8081046029631668e-17,8.6935276096083047e-19,3.3509552567491545e-22,3.3509552572925729e-22,2.7171765102543309e-32,2.8070413523829963e-38,3.9203350343725538e-43,1.7663882884588729e-36,2.509731818403607e-52,2.7940547040096935e-72,8.0145430353571538e-104
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,8.0349339206580113e-113,6.1895509853092486e-62,9.7087768844065042e-40,4.5078134587955225e-85,3.8828145604441421e-57,1.0735468812326298e-132,9.6882514528266566e-24,8.2501447071749623e-116,9.6882514528265978e-24,9.3172765170530262e-79,2.6981091374713265e-68,6.8578124510995546e-112,4.1438075329148581e-113,1.4010644633749676e-50,4.3270194150930156e-93,3.8422222812967213e-17,1.8473746170417649e-18,7.1207799199827288e-22,7.1207799223559823e-22,1.1866611116564472e-31,2.482793826077192e-37,3.4680865284202984e-42,7.7142817274069457e-36,2.2198293715265011e-51,1.0551599592134578e-70,1.2881987247497447e-101
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,2.2991942894817912e-110,1.043962561528338e-60,4.0678909217185967e-39,3.1327368815322248e-83,3.3218296026918689e-56,2.9869447480601248e-130,1.9946400049937336e-23,5.847410398851256e-114,1.9946400049937095e-23,1.6014017753422109e-77,4.6603125619101229e-67,9.5374544665210156e-110,5.7629712018241334e-111,1.1776791019208882e-49,1.4907237950112545e-91,7.9104576379638032e-17,3.8034183292036333e-18,1.4660429244512467e-21,1.4660429254420342e-21,4.9540660414233372e-31,2.0869336696744235e-36,2.9161359504076785e-41,3.2205607652160152e-35,1.8659003414491217e-50,3.6620763177781162e-69,1.8423746144077214e-99
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,6.2212941279930825e-108,1.7147151353075557e-59,1.6738527073567418e-38,2.0893545962732465e-81,2.7465529516356131e-55,7.9721419032449192e-128,4.0462697244158999e-23,3.935039132733335e-112,4.0462697244158011e-23,2.6542059997381061e-76,7.7431790201050597e-66,1.272576200130338e-107,7.6894941089573531e-109,9.6553248010849014e-49,4.947168760935472e-90,1.6046928351297846e-16,7.7155057535273671e-18,2.9739727885822293e-21,2.9739727926299284e-21,2.023889040331269e-30,1.7109875192835032e-35,2.3924647596318316e-40,1.3157041568707555e-34,1.5297778327517208e-49,1.2204478196424648e-67,2.4920995937133655e-97
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.6387328345533372e-105,2.7796299375208747e-58,6.8628858777646565e-38,1.3662554248887741e-79,2.2334512438168272e-54,2.0857082473646463e-125,8.1495291632603564e-23,2.5819231031218145e-110,8.1495291632599555e-23,4.3216864072250111e-75,1.2623336072494422e-64,1.6645598175385372e-105,1.0058040461272865e-106,7.8191323547845486e-48,1.611962912046822e-88,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325137443373e-21,5.9898325301058524e-21,8.1808136890035495e-30,1.3855910553427211e-34,1.9401367749947548e-39,5.3182865648238851e-34,1.2388537509390006e-48,3.989121110398316e-66,3.2818514047342166e-95
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,4.2637583786477137e-103,4.4765105781460519e-57,2.8374657241122791e-37,8.8560184793759619e-78,1.8013593358588519e-53,5.4083508403859721e-123,1.6356048040949761e-22,1.6730477422198221e-108,1.6356048040948157e-22,6.9752192677242102e-74,2.0386721450676109e-63,2.1580713746775599e-103,1.3040065593376696e-104,6.2935179677333806e-47,5.2049305501854789e-87,6.4865752631298909e-16,3.1188030299469699e-17,1.2021551951669118e-20,1.202155201745861e-20,3.2894133905275221e-29,1.1152265208599252e-33,1.5658676108456088e-38,2.138459636845714e-33,9.9713727628707277e-48,1.2926899066799945e-64,4.269262514441351e-93
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.1047997903042326e-100,7.1857926791450027e-56,1.2004542593197857e-36,5.7267611634058743e-76,1.4469497732833212e-52,1.3989679892024297e-120,3.2769085796330542e-22,1.0773959062843792e-106,3.2769085796324109e-22,1.1208990052932615e-72,3.2771059234368376e-62,2.7910948017696964e-101,1.6865085983442289e-102,5.0501518163252051e-46,1.673078407773985e-85,1.299575183379584e-15,6.248472969405931e-17,2.4084990777920954e-20,2.4084991041770715e-20,1.3191571269842547e-28,8.9487063677165344e-33,1.2633734744314766e-37,8.5761795916293231e-33,8.0013986621208206e-47,4.1794454898641896e-63,5.5310416387539941e-91
6.450778387925648e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,2.8680261645689532e-98,1.1516006321163979e-54,5.308712070236916e-36,3.7133173473028499e-74,1.1599093278757771e-51,3.6283336345416439e-118,6.5595161307100003e-22,6.9166758135426456e-105,6.5595161307074265e-22,1.7973384356646178e-71,5.2555858588112654e-61,3.6194994264786378e-99,2.1870689954942759e-100,4.0462669500689525e-45,5.3658813020542948e-84,2.6014104975124807e-15,1.2507812848323788e-16,4.8211868232033704e-20,4.8211869288844819e-20,5.2831506400444887e-28,7.169399482342352e-32,1.0232331951794155e-36,3.4349451469153672e-32,6.4108557741038782e-46,1.355065262521201e-61,7.1792584442654108e-89
1.2907161274885116e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,7.5092556043893347e-96,1.8440615484161588e-53,2.5255599635072402e-35,2.4294591985610975e-72,9.288681711530823e-51,9.4944518160366454e-116,1.312473123286705e-21,4.4335142302772564e-103,1.3124731232856744e-21,2.8788650379604911e-70,8.4187232378159656e-60,4.7358297684621121e-97,2.8616074307664074e-98,3.2394738613688634e-44,1.7190092098037961e-82,5.2050811257771009e-15,2.5026492606159265e-16,9.6465622346695563e-20,9.6465626576981053e-20,2.1143501084728527e-27,5.7391500887536119e-31,8.368140937551454e-36,1.3748732302986531e-31,5.1325826813179818e-45,4.4334160194753051e-60,9.3989139161027581e-87
2.581992704880405e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,2.0032390695601252e-93,2.9516994954873212e-52,1.331088849431292e-34,1.6197875660390825e-70,7.4347098153325258e-50,2.5315414150797314e-113,2.6255161437193777e-21,2.8396403452582935e-101,2.6255161437152542e-21,4.6086841814489085e-69,1.3477790804558999e-58,6.3141109781087977e-95,3.8152779505926211e-96,2.5925636277876713e-43,5.5039147035104468e-81,1.0412422382301648e-14,5.0063852121829258e-16,1.9297312740176484e-19,1.9297314433071213e-19,8.4578588164603535e-27,4.5918982234051117e-30,6.9787450521237503e-35,5.5012837684461548e-31,4.1076260213361386e-44,1.4783695942674787e-58,1.2537600292579905e-84
5.164545859664192e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,5.5360751261042999e-91,4.7236802128098712e-51,7.8879790492027206e-34,1.1188223271562864e-68,5.94927363324278e-49,6.9916223380614767e-111,5.2516021845897747e-21,1.818071225953581e-99,5.2516021845732771e-21,7.3758949186260797e-68,2.1570733603868005e-57,8.7203045117412832e-93,5.2692113965795838e-94,2.074444797614473e-42,1.7617463899793771e-79,2.0827104895331955e-14,1.0013857115316534e-15,3.8598812481488619e-19,3.8598819256004947e-19,3.3818588163657513e-26,3.6723515176880409e-29,6.0345123281843609e-34,2.2008717230128244e-30,3.2867248764721199e-43,5.1084100321873901e-57,1.732647839645826e-82
1.0329652169231765e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,1.6249525615454614e-88,7.5586571435865092e-50,5.2027095303336107e-33,8.2076923918812816e-67,4.7600207080987832e-48,2.0503188684170281e-108,1.0503774266350775e-20,1.1637899475810743e-97,1.0503774266284776e-20,1.1803030877964091e-66,3.451818720536349e-56,1.2789011450091745e-90,7.7277123509967706e-92,1.6597134062659712e-41,5.638377804947738e-78,4.1656469921317468e-14,2.0028800921582208e-15,7.7201806885306709e-19,7.7201834000236861e-19,1.3513873694814644e-25,2.9351806989309602e-28,5.5478051693672445e-33,8.8042033356273227e-30,2.6296295124737587e-42,1.8753764157724984e-55,2.5433799294825857e-80
2.0659864788366913e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,5.2193239538800851e-86,1.2094466162468597e-48,3.7140828292795246e-32,6.5885684240044847e-65,3.8082563666730368e-47,6.5776009747088707e-106,2.1008118429953605e-20,7.4489719507360146e-96,2.1008118429689599e-20,1.8886124214485487e-65,5.5233104094609529e-55,2.0520158683781759e-88,1.2399229158968599e-89,1.3278337447494915e-40,1.8044067823691598e-76,8.3315199972987975e-14,4.0058688534107363e-15,1.5440777537772359e-18,1.5440788395878308e-18,5.394074463307959e-25,2.3435026280052557e-27,5.5867044149336665e-32,3.5218245970954897e-29,2.1038033972152444e-41,7.536071417685147e-54,4.0858528931344801e-78
4.132029002663721e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319982534,0.11866996602979869,0.022821567693050281,1.8753168134993719e-83,1.9351636547621959e-47,2.7841373982000417e-31,5.9161257227773711e-63,3.0466995201663505e-46,2.3601603650857312e-103,4.2016806757482562e-20,4.7675690250443511e-94,4.2016806756426515e-20,3.0218804265883054e-64,8.8376149491030405e-54,3.6827185876303072e-86,2.225268936215835e-87,1.0622921869282476e-39,5.7743004262610691e-75,1.6663266007512709e-13,8.0118463759132912e-15,3.0881963110172233e-18,3.0882006636458818e-18,2.1483739729421437e-24,1.8672853909173701e-26,6.295955603081769e-31,1.4087584671390146e-28,1.6830825335477249e-40,3.3879877304486789e-52,7.3427195242443646e-76
8.26411405031778e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631996507,0.11866996602963205,0.022821567693046274,7.5294647586063368e-81,3.0963007468194559e-46,2.1400121637852687e-30,5.936529041588002e-61,2.4373949935487363e-45,9.4648344283629385e-101,8.4034183413833702e-20,3.0513139332110535e-92,8.4034183409609488e-20,4.8350845301212245e-63,1.4140431888723127e-52,7.3864841602231116e-84,4.463255432288254e-85,8.4984379822590396e-39,1.8478062042069672e-73,3.3326758027459762e-13,1.6023801420908488e-14,6.1764301750672297e-18,6.1764476592539465e-18,8.5200760448523294e-24,1.4818882060830715e-25,7.9252720507221236e-30,5.635090927442297e-28,1.346481793064785e-39,1.7018489677062e-50,1.4744966223586281e-73
1.6528284145625898e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319930137,0.11866996602929877,0.022821567693038263,3.2929436935511833e-78,4.9541111739721699e-45,1.65771033508577e-29,6.4893267298238821e-59,1.9499263156882392e-44,4.1359179570310856e-98,1.6806893673170884e-19,1.9528595568332255e-90,1.6806893671481186e-19,7.7361812206591411e-62,2.2624868055368728e-51,1.6141949464645316e-81,9.7537125924798282e-83,6.7987901343689831e-38,5.9130169004409502e-72,6.6653742065430773e-13,3.2047711510859249e-14,1.2352884901474696e-17,1.2352955412694791e-17,3.350629527809287e-23,1.1668219749383436e-24,1.0855962857468337e-28,2.2540476242262748e-27,1.0771914845107854e-38,9.3092891576946344e-49,3.2249488780462046e-71
3.3056624336242133e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319860276,0.11866996602863222,0.022821567693022238,1.5113095193990999e-75,7.926598212099456e-44,1.2750459343112217e-28,7.4449110915064123e-57,1.5599390525757279e-43,1.8973608512779331e-95,3.3613844338815063e-19,1.2498313668131963e-88,3.3613844332056257e-19,1.2377879671759252e-60,3.6199862213081187e-50,3.7029793252269278e-79,2.2375114037498747e-80,5.439047292681461e-37,1.8921642560589369e-70,1.3330771013368044e-12,6.4095531690602262e-14,2.4705742347738651e-17,2.4706028776239774e-17,1.2964261852026812e-22,9.0487449310693042e-24,1.5588528499798413e-27,9.0162117348475112e-27,8.6175519728417126e-38,5.3423897299496464e-47,7.4013138454148687e-69
6.611330471747461e-18,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319720554,0.11866996602729912,0.02282156769299019,7.005876505062534e-73,1.2682561728482901e-42,9.571502962773177e-28,8.6277621190962853e-55,1.2479406368544413e-42,8.7946672697445476e-93,6.7227745678379921e-19,7.9988644070613964e-87,6.7227745651344757e-19,1.9804448661283267e-59,5.7919619633216294e-49,8.5822375409404795e-77,5.1857849068032295e-78,4.3512427654063637e-36,6.0548784669454891e-69,2.6661564623941047e-12,1.281911720494541e-13,4.9411249215813719e-17,4.9412426962875246e-17,4.8654703073835935e-22,6.8200107224877642e-23,2.2587404528810528e-26,3.6064879266870938e-26,6.89404305136723e-37,3.0958686457170244e-45,1.7155260376127084e-66
1.3222666547993955e-17,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319441111,0.11866996602463291,0.022821567692926096,3.1583695615771874e-70,2.0292065071798333e-41,6.846600063487819e-27,9.7244551429825612e-53,9.9833257943230324e-42,3.9657513003927446e-90,1.3445554839061537e-18,5.1191779556052441e-85,1.3445554828247525e-18,3.1686508935381032e-58,9.2670564083497154e-48,1.934863674381609e-74,1.1691341233136642e-75,3.4809943564087315e-35,1.937524567875016e-67,5.3323151832779289e-12,2.563824527646214e-13,9.8821430868167888e-17,9.8826358172686664e-17,1.7300333319520214e-21,4.8870763228693011e-22,3.179941280529328e-25,1.4425950053921584e-25,5.5152245255196345e-36,1.7442674882340437e-43,3.8667067806203035e-64
