Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),H2X(46),CHOX(50),CO2X(24)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0547805878300239e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-8.2397230992276962e-118,5.0097590322735707e-69,1.3015288116404486e-41,1.4651460416802877e-95,3.8303038694352074e-57,8.2014579907255035e-150,3.4852660872357026e-37,-2.8412657378395277e-141,3.4852634114146301e-37,2.5892392546031952e-91,7.0337260069365223e-76,1.8135974992223773e-133,5.5764645690164555e-135,1.1903574652206348e-63,5.8174753597963382e-111,2.7095617458571144e-18,1.1855092053682605e-18,3.7703237002384021e-20,3.770323700758145e-20,2.5982896604235393e-30,2.8475864693948918e-34,1.3284438823384171e-41,5.3138761480365492e-38,9.2403268133331182e-71,1.6598479462213247e-54,9.9484627446500401e-58,-3.3356734469152937e-104,-4.0440721555893792e-105
2.953385645924067e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.519308695918417e-115,1.2715498100906054e-67,1.5450252962510525e-40,1.6471418385219979e-93,5.7883552169744049e-56,2.5625665746439774e-147,9.7587537666425161e-37,5.4851084455004988e-140,9.7587376046832371e-37,7.3020689878015643e-90,2.2115160291419027e-74,3.7377141499843199e-131,1.1340244222778204e-132,1.4131923825673843e-62,3.0112927941879066e-109,7.5867728883999136e-18,3.3194257750311297e-18,1.0556906359825587e-19,1.0556906362965002e-19,1.5692009162952228e-29,3.380327108677532e-33,1.6052276601666813e-40,3.2095811930605357e-37,5.7198486947091002e-69,1.9705714815551754e-53,2.2252253433865515e-56,3.4355292445519967e-102,4.1651318950558004e-103
6.750595762112153e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,6.6488303925186095e-113,2.6457774629732055e-66,1.5165979795871489e-39,1.5452862578968924e-91,6.2268484034634673e-55,2.5380546127972263e-144,2.2305764014986321e-36,5.791702547431132e-138,2.2305686202109546e-36,1.5883595017806204e-88,4.9337706061997482e-73,7.0750009534488198e-129,2.1286747457420266e-130,1.3874806610157271e-61,1.3148482837668335e-107,1.7341195173485482e-17,7.5872589143568656e-18,2.4130071675632196e-19,2.413007169074882e-19,7.5533362773680035e-29,3.318131597271603e-32,1.6355236155795222e-39,1.5452751833143418e-36,2.6782974287365922e-67,1.9347187654944319e-52,4.3957798690158774e-55,7.4596935952160314e-100,9.0438947720512262e-101
1.4345015994488325e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,2.2917941877494291e-110,4.8170348683247139e-65,1.3408501332838661e-38,1.2531237088135802e-89,5.7235464708201867e-54,1.8585658774350799e-141,4.7399924069794587e-36,4.5778698602272557e-136,4.739958424051855e-36,2.9445508245398307e-87,9.2404063078255124e-72,1.1672566830347671e-126,3.4553198268091767e-128,1.2272109314049041e-60,4.8948504859233158e-106,3.6850039743656514e-17,1.6122925193008337e-17,5.1276402293774401e-19,5.1276402359807518e-19,3.29725589375016e-28,2.9336167119997061e-31,1.5523858741557136e-38,6.7486227024609075e-36,1.0841243031599628e-65,1.7112368373270158e-51,7.8188739226022923e-54,1.2848555029594475e-97,1.5577136040779097e-98
2.9533856459240666e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,7.431601756273236e-108,8.2133560916494173e-64,1.1261183476874658e-37,9.8668386178391683e-88,4.8966145011054864e-53,1.2407498826134996e-138,9.7588802411893165e-36,3.2446485708439676e-134,9.7587383691562065e-36,5.0609305253590136e-86,1.5960503946517102e-70,1.8978304806824547e-124,5.4423273811326795e-126,1.0315447319340903e-59,1.6863502069332307e-104,7.5867728883998135e-17,3.319425775031126e-17,1.055690634761747e-18,1.055690637519739e-18,1.3753003456810472e-27,2.4638097118197828e-30,1.4826141614097099e-37,2.8174171286892726e-35,4.2664919297112137e-64,1.4383976702484212e-50,1.3176949808155719e-52,2.0828303477242853e-95,2.5251364270639634e-96
5.991153738874535e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,2.4820772144072318e-105,1.3562214346776051e-62,9.2171067411613098e-37,8.1202947879281168e-86,4.048615550754432e-52,8.4070114569924896e-136,1.9796879202601414e-35,2.1835219868739329e-132,1.9796299609055115e-35,8.3881211746507581e-85,2.6518615938553505e-69,3.3184201717122415e-122,8.95549528121788e-124,8.4572269304247006e-59,5.5963814873776393e-103,1.5390310716467961e-16,6.7336922864917071e-17,2.1415438562543893e-18,2.1415438675317873e-18,5.6084502148429285e-27,2.0165906026329927e-29,1.5063052539407481e-36,1.1510068249326115e-34,1.7566140786671698e-62,1.1792853122982149e-49,2.1608033662405043e-51,3.4785688149761961e-93,4.2172253109499266e-94
1.2066689924775474e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,9.003279587817511e-103,2.2042682215357618e-61,7.4392818655697604e-36,7.3099054815286018e-84,3.292266911903428e-51,6.1428645732282432e-133,3.9873770297391601e-35,1.4327178270743226e-130,3.9871427487613795e-35,1.3657880789122722e-83,4.3232036678237325e-68,6.6757481665626649e-120,1.6115080320498159e-121,6.8488816123003461e-58,1.8234994203341479e-101,3.0997386372603562e-16,1.3562225309412853e-16,4.31325029061822e-18,4.3132503362845134e-18,2.2589003822090369e-26,1.6276241434528562e-28,1.6885130998632092e-35,4.6525535987962189e-34,7.9148791062718459e-61,9.5501581753689738e-49,3.4914150558391145e-50,6.3105740713320413e-91,7.6504254947070204e-92
2.421776229657735e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,3.6079294805740355e-100,3.5545404882408857e-60,5.9479727230572758e-35,7.295845528160886e-82,2.6553325087734286e-50,4.9414266437091418e-130,8.0031125174807513e-35,9.2841765176924196e-129,8.0021704839774747e-35,2.204387444729359e-82,6.9819853891366e-67,1.6131499308953223e-117,3.2150554191902311e-119,5.5125757215780604e-57,5.8879690742373345e-100,6.2211537684871948e-16,2.7219291355255074e-16,8.6566631248600635e-18,8.6566633091291071e-18,9.018250700457738e-26,1.3013438153055702e-27,2.1062338608893381e-34,1.8707713251357407e-33,3.9541788367740582e-59,7.6867980898096376e-48,5.5866367156872593e-49,1.2648207320536438e-88,1.5332986054093115e-89
4.85199070401811e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,1.572955530636465e-97,5.709538230661597e-59,4.7102038316983902e-34,7.9369921216822629e-80,2.1329074320743725e-49,4.3169754267540879e-127,1.6036012568075471e-34,5.97923689904205e-127,1.6032234592427251e-34,3.5423913775591279e-81,1.1223337331853858e-65,4.7324557613804787e-115,6.9922661898439997e-117,4.4234947837066981e-56,1.892635010469029e-98,1.2463984030939746e-15,5.4533423446939229e-16,1.734348865540048e-17,1.7343489399488134e-17,3.5658580385448307e-25,1.030534973471713e-26,2.8663757080265264e-33,7.5026296222938011e-33,2.152629585581807e-57,6.1681712816340777e-47,8.8538160388542691e-48,2.7579289645363199e-86,3.343050612701339e-87
