Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2OX(23),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-2.1102783632091275e-119,3.3909998315704348e-65,9.7134711958330286e-46,1.7167579472627896e-74,1.8872088557465315e-61,4.4834033263048053e-49,4.3960768023801557e-29,-3.5611475355323008e-114,4.3960768023791731e-29,3.0780825787392787e-74,1.2606391193325413e-73,4.054138326577033e-75,3.6882351453823854e-106,4.4834058016568185e-49,6.2860870287977585e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427745026706e-23,2.0444485413342933e-37,1.7666427745704516e-23,3.3900331408249874e-34,2.6739929056059479e-40,8.049729478427311e-46,1.9766917686286131e-75,6.9311052102657172e-54,-1.1074621438310582e-107
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,3.823930076671267e-117,6.8579172449767503e-64,1.0560345113148766e-44,2.0381350349907913e-73,2.8519500226912467e-60,2.7079756090886939e-48,1.2309015046667657e-28,-3.362130057567244e-114,1.230901504666172e-28,4.6515983938035289e-73,3.9636511189214598e-72,4.8130730213132179e-74,8.2504344908179589e-105,2.7079785478266035e-48,1.7727771198120804e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997684977082e-23,1.2348469189315464e-36,4.9465997689071017e-23,2.0475784575452346e-33,3.1745621611936789e-39,9.5587688725400367e-45,1.2027817014954421e-73,8.2286081053894252e-53,1.1210286042540218e-105
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.6149976510571168e-114,1.2732088471085844e-62,9.8647795278228599e-44,2.0010530633307707e-72,3.0679976922260215e-59,1.3037736872903243e-47,2.8134891535255542e-28,6.4250206217092269e-114,2.813489153522696e-28,5.0039772875072369e-72,8.8426876071157422e-71,4.7255036334611746e-73,1.6301468236749928e-103,1.3037765725606308e-47,3.8561774585957326e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513756048702e-22,5.9452563576846193e-36,1.1306513758019752e-22,9.8581929808586203e-33,3.1167992601250835e-38,9.3893677811962171e-44,5.4325036461125829e-72,8.078896232347804e-52,2.3487079217041698e-103
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,5.1995509060082096e-112,2.1932984932663411e-61,8.5083609809159801e-43,1.7699087733127027e-71,2.8200184481277609e-58,5.6939222244162647e-47,5.9786644512482817e-28,3.8875832082494272e-112,5.9786644512357987e-28,4.5995172365889891e-71,1.6561375245907158e-69,4.1796544491741221e-72,2.9007591743240554e-102,5.6939477443053751e-47,7.1487031173624307e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341729394342e-22,2.5964496469618621e-35,2.4026341738002464e-22,4.3053179165051558e-32,2.7567652976424591e-37,8.3128155747903318e-43,2.0531613237960068e-70,7.1456922260259131e-51,3.7780826070920059e-101
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.4901629673763772e-109,3.6388545880888662e-60,7.0622437049952268e-42,1.4877149689756344e-70,2.4125851531349295e-57,2.3771004436150536e-46,1.2309015046714343e-27,1.3857342525369356e-110,1.2309015046662226e-27,3.9349838323927564e-70,2.86056572032126e-68,3.5132514076097963e-71,4.8925543313887176e-101,2.3771218946195339e-46,1.2286794157244728e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997669060277e-22,1.0839666161360202e-34,4.9465997704997603e-22,1.7973738162888736e-31,2.3172132911683218e-36,7.000924364235667e-42,7.1369175832845941e-69,6.0063848747214266e-50,5.4118083206794895e-99
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.0446740631894097e-107,5.9274141683030011e-59,5.7536565347346996e-41,1.2197186155232371e-69,1.9947720580633901e-56,9.7112309409790696e-46,2.4969716237728885e-27,4.6566425526273987e-109,2.496971623751597e-27,3.2535207277762977e-69,4.7528727240554295e-67,2.8803757656780488e-70,8.036035180783994e-100,9.7114068092738771e-46,2.0364460244951934e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530952029072e-21,4.4283573144126223e-34,1.0034530966710739e-21,7.3427631944494598e-31,1.899768417387809e-35,5.761922464094715e-41,2.3859156642094593e-67,4.9243972083112257e-49,7.3430617024833514e-97
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.0719696340598924e-104,9.5686426967108815e-58,4.64471306734123e-40,9.8775975820008256e-69,1.6221155070513657e-55,3.9254348155969407e-45,5.0291118620087654e-27,1.5265232863140131e-107,5.0291118619227012e-27,2.6457090227704476e-68,7.7483820914877242e-66,2.3326029738470459e-69,1.3026759324518111e-98,3.9255772383016409e-45,3.3158244367699631e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393311034584e-21,1.7900128281292103e-33,2.0210393370381009e-21,2.9679852290048706e-30,1.5384444047346574e-34,4.7020156320825277e-40,7.846937510475202e-66,3.9879045289018941e-48,9.7298780567076507e-95
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,2.823187170386287e-102,1.5377875346918696e-56,3.7324139791828734e-39,7.9503498657967992e-68,1.3082949180098856e-54,1.5784000746854868e-44,1.0093392338612393e-26,4.9439018715244761e-106,1.0093392338266332e-26,2.1338601743336945e-67,1.2513657736425252e-64,1.877481805250536e-68,2.0979194300408624e-97,1.5785147088685214e-44,5.3517540095332979e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562117984083317e-21,7.1975628406264491e-33,4.0562118222718864e-21,1.1933518439971694e-29,1.2382138345735995e-33,3.8423162985556024e-39,2.5740703731772832e-64,3.2098124982613415e-47,1.2812213678855124e-92
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,7.4903945095972523e-100,2.4659125353334079e-55,2.9923834276513325e-38,6.3796550727552893e-67,1.0508936204968724e-53,6.3300902563649605e-44,2.0221953292347139e-26,1.5915578415187384e-104,2.0221953290959281e-26,1.7140325364446264e-66,2.0115339212733988e-63,1.506560909081358e-67,3.3676253048793903e-96,6.3310101234864706e-44,8.6001250222177393e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265567150331638e-21,2.8865446070032971e-32,8.1265568107416595e-21,4.7853777072537826e-29,9.9349224055004402e-33,3.1758453613754578e-38,8.5226824356186408e-63,2.5756723725699826e-46,1.6996964961434825e-90
