Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.6931449660754198e-120,8.3685322048456939e-66,7.8589734439598224e-42,6.5321017149146566e-91,2.721200914713989e-60,3.0640611608308405e-140,7.2341660732108041e-25,-5.6166102462524204e-121,7.2341660732107995e-25,8.7130465833298638e-83,1.6380700921733796e-73,1.3923452974542366e-118,8.4131944014963019e-120,1.0673648747294621e-54,5.5538464702109694e-98,2.8689670379046562e-18,1.3794248471136902e-19,5.317048671828295e-23,5.3170486720210055e-23,9.6357993044795617e-34,2.5220025751962966e-40,3.5218081568448248e-45,6.2640575049824983e-38,1.0985796386929822e-75,2.2548814832932845e-54,-4.2111383634561375e-108,5.3598631476215506e-58
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,6.6909423556056129e-118,1.8720853031237827e-64,4.7488737839345084e-41,7.2184366115951645e-89,4.1122788221448434e-59,1.105645100189397e-137,2.0255665004990264e-24,1.0841096936734858e-119,2.0255665004990235e-24,2.457218545145834e-81,5.1503544843609108e-72,2.7834763591579915e-116,1.6819051828868486e-117,1.2671755792576182e-53,2.8748308836465019e-96,8.0331077061330364e-18,3.8623895719183324e-19,1.4887736280807049e-22,1.4887736281971016e-22,5.8200213089520747e-33,2.9941207625915983e-39,4.1812584559865097e-44,3.7834907329403124e-37,6.6834598726921668e-74,2.6769952969122193e-53,4.2619513459097363e-106,6.3657508232810926e-57
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.824769537725591e-115,3.6989941594161236e-63,2.2884702116294e-40,6.5312519844170215e-87,4.4238019024895337e-58,4.003614764414358e-135,4.6298662868549242e-24,1.1447148906694623e-117,4.629866286854911e-24,5.3449870589405709e-80,1.1490157534796738e-70,5.0396257892003209e-114,3.0451750404771037e-115,1.2441204979189452e-52,1.2552636730799574e-94,1.8361389042589783e-17,8.8283190215276172e-19,3.4029111497515836e-22,3.4029111503119836e-22,2.8020882313133918e-32,2.9396440481373683e-38,4.1055398051237307e-43,1.8215879223452365e-36,3.0174906774496107e-72,2.6282898567605933e-52,8.9259357488357437e-104,6.2552724937831556e-56
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,9.0874160025690346e-113,6.5822189133146441e-62,1.0012730494465389e-39,4.9437906287643812e-85,4.0662361016802949e-57,1.2141688846185112e-132,9.8384658595667366e-24,9.0480178938291317e-116,9.8384658595666793e-24,9.9087052021706431e-79,2.1519793419257018e-69,7.637684442407819e-112,4.6150422678009515e-113,1.1004104911130822e-51,4.673031922028869e-93,3.9017951715503193e-17,1.8760177920746187e-18,7.231186192593852e-22,7.2311861950412697e-22,1.2237442316942888e-31,2.6000792525547589e-37,3.6319357930768379e-42,7.9553530302564716e-36,1.1395423522196193e-70,2.324692613667318e-51,1.4346930277376911e-101,5.5422181134287071e-55
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,2.6003752949882241e-110,1.1101920209819992e-60,4.1954784609645513e-39,3.4357401385887458e-83,3.4787505928390297e-56,3.378216781633672e-130,2.0255665004990447e-23,6.4129146576408977e-114,2.0255665004990203e-23,1.7030532552061122e-77,3.7170091526124956e-68,1.0622110883771705e-109,6.4183707865279305e-111,9.2496132235217811e-51,1.6099303499041535e-91,8.0331077061329741e-17,3.8623895719183326e-18,1.4887736276280434e-21,1.488773628649793e-21,5.1088802715047676e-31,2.1855188747692798e-36,3.0539246226888153e-41,3.3212032881775495e-35,3.954957596373281e-69,1.9540442146855372e-50,2.0519006418561328e-99,4.6745505529875354e-54
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,7.0363204062127848e-108,1.8234974425928539e-59,1.726542613687861e-38,2.2914640396762744e-81,2.8762982607322302e-55,9.0165381520495085e-128,4.1090063295838187e-23,4.3155975741685553e-112,4.1090063295837164e-23,2.8226858727143945e-76,6.1758662959915325e-67,1.417315827428165e-107,8.564077895236912e-109,7.5833917565320551e-50,5.3427718541196371e-90,1.6295732775298161e-16,7.8351331316057558e-18,3.0200836435661769e-21,3.0200836477403667e-21,2.0871352992456853e-30,1.7918131956615063e-35,2.505536359698058e-40,1.356819910992896e-34,1.3180691551659172e-67,1.6020435050211516e-49,2.7755451945531432e-97,3.8586883656546697e-53
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.853454964200904e-105,2.9559709222716049e-58,7.0804446218303985e-38,1.4984483709393711e-79,2.3389579742373332e-54,2.3589965255872508e-125,8.2758859877534926e-23,2.8316214158130426e-110,8.2758859877530811e-23,4.5960122043825758e-75,1.0068220758742147e-65,1.8539209103405714e-105,1.1202247784509748e-106,6.1412272535788741e-49,1.7408644201127527e-88,3.2820982913628068e-16,1.5780620250980593e-17,6.0827036722457168e-21,6.0827036891185318e-21,8.4364619011694407e-30,1.4510450855021044e-34,2.0318737308023061e-39,5.4844830136574155e-34,4.3082933359059676e-66,1.2973763652469609e-48,3.6551975091826827e-95,3.1673165069928124e-52
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,4.8226352156377673e-103,4.7605024359588179e-57,2.9286264150490886e-37,9.7132889373346009e-78,1.8864543358943338e-53,6.1172524585886017e-123,1.660964530409335e-22,1.8348485323357908e-108,1.6609645304091695e-22,7.4179822089542789e-74,1.6260203380532432e-64,2.4036733030389584e-103,1.4524106062691605e-104,4.9429939626306872e-48,5.6211457074580567e-87,6.5871483190285983e-16,3.167159448973023e-17,1.2207943716817881e-20,1.2207943784663311e-20,3.3922057757183403e-29,1.16790849491722e-33,1.6399769637158872e-38,2.2052864954124949e-33,1.3961769098367178e-64,1.044241366491706e-47,4.7551341748050243e-93,2.6176665650329874e-51
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,1.2497150750193145e-100,7.6416626041552934e-56,1.2399663049436272e-36,6.2816305835655904e-76,1.5153027045066129e-52,1.5824669453503637e-120,3.3277163936775097e-22,1.1815910851515951e-106,3.3277163936768468e-22,1.1920498208760417e-72,2.6137801913205439e-63,3.1089920693863016e-101,1.8785968337152761e-102,3.9664413469036269e-47,1.8068670501384431e-85,1.3197248374359425e-15,6.3453542967229351e-17,2.4458423754814552e-20,2.4458424026909754e-20,1.3603793563374622e-28,9.3714279972346573e-33,1.3232772131355575e-37,8.8441851630666393e-33,4.5144054741494735e-63,8.3793793025528113e-47,6.1610184673762387e-91,2.2101761559052214e-50
6.5507964204129525e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996269,0.022821567693054223,3.244745106085817e-98,1.2246586899367548e-54,5.4906143908996275e-36,4.073758716352293e-74,1.2147026618937534e-51,4.1049096462582276e-118,6.661220120214674e-22,7.5855889476192029e-105,6.6612201202120174e-22,1.9114273006230291e-71,4.1917919256062414e-62,4.0323961178344656e-99,2.4365602774652862e-100,3.1779798005968252e-46,5.7949669741245685e-84,2.6417448485018057e-15,1.2701743992222695e-16,4.8959383626217258e-20,4.8959384716054857e-20,5.448237634676762e-28,7.5080622977802715e-32,1.0719271025074637e-36,3.5422871500659409e-32,1.4639038827307864e-61,6.7137002193549812e-46,7.9982570008628066e-89,1.9465427680269814e-49
1.310728423649959e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999448,0.11866996602996004,0.02282156769305416,8.4982608044551229e-96,1.9610496192683571e-53,2.6172942278826488e-35,2.6661113300423136e-72,9.7274727651032257e-51,1.0744865201026576e-115,1.3328227573292257e-21,4.8622802977423884e-103,1.3328227573281629e-21,3.0616054925919346e-70,6.7146721069734334e-61,5.2777120982927511e-97,3.1890378025182354e-98,2.5443161645878009e-45,1.8564707333733558e-82,5.2857848706323213e-15,2.5414523383221969e-16,9.7961302550660163e-20,9.7961306913151247e-20,2.1804143744399721e-27,6.0102400053618596e-31,8.7691624883113477e-36,1.4178379925731823e-31,4.7910122141655887e-60,5.3750423328480717e-45,1.047440540723501e-86,1.8397186357252715e-48
