Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2OX(23),CO2X(24),H2X(49),CHOX(53),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-4.6731891622568435e-120,9.4136381551237252e-66,8.3353863842004343e-42,7.7932003157199113e-91,2.9722940012374595e-60,3.8771663556984132e-140,7.450158747785581e-25,-6.7009218641171199e-121,7.4501587477855755e-25,9.8011772860807578e-83,1.8426408303392974e-73,1.7107514047655887e-118,1.0337151400205254e-119,1.1658537218420131e-54,6.4339714758086214e-98,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013949243102e-23,5.4758013951286993e-23,1.0219787061244226e-33,2.7547150326635472e-40,3.8467808047739059e-45,6.6436973537655605e-38,1.272674650852067e-75,2.4629459258495311e-54,-5.1741553560036735e-108,5.8545115652545642e-58,-1.0036362350727308e-109,1.5143189624526755e-108
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,8.4665175807906512e-118,2.1058810801871277e-64,5.0368167120571981e-41,8.6120502708863154e-89,4.4917306944881434e-59,1.399050064038063e-137,2.0860444493799638e-24,1.2934083109025248e-119,2.0860444493799612e-24,2.7640888134033799e-81,5.7935576156684744e-72,3.4200148825633149e-116,2.0665312056729151e-117,1.3841015385469927e-53,3.3304089341294655e-96,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243905456972e-22,1.5332243906691481e-22,6.1727497783088197e-33,3.2703969053412924e-39,4.5670869408641276e-44,4.0127932015989074e-37,7.7426157467070806e-74,2.9240094031083072e-53,5.2365946615030191e-106,6.9533122970312674e-57,1.0157476507367897e-107,3.0273208450663343e-106
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.5743875412996668e-115,4.1609438432263053e-63,2.4272953627840526e-40,7.7922153667001716e-87,4.8319989113331177e-58,5.0660664983714379e-135,4.7681015985827814e-24,1.3657136391673519e-117,4.7681015985827681e-24,6.0124969211866096e-80,1.2925108337999239e-70,6.1921268340748363e-114,3.7415694876363716e-115,1.3589190981051288e-52,1.4541868794043067e-94,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128925197895e-22,3.5045128931141529e-22,2.9719116673870302e-32,3.2108934196195447e-38,4.4843928910039366e-43,1.931987190361786e-36,3.4956939643768441e-72,2.8708097709834176e-52,1.0967188884019866e-103,6.8328107930161919e-56,2.1273169051491902e-105,5.4811324755435539e-104
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.1499030740726517e-112,7.4042407426722559e-62,1.0620712361945982e-39,5.8982989705013828e-85,4.4414394788768883e-57,1.5363844257361434e-132,1.0132215896988437e-23,1.0794828928561455e-115,1.0132215896988375e-23,1.1146155989482833e-78,2.4207297464064164e-69,9.3843773145598173e-112,5.6704749046989387e-113,1.2019485529150043e-51,5.4135731430410246e-93,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898959382141e-22,7.4470898985339586e-22,1.29791046642371e-31,2.8399959229284239e-37,3.9671060256705348e-42,8.4374956381121146e-36,1.3201405165721442e-70,2.5391987313215564e-51,1.7627988876837874e-101,6.0542306611855204e-55,3.4193191317369103e-103,8.3068413547684753e-102
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,3.2904952970167476e-110,1.248838591082934e-60,4.4507162847247923e-39,4.0991275248027117e-83,3.7997449812781951e-56,4.2747694545840483e-130,2.0860444493799829e-23,7.6509924573944113e-114,2.0860444493799571e-23,1.9157394284560449e-77,4.1812086426733124e-68,1.3051456254897834e-109,7.8862936428308197e-111,1.0103101814070932e-50,1.8650580286520651e-91,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243900656015e-21,1.5332243911492756e-21,5.4185086867293198e-31,2.38718274234718e-36,3.3357882449029744e-41,3.522488335913364e-35,4.5817982764996058e-69,2.1343495314946874e-50,2.5211839496056155e-99,5.1069238984310251e-54,4.890366443937982e-101,1.1552857788458335e-99
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,8.9038877633751764e-108,2.0512253141702679e-59,1.8319738681577703e-38,2.7339651599149425e-81,3.1417026282833444e-55,1.1409688017266779e-127,4.2316901687422961e-23,5.1487671754907905e-112,4.2316901687421885e-23,3.1751976069291673e-76,6.9471406908400319e-67,1.7415002967294758e-107,1.0522950427018009e-108,8.2831332683977327e-50,6.189447600755752e-90,1.678227937523407e-16,8.069069060587526e-18,3.1102551901615444e-21,3.1102551945887156e-21,2.2136277802317704e-30,1.9571485164808964e-35,2.736843041210989e-40,1.4390514207233783e-34,1.5270076350284558e-67,1.7498686972601516e-49,3.4104002662102653e-97,4.21644731319752e-53,6.6151885029597129e-99,1.5415371947853608e-97
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.3454907462228234e-105,3.3251279886476828e-58,7.5159786900811393e-38,1.7878838218719011e-79,2.5547803978263737e-54,2.9852364388002572e-125,8.5229816074670576e-23,3.3782944651462264e-110,8.5229816074666203e-23,5.1699861799328838e-75,1.1325592680066436e-65,2.2780624794152024e-105,1.3765107349400391e-106,6.7078960714657691e-49,2.0167413848303829e-88,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167869629614e-21,6.2643168048583752e-21,8.9477580271455375e-30,1.5849364542311634e-34,2.2195447302767843e-39,5.8168759233601196e-34,4.9914416272623013e-66,1.4170890384363891e-48,4.4914394573997019e-95,3.4623404004778781e-52,8.7120914077587064e-97,2.0164900628439063e-95
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,6.103390882747404e-103,5.3550188095327493e-57,3.1112830823948407e-37,1.1590410928214208e-77,2.0605229386112264e-53,7.7418128511819771e-123,1.7105564484917117e-22,2.1890845316023042e-108,1.7105564484915363e-22,8.344378516626565e-74,1.8290862385993767e-64,2.953824903038521e-103,1.7848376515206908e-104,5.3990983256214689e-48,6.5119357065272282e-87,6.7838227897068934e-16,3.2617222822374845e-17,1.2572439967003915e-20,1.2572440038961227e-20,3.5977903059677053e-29,1.2756735654513173e-33,1.7915989089094239e-38,2.3389402222333938e-33,1.6176943689524198e-64,1.1405965404604226e-47,5.8434943770641992e-93,2.8636613463931741e-51,1.1334686420221438e-94,2.6146598760464716e-93
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,1.5818575370502695e-100,8.5959932861215252e-56,1.319259418479548e-36,7.4967731345427051e-76,1.6551240714824977e-52,2.0030417458708048e-120,3.4270730239819395e-22,1.4097091510363385e-106,3.4270730239812366e-22,1.3409192195913634e-72,2.9402026937236233e-63,3.8211853551274875e-101,2.3089369583960831e-102,4.3324363726026835e-47,2.0932035338267051e-85,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686272838309e-20,2.5188686561424431e-20,1.4428236223694597e-28,1.0236137086904819e-32,1.4458557873242763e-37,9.3801963836760627e-33,5.2315042019578995e-63,9.152568888372785e-47,7.5723745531165931e-91,2.4212664932884096e-50,1.4688213548367394e-92,3.3824279842283895e-91
