Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(46),CHOX(50),H2OX(23),CO2X(24)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0547805878300239e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-8.1877118975253405e-118,3.3644219536559471e-69,1.3015288116404486e-41,1.4651460416802852e-95,3.8303038694352074e-57,8.2014579907254905e-150,3.4852660872357026e-37,-2.8412657378395277e-141,3.4852634114146301e-37,2.5892392546031952e-91,7.560040098547305e-78,1.8135974992223745e-133,5.5764645690164457e-135,1.2794285930100695e-65,5.8174753597963382e-111,2.7095617458571144e-18,1.1855092053682605e-18,3.7703237002384021e-20,3.770323700758145e-20,2.5982896604235393e-30,2.8475864693948918e-34,1.3284438823384171e-41,5.3138760680738051e-38,9.2403268133330989e-71,9.9484627446500401e-58,-3.3356734469152887e-104,1.6598479212440776e-54,-4.0185449564286512e-105
2.953385645924067e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.5021843985140072e-115,7.5422949556273415e-68,1.5450252962510525e-40,1.6471418385219942e-93,5.7883552169744049e-56,2.5625665746439719e-147,9.7587537666425161e-37,5.4851084455004988e-140,9.7587376046832371e-37,7.3020689878015643e-90,2.3769975695962696e-76,3.7377141499843109e-131,1.1340244222778177e-132,1.5189376052575394e-64,3.0112927941879066e-109,7.5867728883999136e-18,3.3194257750311297e-18,1.0556906359825587e-19,1.0556906362965002e-19,1.5692009162952228e-29,3.380327108677532e-33,1.6052276601666813e-40,3.2095810981286523e-37,5.7198486947090857e-69,2.2252253433865515e-56,3.4355292445519888e-102,1.9705714256820094e-53,4.1182976409503585e-103
6.750595762112153e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,6.500014148585921e-113,1.4916642624319503e-66,1.5165979795871489e-39,1.5452862578968845e-91,6.2268484034634673e-55,2.5380546127972138e-144,2.2305764014986321e-36,5.791702547431132e-138,2.2305686202109546e-36,1.5883595017806204e-88,5.3029506618269391e-75,7.0750009534487852e-129,2.1286747457420162e-130,1.4913019048803058e-63,1.3148482837668335e-107,1.7341195173485482e-17,7.5872589143568656e-18,2.4130071675632196e-19,2.413007169074882e-19,7.5533362773680035e-29,3.318131597271603e-32,1.6355236155795222e-39,1.545275090109608e-36,2.6782974287365787e-67,4.3957798690158774e-55,7.4596935952159928e-100,1.934718655098412e-52,8.8412412827000971e-101
1.4345015994488325e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999978,0.10000000000000001,2.1914171755426969e-110,2.6555084314217393e-65,1.3408501332838661e-38,1.2531237088135682e-89,5.7235464708201867e-54,1.8585658774350612e-141,4.7399924069794587e-36,4.5778698602272557e-136,4.739958424051855e-36,2.9445508245398307e-87,9.9318390990305426e-74,1.167256683034756e-126,3.4553198268091434e-128,1.3190395696681994e-62,4.8948504859233158e-106,3.6850039743656514e-17,1.6122925193008337e-17,5.1276402293774401e-19,5.1276402359807518e-19,3.29725589375016e-28,2.9336167119997061e-31,1.5523858741557136e-38,6.7486218780754397e-36,1.0841243031599523e-65,7.8188739226022923e-54,1.2848555029594348e-97,1.7112366408831568e-51,1.4893911125301415e-98
2.9533856459240666e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999936,0.099999999999999992,6.8078628807299451e-108,4.4798562175435532e-64,1.1261183476874658e-37,9.8668386178389752e-88,4.8966145011054864e-53,1.2407498826134756e-138,9.7588802411893165e-36,3.2446485708439676e-134,9.7587383691562065e-36,5.0609305253590136e-86,1.7154780089085864e-72,1.8978304806824177e-124,5.4423273811325725e-126,1.1087321073010616e-61,1.6863502069332307e-104,7.5867728883998135e-17,3.319425775031126e-17,1.055690634761747e-18,1.055690637519739e-18,1.3753003456810472e-27,2.4638097118197828e-30,1.4826141614097099e-37,2.8174164357436133e-35,4.2664919297111294e-64,1.3176949808155719e-52,2.082830347724245e-95,1.4383973389171364e-50,2.3128867024833087e-96
5.991153738874535e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999976,0.099999999999999853,0.099999999999999978,2.0976932744549683e-105,7.3589468430653841e-63,9.2171067411613098e-37,8.1202947879277996e-86,4.048615550754432e-52,8.4070114569921643e-136,1.9796879202601414e-35,2.1835219868739329e-132,1.9796299609055115e-35,8.3881211746507581e-85,2.8502916774803849e-71,3.318420171712112e-122,8.9554952812175307e-124,9.0900535662283764e-61,5.5963814873776393e-103,1.5390310716467961e-16,6.7336922864917071e-17,2.1415438562543893e-18,2.1415438675317873e-18,5.6084502148429285e-27,2.0165906026329927e-29,1.5063052539407481e-36,1.1510062568139925e-34,1.7566140786671007e-62,2.1608033662405043e-51,3.4785688149760611e-93,1.1792847680856725e-49,3.5632313713561819e-94
1.2066689924775474e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999954,0.0999999999999997,0.09999999999999995,6.5887452138797757e-103,1.1929785264888424e-61,7.4392818655697604e-36,7.3099054815280303e-84,3.292266911903428e-51,6.1428645732277653e-133,3.9873770297391601e-35,1.4327178270743226e-130,3.9871427487613795e-35,1.3657880789122722e-83,4.6466925561826886e-70,6.6757481665621449e-120,1.6115080320496902e-121,7.3613576243584518e-60,1.8234994203341479e-101,3.0997386372603562e-16,1.3562225309412853e-16,4.31325029061822e-18,4.3132503362845134e-18,2.2589003822090369e-26,1.6276241434528562e-28,1.6885130998632092e-35,4.6525489980263227e-34,7.9148791062712241e-61,3.4914150558391145e-50,6.3105740713315497e-91,9.5501493534527868e-49,5.59630811176765e-92
2.421776229657735e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999909,0.099999999999999381,0.099999999999999881,2.0820316758654223e-100,1.9213032188089634e-60,5.9479727230572758e-35,7.2958455281597425e-82,2.6553325087734286e-50,4.9414266437083714e-130,8.0031125174807513e-35,9.2841765176924196e-129,8.0021704839774747e-35,2.204387444729359e-82,7.5044136078237195e-69,1.6131499308950705e-117,3.2150554191897292e-119,5.9250555195804207e-59,5.8879690742373345e-100,6.2211537684871948e-16,2.7219291355255074e-16,8.6566631248600635e-18,8.6566633091291071e-18,9.018250700457738e-26,1.3013438153055702e-27,2.1062338608893381e-34,1.8707676220392034e-33,3.9541788367734361e-59,5.5866367156872593e-49,1.2648207320534468e-88,7.6867838823979401e-48,8.8422867640425149e-90
4.85199070401811e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999818,0.099999999999998743,0.099999999999999742,6.379278616993959e-98,3.0841515204832976e-59,4.7102038316983902e-34,7.9369921216797835e-80,2.1329074320743725e-49,4.3169754267527446e-127,1.6036012568075471e-34,5.97923689904205e-127,1.6032234592427251e-34,3.5423913775591279e-81,1.2063102287433968e-67,4.7324557613790045e-115,6.9922661898418202e-117,4.754475048379178e-58,1.892635010469029e-98,1.2463984030939746e-15,5.4533423446939229e-16,1.734348865540048e-17,1.7343489399488134e-17,3.5658580385448307e-25,1.030534973471713e-26,2.8663757080265264e-33,7.5025999073303507e-33,2.1526295855811315e-57,8.8538160388542691e-48,2.7579289645354613e-86,6.168148475632026e-47,1.3544894643341688e-87
