Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),OCX(21),H2OX(35),CX(24),CO2X(34),COX(37),HOCXO(25)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.17490152040582e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-8.1509249018523276e-122,5.4751838843115136e-71,5.9340546182063247e-56,4.0924161988058639e-105,1.0114764407483595e-55,-1.5498934117385132e-113,1.4600612126656221e-42,0.0,1.6315721094914277e-47,-3.8971032754206683e-116,6.2176506963111968e-75,1.4919428675393487e-97,-4.1659512658391432e-111,2.1611089791658376e-63,-6.8203463063494201e-157,3.0181331089814443e-18,3.7527450555477005e-19,4.559644765839668e-21,4.5596447661340668e-21,1.471995910159533e-31,9.3818508051683856e-39,1.0596670109081597e-37,5.0523458078729066e-72,1.9052045299104697e-74,2.4083243612207991e-84,1.5593804533343807e-87,1.0516147714897271e-58,-1.4852773490990033e-138,9.34751878867969e-122,-4.3200951214676955e-122
3.289724257136296e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.5050248137976838e-119,1.7214854122500589e-69,8.9675433337986448e-55,8.1809446154811123e-103,1.5285431975017091e-54,1.5685331825452014e-111,8.8187697242254672e-42,0.0,9.8546955416354102e-47,1.1625562899323607e-114,1.9549288548851751e-73,1.6486383141736669e-95,4.2160506934739024e-109,2.5656685800652417e-62,-4.0742243783598438e-155,8.4507727051472197e-18,1.0507686155533561e-18,1.2767005343874145e-20,1.2767005345652317e-20,8.8908547499369635e-31,1.1138132647865994e-37,6.4003887458840816e-37,1.4248423545505497e-70,1.1590288255717087e-72,2.6612653213825056e-82,8.9812329883191326e-86,2.3524200525187131e-57,4.9216209725296624e-136,3.3728558624513206e-119,1.3908000945840333e-119
7.519369730597249e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,6.2733700871958934e-117,3.8405392527038582e-68,9.6468739070186644e-54,1.4810764556061169e-100,1.6443370202439317e-53,3.284749094771367e-109,4.2458580060192894e-41,0.0,4.7446116948618488e-46,1.499800131918981e-112,4.361338734026733e-72,1.4915638026139976e-93,8.8290573248413899e-107,2.5189886261143143e-61,9.1839271719109316e-153,1.9316051897475471e-17,2.4017568355505282e-18,2.9181726498035389e-20,2.9181726506596521e-20,4.2805632856040975e-30,1.0935483351611755e-36,3.0815116677191001e-36,3.0993433458697789e-69,5.2324095176167567e-71,2.4077124669492023e-80,4.027561834355562e-84,4.6479850591660217e-56,4.1202460263379749e-133,1.2212305117145632e-116,7.2630000551786259e-117
1.5978660677519154e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,2.019238981179813e-114,7.1929049782837116e-67,8.8671391330690593e-53,2.2442292881324652e-98,1.5114290154908419e-52,5.2787753021052747e-107,1.8542777396592552e-40,0.0,2.072096579530248e-45,1.2872514955577444e-110,8.1683047690218927e-71,1.1288377029566658e-91,1.4188788621510619e-104,2.2280169131578844e-60,1.5748167272273965e-150,4.1046610282118751e-17,5.1037332755448719e-18,6.2011168798727049e-20,6.201116883611574e-20,1.8694339573916625e-29,9.6723088176230804e-36,1.3457771038514642e-35,5.7456602249876915e-68,1.9756577985279779e-69,1.8221926583414381e-78,1.5152694226122804e-82,8.2708391129809676e-55,2.6533576874690387e-130,3.7029762892363974e-114,2.5624338906386499e-114
3.289724257136296e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,5.7785385206897302e-112,1.2423954602462522e-65,7.5860242180728452e-52,3.1201033300804371e-96,1.2930593430535098e-51,7.5471325386751969e-105,7.7412445457183615e-40,0.0,8.6505953288087589e-45,9.4617171663772953e-109,1.4108715170882977e-69,7.8423062623539243e-90,2.0285892654886579e-102,1.8727824635961228e-59,2.3036799866644227e-148,8.4507727051352475e-17,1.0507686155533556e-17,1.2767005336958703e-19,1.2767005352567749e-19,7.8045146790710798e-29,8.130154380490812e-35,5.6183544918179277e-35,9.8753219097107672e-67,6.8544713787965375e-68,1.26592094313446e-76,5.2468969265620199e-81,1.394997244442281e-53,1.5189395178209119e-127,1.0299408084288195e-111,7.6454679764074711e-112
6.673440635905058e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999839,0.10000000000000001,1.5628733034609919e-109,2.0642586397357357e-64,6.2722715300796577e-51,4.16035300171144e-94,1.069126468915669e-50,1.020180492558413e-102,3.1625509858354729e-39,0.0,3.5340504556709573e-44,6.4774833037375744e-107,2.3441841257943828e-68,5.2268589027670859e-88,2.742137085741773e-100,1.5354202124020013e-58,3.1461150649439943e-146,1.7142996058960856e-16,2.1315591915510913e-17,2.5898782238921352e-19,2.5898782302689441e-19,3.1883955555980495e-28,6.6655852358044166e-34,2.2952811322929836e-34,1.6367621861759706e-65,2.2828229501035457e-66,8.4373013887315126e-75,1.7456756573592502e-79,2.2912849910906039e-52,8.2171357925013053e-125,2.7470752092227337e-109,2.109479275433198e-109
1.3440873393442583e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999659,0.099999999999999992,4.1116344079131549e-107,3.3652625781068887e-63,5.1005070528123859e-50,5.4345819586806759e-92,8.6939588690735986e-50,1.3416718063775e-100,1.2783536719562286e-38,0.0,1.428519700305448e-43,4.2857001314524728e-105,3.8216117626046966e-67,3.4133325108813032e-86,3.6062716794697348e-98,1.2434230964527898e-57,4.1577266900419749e-144,3.4527442766527531e-16,4.2931403435465579e-17,5.2162335994009299e-19,5.216233625177038e-19,1.2887977566452367e-27,5.3979531667033388e-33,9.2778933205466078e-34,2.66504292323073e-64,7.4514999271687321e-65,5.5098703963512292e-73,5.6952760610219296e-78,3.7142646674286092e-51,4.3237819284551817e-122,7.1774565286236851e-107,5.60410074681888e-107
2.6975738908517627e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999921,0.099999999999999312,0.099999999999999964,1.0669849861385952e-104,5.4349080637817908e-62,4.1137437356888421e-49,7.0270909772968384e-90,7.0119927557450791e-49,1.7406607295039931e-98,5.1402038799752249e-38,0.0,5.7440148985562252e-43,2.7885112080292674e-103,6.1719131918446905e-66,2.2066004946732204e-84,4.6787116253586602e-96,1.0008150833775226e-56,5.4069553604936448e-142,6.9296336181322688e-16,8.6163026475374702e-17,1.0468944330883573e-18,1.0468944434528389e-18,5.1821773427521988e-27,4.3447252977767185e-32,3.7306000984856013e-33,4.3013900419422488e-63,2.4081867129230139e-63,3.5619391616302845e-71,1.8401445575222642e-76,5.9816860629527677e-50,2.2441351968752044e-119,1.8562102218777606e-104,1.461326481237018e-104
5.4045469938667725e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999843,0.099999999999998618,0.099999999999999922,2.7500630464306584e-102,8.7364560156905107e-61,3.3043827140730649e-48,9.0402348859163024e-88,5.6324138578039907e-48,2.2430833444546224e-96,2.0614516483458316e-37,0.0,2.3036068914576866e-42,1.7993930389502302e-101,9.9211701570725173e-65,1.419320977554526e-82,6.029170348405747e-94,8.0309107525841968e-56,6.9758017115442566e-140,1.3883412300956032e-15,1.7262627255519222e-16,2.0974365715709094e-18,2.0974366131372893e-18,2.0782674450373336e-26,3.4863411121755911e-31,1.4961374946210115e-32,6.9122183851932616e-62,7.7443077316431475e-62,2.2910966371479594e-69,5.9168719459944416e-75,9.6018580640628455e-49,1.1568288169315203e-116,4.7760614897727951e-102,3.7755032943562901e-102
