Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),H2OX(23),CHOX(60),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914825e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.9553562838645116e-120,1.6451347355791968e-63,1.3835487794017241e-43,2.1571632264811287e-70,2.9716559109039469e-60,7.4392394085563946e-47,1.5495804507396163e-26,-1.1937286490313444e-108,1.5495804507395732e-26,5.4184818146250664e-69,1.3819490835739367e-74,6.0718137873916107e-71,4.6515546442376266e-100,7.4392394173000977e-47,4.9538965049421799e-86,2.9546266505696212e-18,1.4206107501035283e-19,5.475801394924657e-23,5.4758013951290473e-23,1.0219788862631178e-33,2.754715935567351e-40,3.8467815274960651e-45,6.6436973521693969e-38,1.8591474345777627e-75,9.7176087067243134e-60,-4.3793734544414631e-108,2.4629459252579599e-54,7.4399485711044809e-66,4.1916453403320995e-88
2.051463885776151e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,9.9433577014886718e-118,1.9629851265581968e-62,8.5809682697456814e-43,2.5609841824784599e-69,4.4907664123782725e-59,4.4933006027681854e-46,4.3388252620710667e-26,7.1886715819421546e-108,4.3388252620708079e-26,8.1884097182641273e-68,4.3450690186336308e-73,7.2084573283915225e-70,1.0405379631546858e-98,4.4933006131487085e-46,1.3970780767382216e-84,8.2729546215949356e-18,3.9777101002898799e-19,1.5332243905457941e-22,1.5332243906692452e-22,6.1727508663460134e-33,3.2703979772683155e-39,4.5670877989417368e-44,4.0127931997034486e-37,9.0545328247304698e-74,1.1820361786013791e-58,6.1406038140936738e-106,2.924009401784492e-53,8.8327069429998079e-65,9.3765429604910144e-87
4.689060310345488e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.8419593556022853e-115,1.9482006535023507e-61,4.3598601395754396e-42,2.5143894567866008e-68,4.8309615806421759e-58,2.1633308200083829e-45,9.9173148847345324e-26,4.1941283879034108e-106,9.917314884733288e-26,8.8087175164038689e-67,9.6936099525418095e-72,7.077306150584282e-69,2.055942908326824e-97,2.1633308302000431e-45,3.0389499769307839e-83,1.8909610563645546e-17,9.0919088006625826e-19,3.5045128925200115e-22,3.5045128931143753e-22,2.9719121912295667e-32,3.2108944720430598e-38,4.4843937336006529e-43,1.9319871885005575e-36,3.7549070406618323e-72,1.220605612929158e-57,1.178558610275473e-103,2.8708097683672247e-52,8.6720040525715356e-64,1.8526468807223711e-85
9.964253159484163e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.190505646704823e-112,1.7603944655197409e-60,2.1048235552802503e-41,2.223948999973397e-67,4.4404859932555862e-57,9.4478340488685119e-45,2.1074294130063723e-25,1.6522876598261115e-104,2.1074294130058286e-25,8.0967290059638683e-66,1.8155058608323046e-70,6.2597971422505567e-68,3.6584946564718374e-96,9.4478341390125921e-45,5.6337010956685748e-82,4.018292244774669e-17,1.9320306201407987e-18,7.4470898959386861e-22,7.4470898985344306e-22,1.2979106951990364e-31,2.8399968537836941e-37,3.9671067711708789e-42,8.4374956216486645e-36,1.3662662297157179e-70,1.1864808006243223e-56,1.8248262885551735e-101,2.5391987266656926e-51,7.6702893748593922e-63,3.2966861376741569e-84
2.0514638857761512e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,3.3469935129222953e-110,1.5423538221858139e-59,1.0465018598490053e-40,1.8693631374576703e-66,3.7989292542548501e-56,3.9442847344183013e-44,4.3388252620731129e-25,5.8380502940330739e-103,4.3388252620708427e-25,6.9269221300435149e-65,3.1358348832096221e-69,5.2617366791353345e-67,6.1707683950286517e-95,3.9442848101898319e-44,9.6828927666086131e-81,8.2729546215948682e-17,3.9777101002898804e-18,1.5332243900656989e-21,1.5332243911493728e-21,5.4185096418173361e-31,2.3871835247847502e-36,3.3357888719330569e-41,3.5224883220743902e-35,4.6595964763594854e-69,1.1770909669512436e-55,2.5643142007620112e-99,2.134349523641482e-50,6.4473403852730933e-62,5.560343024867828e-83
4.161541025431621e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,8.9792557146475512e-108,1.3672327460991489e-58,5.6464060753541736e-40,1.5326168422520726e-65,3.141028169405829e-55,1.6113690128523892e-43,8.8016169602102042e-25,1.9613421967219704e-101,8.8016169602009325e-25,5.7273131706658637e-64,5.2102365357147261e-68,4.3138896302973269e-66,1.0136104827606622e-93,1.6113690749744674e-43,1.6048684650914299e-79,1.678227937523514e-16,8.0690690605880375e-18,3.1102551901617415e-21,3.1102551945889131e-21,2.2136281704131709e-30,1.9571491579666001e-35,2.7368435559311759e-40,1.4390514093771666e-34,1.5397861584243629e-67,1.259875886117988e-54,3.4391599819477741e-97,1.7498686843609029e-49,5.2859191733481275e-61,9.1328801146967887e-82
8.381695304742561e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.3553377255527925e-105,1.2735917578432246e-57,3.3908418978353697e-39,1.2411528546317772e-64,2.5542319390683053e-54,6.5134111856945766e-43,1.7727200356498827e-24,6.4295519365552022e-100,1.7727200356461358e-24,4.6573559535849671e-63,8.4940004736480486e-67,3.4934996677596786e-65,1.643300538014691e-92,6.5134116887752671e-43,2.6131122604090734e-78,3.3800928882515175e-16,1.6251786981184346e-17,6.2643167869633564e-21,6.2643168048587739e-21,8.947759604295121e-30,1.5849369737166169e-34,2.2195451481520466e-39,5.8168758314748171e-34,5.0121566384814013e-66,1.4978007214983423e-53,4.5102254579172648e-95,1.4170890175258812e-48,4.2806743829243781e-60,1.4804792227428548e-80
1.6822003863364439e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,6.116123558468464e-103,1.2929189836140105e-56,2.2548538570029383e-38,9.9898779526737615e-64,2.0600805867535609e-53,2.6190139907495165e-42,3.5578367149133848e-24,2.0823178399263879e-98,3.5578367148983187e-24,3.7563263008879275e-62,1.3717833210122762e-65,2.8118724602205757e-64,2.6471105732283018e-91,2.6190143956726165e-42,4.2175737235925121e-77,6.7838227897073253e-16,3.2617222822376922e-17,1.2572439967004708e-20,1.2572440038962028e-20,3.5977909401116924e-29,1.2756739835682625e-33,1.7915992469283351e-38,2.3389401482758126e-33,1.6210306114835708e-64,1.9742462236093247e-52,5.8556408768498431e-93,1.140596506784477e-47,3.4454591369512411e-59,2.3842661472685865e-79
3.3702620980608197e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,1.5834953311624035e-100,1.4673064299431381e-55,1.6192548507933686e-37,8.0162479165109656e-63,1.6547687504142927e-52,1.050341748558168e-41,7.1280700734634971e-24,6.7034689392290733e-97,7.1280700734030767e-24,3.017285562685287e-61,2.2051015457895261e-64,2.2563505637936643e-63,4.2512075434202434e-90,1.0503420734834442e-41,6.7775277500466007e-76,1.3591282592618139e-15,6.5348094504761902e-17,2.518868627283988e-20,2.5188686561426046e-20,1.4428238766727778e-28,1.0236140441867216e-32,1.4458560612536224e-37,9.3801957902118818e-33,5.2368601111633631e-63,2.8177945915119744e-51,7.5801885670685564e-91,9.1525683477975509e-47,2.7647639431953329e-58,3.8272752006158914e-78
