Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HX(19),CH2X(134),CHX(26),HOX(23),H2X(36),CXHO(27),H2OX(35),CX(24),OCX(21),COX(37),CO2X(34)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1589157208284889e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-7.3048283053638523e-122,5.5710752932821975e-73,5.6951178507050418e-56,3.7182004794372787e-105,9.7074874748632079e-56,-1.408165982263377e-113,1.4205999244653223e-42,0.0,1.587475587368904e-47,-3.5895838904910328e-116,6.7999426946700825e-79,1.3742122303012085e-97,-3.7850014043917173e-111,2.3961017363862099e-67,-6.1966791160068626e-157,2.9770681600134535e-18,3.7016849204803082e-19,4.4976067200462725e-21,4.4976067203327139e-21,1.432212371556218e-31,9.0040876601080658e-39,1.1081763411022277e-39,4.782936694268179e-72,1.7790721480917501e-74,1.5651025278300221e-89,9.9553929577491221e-59,2.2182848971928334e-84,8.3772165608101657e-122,-1.3129889379931896e-138
3.244964018319769e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,1.3487975627905683e-119,1.7516351970510694e-71,8.6064621003444268e-55,7.4328685428368836e-103,1.4669955070813509e-54,1.4251012399509673e-111,8.5804235435067205e-42,0.0,9.5883525480029941e-47,1.070819248122245e-114,2.138010764051313e-77,1.5185426612592264e-95,3.8305194749268972e-109,2.8446519814372251e-66,-3.7016684012081536e-155,8.3357908480368656e-18,1.0364717777344864e-18,1.2593298815665526e-20,1.2593298817395636e-20,8.6505621988152409e-31,1.0689652275539169e-37,6.6933851002562137e-39,1.3488646754294125e-70,1.0822963263605217e-72,9.0141891652961694e-88,2.2269814647525778e-57,2.4512663887993565e-82,3.0227426234911381e-119,4.3507253169420396e-136
7.417060613302329e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,5.6221703420767511e-117,3.9078017634542238e-70,9.2584391937416086e-54,1.3456448585739789e-100,1.578126823458627e-53,2.9843804590172098e-109,4.1311045799494193e-41,0.0,4.616379008510995e-46,1.3814512596393578e-112,4.769784401206899e-76,1.3738629850101514e-93,8.0216953816660523e-107,2.7928961839302504e-65,8.3441287908362039e-153,1.9053236224080483e-17,2.3690783491073976e-18,2.8784683005047884e-20,2.8784683013377627e-20,4.164872788409106e-30,1.049516273354469e-36,3.2225767999233931e-38,2.9340752984675089e-69,4.8860021381376888e-71,4.0423407664756421e-86,4.4001395842249674e-56,2.2177211374347072e-80,1.0944628207902575e-116,3.6423076722940024e-133
1.576125380326745e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,1.8096340952375665e-114,7.3188802167880176e-69,8.5101007100797741e-53,2.0390137838434355e-98,1.4505704376539059e-52,4.7960656515874157e-107,1.8041619036620298e-40,0.0,2.0160939964154702e-45,1.1856747857154071e-110,8.9332782999401414e-75,1.0397598690105847e-91,1.2891311581646925e-104,2.4702850461415254e-64,1.4308120424034334e-150,4.0488126976154849e-17,5.034291491853219e-18,6.116745137638798e-20,6.1167451412766184e-20,1.8189088975310038e-29,9.2828503436036376e-36,1.4073839531978705e-37,5.4392811180816907e-68,1.8448608123863335e-69,1.5208296262327555e-84,7.8298114623439429e-55,1.6784042255451533e-78,3.3185950077873641e-114,2.3455745251949137e-130
3.244964018319769e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,5.178702658224902e-112,1.264154549916262e-67,7.2805703300266242e-52,2.8347961089057687e-96,1.240993548460457e-51,6.856995028913092e-105,7.5320207958347742e-40,0.0,8.4167955683425899e-45,8.7150953116524139e-109,1.5430016709767513e-73,7.2234597680427813e-90,1.843086949706197e-102,2.0764234271186833e-63,2.093026451782137e-148,8.3357908480252176e-17,1.0364717777344859e-17,1.2593298808936977e-19,1.2593298824124164e-19,7.5935826648860689e-29,7.8027912787275836e-35,5.8755509605063377e-37,9.3487345047873127e-67,6.4006748256962958e-68,5.2661501463796634e-83,1.3206115287332022e-53,1.1660274414394613e-76,9.2302933948093475e-112,1.3427458943666889e-127
6.582641294305817e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999982,0.099999999999999839,0.10000000000000001,1.4006401326955619e-109,2.100411692661705e-66,6.0197163481577176e-51,3.7799222149346404e-94,1.0260774631583256e-50,9.2689107733388602e-103,3.0770762572728257e-39,0.0,3.4385356247465963e-44,5.9663466345648321e-107,2.5637203525577933e-72,4.8143988408327613e-88,2.4913841217418375e-100,1.7023773777661478e-62,2.8584274246114369e-146,1.6909747148824121e-16,2.1025570348328129e-17,2.5546406139653972e-19,2.5546406201698623e-19,3.1022230799827234e-28,6.3971935346592422e-34,2.4003542818660857e-36,1.549484185498562e-65,2.1316890538371785e-66,1.7520813248577664e-81,2.1691063734547957e-52,7.7715130182920437e-75,2.4619182051803684e-109,7.2639633778763926e-125
1.3257995846277913e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999962,0.099999999999999672,0.099999999999999992,3.6848256591309619e-107,3.4242011789489284e-65,4.8951333725745308e-50,4.9376293320222081e-92,8.3438915047255725e-50,1.2189829692347997e-100,1.2438034201025684e-38,0.0,1.3899110784339459e-43,3.9475165520376843e-105,4.1795112199994382e-71,3.1439783415013846e-86,3.2764959006135693e-98,1.3786293376207883e-61,3.7775350710332295e-144,3.4057659750339661e-16,4.2347275490294627e-17,5.1452620753570494e-19,5.1452621004365158e-19,1.2539655731390933e-27,5.1806031724454814e-33,9.7026157908704004e-36,2.5229333240788596e-64,6.9581691655988302e-65,5.7161745850263345e-80,3.5162083293673667e-51,5.075081940236573e-73,6.4324038330997164e-107,3.8222283033012022e-122
2.6608704950222106e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999923,0.099999999999999326,0.099999999999999964,9.5622497135075052e-105,5.5300940616160906e-64,3.948102421389305e-49,6.3845051070813781e-90,6.7296507460676561e-49,1.5814839590139023e-98,5.0012788372867813e-38,0.0,5.5887713275882758e-43,2.568470451145157e-103,6.7499217705264948e-70,2.0324692218362868e-84,4.2508597967864889e-96,1.1096408289455194e-60,4.9125315409341709e-142,6.8353484953041714e-16,8.4990685774227438e-17,1.0326504979133364e-18,1.0326505079977007e-18,5.0421195407505162e-27,4.1697840210523182e-32,3.9013791358039693e-35,4.0720245746969931e-63,2.2487477929766256e-63,1.8468968737419631e-78,5.6627239377103553e-50,3.280858428847249e-71,1.6635245457735733e-104,1.9838150442983327e-119
5.331012315811049e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999846,0.099999999999998632,0.099999999999999922,2.4645808052906716e-102,8.889464727327072e-63,3.1713306008355846e-48,8.2135332347734145e-88,5.4056214039939184e-48,2.0379555217594081e-96,2.0057364930061584e-37,0.0,2.2413472756668718e-42,1.6574033620377108e-101,1.0850302062671522e-68,1.307312833557418e-82,5.477806520990845e-94,8.9041688246883241e-60,6.3379191526434377e-140,1.3694513535712967e-15,1.7027750634209232e-16,2.0688990710658045e-18,2.0688991115087822e-18,2.0220987047382753e-26,3.3459632117087708e-31,1.5646275268635704e-34,6.5436342327258853e-62,7.23155713467821e-62,5.9385836042720212e-77,9.0898580339116634e-49,2.110294356753863e-69,4.2802645017690976e-102,1.0226332302113672e-116
