Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61),H2OX(23)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.764224075598745e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-2.7088231474791533e-119,3.8182762392378712e-65,1.0612179103717451e-45,1.8855473181823952e-74,2.0727567345672285e-61,4.7726551538083757e-49,4.5356694257494625e-29,-4.0361312883744584e-114,4.5356694257484155e-29,3.3807155879401298e-74,3.3885468248107045e-76,4.4527358451468929e-75,4.1815021044534498e-106,4.7726551602572442e-49,7.1233598087237408e-92,2.7573762207891456e-18,8.0428625217274258e-19,1.8227405886515955e-23,2.1763484200004174e-37,1.8227405887237492e-23,3.6087448659719126e-34,2.9368962780296806e-40,8.8412390004609024e-46,2.3138611136268688e-75,8.2547464144407429e-62,-1.3778237689279436e-107,2.9037739587345413e-68,7.6125622127440834e-54
2.4539827411676487e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,4.9126985146948531e-117,7.7419973004448319e-64,1.1564614045623186e-44,2.238521776146601e-73,3.1323499771398491e-60,2.8826837129009085e-48,1.2699874392101922e-28,-3.8034444420681274e-114,1.2699874392095604e-28,5.1089373961174395e-73,1.0654133015579401e-74,5.2862879953595034e-74,9.3615998351932665e-105,2.8826837205570052e-48,2.0089014396737584e-90,7.7206534182096022e-18,2.25200150608368e-18,5.1036736481076149e-23,1.3145144297652257e-36,5.1036736485434206e-23,2.1796801862048366e-33,3.4866807497305891e-39,1.0498732686165234e-44,1.4068993823470136e-73,1.7017561083832157e-60,1.3958820289914073e-105,3.4473604435229242e-67,9.0376337587343185e-53
5.609103408383197e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,2.0743273762647511e-114,1.4398295662108421e-62,1.0818296401455412e-43,2.1977939540748306e-72,3.3696391678044298e-59,1.3878881187284493e-47,2.9028284324820553e-28,7.6394762960252595e-114,2.9028284324790128e-28,5.4959617165393119e-72,2.3768784066428877e-73,5.1901089011066629e-73,1.8528047495326533e-103,1.3878881262452506e-47,4.3697994302005166e-89,1.7647207813050497e-17,5.1474320139055538e-18,1.1665539766552242e-22,6.3288209666358212e-36,1.1665539768650459e-22,1.0494204377653479e-32,3.4232385158897978e-38,1.0312830776547158e-43,6.3529641359382998e-72,3.1996029622515103e-59,2.9238699033336214e-103,3.3846389254121394e-66,8.8732022044445976e-52
1.1919344742814295e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,6.6779015777547523e-112,2.4826686049401925e-61,9.3377389847471026e-43,1.9439238631563331e-71,3.0972789323696569e-58,6.0612720453466998e-47,6.1685104190312648e-28,4.5465513929353656e-112,6.1685104190179773e-28,5.0517356883155465e-71,4.4516299788646543e-72,4.5905925469198769e-72,3.3080093201783983e-102,6.0612721118319501e-47,8.1008716907504993e-88,3.7500316602732194e-17,1.0938293029549301e-17,2.4789272001571846e-22,2.7639622467176347e-35,2.4789272010735337e-22,4.5830794308546894e-32,3.0278062367055684e-37,9.1306771673269706e-43,2.4008706542815403e-70,5.5496195384962026e-58,4.7029396804928209e-101,2.9936747986303954e-65,7.8482464863178616e-51
2.4539827411676486e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.9138746696898809e-109,4.1209637621966364e-60,7.7536058049839853e-42,1.63398513718528e-70,2.6497873346297182e-57,2.5304617625582567e-46,1.2699874392151621e-27,1.6201826768424796e-110,1.269987439209614e-27,4.3218662386804985e-70,7.6890829774475973e-71,3.858669639643905e-71,5.6166748898747264e-101,2.5304618184431104e-46,1.3923328654780182e-86,7.7206534182095217e-17,2.2520015060836794e-17,5.1036736464132442e-22,1.1538997102696362e-34,5.1036736502388332e-22,1.9133326340509714e-31,2.5450376606413104e-36,7.6901846959592363e-42,8.3456936746881292e-69,9.2398730067702994e-57,6.7366817414297293e-99,2.5163640488695264e-64,6.5969234286878236e-50
4.978079274940088e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,5.1952308255639912e-107,6.7144115783384296e-59,6.3181239690693788e-41,1.3396397366934629e-69,2.1908954085811097e-56,1.0337761969431765e-45,2.5762602338480062e-27,5.4444450543879506e-109,2.5762602338253407e-27,3.5734025828708756e-69,1.2775523811789239e-69,3.1635705015917241e-70,9.347709624354697e-100,1.0337762427609471e-45,2.3076896156883648e-85,1.566189693408198e-16,4.5683459123411775e-17,1.0353166535933922e-21,4.7140558519345762e-34,1.0353166551562802e-21,7.8164834304391408e-31,2.0865495314303946e-35,6.329968852992432e-41,2.7902889647255937e-67,1.5078007010427356e-55,9.1416065669457346e-97,2.0630672765948531e-63,5.4085553541840339e-49
1.0026272342484966e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.3772109853464935e-104,1.08404604884709e-57,5.1008742952410606e-40,1.0848749912900623e-68,1.7815997582611998e-55,4.1786886746696821e-45,5.1888058231487916e-27,1.7847773746754759e-107,5.1888058230571749e-27,2.9058316348763147e-68,2.0827319857466398e-68,2.5619414133118097e-69,1.5549555452889451e-98,4.1786890457137246e-45,3.7574743097258578e-84,3.1544383965826304e-16,9.2010347248561632e-17,2.0852152303009515e-21,1.9054959602112548e-33,2.0852152366184783e-21,3.1594629467884933e-30,1.6896996235201777e-34,5.1668107834134569e-40,9.178934782063365e-66,2.4362013649454537e-54,1.2115731366806305e-94,1.6707253643901091e-62,4.3799866644007865e-48
2.012265847757472e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,3.6287210763541859e-102,1.7422921310903049e-56,4.0991691617651371e-39,8.7320177500886734e-68,1.4369247438453055e-54,1.6802323375700079e-44,1.0413897001890741e-26,5.7803010415594343e-106,1.0413897001522354e-26,2.3436584845962244e-67,3.3636150291568089e-67,2.0620733333291379e-68,2.6319227083174392e-97,1.6802326362183029e-44,6.0645786851143268e-83,6.3309358029312557e-16,1.8466412349886105e-16,4.1850123789297602e-21,7.6619091249691744e-33,4.1850124043329394e-21,1.2703381003706554e-29,1.3599491936636107e-33,4.2241122447593578e-39,3.0123881701114713e-64,3.9168447451430568e-53,1.5961096087460678e-92,1.3447451153114569e-61,3.5253916009353149e-47
4.0315430747754224e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998743,0.099999999999999825,9.6359938655420357e-100,2.7939297329504205e-55,3.2864909013607936e-38,7.0068943223707051e-67,1.1542160910282351e-53,6.7384831761431688e-44,2.0864079359936165e-26,1.8608143296862619e-104,2.0864079358458767e-26,1.8825539485857521e-66,5.4069042695487556e-66,1.6546839852025596e-67,4.6348393978273437e-96,6.7384855726039644e-44,9.7456151396849699e-82,1.2683930615627561e-15,3.6997167599945863e-16,8.3846066570421466e-21,3.07276317373354e-32,8.3846067589257184e-21,5.0940781761036833e-29,1.0911643630477317e-32,3.4945492416712907e-38,9.9827342159963967e-63,6.2816679216824925e-52,2.1192808217798206e-90,1.0790732534760569e-60,2.8289003782212401e-46
8.070097528811325e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999677,0.099999999999997466,0.099999999999999645,2.6207434208103663e-97,4.4752916417146717e-54,2.631662768363977e-37,5.6140421111895067e-66,9.2524704975508441e-53,2.6989080447846882e-43,4.1764444078273108e-26,5.9724556541032679e-103,4.1764444072355814e-26,1.5091000034566709e-65,8.6711749585494734e-65,1.32576076290841e-66,8.7420318997739236e-95,2.6989099648636455e-43,1.5626893023384266e-80,2.5389920241016368e-15,7.4058678100064872e-16,1.6783795136685987e-20,1.2307039508670089e-31,1.6783795544795402e-20,2.0398512658449728e-28,8.7408435728747811e-32,2.9680428457701585e-37,3.3918162518649055e-61,1.0060993846551961e-50,2.8822078072440359e-88,8.6457170033800153e-60,2.2665557871078713e-45
1.614720643688313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999349,0.099999999999994926,0.09999999999999927,7.4666394700188901e-95,7.1644394908196176e-53,2.1056870661989401e-36,4.4946473159110535e-65,7.4094803136626159e-52,1.0802665737819626e-42,8.3565173523931376e-26,1.9140466672347669e-101,8.3565173500246771e-26,1.2085039370883028e-64,1.3889936834991127e-63,1.061414729751502e-65,1.8207517173084594e-93,1.0802681110031445e-42,2.5030186851993507e-79,5.0801899491778794e-15,1.4818169910030095e-15,3.3582171789649956e-20,4.9259905825450055e-31,3.3582173423500816e-20,8.1612243951359165e-28,6.9951897343661385e-31,2.6453286328797087e-36,1.2080481146328811e-59,1.6101180840247439e-49,4.1064705116277952e-86,6.9218302487556999e-59,1.8146116053976737e-44
3.230142425302674e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998694,0.099999999999989847,0.099999999999998535,2.2949850609296122e-92,1.14661795068481e-51,1.6836830738272675e-35,3.5970842446151554e-64,5.9305870821534747e-51,4.32247340856362e-42,1.6716663245118542e-25,6.1295306264013427e-100,1.6716663235641617e-25,9.6729296310163454e-64,2.2236539317087064e-62,8.4945436960457138e-65,4.2617769499422509e-92,4.3224857108533644e-42,4.0070037781683401e-78,1.0162585799324291e-14,2.9642774110076517e-15,6.7178923870283093e-20,1.9710118426255936e-30,6.7178930410609451e-20,3.2627579094444695e-27,5.5938013736022616e-30,2.5472739649046225e-35,4.6442187399053765e-58,2.57498238861418e-48,6.3125547665227493e-84,5.539567372303396e-58,1.4522228757653254e-43
