Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914825e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.9553580603173709e-120,1.6451341250036158e-63,1.383548330168525e-43,2.15716251761744e-70,2.9716557794000538e-60,7.4392369639538612e-47,1.5495799415332196e-26,-1.1937276113320231e-108,1.5495799415331768e-26,5.4184782534996581e-69,1.0364348700100914e-75,6.0718117119636121e-71,4.6515506285554948e-100,7.4392369646096221e-47,4.9538946535456565e-86,2.9546266505696212e-18,1.4206107501035283e-19,5.475801394924657e-23,5.4758013951290473e-23,1.0219787061245522e-33,2.7547150326640713e-40,3.8467808047746377e-45,6.6436973308754721e-38,1.8591470027547757e-75,9.7176055514525155e-60,-4.3793727114653957e-108,7.4399461262689127e-66,4.1916439629188325e-88,2.4629459173638921e-54
2.051463885776151e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,9.9433616475029473e-118,1.9629842611131529e-62,8.5809655142315382e-43,2.5609833409154881e-69,4.4907662136495875e-59,4.4932991262282538e-46,4.3388238362931547e-26,7.1886643560426083e-108,4.3388238362928975e-26,8.1884043366914225e-68,3.2587170421448312e-74,7.2084548644433998e-70,1.0405370648604521e-98,4.4932991270067724e-46,1.3970775546147841e-84,8.2729546215949356e-18,3.9777101002898799e-19,1.5332243905457941e-22,1.5332243906692452e-22,6.1727497783096038e-33,3.2703969053419156e-39,4.5670869408649968e-44,4.0127931744232999e-37,9.0545309389183688e-74,1.182035798679196e-58,6.1406024525808648e-106,8.8327040404910178e-65,9.37653987927263e-87,2.9240093841257775e-53
4.689060310345488e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.8419608720252851e-115,1.9481995211824875e-61,4.3598587699869253e-42,2.514388630535085e-68,4.830961366858926e-58,2.1633301091179658e-45,9.9173116258135907e-26,4.1941242518260972e-106,9.9173116258123487e-26,8.8087117271535306e-67,7.270018408515949e-73,7.0773037314654045e-69,2.0559411334399465e-97,2.1633301098823204e-45,3.0389488411982631e-83,1.8909610563645546e-17,9.0919088006625826e-19,3.5045128925200115e-22,3.5045128931143753e-22,2.9719116673874079e-32,3.210893419620156e-38,4.4843928910047913e-43,1.931987163680359e-36,3.7549062986575431e-72,1.2206052286329157e-57,1.178558346178757e-103,8.6720012028711913e-64,1.8526462719255418e-85,2.8708097334765815e-52
9.964253159484163e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.1905060910925266e-112,1.7603929643436656e-60,2.1048229194285597e-41,2.2239482691632888e-67,4.4404857967519471e-57,9.4478309442232943e-45,2.1074287204856722e-25,1.6522860309419424e-104,2.1074287204851285e-25,8.096723684645411e-66,1.3615939701875574e-71,6.2597950025673072e-68,3.658491498124063e-96,9.4478309509839209e-45,5.6336989902118904e-82,4.018292244774669e-17,1.9320306201407987e-18,7.4470898959386861e-22,7.4470898985344306e-22,1.2979104664238746e-31,2.8399959229289652e-37,3.9671060256712912e-42,8.4374954021168185e-36,1.3662659664770449e-70,1.1864804406411849e-56,1.8248258404284481e-101,7.6702868543317126e-63,3.2966850543527274e-84,2.5391986645796588e-51
2.0514638857761512e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,3.346994593495304e-110,1.5423517185976337e-59,1.0465015628728086e-40,1.8693625231677397e-66,3.7989290861418509e-56,3.9442834382900379e-44,4.3388238362952012e-25,5.8380445387224119e-103,4.338823836292932e-25,6.9269175775435421e-65,2.3518149137602331e-70,5.2617348806026363e-67,6.1707630679075903e-95,3.944283443972752e-44,9.6828891478665224e-81,8.2729546215948682e-17,3.9777101002898804e-18,1.5332243900656989e-21,1.5332243911493728e-21,5.4185086867300082e-31,2.387182742347635e-36,3.3357882449036106e-41,3.5224881375446502e-35,4.6595955895509021e-69,1.1770906305881097e-55,2.5643134414417436e-99,6.4473382666177049e-62,5.560341197687896e-83,2.134349418924313e-50
4.161541025431621e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,8.9792576751707296e-108,1.3672296340194911e-58,5.646404604522163e-40,1.5326163386200732e-65,3.1410280304067501e-55,1.6113684833417022e-43,8.8016140679178702e-25,1.9613402631773034e-101,8.8016140679086003e-25,5.7273094065708501e-64,3.9075754367854343e-69,4.3138881557515582e-66,1.0136096077446405e-93,1.6113684880007343e-43,1.6048678653114673e-79,1.678227937523514e-16,8.0690690605880375e-18,3.1102551901617418e-21,3.1102551945889127e-21,2.2136277802320521e-30,1.9571485164812698e-35,2.736843041211511e-40,1.4390512580885455e-34,1.5397858670395216e-67,1.2598755549587102e-54,3.4391586034255199e-97,5.2859174363464387e-61,9.1328771135482636e-82,1.7498685123626479e-49
8.381695304742561e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.3553377432754271e-105,1.2735869667234002e-57,3.3908410950562417e-39,1.2411524467775266e-64,2.5542318260365651e-54,6.5134090453277176e-43,1.7727194531177648e-24,6.4295455981274705e-100,1.7727194531140183e-24,4.6573528926854136e-63,6.3703334761999486e-68,3.4934984736342851e-65,1.6432991194632289e-92,6.5134090830577625e-43,2.6131112838228867e-78,3.3800928882515175e-16,1.6251786981184346e-17,6.2643167869633586e-21,6.2643168048587717e-21,8.9477580271466754e-30,1.5849364542314659e-34,2.2195447302772085e-39,5.8168746063004781e-34,5.012155691930152e-66,1.4978003636067443e-53,4.5102226973822683e-95,4.2806729762553801e-60,1.4804787362437466e-80,1.417088738709328e-48
1.6822003863364439e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,6.1161210203267172e-103,1.2929113951689136e-56,2.2548533667459224e-38,9.9898746699079277e-64,2.0600804955893686e-53,2.6190131301174159e-42,3.5578355457754962e-24,2.0823157871206444e-98,3.5578355457604322e-24,3.7563238321615484e-62,1.028810329685514e-66,2.8118714990845724e-64,2.6471082883316357e-91,2.6190131604858324e-42,4.2175721473784689e-77,6.7838227897073253e-16,3.2617222822376922e-17,1.2572439967004716e-20,1.2572440038962023e-20,3.5977903059681638e-29,1.2756735654515609e-33,1.7915989089097669e-38,2.3389391621491435e-33,1.6210303051772403e-64,1.9742457911393212e-52,5.8556348138948971e-93,3.44545800474166e-59,2.38426536377677e-79,1.1405960577591135e-47
3.3702620980608197e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,1.5834933352400358e-100,1.4672941053652672e-55,1.619254519869784e-37,8.0162452822981244e-63,1.6547686771862569e-52,1.050341403406203e-41,7.1280677311140721e-24,6.7034623307664889e-97,7.1280677310536502e-24,3.0172835796700054e-61,1.6537818233628846e-65,2.2563497925425514e-63,4.2512038744888172e-90,1.0503414277749344e-41,6.7775252171129486e-76,1.3591282592618139e-15,6.5348094504761902e-17,2.518868627283991e-20,2.5188686561426019e-20,1.4428236223696431e-28,1.0236137086906772e-32,1.4458557873245529e-37,9.3801878771700264e-33,5.2368591182400845e-63,2.8177940127456751e-51,7.5801742972870219e-91,2.7647630346684568e-58,3.8272739429380087e-78,9.1525611399492221e-47
