Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),OCX(25),H2X(57),CO2X(24),CHOX(61)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.630411269939308e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-2.3950285548838753e-119,7.2709726092417413e-66,1.0159734063519115e-45,1.8004932321524549e-74,1.9792579250045958e-61,4.6280292400565889e-49,4.4664184976389854e-29,-3.7949165189403862e-114,4.4664184976379703e-29,3.2282168041296182e-74,1.5518314472772026e-77,4.2518799058714996e-75,3.9318885832376783e-106,4.6280292403565023e-49,6.6981822277993922e-92,2.7152764016631495e-18,7.9200635163297998e-19,1.7949108538059144e-23,2.1103979593031372e-37,1.794910853875881e-23,3.499389004425549e-34,2.8044175221194742e-40,8.4423910351664111e-46,2.142563059427297e-75,7.7821486946799783e-62,-1.2371025356711363e-107,2.7727892638883473e-68
2.4165151555830062e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,4.343567835614233e-117,8.6320991477177124e-65,1.1058809848717027e-44,2.1375455652118284e-73,2.9910545761409632e-60,2.7953296609947998e-48,1.2505971793392482e-28,-3.5794588635216482e-114,1.2505971793386352e-28,4.8784812328278901e-73,4.8792053235595457e-76,5.0478318242516911e-74,8.802650758031496e-105,2.7953296613508578e-48,1.8889945585676876e-90,7.6027739246568145e-18,2.2176177845723436e-18,5.0257503905432477e-23,1.2746800553849286e-36,5.0257503909658473e-23,2.113629323094403e-33,3.3294021206225447e-39,1.0025076310760171e-44,1.3027252897883652e-73,1.6025695144397044e-60,1.2533062685811983e-105,3.2918554138186371e-67
5.523463212761157e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,1.8339238638480303e-114,8.4750470662177751e-64,1.0337935015995359e-43,2.098654911398247e-72,3.2176400231058056e-59,1.3458309030093858e-47,2.8585078384912772e-28,7.0161760529740409e-114,2.8585078384883266e-28,5.2480474923072974e-72,1.0885233214462402e-74,4.9559912182870621e-73,1.7421355244289833e-103,1.3458309033589652e-47,4.1089757727617785e-89,1.737776897064412e-17,5.0688406504510709e-18,1.1487429463564667e-22,6.1370325851433055e-36,1.1487429465599304e-22,1.0176198691227824e-32,3.2688217427165067e-38,9.8474869689154745e-44,5.882491693232389e-72,3.0109698653326701e-59,2.62508865476026e-103,3.231963165152469e-66
1.1737359327117458e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,5.903394981759641e-112,7.4960848043522423e-63,8.9198632416870523e-43,1.8562365026227262e-71,2.9575655312778212e-58,5.8775971348814754e-47,6.0743291568006525e-28,4.2093276915689094e-112,6.0743291567877668e-28,4.8238598043797871e-71,2.0386816556652733e-73,4.3835181077640862e-72,3.1102617278107162e-102,5.8775971379734613e-47,7.6173485870804071e-88,3.6927759062618649e-17,1.0771286382208527e-17,2.4410787607794514e-22,2.6802005717924679e-35,2.4410787616680315e-22,4.4441986842687378e-32,2.891226914411582e-37,8.7185429720519094e-43,2.2230360624219458e-70,5.2204487320906646e-58,4.2219500006558411e-101,2.8586348177431738e-65
2.4165151555830064e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,1.6915781500655683e-109,6.300913725224872e-62,7.4052461509972385e-42,1.5602786270967797e-70,2.5302595785791758e-57,2.4537811030866505e-46,1.2505971793440672e-27,1.5002112292137699e-110,1.2505971793386873e-27,4.1269136223601051e-70,3.5213084675125039e-72,3.6846110963620931e-71,5.2803877224706238e-101,2.453781105685645e-46,1.3092275980251099e-86,7.6027739246567356e-17,2.2176177845723436e-17,5.0257503889002212e-22,1.1189286451607333e-34,5.0257503926098829e-22,1.8553532340703148e-31,2.4302354609763149e-36,7.3428478304996722e-42,7.7272847090525858e-69,8.6901096948618518e-57,6.0465311154021309e-99,2.4028548082730635e-64
4.902073601325527e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,4.5900516048174029e-107,5.1658743054042102e-61,6.0336942425948221e-41,1.2792106865628221e-69,2.0920675485310836e-56,1.0024496455205385e-45,2.5369257066805791e-27,5.0413130392057884e-109,2.5369257066586006e-27,3.4122119896812547e-69,5.8506830601813462e-71,3.0208667916343648e-70,8.7863009798154316e-100,1.0024496476513433e-45,2.1699487295355722e-85,1.5422769961446328e-16,4.4985960772753233e-17,1.019509364224097e-21,4.5711695416826561e-34,1.0195093657396246e-21,7.5796233854127e-31,1.9924293103713385e-35,6.0437035031517813e-41,2.5833766866156822e-67,1.4179468092078021e-55,8.2019404891870927e-97,1.9700055433923186e-63
9.873190492810568e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,1.2158568622223723e-104,4.1834663132159828e-60,4.8710154127585288e-40,1.0359379797646789e-68,1.7012345839109023e-55,4.0520617451332874e-45,5.109582761387635e-27,1.6526243461888929e-107,5.1095827612987942e-27,2.7747541214768989e-68,9.538012996133354e-70,2.4463762491436929e-69,1.4610128051402127e-98,4.0520617623889608e-45,3.5331989836153654e-84,3.1062762035024943e-16,9.0605526626812747e-17,2.0533780137319302e-21,1.8477243972499489e-33,2.0533780198580147e-21,3.0637241469845058e-30,1.6134811520981617e-34,4.9325601377683731e-40,8.4972779004632532e-66,2.2909072871675437e-54,1.086206345169002e-94,1.5953615603424783e-62
1.981542427578065e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999381,0.099999999999999922,3.1987259191134519e-102,3.3672295000402859e-59,3.9143604531535536e-39,8.3381301070738365e-68,1.3721073195466972e-54,1.6293162061277286e-44,1.0254896870937874e-26,5.3523012995387821e-106,1.0254896870580649e-26,2.2379397214252999e-67,1.5403667668998861e-68,1.9690564352627801e-68,2.4711742421033486e-97,1.6293162200163803e-44,5.7025974045455803e-83,6.2342746182179865e-16,1.818446583349315e-16,4.1211153081063254e-21,7.4294945453411166e-33,4.1211153327396931e-21,1.2318450197366906e-29,1.2986059994472271e-33,4.0316626996844064e-39,2.7880391943952704e-64,3.6831555108682588e-53,1.4287808619338156e-92,1.2840857697750112e-61
3.9699891841720814e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999843,0.099999999999998757,0.099999999999999825,8.4686443226200211e-100,2.7020086424337029e-58,3.1382890844611873e-38,6.6908242949281584e-67,1.1021512112996884e-53,6.5342867162539173e-44,2.0545525090582861e-26,1.7230311854686903e-104,2.0545525089150227e-26,1.7976348887654076e-66,2.4760146064028911e-67,1.5800437825010454e-67,4.3464427243189457e-96,6.5342868276981273e-44,9.1639209394078311e-82,1.2490271447648051e-15,3.6432292175116776e-16,8.2565898782900458e-21,2.9794601582002962e-32,8.2565899770860781e-21,4.9397283231596605e-29,1.0419468314895904e-32,3.3338558996587854e-38,9.2352177686665916e-63,5.9068212316801627e-52,1.8913979880368329e-90,1.03039794961964e-60
7.946882697360115e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999682,0.099999999999997508,0.099999999999999645,2.2896552283476035e-97,2.1649254618104269e-57,2.5129827642704931e-37,5.3608014649539225e-66,8.8351060493987283e-53,2.6171229525135781e-43,4.1126781532050863e-26,5.5302279124137042e-103,4.1126781526312872e-26,1.4410268661258903e-65,3.9705969470976906e-66,1.2659577715432928e-66,8.1825356291630785e-95,2.617123041798999e-43,1.4694158361684128e-80,2.5002265106504496e-15,7.2927944858363544e-16,1.6527538944397189e-20,1.1932584877083137e-31,1.6527539340138373e-20,1.9780505275572222e-28,8.3466088130563918e-32,2.8292574695238649e-37,3.1353154004271936e-61,9.4605911344443006e-51,2.5570742551955091e-88,8.2557222577070433e-60
1.590066972373618e-20,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999936,0.09999999999999501,0.099999999999999284,6.4486069011402539e-95,1.7333055489414016e-56,2.0107333003370813e-36,4.2919008133184345e-65,7.0752502677151229e-52,1.0475312230573685e-42,8.2289294423698996e-26,1.772321958969696e-101,8.2289294400732098e-26,1.1539902174581908e-64,6.359526735596317e-65,1.0135359738730403e-65,1.6999949874639083e-93,1.0475312945310892e-42,2.3536190391379623e-79,5.0026252424202669e-15,1.4591925022485521e-15,3.3069436779570303e-20,4.7755061461995689e-31,3.306943836390031e-20,7.9140180529683284e-28,6.6797292899342356e-31,2.5181590662061851e-36,1.1151695400879393e-59,1.514036372504936e-49,3.6014192393271307e-86,6.6095973378170368e-59
3.1808243776488313e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559998716,0.09999999999999,0.099999999999998548,1.9388340186501255e-92,1.3872493249053804e-55,1.6077763603285891e-35,3.4348253887157563e-64,5.6630675963088044e-51,4.1914893658484354e-42,1.6461432024184376e-25,5.6756723402721508e-100,1.646143201499463e-25,9.2365989267237893e-64,1.0178530626193346e-63,8.1113681355861e-65,3.9687207811411007e-92,4.191489937712932e-42,3.7678345902397382e-78,1.0007422705954008e-14,2.9190186095783086e-15,6.6153231261751882e-20,1.9103145006986913e-30,6.6153237603804823e-20,3.1639691482232566e-27,5.341604180204533e-30,2.4198358952637488e-35,4.2784121842535573e-58,2.4213483784939277e-48,5.4152223037146702e-84,5.2896861801700165e-58
6.362339188199258e-20,0.09977366400000001,0.80000000000000004,0.0,0.28934362559997423,0.099999999999979994,0.099999999999997091,6.3458201466047191e-90,1.1101351166442529e-54,1.2843822790955077e-34,2.7483851156170432e-63,4.5316010061978557e-50,1.6768686805471165e-41,3.292643720175273e-25,1.8168941726228028e-98,3.2926437164987767e-25,7.3911504797642656e-63,1.6281971609879687e-62,6.4903269118783236e-64,1.0344447762197686e-90,1.6768691378977361e-41,6.0301711177112382e-77,2.0017017632997919e-14,5.8386708242375136e-15,1.3232081547345673e-19,7.6384243387022894e-30,1.3232084086710534e-19,1.2636632318713299e-26,4.2673740305384035e-29,2.582150815783417e-34,1.8215356521903231e-56,3.8688541653449245e-47,8.8644414340818092e-82,4.2325518616307274e-57
1.2725368809300112e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559994836,0.099999999999959968,0.099999999999994177,2.2531008264022067e-87,8.8839194631390736e-54,1.0243596114080633e-33,2.1989452007016545e-62,3.6257391464592853e-49,6.7080206343474311e-41,6.5856447612647021e-25,5.8151480363865015e-97,6.585644746557522e-25,5.9136690211228486e-62,2.6028058367395495e-61,5.1927545471178098e-63,2.9332377893654184e-89,6.7080242898588966e-41,9.6495826100948444e-76,4.0036207486991454e-14,1.1677975253554699e-14,2.6465596488623589e-19,3.0523609395925974e-29,2.6465606663876745e-19,5.0380993982857316e-26,3.4035178391323843e-28,3.094773299471372e-33,8.7101293643431498e-55,6.1718683789808248e-46,1.5740490673967093e-79,3.3863617655338216e-56
2.5451428051501817e-19,0.09977366400000001,0.80000000000000004,0.0,0.28934362559989663,0.099999999999919931,0.099999999999988334,8.3555375600043495e-85,7.1106556765768454e-53,8.1441278477129946e-33,1.7595422795091817e-61,2.9007738870648086e-48,2.6833174439527376e-40,1.3171646865746589e-24,1.8610212685366912e-95,1.3171646806915487e-24,4.731234707003341e-61,4.1562141575770289e-60,4.1544008610110868e-62,8.7831699596236022e-88,2.6833203626918192e-40,1.5440379361502964e-74,8.0074587194601415e-14,2.3356584112184162e-14,5.2932618766929451e-19,1.2183957449815718e-28,5.2932659604073162e-19,2.00187608133096e-25,2.70596873545638e-27,4.1072851711735525e-32,4.6144458519728905e-53,9.8158394040941463e-45,2.9190012161667364e-77,2.7092160496080957e-55
