Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24),CHOX(60),COX(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.221231717221643e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.512984155164079e-120,1.5661222685136423e-63,1.3434806957311686e-43,2.0653762300394573e-70,2.8452131726279502e-60,7.2266873364123199e-47,1.5272826647992568e-26,-1.1160280787829248e-108,1.5272826647992152e-26,5.1879244592681637e-69,7.3352413856689577e-77,5.8134588751411e-71,4.3895447856972617e-100,7.2266873364594077e-47,4.6748589546929204e-86,2.9121118203840255e-18,1.4001692419390909e-19,5.3970087777978534e-23,5.3970087779964026e-23,9.9277931837188625e-34,2.6375031666151878e-40,3.683099547352245e-45,6.4538771356129178e-38,1.7371455936689048e-75,9.3004036707818515e-60,-3.9463614331937729e-108,7.1233797901139382e-66,3.9555432009259859e-88
2.02194488082206e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,8.8739290280131357e-118,1.8593003579800703e-62,8.3294117115418549e-43,2.4520146603029041e-69,4.2996861463130138e-59,4.3649191511931587e-46,4.2763914614380565e-26,6.6803904807498096e-108,4.2763914614378057e-26,7.8399914428485966e-68,2.3063171274318589e-75,6.9017383765677049e-70,9.8192714051410794e-99,4.3649191512490623e-46,1.3183850229670941e-84,8.1539130970752701e-18,3.9204738774294557e-19,1.5111624577512351e-22,1.5111624578711588e-22,5.996385544647105e-33,3.1312430219842999e-39,4.3727539193276258e-44,3.8981416185159563e-37,8.4393765763200045e-74,1.1309080773577671e-58,5.5600665632281075e-106,8.4568764862424996e-65,8.8483919187263933e-87
4.6215882990218517e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,3.4247964085011044e-115,1.8254721185737041e-61,4.2290241628210433e-42,2.4074025337341779e-68,4.6254061499235928e-58,2.1015206774288789e-45,9.7746090547162051e-26,3.9008753632854869e-106,9.7746090547149964e-26,8.4339050349469987e-67,5.1452661746735042e-74,6.7761676648650541e-69,1.9401367342782958e-97,2.1015206774837643e-45,2.8677753962654564e-83,1.863751565045774e-17,8.9610831484101838e-19,3.454085617565479e-22,3.4540856181428606e-22,2.8869999503479897e-32,3.0742714050019128e-38,4.2935730559247178e-43,1.8767872139448872e-36,3.4959301236644366e-72,1.167023886950967e-57,1.0659238331885491e-103,8.3030114815564248e-64,1.748293134976482e-85
9.820875135421434e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.0606819397527862e-112,1.6146094189035027e-60,2.0391418535376823e-41,2.1293202781218682e-67,4.2515451383849122e-57,9.1778929172454573e-45,2.0771044241274689e-25,1.5367819482744917e-104,2.0771044241269413e-25,7.7522117610007985e-66,9.6365123610054218e-73,5.9934435619166995e-68,3.4524199753681875e-96,9.1778929177309135e-45,5.3163722715795132e-82,3.9604720757222603e-17,1.9042301690371643e-18,7.3399319366793408e-22,7.3399319392009229e-22,1.2608273499413567e-31,2.7191554640483573e-37,3.7982879776054512e-42,8.1964213056182496e-36,1.2713768812897037e-70,1.133068798492053e-56,1.6495625905909823e-101,7.3439196246350555e-63,3.1109942227205647e-84
2.02194488082206e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,2.9812141863170107e-110,1.3571765088741347e-59,1.0119420864473248e-40,1.7898219949332183e-66,3.6372863750959967e-56,3.8315896257674399e-44,4.2763914614400432e-25,5.4299343777265369e-103,4.2763914614378401e-25,6.6321803736430088e-65,1.66446726352628e-71,5.0378504458575031e-67,5.8231805726153717e-95,3.831589626175496e-44,9.1374855958641179e-81,8.1539130970752014e-17,3.9204738774294554e-18,1.5111624572848566e-21,1.5111624583375682e-21,5.2636944865330708e-31,2.2856093344857522e-36,3.1938191035483172e-41,3.4218432663536617e-35,4.3348784644580184e-69,1.1220684268112602e-55,2.3174129466291351e-99,6.1730069451766163e-62,5.2471464690043884e-83
4.101659615381893e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,7.9967291501455335e-108,1.1126953069466786e-58,5.4468782359610391e-40,1.4674042079370742e-65,3.0073787111688262e-55,1.5653293838176326e-43,8.6749655360687e-25,1.8242322339603686e-101,8.6749655360596964e-25,5.4836149867268767e-64,2.765535246191341e-70,4.1303341696195745e-66,9.5651488973510157e-94,1.5653293841521815e-43,1.5144712263673496e-79,1.6540795139780964e-16,7.9529612942140344e-18,3.0655009836953017e-21,3.0655009879959823e-21,2.1503815458184934e-30,1.8738729574597252e-35,2.620337632584963e-40,1.3979335787474816e-34,1.4322914152572193e-67,1.1981585762851291e-54,3.1075524866248399e-97,5.0610040449890681e-61,8.6184538312426199e-82
8.261089084501559e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,2.0973630871150139e-105,9.0108952080590012e-58,3.2630246558691703e-39,1.188341972611711e-64,2.4455504194164647e-54,6.3273116440324717e-43,1.747211368534004e-24,5.980086450886537e-100,1.7472113685303648e-24,4.4591846376422639e-63,4.5085138943977538e-69,3.3448516967059535e-65,1.5507325409799659e-92,6.3273116467417292e-43,2.4659237911012946e-78,3.3314559225191996e-16,1.6017936127783183e-17,6.174178033222593e-21,6.174178050606707e-21,8.6921100133908271e-30,1.5174984885503463e-34,2.1250166094277043e-39,5.6506625665684932e-34,4.6618726572940264e-66,1.420923438274855e-53,4.074860836641147e-95,4.0985322812443947e-60,1.3970885053886934e-80
1.6579948022740892e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996466,0.022821567693054271,5.4454482901244529e-103,7.2527525975118258e-57,2.1655304110435614e-38,9.5648100297463034e-64,1.972425004206367e-53,2.5441841835424974e-42,3.5066409983938836e-24,1.9367509313207015e-98,3.5066409983792495e-24,3.5964939553303278e-62,7.2812408517248492e-68,2.6922276410350232e-64,2.4979889264679073e-91,2.5441841857231375e-42,3.9800109407093511e-77,6.6862087396012133e-16,3.2147885794921435e-17,1.2391532119102777e-20,1.2391532189004147e-20,3.4949980804681269e-29,1.2213948166419083e-33,1.715226278254618e-38,2.2720997547087644e-33,1.5076353671940827e-64,1.8690716535671314e-52,5.2896370385406779e-93,3.298855328454057e-59,2.2499679677851655e-79
3.321766589921956e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996399,0.022821567693054254,1.4095106399268601e-100,5.8198775243297482e-56,1.5530118816106921e-37,7.6751576782028026e-63,1.584359020096057e-52,1.0203316490230599e-41,7.0255002581360919e-24,6.2348549593139385e-97,7.0255002580773994e-24,2.8888995306762056e-61,1.1704314079220278e-66,2.1603431313642878e-63,4.0116938462329301e-90,1.0203316507728767e-41,6.3957707354945157e-76,1.339571437376446e-15,6.440778512919779e-17,2.482624023816556e-20,2.4826240518506213e-20,1.4016015211471651e-28,9.8006034553531408e-33,1.384109103114111e-37,9.1120816095325534e-33,4.8700651683612085e-63,2.6639163762572233e-51,6.8458198339429088e-91,2.647123621169623e-58,3.6116968800581744e-78
6.6493101652176886e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999972,0.11866996602996265,0.022821567693054223,3.657184986914741e-98,4.66298471664796e-55,1.170305365073143e-36,6.1494659943370063e-62,1.270059845519544e-51,4.0866486177440947e-41,1.40632187777103e-23,2.0011343499324345e-95,1.4063218777475219e-23,2.3158105479081174e-60,1.8770316021541291e-65,1.7309034132491593e-62,6.4351590645655266e-89,4.0866486317637659e-41,1.0255486558834078e-74,2.6814725642087833e-15,1.2892758379774985e-16,4.9695656265500772e-20,4.9695657388364886e-20,5.6133241122635332e-28,7.8518951407353396e-32,1.1213861353008029e-36,3.6495417214246292e-32,1.5786581922778089e-61,3.9995983222297941e-50,8.8813315469336385e-89,2.1209201247540803e-57,5.7881323268342565e-77
1.3304397315809154e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999437,0.11866996602995997,0.022821567693054157,9.5731827561799442e-96,3.733223907230349e-54,9.072594671143298e-36,4.9233119341499334e-61,1.0170779188188468e-50,1.6357244584876421e-40,2.8138655817217879e-23,6.4132155240769404e-94,2.8138655816276943e-23,1.8545266433843916e-59,3.0066758092685959e-64,1.3857751939969742e-61,1.032381807601758e-87,1.6357244697116525e-40,1.6426601524341605e-73,5.3652748178722098e-15,2.5796718113485135e-16,9.9434487477009809e-20,9.9434491971706775e-20,2.2464782265979741e-27,6.2854676646196064e-31,9.1766534353477731e-36,1.4607327578196081e-31,5.1668189665426454e-60,6.1881706844947921e-49,1.1624446015735597e-86,1.6980256452166539e-56,9.2685530963715282e-76
