Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HX(19),CH2X(27),CHX(28),CX(26),HOX(22),OCX(25),H2X(56),CO2X(24)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,-3.2647024250497067e-120,1.4299875508111257e-63,1.2634174734407695e-43,1.8858440089893794e-70,2.5978938548373024e-60,6.8015880813292333e-47,1.4816818228569745e-26,-9.6964116616144433e-109,1.4816818228569352e-26,4.7369656522160242e-69,4.8731182777447754e-78,5.3081256730554625e-71,3.8883083588612647e-100,6.8015880813324576e-47,4.1410515308006425e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675890019842e-23,5.2358675891888566e-23,9.34380542350554e-34,2.4082389991048984e-40,3.3629425767762547e-45,6.0742340027528117e-38,1.0172351027930946e-75,8.4850181972082398e-60,-3.7803215188620742e-108
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,5.9136760944150565e-118,1.6976812203761986e-62,7.8271594426782997e-43,2.2388740074722451e-69,3.92593719325748e-59,4.108159201122963e-46,4.1487091039996572e-26,5.7303279353689163e-108,4.1487091039994208e-26,7.1585024936311666e-68,1.5321855142339244e-76,6.3018067990515952e-70,8.6979902664413562e-99,4.1081592011267925e-46,1.1678427885106388e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.466042924890284e-22,1.4660429250031538e-22,5.6436570711961627e-33,2.8590606865198819e-39,3.9926432229932052e-44,3.6688352510033268e-37,6.1885780911290197e-74,1.0310494000410743e-58,3.8252615598485423e-106
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.4956171406458918e-115,1.6667934893846217e-61,3.9681947218232555e-42,2.1981397768781856e-68,4.2233440814079503e-58,1.9779018140507013e-45,9.4827636662855404e-26,3.352170032428757e-106,9.4827636662844028e-26,7.7007903214980838e-67,3.4182176092597767e-75,6.187151284513913e-69,1.7185763029781504e-97,1.97790181405446e-45,2.5403131537852959e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552567493671e-22,3.3509552572927854e-22,2.7171765102546763e-32,2.8070413523835308e-38,3.9203350343733009e-43,1.7663841180149982e-36,2.7940546680641948e-72,1.0625086088400259e-57,8.0081142315286396e-104
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,8.0220644247628822e-113,1.4742599657137732e-60,1.9085224897507382e-41,1.9442297395080354e-67,3.8819808283042991e-57,8.6380168632897782e-45,2.0150872790859367e-25,1.3206555360172568e-104,2.0150872790854399e-25,7.0783530347983442e-66,6.4019282789487524e-74,5.4724652438942357e-68,3.0581147079744431e-96,8.6380168633230191e-45,4.7093124620219156e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799199831802e-22,7.1207799223564347e-22,1.1866611116565979e-31,2.4827938260776652e-37,3.4680865284209598e-42,7.7142448403855193e-36,1.0551599319971653e-70,1.0291105525482179e-56,1.2861322106549792e-101
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,2.2918394300754461e-110,1.2392043323262344e-59,9.4344747147152054e-41,1.6342422446866779e-66,3.3211163272931565e-56,3.6062020007222471e-44,4.1487091040015284e-25,4.6662953576131487e-103,4.1487091039994538e-25,6.0556800462123633e-65,1.10576871951503e-72,4.5999367782608669e-67,5.1579574384561837e-95,3.6062020007501879e-44,8.0941048876856236e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429244513398e-21,1.4660429254421273e-21,4.954066041423966e-31,2.0869336696748211e-36,2.9161359504082342e-41,3.2205297595917236e-35,3.6620761286235915e-69,1.0153128187124525e-55,1.8364707492759979e-99
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,6.1816145289863956e-108,1.0159745817332215e-58,5.0529441425264699e-40,1.3398505289522982e-65,2.7459632017425646e-55,1.4732511847694961e-43,8.4159527538360095e-25,1.567681301354384e-101,8.415952753827535e-25,5.0069533675833413e-64,1.8372340304751637e-71,3.7713060872940556e-66,8.471960581089265e-94,1.473251184792403e-43,1.3415385257786105e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727885824185e-21,2.9739727926301173e-21,2.0238890403315264e-30,1.7109875192838292e-35,2.3924647596322875e-40,1.3156787368164939e-34,1.2204476934850336e-67,1.0788650043524579e-54,2.4761755197983885e-97
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,1.6179603750063313e-105,8.2276255804946413e-58,3.0115368980986468e-39,1.0850456963172722e-64,2.2329716689981179e-54,5.9551168414419988e-43,1.695044005351818e-24,5.1390768900677491e-100,1.6950440053483925e-24,4.0715713251495515e-63,2.9950989681860028e-70,3.0541014472064669e-65,1.3733413183667857e-92,5.9551168416275048e-43,2.1843477180687101e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898325137447172e-21,5.9898325301062324e-21,8.1808136890045864e-30,1.3855910553429848e-34,1.9401367749951247e-39,5.3180807103581072e-34,3.9891202854346617e-66,1.2728614077320615e-53,3.240172126326791e-95
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,4.1570134794414187e-103,6.6223088679850734e-57,1.9902207088230785e-38,8.733391732397435e-64,1.8009725413937728e-53,2.3945262903926777e-42,3.4019414652935344e-24,1.6643759308343362e-98,3.401941465279759e-24,3.2838697765467274e-62,4.8369113310032436e-69,2.4582065455367567e-64,2.211723855526386e-91,2.3945262905419829e-42,3.5255460236033073e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551951669883e-20,1.2021552017459371e-20,3.2894133905279402e-29,1.1152265208601378e-33,1.5658676108459076e-38,2.1382939532584224e-33,1.2926893719407317e-64,1.6670694900820496e-52,4.1621762343459846e-93
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.0508310057702404e-100,5.313985829864177e-56,1.423203470979828e-37,7.0079968554726996e-63,1.4466390789341831e-52,9.6031214025678827e-42,6.8157363851980937e-24,5.3580160250403612e-97,6.8157363851428499e-24,2.6377827890423912e-61,7.7746102373153337e-68,1.9725559403590476e-63,3.5503066112293251e-90,9.6031214037658763e-42,5.6654578141378286e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.408499077792248e-20,2.4084991041772237e-20,1.3191571269844218e-28,8.9487063677182367e-33,1.2633734744317177e-37,8.5748501814019556e-33,4.1794420319618983e-63,2.3688998993448864e-51,5.2603433832436002e-91
