Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3X(21),CH2X(27),CHX(28),CX(26),OCX(25),H2X(49),C2H4(47),CH3OO(77),CO2X(24),CHOX(53),COX(50)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2192467651223754e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,-5.8111239195174182e-119,6.8635741747416895e-72,2.88973684392005e-36,4.8648680838696416e-88,1.724411781334811e-54,1.6097498342101222e-131,5.4889784659455013e-20,-6.0264442830925676e-106,5.4889784659455013e-20,2.4553433197638871e-72,1.9595519417396751e-75,1.0766250442605506e-111,1.2483442827975493e-112,1.3630172183149632e-55,1.1369332485509393e-85,2.9976818271489012e-18,8.8756031030454665e-20,3.5532015428814867e-22,8.7653028026682343e-38,3.5532015427437343e-22,6.885464803173978e-33,2.9112928178192183e-40,6.2838001187620608e-44,7.7178276789500167e-75,2.0592361397516687e-52,1.8617352682319588e-98,3.2456416223579106e-37,-2.4129899292092165e-106,-2.623958152948192e-107,1.8960380300166563e-105
1.7413890942342651e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,1.0527723292019976e-116,1.691971703693262e-70,1.74540109037474e-35,5.3758256947803915e-86,2.6059310852824018e-53,5.8084563727537059e-129,1.5369139704647403e-19,1.1634140353021849e-104,1.5369139704647396e-19,6.9244610200718608e-71,6.161144746623174e-74,2.1522318068055448e-109,2.4955078702659046e-110,1.6181740204925938e-54,5.885093934113736e-84,8.3935091160169208e-18,2.4851688688527303e-19,9.9489643202914298e-22,5.294242817383598e-37,9.9489643194594054e-22,4.1588205712160497e-32,3.4562867024107384e-39,7.4601431969030937e-43,4.6951409233236582e-73,2.4447251921198065e-51,1.7532553805814782e-96,1.9603675399022067e-36,2.442012984241607e-104,2.6555193814101652e-105,3.7902827700879406e-103
3.9803179296783205e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,4.4442177674696755e-114,3.481527249174286e-69,8.4033552918249093e-35,4.8636644648324975e-84,2.8033417462021756e-52,2.103112802798572e-126,3.51294621820512e-19,1.2284423574423763e-102,3.5129462182051176e-19,1.5062215210871555e-69,1.3745174603309023e-72,3.896413551712564e-107,4.5178826246112153e-108,1.5887328042860381e-53,2.5696623308068201e-82,1.9185163693752944e-17,5.6803859859490978e-19,2.2740489876004382e-21,2.5489499418738998e-36,2.2740489871998542e-21,2.002292909911464e-31,3.3934025026469771e-38,7.3244460757423823e-42,2.1196205246123538e-71,2.4002457902150721e-50,1.5323542534352948e-94,9.4383258377872333e-36,5.1139702892851326e-102,5.5610905140986336e-103,6.8619509773298702e-101
8.458175600566431e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,1.4294931878028543e-111,6.3083471513388229e-68,3.6699663598072914e-34,3.6809274122986188e-82,2.5767540380194212e-51,6.3770497510815381e-124,7.4650107136858807e-19,9.7098130279572626e-101,7.4650107136858682e-19,2.7922808529666616e-68,2.5743189310971147e-71,5.9041686391379917e-105,6.8458700683283022e-106,1.4052160940920477e-52,9.5662085664867877e-81,4.0768472849224944e-17,1.2070820220141834e-18,4.8323540991002567e-21,1.1131933390254486e-35,4.8323540973508014e-21,8.7445376665655818e-31,3.0014255912725179e-37,6.478448750780647e-41,8.0033557097753074e-70,2.1229903966514404e-49,1.1431838178679005e-92,4.1219648603639894e-35,8.2185019937371661e-100,8.9370654408172007e-101,1.0397796647023809e-98
1.741389094234265e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,4.0891818059778905e-109,1.073204083341992e-66,1.5321389858721905e-33,2.5572754019594731e-80,2.2044673295208731e-50,1.7737362804120439e-121,1.5369139704647399e-18,6.8819716072758071e-99,1.5369139704647349e-18,4.7992173554094838e-67,4.4464952425085555e-70,8.2085874527656641e-103,9.5178384257986579e-104,1.1811686640113206e-51,3.2957038955475436e-79,8.3935091160168672e-17,2.4851688688527302e-18,9.9489643235288044e-21,4.6473624937540594e-35,9.9489643162251665e-21,3.6506710685247769e-30,2.5228782291279517e-36,5.4456260263925152e-40,2.7767858172550283e-68,1.7845016461255107e-48,7.8856176948068811e-91,1.7208391881466636e-34,1.1750285991298796e-97,1.2777671834775645e-98,1.4456095059070987e-96
3.532532162589509e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,1.105766804430237e-106,1.7701882871924205e-65,6.2592899217800457e-33,1.7044740405824748e-78,1.8226962182660376e-49,4.7311111522772468e-119,3.117739768657044e-18,4.631251400881704e-97,3.1177397686570229e-18,7.954350808638124e-66,7.3879166100290695e-69,1.0945748967489815e-100,1.2691570957951337e-101,9.6839321471430677e-51,1.093723962935824e-77,1.7026832778205523e-16,5.0413425625298211e-18,2.018218477810155e-20,1.8985987573892104e-34,2.0182184748263797e-20,1.4914172115280369e-29,2.0684066373313235e-35,4.4648163911409832e-39,9.2481887171813575e-67,1.4630427531904177e-47,5.2368779842268427e-89,7.0301895794592923e-34,1.58839098311272e-95,1.7272800052582433e-96,1.9276494095183954e-94
7.114818299299997e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,2.9089461890411436e-104,2.8755443745614165e-64,2.5301068746537645e-32,1.11316626021993e-76,1.4821862941208739e-48,1.2362172757801726e-116,6.2793913650416519e-18,3.0387334406649991e-95,6.2793913650415671e-18,1.2951598260975805e-64,1.2044163020137348e-67,1.4299246163121939e-98,1.6579943305973468e-99,7.8422957745307791e-50,3.5637402959185352e-76,3.4293480102582457e-16,1.0153689949884001e-17,4.0648625710109695e-20,7.674436010067929e-34,4.0648625589500649e-20,6.0285384307960377e-29,1.6750471179192435e-34,3.6159883461911026e-38,3.0189799583028885e-65,1.184810744936435e-46,3.4137013984362427e-87,2.8417150309806969e-33,2.0890775587565618e-93,2.2717679900197315e-94,2.5182318271204182e-92
1.4279390572720972e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996463,0.022821567693054278,7.5493908164998664e-102,4.6357819064788188e-63,1.0173463027488942e-31,7.1972864354531772e-75,1.1954369420939316e-47,3.1975302559476116e-114,1.2602694557810869e-17,1.9690540467428436e-93,1.2602694557810522e-17,2.0903931810061917e-63,1.9451337141081558e-66,1.849208858380722e-96,2.1441534527342309e-97,6.3121561871285575e-49,1.1507101463363148e-74,6.8826774751334837e-16,2.0378384724592344e-17,8.1581507665577052e-20,3.0858539689093649e-33,8.1581507180612714e-20,2.424042037089032e-28,1.3482200982705516e-33,2.9108874277431518e-37,9.7582250020236339e-64,9.5364003780059831e-46,2.204844881689378e-85,1.1426411155622427e-32,2.7106792896223887e-91,2.9477843467642089e-92,3.2566308381619269e-90
2.8608535119562925e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996392,0.022821567693054268,1.946237574287265e-99,7.4452978692229452e-62,4.0800253737599954e-31,4.6307671846602983e-73,9.602399625387426e-47,8.2296983145735284e-112,2.5249300943349305e-17,1.2680156854367007e-91,2.5249300943347915e-17,3.3592057237371335e-62,3.126739749697532e-65,2.3796706509958111e-94,2.7592226910146766e-95,5.065098640166309e-48,3.6988549418848632e-73,1.3789336404883359e-15,4.0827774274008945e-17,1.6344727194231956e-19,1.2375630555886678e-32,1.6344726999739026e-19,9.7214385955909624e-28,1.0818560268097834e-32,2.336486585239011e-36,3.1390015701367314e-62,7.6523811689313354e-45,1.4175577435450848e-83,4.5825019315060442e-32,3.4939835919931461e-89,3.7997475938055956e-90,4.1908239786550909e-88
5.726682421324683e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996252,0.022821567693054247,5.0017073023998038e-97,1.1934933120574022e-60,1.6341476358684617e-30,2.9728294906540659e-71,7.6975118383911068e-46,2.1133549407548398e-109,5.0542513714426189e-17,8.1404184455628893e-90,5.0542513714420618e-17,5.3864171453145154e-61,5.0144205923675629e-64,3.0554245054352234e-92,3.5427577432950481e-93,4.0582278980982852e-47,1.1862932825997216e-71,2.76026542643807e-15,8.172655337284182e-17,3.2717880195906414e-19,4.9566880589029185e-32,3.2717879416915905e-19,3.8936027358959912e-27,8.6679220102079451e-32,1.8731265627138757e-35,1.007542338920462e-60,6.1312498349202458e-44,9.0930843779997918e-82,1.8353909924148099e-31,4.4896033754808617e-87,4.8828625021581288e-88,5.3808901127432304e-86
