Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),CH2X(27),CHX(28),CX(26),H2OX(23),OCX(25),CO2X(24)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.494490786932799e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,-7.9284990580361606e-118,3.3910037431656425e-65,3.0407826841792054e-44,1.7167579472625165e-74,1.6821598017104108e-62,4.4834033263040927e-49,4.3960768023794579e-29,-3.5611475355331483e-114,4.3960768023791731e-29,3.0780825790730656e-74,4.22247549057637e-73,4.0541383265763889e-75,3.6882351453817987e-106,4.4834310971867145e-49,6.2860870294786397e-92,2.6725134708517623e-18,7.7953303112818144e-19,1.7666427744230235e-23,2.044448541387977e-37,1.7666427746500996e-23,1.135480019747285e-33,2.9999371842975118e-39,3.0243532654176168e-44,6.9311052104477186e-54,7.4266026221135429e-74,-4.1608314416030938e-106
2.378457420341184e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,1.4364564128973945e-115,6.8579259951926541e-64,3.6002940028380129e-43,2.0381350349901821e-73,2.5420798919959801e-61,2.7079756090878494e-48,1.2309015046663447e-28,-3.362130057570979e-114,1.230901504666172e-28,4.6515983937369173e-73,1.3276138623812477e-71,4.8130730213117782e-74,8.2504344908155439e-105,2.7080085786796978e-48,1.7727771197944028e-90,7.4830377183849315e-18,2.1826924871589081e-18,4.9465997680166354e-23,1.2348469189952807e-36,4.9465997693881793e-23,6.8582818231212166e-33,3.5615171023334786e-38,3.590743523450697e-43,8.2286081057965542e-53,4.5182511562647327e-72,4.2111390479175685e-104
5.436474103636992e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,6.0647134569447866e-113,1.2732105760616907e-62,3.5297380769925167e-42,2.0010530633295697e-72,2.7346535452844212e-60,1.3037736872894954e-47,2.8134891535235265e-28,6.4250206215216878e-114,2.813489153522696e-28,5.0039772874156898e-72,2.9618334952360641e-70,4.7255036334583325e-73,1.6301468236740398e-103,1.3038060570302798e-47,3.8561774585266601e-89,1.7104086213451246e-17,4.9890113992203615e-18,1.1306513753732538e-22,5.9452563583103703e-36,1.1306513760335946e-22,3.3019496533296558e-32,3.4967009812638035e-37,3.525903275564719e-42,8.0788962331522299e-52,2.0400338841702023e-70,8.8199690626675871e-102
1.1552507470228608e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,1.951247880605395e-110,2.1933015700530071e-61,3.1198127549014417e-41,1.7699087733105781e-71,2.5136177459871563e-59,5.6939222244089351e-47,5.9786644512394272e-28,3.8875832081727275e-112,5.9786644512357987e-28,4.5995172365038558e-71,5.5471863426776418e-69,4.179654449169066e-72,2.9007591743206732e-102,5.6942085311004125e-47,7.1487031172303431e-88,3.6346183203583789e-17,1.0601649223343268e-17,2.4026341719279058e-22,2.5964496475153323e-35,2.402634174811804e-22,1.4420325064555467e-31,3.0927610584732239e-36,3.1194931574523416e-41,7.1456922274573498e-51,7.7048989214757758e-69,1.4178071099207743e-99
2.378457420341184e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,5.5846708852818717e-108,3.6388597782378396e-60,2.621442396488615e-40,1.4877149689721373e-70,2.1504528999633913e-58,2.3771004436088917e-46,1.2309015046677377e-27,1.3857342525050096e-110,1.2309015046662226e-27,3.9349838323104199e-70,9.5813849140453341e-68,3.5132514076012674e-71,4.8925543313775608e-101,2.3773411016343448e-46,1.2286794156989384e-86,7.4830377183848542e-17,2.1826924871589078e-17,4.9465997626830925e-22,1.0839666166012461e-34,4.9465997747229307e-22,6.0200710020406825e-31,2.5995992669421863e-35,2.6235882564519016e-40,6.0063848771357554e-50,2.6746585645875591e-67,2.0281691950130411e-97
4.82487076697783e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999853,0.099999999999999992,1.5117707672894959e-105,5.9274226954331608e-59,2.1487663930958788e-39,1.2197186155180679e-69,1.7780360392765231e-57,9.7112309409285543e-46,2.4969716237577873e-27,4.6566425524813445e-109,2.496971623751597e-27,3.253520727688084e-69,1.5919614319429327e-66,2.8803757656640397e-70,8.0360351807508931e-100,9.7132040008205986e-46,2.0364460244407566e-85,1.517987651443766e-16,4.427747616808069e-17,1.0034530934777006e-21,4.428357318226826e-34,1.0034530983964743e-21,2.4592885106402025e-30,2.1312220308348797e-34,2.1533806156085536e-39,4.9243972122767707e-49,8.9175293952400462e-66,2.7445761823502583e-95
9.717697460251123e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999965,0.0999999999999997,0.099999999999999964,3.985463992379674e-103,9.5686565269966514e-58,1.7398391950543782e-38,9.877597581954477e-69,1.4458693716043925e-56,3.9254348155560318e-45,5.0291118619477249e-27,1.5265232862396264e-107,5.0291118619227012e-27,2.6457090226641485e-68,2.5952989188477297e-65,2.332602973824337e-69,1.3026759324457447e-98,3.9270326506115159e-45,3.3158244366394787e-84,3.0573554106542723e-16,8.917857876106381e-17,2.0210393241298989e-21,1.7900128312180519e-33,2.021039344013232e-21,9.9399730318754327e-30,1.7257787542964358e-33,1.7477574632889074e-38,3.9879045353302142e-48,2.9172270163400717e-64,3.6173876105694269e-93
1.950335084679771e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999927,0.099999999999999395,0.099999999999999922,1.0386999545870355e-100,1.5377897644132453e-56,1.4000879678572013e-37,7.9503498659638946e-68,1.1661460176708602e-55,1.5784000746525594e-44,1.0093392338366951e-26,4.9439018711101387e-106,1.0093392338266332e-26,2.1338601741914832e-67,4.1914146684455176e-64,1.8774818052139645e-68,2.0979194300816104e-97,1.579686151313519e-44,5.3517540091856805e-83,6.1360909290750631e-16,1.7898078394702975e-16,4.0562117703679563e-21,7.1975628654881387e-33,4.0562118503249135e-21,3.9961245111610716e-29,1.3888314002600817e-32,1.4130142920058286e-37,3.2098125086139551e-47,9.4693114356643714e-63,4.713648521252589e-91
3.9074657619890876e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999849,0.099999999999998784,0.099999999999999839,2.7003364383112521e-98,2.4659161222238206e-55,1.1230943711640079e-36,6.3796550745767347e-67,9.3671188187510977e-55,6.3300902561007382e-44,2.02219532913628e-26,1.5915578412734202e-104,2.0221953290959281e-26,1.7140325362393772e-66,6.7375766070462245e-63,1.5065609090226528e-67,3.3676253057850526e-96,6.3404102113588948e-44,8.6001250212172276e-82,1.2293561965915748e-15,3.5858519431896056e-16,8.1265566025787132e-21,2.8865446269532396e-32,8.1265569232975841e-21,1.6020675361499624e-28,1.1140880352337634e-31,1.1439080556262612e-36,2.5756723891882206e-46,3.071763479643961e-61,6.1270409903091797e-89
